Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,EUM,Game Score,Team Indicator,Play,Period
19:52,,,,,"MISS JUMPER by STUCK,NICK",,,"MISS JUMPER by STUCK,NICK",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
19:34,"GOOD JUMPER by KNOX,JOEY",2 (+2),,0,,SEWANEE 2-0 (+2),,"GOOD JUMPER by KNOX,JOEY",1
19:16,,,,,"MISS JUMPER by DAVET,MATT",,,"MISS JUMPER by DAVET,MATT",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
18:58,"GOOD 3PTR by KNOX,JOEY",5 (+5),,0,,SEWANEE 5-0 (+5),,"GOOD 3PTR by KNOX,JOEY",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
18:37,,5 (+2),,3,"GOOD 3PTR by DAVET,MATT",EUM 5-3 (+2),,"GOOD 3PTR by DAVET,MATT",1
--,,,,,"ASSIST  by SCHNER,MATTHEW",,,"ASSIST  by SCHNER,MATTHEW",1
18:17,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",7 (+4),,3,,SEWANEE 7-3 (+4),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1
17:52,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
17:52,,7 (+3),,4,"GOOD FT by ROWLEY,LAWRENCE",EUM 7-4 (+3),,"GOOD FT by ROWLEY,LAWRENCE",1
17:52,,7 (+2),,5,"GOOD FT by ROWLEY,LAWRENCE",EUM 7-5 (+2),,"GOOD FT by ROWLEY,LAWRENCE",1
17:37,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
17:25,,,,,"MISS 3PTR by WILLIAMS,ROMIN",,,"MISS 3PTR by WILLIAMS,ROMIN",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
17:16,"GOOD LAYUP by STARR,RYAN(in the paint)",9 (+4),,5,,SEWANEE 9-5 (+4),,"GOOD LAYUP by STARR,RYAN(in the paint)",1
17:06,,,,,"MISS JUMPER by STUCK,NICK",,,"MISS JUMPER by STUCK,NICK",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
16:50,"MISS LAYUP by KNOX,JOEY",,,,,,,"MISS LAYUP by KNOX,JOEY",1
--,,,,,"REBOUND DEF by WILLIAMS,ROMIN",,,"REBOUND DEF by WILLIAMS,ROMIN",1
16:43,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
16:43,,,,,"MISS FT by ROWLEY,LAWRENCE",,,"MISS FT by ROWLEY,LAWRENCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:43,,9 (+3),,6,"GOOD FT by ROWLEY,LAWRENCE",EUM 9-6 (+3),,"GOOD FT by ROWLEY,LAWRENCE",1
16:43,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
16:43,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
16:25,"MISS 3PTR by STARR,RYAN",,,,,,,"MISS 3PTR by STARR,RYAN",1
--,"REBOUND OFF by HOLLOWAY,JACK",,,,,,,"REBOUND OFF by HOLLOWAY,JACK",1
16:22,"TURNOVER  by HOLLOWAY,JACK",,,,,,,"TURNOVER  by HOLLOWAY,JACK",1
16:16,,,,,"STEAL  by STUCK,NICK",,,"STEAL  by STUCK,NICK",1
16:14,,,,,"MISS 3PTR by WILLIAMS,ROMIN",,,"MISS 3PTR by WILLIAMS,ROMIN",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
15:57,"TURNOVER  by HOLLOWAY,JACK",,,,,,,"TURNOVER  by HOLLOWAY,JACK",1
15:55,,,,,"STEAL  by ROWLEY,LAWRENCE",,,"STEAL  by ROWLEY,LAWRENCE",1
15:53,,9 (+1),,8,"GOOD LAYUP by ROWLEY,LAWRENCE(fastbreak)(in the paint)",EUM 9-8 (+1),,"GOOD LAYUP by ROWLEY,LAWRENCE(fastbreak)(in the paint)",1
15:37,"MISS JUMPER by WARLICK,JORDAN",,,,,,,"MISS JUMPER by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by WILLIAMS,ROMIN",,,"REBOUND DEF by WILLIAMS,ROMIN",1
15:31,,9,,10 (+1),"GOOD LAYUP by WILLIAMS,ROMIN(fastbreak)(in the paint)",EUM 9-10 (-1),,"GOOD LAYUP by WILLIAMS,ROMIN(fastbreak)(in the paint)",1
15:13,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",11 (+1),,10,,SEWANEE 11-10 (+1),,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
14:53,,,,,"MISS 3PTR by DAVET,MATT",,,"MISS 3PTR by DAVET,MATT",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
14:23,"MISS LAYUP by STARR,RYAN",,,,,,,"MISS LAYUP by STARR,RYAN",1
--,,,,,"REBOUND DEF by ROWLEY,LAWRENCE",,,"REBOUND DEF by ROWLEY,LAWRENCE",1
14:20,,11,,12 (+1),"GOOD LAYUP by SCHNER,MATTHEW(fastbreak)(in the paint)",EUM 11-12 (-1),,"GOOD LAYUP by SCHNER,MATTHEW(fastbreak)(in the paint)",1
14:03,,,,,"FOUL  by SCHNER,MATTHEW",,,"FOUL  by SCHNER,MATTHEW",1
14:03,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
14:03,"SUB IN by JENNINGS,SAM",,,,,,,"SUB IN by JENNINGS,SAM",1
14:03,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
14:03,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
14:03,,,,,"SUB IN by WASHBURN,CLAY",,,"SUB IN by WASHBURN,CLAY",1
14:03,,,,,"SUB IN by JOHNSON,MASON",,,"SUB IN by JOHNSON,MASON",1
14:03,,,,,"SUB OUT by DAVET,MATT",,,"SUB OUT by DAVET,MATT",1
14:03,,,,,"SUB OUT by WILLIAMS,ROMIN",,,"SUB OUT by WILLIAMS,ROMIN",1
14:02,"MISS JUMPER by STARR,RYAN",,,,,,,"MISS JUMPER by STARR,RYAN",1
--,,,,,"REBOUND DEF by ROWLEY,LAWRENCE",,,"REBOUND DEF by ROWLEY,LAWRENCE",1
13:57,,,,,"MISS 3PTR by ROWLEY,LAWRENCE",,,"MISS 3PTR by ROWLEY,LAWRENCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:55,"FOUL  by MCDONOUGH,SEAN",,,,,,,"FOUL  by MCDONOUGH,SEAN",1
13:54,,,,,"MISS 3PTR by JOHNSON,MASON",,,"MISS 3PTR by JOHNSON,MASON",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
13:21,,,,,"FOUL  by WASHBURN,CLAY",,,"FOUL  by WASHBURN,CLAY",1
13:06,"GOOD FT by STARR,RYAN",12,,12,,SEWANEE 12-12 (0),,"GOOD FT by STARR,RYAN",1
13:06,"GOOD FT by STARR,RYAN",13 (+1),,12,,SEWANEE 13-12 (+1),,"GOOD FT by STARR,RYAN",1
13:03,,,,,"TURNOVER  by STUCK,NICK",,,"TURNOVER  by STUCK,NICK",1
13:03,,,,,"SUB IN by WILLIAMS,ROMIN",,,"SUB IN by WILLIAMS,ROMIN",1
13:03,,,,,"SUB OUT by STUCK,NICK",,,"SUB OUT by STUCK,NICK",1
12:49,"TURNOVER  by MCDONOUGH,SEAN",,,,,,,"TURNOVER  by MCDONOUGH,SEAN",1
12:48,,,,,"STEAL  by SCHNER,MATTHEW",,,"STEAL  by SCHNER,MATTHEW",1
12:43,,13,,15 (+2),"GOOD 3PTR by WASHBURN,CLAY",EUM 13-15 (-2),,"GOOD 3PTR by WASHBURN,CLAY",1
--,,,,,"ASSIST  by SCHNER,MATTHEW",,,"ASSIST  by SCHNER,MATTHEW",1
12:30,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
12:30,,,,,"STEAL  by WILLIAMS,ROMIN",,,"STEAL  by WILLIAMS,ROMIN",1
12:30,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
12:30,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
12:30,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
12:30,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",1
12:18,,,,,"MISS 3PTR by WASHBURN,CLAY",,,"MISS 3PTR by WASHBURN,CLAY",1
--,"REBOUND DEF by JENNINGS,SAM",,,,,,,"REBOUND DEF by JENNINGS,SAM",1
12:04,"TURNOVER  by HOLLOWAY,JACK",,,,,,,"TURNOVER  by HOLLOWAY,JACK",1
12:03,,,,,"STEAL  by ROWLEY,LAWRENCE",,,"STEAL  by ROWLEY,LAWRENCE",1
11:58,,,,,"MISS 3PTR by JOHNSON,MASON",,,"MISS 3PTR by JOHNSON,MASON",1
--,"REBOUND DEF by MCDONOUGH,SEAN",,,,,,,"REBOUND DEF by MCDONOUGH,SEAN",1
11:41,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,"REBOUND OFF by BARRY,MICHAEL",,,,,,,"REBOUND OFF by BARRY,MICHAEL",1
11:32,"MISS 3PTR by JENNINGS,SAM",,,,,,,"MISS 3PTR by JENNINGS,SAM",1
--,,,,,"REBOUND DEF by WILLIAMS,ROMIN",,,"REBOUND DEF by WILLIAMS,ROMIN",1
11:24,,13,,17 (+4),"GOOD LAYUP by WILLIAMS,ROMIN(fastbreak)(in the paint)",EUM 13-17 (-4),,"GOOD LAYUP by WILLIAMS,ROMIN(fastbreak)(in the paint)",1
11:05,"TURNOVER  by HOLLOWAY,JACK",,,,,,,"TURNOVER  by HOLLOWAY,JACK",1
11:04,,,,,"STEAL  by WILLIAMS,ROMIN",,,"STEAL  by WILLIAMS,ROMIN",1
11:02,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",1
11:02,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
11:02,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
11:02,,,,,"SUB IN by DAVET,MATT",,,"SUB IN by DAVET,MATT",1
11:02,,,,,"SUB OUT by ROWLEY,LAWRENCE",,,"SUB OUT by ROWLEY,LAWRENCE",1
10:48,,,,,"MISS JUMPER by WILLIAMS,ROMIN",,,"MISS JUMPER by WILLIAMS,ROMIN",1
--,"REBOUND DEF by CRUMLY,JONNY",,,,,,,"REBOUND DEF by CRUMLY,JONNY",1
10:38,,,,,"SUB IN by STUCK,NICK",,,"SUB IN by STUCK,NICK",1
10:38,,,,,"SUB OUT by SCHNER,MATTHEW",,,"SUB OUT by SCHNER,MATTHEW",1
10:18,"MISS 3PTR by JENNINGS,SAM",,,,,,,"MISS 3PTR by JENNINGS,SAM",1
--,"REBOUND OFF by CRUMLY,JONNY",,,,,,,"REBOUND OFF by CRUMLY,JONNY",1
10:14,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,,,,,"REBOUND DEF by WASHBURN,CLAY",,,"REBOUND DEF by WASHBURN,CLAY",1
10:02,,13,,19 (+6),"GOOD JUMPER by WASHBURN,CLAY(in the paint)",EUM 13-19 (-6),,"GOOD JUMPER by WASHBURN,CLAY(in the paint)",1
09:39,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by WASHBURN,CLAY",,,"REBOUND DEF by WASHBURN,CLAY",1
