Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,FCM,Game Score,Team Indicator,Play,Period
16:32,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",1
16:32,,,,,"SUB IN by JR,JAMES SMITH",,,"SUB IN by JR,JAMES SMITH",1
16:32,,,,,"SUB IN by MADDEN-MCAFEE,KAJUAN",,,"SUB IN by MADDEN-MCAFEE,KAJUAN",1
16:32,,,,,"SUB OUT by HELTON,NICK",,,"SUB OUT by HELTON,NICK",1
16:32,,,,,"SUB OUT by JONES,KALIP",,,"SUB OUT by JONES,KALIP",1
16:23,,,,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",1
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",1
16:05,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by REED,RASHAD",,,"REBOUND DEF by REED,RASHAD",1
15:52,,,,,"MISS 3PTR by REED,RASHAD",,,"MISS 3PTR by REED,RASHAD",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
15:40,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",1
15:40,,,,,"SUB IN by YOUNG,CARRINGTON",,,"SUB IN by YOUNG,CARRINGTON",1
15:40,,,,,"SUB OUT by REEVES,BRANDON",,,"SUB OUT by REEVES,BRANDON",1
15:32,,,,,"FOUL  by PLAIR,MARCUS",,,"FOUL  by PLAIR,MARCUS",1
15:32,,,,,"TURNOVER  by PLAIR,MARCUS",,,"TURNOVER  by PLAIR,MARCUS",1
15:32,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
15:32,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
15:32,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
15:32,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
15:20,"GOOD 3PTR by BARRY,MICHAEL",11 (+4),,7,,SEWANEE 11-7 (+4),,"GOOD 3PTR by BARRY,MICHAEL",1
15:20,,,,,"FOUL  by JR,JAMES SMITH",,,"FOUL  by JR,JAMES SMITH",1
15:20,"GOOD FT by BARRY,MICHAEL",12 (+5),,7,,SEWANEE 12-7 (+5),,"GOOD FT by BARRY,MICHAEL",1
15:09,,,,,"MISS 3PTR by JR,JAMES SMITH",,,"MISS 3PTR by JR,JAMES SMITH",1
--,"REBOUND DEF by HOLLOWAY,JACK",,,,,,,"REBOUND DEF by HOLLOWAY,JACK",1
14:55,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",14 (+7),,7,,SEWANEE 14-7 (+7),,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
14:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:45,,,,,"SUB IN by BUTLER,DILLON",,,"SUB IN by BUTLER,DILLON",1
14:45,,,,,"SUB OUT by PLAIR,MARCUS",,,"SUB OUT by PLAIR,MARCUS",1
14:30,,,,,"MISS 3PTR by JR,JAMES SMITH",,,"MISS 3PTR by JR,JAMES SMITH",1
--,"REBOUND DEF by GARWOOD,MACKIE",,,,,,,"REBOUND DEF by GARWOOD,MACKIE",1
14:11,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",1
14:09,,,,,"STEAL  by JR,JAMES SMITH",,,"STEAL  by JR,JAMES SMITH",1
14:07,,14 (+5),,9,"GOOD LAYUP by JR,JAMES SMITH(fastbreak)(in the paint)",FCM 14-9 (+5),,"GOOD LAYUP by JR,JAMES SMITH(fastbreak)(in the paint)",1
13:58,"GOOD 3PTR by MCDONOUGH,SEAN(fastbreak)",17 (+8),,9,,SEWANEE 17-9 (+8),,"GOOD 3PTR by MCDONOUGH,SEAN(fastbreak)",1
--,"ASSIST  by KNOX,JOEY",,,,,,,"ASSIST  by KNOX,JOEY",1
13:37,,,,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",1
--,"REBOUND DEF by GARWOOD,MACKIE",,,,,,,"REBOUND DEF by GARWOOD,MACKIE",1
13:24,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
13:24,"SUB IN by GARWOOD,MACKIE",,,,,,,"SUB IN by GARWOOD,MACKIE",1
13:24,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
13:24,,,,,"SUB IN by PLAIR,MARCUS",,,"SUB IN by PLAIR,MARCUS",1
13:24,,,,,"SUB IN by REEVES,BRANDON",,,"SUB IN by REEVES,BRANDON",1
13:24,,,,,"SUB OUT by BUTLER,DILLON",,,"SUB OUT by BUTLER,DILLON",1
13:24,,,,,"SUB OUT by YOUNG,CARRINGTON",,,"SUB OUT by YOUNG,CARRINGTON",1
12:57,"FOUL  by MCDONOUGH,SEAN",,,,,,,"FOUL  by MCDONOUGH,SEAN",1
12:57,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
12:57,,,,,"MISS FT by JR,JAMES SMITH",,,"MISS FT by JR,JAMES SMITH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:57,,17 (+7),,10,"GOOD FT by JR,JAMES SMITH",FCM 17-10 (+7),,"GOOD FT by JR,JAMES SMITH",1
12:43,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
12:43,,,,,"SUB IN by HELTON,NICK",,,"SUB IN by HELTON,NICK",1
12:43,,,,,"SUB IN by MCREED,CALEB",,,"SUB IN by MCREED,CALEB",1
12:43,,,,,"SUB OUT by JR,JAMES SMITH",,,"SUB OUT by JR,JAMES SMITH",1
12:43,,,,,"SUB OUT by REED,RASHAD",,,"SUB OUT by REED,RASHAD",1
12:21,,17 (+5),,12,"GOOD JUMPER by MADDEN-MCAFEE,KAJUAN",FCM 17-12 (+5),,"GOOD JUMPER by MADDEN-MCAFEE,KAJUAN",1
11:54,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,,,,,"REBOUND DEF by PLAIR,MARCUS",,,"REBOUND DEF by PLAIR,MARCUS",1
11:35,,,,,"FOUL  by MCREED,CALEB",,,"FOUL  by MCREED,CALEB",1
11:35,,,,,"TURNOVER  by MCREED,CALEB",,,"TURNOVER  by MCREED,CALEB",1
11:21,"TURNOVER  by MCDONOUGH,SEAN",,,,,,,"TURNOVER  by MCDONOUGH,SEAN",1
10:58,,,,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
10:46,"GOOD 3PTR by MCDONOUGH,SEAN",20 (+8),,12,,SEWANEE 20-12 (+8),,"GOOD 3PTR by MCDONOUGH,SEAN",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
10:21,,,,,"TURNOVER  by MADDEN-MCAFEE,KAJUAN",,,"TURNOVER  by MADDEN-MCAFEE,KAJUAN",1
10:19,"STEAL  by BARRY,MICHAEL",,,,,,,"STEAL  by BARRY,MICHAEL",1
10:17,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",1
10:17,,,,,"BLOCK  by PLAIR,MARCUS",,,"BLOCK  by PLAIR,MARCUS",1
--,,,,,"REBOUND DEF by HELTON,NICK",,,"REBOUND DEF by HELTON,NICK",1
10:09,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
10:09,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
10:09,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
10:09,"SUB OUT by GARWOOD,MACKIE",,,,,,,"SUB OUT by GARWOOD,MACKIE",1
10:09,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
10:09,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
10:09,,,,,"SUB IN by REED,RASHAD",,,"SUB IN by REED,RASHAD",1
10:09,,,,,"SUB OUT by MADDEN-MCAFEE,KAJUAN",,,"SUB OUT by MADDEN-MCAFEE,KAJUAN",1
09:59,,,,,"MISS JUMPER by PLAIR,MARCUS",,,"MISS JUMPER by PLAIR,MARCUS",1
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",1
09:41,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
09:25,,,,,"MISS LAYUP by REED,RASHAD",,,"MISS LAYUP by REED,RASHAD",1
09:25,"BLOCK  by THOMAS,ADRIAN",,,,,,,"BLOCK  by THOMAS,ADRIAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:21,,,,,"TURNOVER  by HELTON,NICK",,,"TURNOVER  by HELTON,NICK",1
09:19,"STEAL  by STARR,RYAN",,,,,,,"STEAL  by STARR,RYAN",1
09:05,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",1
--,,,,,"REBOUND DEF by REED,RASHAD",,,"REBOUND DEF by REED,RASHAD",1
08:46,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",1
08:46,,20 (+7),,13,"GOOD FT by REEVES,BRANDON",FCM 20-13 (+7),,"GOOD FT by REEVES,BRANDON",1
08:46,,20 (+6),,14,"GOOD FT by REEVES,BRANDON",FCM 20-14 (+6),,"GOOD FT by REEVES,BRANDON",1
08:46,,,,,"SUB IN by YOUNG,CARRINGTON",,,"SUB IN by YOUNG,CARRINGTON",1
08:46,,,,,"SUB IN by JONES,KALIP",,,"SUB IN by JONES,KALIP",1
08:46,,,,,"SUB OUT by REEVES,BRANDON",,,"SUB OUT by REEVES,BRANDON",1
08:46,,,,,"SUB OUT by MCREED,CALEB",,,"SUB OUT by MCREED,CALEB",1
08:28,"MISS 3PTR by STARR,RYAN",,,,,,,"MISS 3PTR by STARR,RYAN",1
--,,,,,"REBOUND DEF by REED,RASHAD",,,"REBOUND DEF by REED,RASHAD",1
08:21,,,,,"TURNOVER  by REED,RASHAD",,,"TURNOVER  by REED,RASHAD",1
08:03,"MISS LAYUP by WARLICK,JORDAN",,,,,,,"MISS LAYUP by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by HELTON,NICK",,,"REBOUND DEF by HELTON,NICK",1
07:36,,,,,"TURNOVER  by YOUNG,CARRINGTON",,,"TURNOVER  by YOUNG,CARRINGTON",1
07:32,"SUB IN by GARWOOD,MACKIE",,,,,,,"SUB IN by GARWOOD,MACKIE",1
07:32,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",1
07:23,,,,,"SUB IN by MADDEN-MCAFEE,KAJUAN",,,"SUB IN by MADDEN-MCAFEE,KAJUAN",1
07:23,,,,,"SUB OUT by HELTON,NICK",,,"SUB OUT by HELTON,NICK",1
07:16,"MISS 3PTR by GARWOOD,MACKIE",,,,,,,"MISS 3PTR by GARWOOD,MACKIE",1
--,"REBOUND OFF by KNOX,JOEY",,,,,,,"REBOUND OFF by KNOX,JOEY",1
07:00,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
07:00,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
07:00,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:00,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
07:00,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
07:00,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
07:00,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
07:00,,,,,"SUB IN by JR,JAMES SMITH",,,"SUB IN by JR,JAMES SMITH",1
07:00,,,,,"SUB OUT by JONES,KALIP",,,"SUB OUT by JONES,KALIP",1
06:49,,,,,"MISS LAYUP by PLAIR,MARCUS",,,"MISS LAYUP by PLAIR,MARCUS",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
06:31,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",22 (+8),,14,,SEWANEE 22-14 (+8),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
--,"ASSIST  by KNOX,JOEY",,,,,,,"ASSIST  by KNOX,JOEY",1
06:13,,22 (+6),,16,"GOOD LAYUP by REED,RASHAD(in the paint)",FCM 22-16 (+6),,"GOOD LAYUP by REED,RASHAD(in the paint)",1
--,,,,,"ASSIST  by YOUNG,CARRINGTON",,,"ASSIST  by YOUNG,CARRINGTON",1
06:05,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",1
06:05,"SUB IN by STARR,RYAN",,,,,,,"SUB IN by STARR,RYAN",1
06:05,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
05:46,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",1
05:46,,22 (+5),,17,"GOOD FT by MADDEN-MCAFEE,KAJUAN",FCM 22-17 (+5),,"GOOD FT by MADDEN-MCAFEE,KAJUAN",1
05:46,,22 (+4),,18,"GOOD FT by MADDEN-MCAFEE,KAJUAN",FCM 22-18 (+4),,"GOOD FT by MADDEN-MCAFEE,KAJUAN",1
05:23,"GOOD 3PTR by MCDONOUGH,SEAN",25 (+7),,18,,SEWANEE 25-18 (+7),,"GOOD 3PTR by MCDONOUGH,SEAN",1
--,"ASSIST  by KNOX,JOEY",,,,,,,"ASSIST  by KNOX,JOEY",1
05:12,,,,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
04:41,"GOOD JUMPER by KNOX,JOEY",27 (+9),,18,,SEWANEE 27-18 (+9),,"GOOD JUMPER by KNOX,JOEY",1
04:18,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",1
04:18,,,,,"MISS FT by JR,JAMES SMITH",,,"MISS FT by JR,JAMES SMITH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:18,,27 (+8),,19,"GOOD FT by JR,JAMES SMITH",FCM 27-19 (+8),,"GOOD FT by JR,JAMES SMITH",1
04:18,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
04:18,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
04:18,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
04:18,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
04:03,,,,,"FOUL  by REED,RASHAD",,,"FOUL  by REED,RASHAD",1
04:01,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",29 (+10),,19,,SEWANEE 29-19 (+10),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
03:45,,29 (+8),,21,"GOOD JUMPER by JR,JAMES SMITH",FCM 29-21 (+8),,"GOOD JUMPER by JR,JAMES SMITH",1
03:29,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",31 (+10),,21,,SEWANEE 31-21 (+10),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
03:14,,,,,"MISS JUMPER by PLAIR,MARCUS",,,"MISS JUMPER by PLAIR,MARCUS",1
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",1
03:02,"MISS LAYUP by STARR,RYAN",,,,,,,"MISS LAYUP by STARR,RYAN",1
--,,,,,"REBOUND DEF by YOUNG,CARRINGTON",,,"REBOUND DEF by YOUNG,CARRINGTON",1
02:48,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",1
02:48,,31 (+9),,22,"GOOD FT by JR,JAMES SMITH",FCM 31-22 (+9),,"GOOD FT by JR,JAMES SMITH",1
02:48,,31 (+8),,23,"GOOD FT by JR,JAMES SMITH",FCM 31-23 (+8),,"GOOD FT by JR,JAMES SMITH",1
02:48,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
02:48,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
02:48,,,,,"SUB IN by REEVES,BRANDON",,,"SUB IN by REEVES,BRANDON",1
02:48,,,,,"SUB OUT by YOUNG,CARRINGTON",,,"SUB OUT by YOUNG,CARRINGTON",1
02:26,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",33 (+10),,23,,SEWANEE 33-23 (+10),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
02:16,,,,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",,,"MISS 3PTR by MADDEN-MCAFEE,KAJUAN",1
02:16,"BLOCK  by GARWOOD,MACKIE",,,,,,,"BLOCK  by GARWOOD,MACKIE",1
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",1
01:57,"GOOD 3PTR by WARLICK,JORDAN",36 (+13),,23,,SEWANEE 36-23 (+13),,"GOOD 3PTR by WARLICK,JORDAN",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
01:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
01:50,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
01:50,"SUB OUT by GARWOOD,MACKIE",,,,,,,"SUB OUT by GARWOOD,MACKIE",1
01:28,,,,,"MISS 3PTR by REED,RASHAD",,,"MISS 3PTR by REED,RASHAD",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
01:25,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",1
01:25,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",1
01:25,,,,,"MISS FT by REEVES,BRANDON",,,"MISS FT by REEVES,BRANDON",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
01:25,,,,,"SUB IN by HELTON,NICK",,,"SUB IN by HELTON,NICK",1
01:25,,,,,"SUB OUT by MADDEN-MCAFEE,KAJUAN",,,"SUB OUT by MADDEN-MCAFEE,KAJUAN",1
01:10,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
00:54,"FOUL  by MCDONOUGH,SEAN",,,,,,,"FOUL  by MCDONOUGH,SEAN",1
00:54,,36 (+12),,24,"GOOD FT by JR,JAMES SMITH",FCM 36-24 (+12),,"GOOD FT by JR,JAMES SMITH",1
00:54,,36 (+11),,25,"GOOD FT by JR,JAMES SMITH",FCM 36-25 (+11),,"GOOD FT by JR,JAMES SMITH",1
00:54,,,,,"SUB IN by JONES,KALIP",,,"SUB IN by JONES,KALIP",1
00:54,,,,,"SUB OUT by JR,JAMES SMITH",,,"SUB OUT by JR,JAMES SMITH",1
00:41,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:24,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",38 (+13),,25,,SEWANEE 38-25 (+13),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
00:02,,,,,"MISS JUMPER by REED,RASHAD",,,"MISS JUMPER by REED,RASHAD",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
19:39,,,,,"MISS JUMPER by REEVES,BRANDON",,,"MISS JUMPER by REEVES,BRANDON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
19:09,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",2
19:00,,,,,"MISS 3PTR by HELTON,NICK",,,"MISS 3PTR by HELTON,NICK",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
18:59,,,,,"FOUL  by REEVES,BRANDON",,,"FOUL  by REEVES,BRANDON",2
18:45,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
18:28,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
18:28,,38 (+12),,26,"GOOD FT by JONES,KALIP",FCM 38-26 (+12),,"GOOD FT by JONES,KALIP",2
18:28,,38 (+11),,27,"GOOD FT by JONES,KALIP",FCM 38-27 (+11),,"GOOD FT by JONES,KALIP",2
18:14,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",2
--,,,,,"REBOUND DEF by REEVES,BRANDON",,,"REBOUND DEF by REEVES,BRANDON",2
17:44,,,,,"MISS JUMPER by JONES,KALIP",,,"MISS JUMPER by JONES,KALIP",2
--,,,,,"REBOUND OFF by REEVES,BRANDON",,,"REBOUND OFF by REEVES,BRANDON",2
17:38,,,,,"MISS 3PTR by REED,RASHAD",,,"MISS 3PTR by REED,RASHAD",2
17:38,"BLOCK  by STARR,RYAN",,,,,,,"BLOCK  by STARR,RYAN",2
--,,,,,"REBOUND OFF by REEVES,BRANDON",,,"REBOUND OFF by REEVES,BRANDON",2
17:31,,,,,"TURNOVER  by REEVES,BRANDON",,,"TURNOVER  by REEVES,BRANDON",2
17:23,,,,,"FOUL  by PLAIR,MARCUS",,,"FOUL  by PLAIR,MARCUS",2
17:23,"MISS 3PTR by STARR,RYAN",,,,,,,"MISS 3PTR by STARR,RYAN",2
--,,,,,"REBOUND DEF by PLAIR,MARCUS",,,"REBOUND DEF by PLAIR,MARCUS",2
17:14,,38 (+9),,29,"GOOD JUMPER by PLAIR,MARCUS",FCM 38-29 (+9),,"GOOD JUMPER by PLAIR,MARCUS",2
16:52,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",40 (+11),,29,,SEWANEE 40-29 (+11),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
16:39,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",2
16:39,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",2
16:39,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",2
16:39,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
16:39,,,,,"SUB IN by JR,JAMES SMITH",,,"SUB IN by JR,JAMES SMITH",2
16:39,,,,,"SUB IN by MADDEN-MCAFEE,KAJUAN",,,"SUB IN by MADDEN-MCAFEE,KAJUAN",2
16:39,,,,,"SUB OUT by HELTON,NICK",,,"SUB OUT by HELTON,NICK",2
16:39,,,,,"SUB OUT by JONES,KALIP",,,"SUB OUT by JONES,KALIP",2
