Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,H-SC,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by WARLICK,JORDAN",,,,,,,"REBOUND OFF by WARLICK,JORDAN",2
19:05,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,"REBOUND DEF by TURNER,CHASE",,,"REBOUND DEF by TURNER,CHASE",2
18:50,,36 (+5),,31,"GOOD JUMPER by WYATT,JACK",H-SC 36-31 (+5),,"GOOD JUMPER by WYATT,JACK",2
--,,,,,"ASSIST  by HAHN,JAKE",,,"ASSIST  by HAHN,JAKE",2
18:36,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",2
18:35,,,,,"STEAL  by CLEMENTS,RYAN",,,"STEAL  by CLEMENTS,RYAN",2
18:32,,36 (+3),,33,"GOOD LAYUP by CLEMENTS,RYAN(fastbreak)(in the paint)",H-SC 36-33 (+3),,"GOOD LAYUP by CLEMENTS,RYAN(fastbreak)(in the paint)",2
18:29,,,,,"FOUL TECH by CLEMENTS,RYAN",,,"FOUL TECH by CLEMENTS,RYAN",2
18:29,"MISS FT by STARR,RYAN",,,,,,,"MISS FT by STARR,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:29,"GOOD FT by STARR,RYAN",37 (+4),,33,,SEWANEE 37-33 (+4),,"GOOD FT by STARR,RYAN",2
18:29,,,,,"SUB IN by QUINN,KEVIN",,,"SUB IN by QUINN,KEVIN",2
18:29,,,,,"SUB OUT by BRENNAN,BRIAN",,,"SUB OUT by BRENNAN,BRIAN",2
18:17,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
18:16,,,,,"STEAL  by CLEMENTS,RYAN",,,"STEAL  by CLEMENTS,RYAN",2
18:12,,,,,"MISS LAYUP by CLEMENTS,RYAN",,,"MISS LAYUP by CLEMENTS,RYAN",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
18:05,"GOOD JUMPER by KNOX,JOEY(fastbreak)(in the paint)",39 (+6),,33,,SEWANEE 39-33 (+6),,"GOOD JUMPER by KNOX,JOEY(fastbreak)(in the paint)",2
17:43,,,,,"MISS JUMPER by HAHN,JAKE",,,"MISS JUMPER by HAHN,JAKE",2
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",2
17:30,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",41 (+8),,33,,SEWANEE 41-33 (+8),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",2
17:12,,,,,"MISS JUMPER by CLEMENTS,RYAN",,,"MISS JUMPER by CLEMENTS,RYAN",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
17:02,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",2
--,,,,,"REBOUND DEF by QUINN,KEVIN",,,"REBOUND DEF by QUINN,KEVIN",2
16:39,"FOUL  by STARR,RYAN",,,,,,,"FOUL  by STARR,RYAN",2
16:39,,41 (+7),,34,"GOOD FT by QUINN,KEVIN",H-SC 41-34 (+7),,"GOOD FT by QUINN,KEVIN",2
16:39,,,,,"MISS FT by QUINN,KEVIN",,,"MISS FT by QUINN,KEVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:39,,41 (+6),,35,"GOOD FT by QUINN,KEVIN",H-SC 41-35 (+6),,"GOOD FT by QUINN,KEVIN",2
16:39,"SUB IN by GARWOOD,MACKIE",,,,,,,"SUB IN by GARWOOD,MACKIE",2
16:39,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",2
16:39,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",2
16:39,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",2
16:39,,,,,"SUB IN by JOHNSON,CHAISE",,,"SUB IN by JOHNSON,CHAISE",2
16:39,,,,,"SUB OUT by CLEMENTS,RYAN",,,"SUB OUT by CLEMENTS,RYAN",2
16:23,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",2
16:20,,,,,"STEAL  by WYATT,JACK",,,"STEAL  by WYATT,JACK",2
16:19,,41 (+4),,37,"GOOD LAYUP by HAHN,JAKE(fastbreak)(in the paint)",H-SC 41-37 (+4),,"GOOD LAYUP by HAHN,JAKE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WYATT,JACK",,,"ASSIST  by WYATT,JACK",2
16:02,,,,,"FOUL  by WYATT,JACK",,,"FOUL  by WYATT,JACK",2
16:02,"GOOD FT by THOMAS,ADRIAN",42 (+5),,37,,SEWANEE 42-37 (+5),,"GOOD FT by THOMAS,ADRIAN",2
16:02,"GOOD FT by THOMAS,ADRIAN",43 (+6),,37,,SEWANEE 43-37 (+6),,"GOOD FT by THOMAS,ADRIAN",2
16:02,,,,,"SUB IN by HAVILAND,BAKER",,,"SUB IN by HAVILAND,BAKER",2
16:02,,,,,"SUB OUT by WYATT,JACK",,,"SUB OUT by WYATT,JACK",2
15:50,"FOUL  by GARWOOD,MACKIE",,,,,,,"FOUL  by GARWOOD,MACKIE",2
15:50,,,,,"SUB IN by CLEMENTS,RYAN",,,"SUB IN by CLEMENTS,RYAN",2
15:50,,,,,"SUB OUT by TURNER,CHASE",,,"SUB OUT by TURNER,CHASE",2
15:46,,43 (+4),,39,"GOOD LAYUP by CLEMENTS,RYAN(in the paint)",H-SC 43-39 (+4),,"GOOD LAYUP by CLEMENTS,RYAN(in the paint)",2
--,,,,,"ASSIST  by HAVILAND,BAKER",,,"ASSIST  by HAVILAND,BAKER",2
15:38,,,,,"FOUL  by HAVILAND,BAKER",,,"FOUL  by HAVILAND,BAKER",2
15:34,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",2
--,,,,,"REBOUND DEF by QUINN,KEVIN",,,"REBOUND DEF by QUINN,KEVIN",2
15:19,,43 (+2),,41,"GOOD LAYUP by HAHN,JAKE(in the paint)",H-SC 43-41 (+2),,"GOOD LAYUP by HAHN,JAKE(in the paint)",2
15:19,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",2
15:19,,43 (+1),,42,"GOOD FT by HAHN,JAKE",H-SC 43-42 (+1),,"GOOD FT by HAHN,JAKE",2
15:02,"GOOD 3PTR by BARRY,MICHAEL",46 (+4),,42,,SEWANEE 46-42 (+4),,"GOOD 3PTR by BARRY,MICHAEL",2
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",2
14:50,,46 (+2),,44,"GOOD LAYUP by JOHNSON,CHAISE(in the paint)",H-SC 46-44 (+2),,"GOOD LAYUP by JOHNSON,CHAISE(in the paint)",2
14:34,,,,,"FOUL  by HAVILAND,BAKER",,,"FOUL  by HAVILAND,BAKER",2
14:34,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",2
14:34,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
14:34,,,,,"SUB IN by HARRIS,MILES",,,"SUB IN by HARRIS,MILES",2
14:34,,,,,"SUB IN by WYATT,JACK",,,"SUB IN by WYATT,JACK",2
14:34,,,,,"SUB IN by TURNER,CHASE",,,"SUB IN by TURNER,CHASE",2
14:34,,,,,"SUB OUT by HAHN,JAKE",,,"SUB OUT by HAHN,JAKE",2
14:34,,,,,"SUB OUT by HAVILAND,BAKER",,,"SUB OUT by HAVILAND,BAKER",2
14:34,,,,,"SUB OUT by QUINN,KEVIN",,,"SUB OUT by QUINN,KEVIN",2
14:26,"MISS JUMPER by HOLLOWAY,JACK",,,,,,,"MISS JUMPER by HOLLOWAY,JACK",2
--,,,,,"REBOUND DEF by JOHNSON,CHAISE",,,"REBOUND DEF by JOHNSON,CHAISE",2
14:12,,,,,"TURNOVER  by TURNER,CHASE",,,"TURNOVER  by TURNER,CHASE",2
13:55,"GOOD 3PTR by MCDONOUGH,SEAN",49 (+5),,44,,SEWANEE 49-44 (+5),,"GOOD 3PTR by MCDONOUGH,SEAN",2
--,"ASSIST  by HOLLOWAY,JACK",,,,,,,"ASSIST  by HOLLOWAY,JACK",2
13:36,,49 (+3),,46,"GOOD LAYUP by HARRIS,MILES(in the paint)",H-SC 49-46 (+3),,"GOOD LAYUP by HARRIS,MILES(in the paint)",2
--,,,,,"ASSIST  by JOHNSON,CHAISE",,,"ASSIST  by JOHNSON,CHAISE",2
13:24,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",2
13:24,,,,,"BLOCK  by JOHNSON,CHAISE",,,"BLOCK  by JOHNSON,CHAISE",2
--,"REBOUND OFF by BARRY,MICHAEL",,,,,,,"REBOUND OFF by BARRY,MICHAEL",2
13:17,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",51 (+5),,46,,SEWANEE 51-46 (+5),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",2
--,"ASSIST  by KNOX,JOEY",,,,,,,"ASSIST  by KNOX,JOEY",2
13:04,,,,,"MISS 3PTR by CLEMENTS,RYAN",,,"MISS 3PTR by CLEMENTS,RYAN",2
--,"REBOUND DEF by MCDONOUGH,SEAN",,,,,,,"REBOUND DEF by MCDONOUGH,SEAN",2
12:44,"MISS LAYUP by KNOX,JOEY",,,,,,,"MISS LAYUP by KNOX,JOEY",2
--,,,,,"REBOUND DEF by TURNER,CHASE",,,"REBOUND DEF by TURNER,CHASE",2
12:40,,51 (+3),,48,"GOOD LAYUP by CLEMENTS,RYAN(fastbreak)(in the paint)",H-SC 51-48 (+3),,"GOOD LAYUP by CLEMENTS,RYAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by TURNER,CHASE",,,"ASSIST  by TURNER,CHASE",2
12:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:39,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",2
12:39,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
12:39,"SUB IN by STARR,RYAN",,,,,,,"SUB IN by STARR,RYAN",2
12:39,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",2
12:39,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",2
12:39,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
12:39,,,,,"SUB IN by HAHN,JAKE",,,"SUB IN by HAHN,JAKE",2
12:39,,,,,"SUB OUT by HARRIS,MILES",,,"SUB OUT by HARRIS,MILES",2
12:32,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
12:32,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
12:26,"FOUL  by GARWOOD,MACKIE",,,,,,,"FOUL  by GARWOOD,MACKIE",2
12:26,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
12:26,"SUB OUT by GARWOOD,MACKIE",,,,,,,"SUB OUT by GARWOOD,MACKIE",2
12:24,,51 (+1),,50,"GOOD JUMPER by HAHN,JAKE(in the paint)",H-SC 51-50 (+1),,"GOOD JUMPER by HAHN,JAKE(in the paint)",2
--,,,,,"ASSIST  by CLEMENTS,RYAN",,,"ASSIST  by CLEMENTS,RYAN",2
12:03,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",53 (+3),,50,,SEWANEE 53-50 (+3),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",2
11:45,,53 (+1),,52,"GOOD LAYUP by JOHNSON,CHAISE(in the paint)",H-SC 53-52 (+1),,"GOOD LAYUP by JOHNSON,CHAISE(in the paint)",2
11:19,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,,,,,"REBOUND DEF by JOHNSON,CHAISE",,,"REBOUND DEF by JOHNSON,CHAISE",2
11:03,,,,,"TURNOVER  by HAHN,JAKE",,,"TURNOVER  by HAHN,JAKE",2
10:50,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",2
10:49,,,,,"STEAL  by HAHN,JAKE",,,"STEAL  by HAHN,JAKE",2
10:46,,,,,"MISS LAYUP by HAHN,JAKE",,,"MISS LAYUP by HAHN,JAKE",2
--,"REBOUND DEF by MCDONOUGH,SEAN",,,,,,,"REBOUND DEF by MCDONOUGH,SEAN",2
10:36,"MISS JUMPER by WARLICK,JORDAN",,,,,,,"MISS JUMPER by WARLICK,JORDAN",2
--,"REBOUND OFF by MCDONOUGH,SEAN",,,,,,,"REBOUND OFF by MCDONOUGH,SEAN",2
10:33,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
10:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:33,,,,,"SUB IN by QUINN,KEVIN",,,"SUB IN by QUINN,KEVIN",2
10:33,,,,,"SUB OUT by JOHNSON,CHAISE",,,"SUB OUT by JOHNSON,CHAISE",2
10:12,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",2
10:12,,53,,53,"GOOD FT by CLEMENTS,RYAN",H-SC 53-53 (0),,"GOOD FT by CLEMENTS,RYAN",2
10:12,,53,,54 (+1),"GOOD FT by CLEMENTS,RYAN",H-SC 53-54 (-1),,"GOOD FT by CLEMENTS,RYAN",2
10:12,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",2
10:12,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",2
10:12,,,,,"SUB IN by JOHNSON,CHAISE",,,"SUB IN by JOHNSON,CHAISE",2
10:12,,,,,"SUB OUT by TURNER,CHASE",,,"SUB OUT by TURNER,CHASE",2
09:54,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",2
--,"REBOUND OFF by STARR,RYAN",,,,,,,"REBOUND OFF by STARR,RYAN",2
09:46,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,"REBOUND DEF by JOHNSON,CHAISE",,,"REBOUND DEF by JOHNSON,CHAISE",2
09:19,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
09:19,,,,,"MISS FT by JOHNSON,CHAISE",,,"MISS FT by JOHNSON,CHAISE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:19,,53,,55 (+2),"GOOD FT by JOHNSON,CHAISE",H-SC 53-55 (-2),,"GOOD FT by JOHNSON,CHAISE",2
09:19,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",2
09:19,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
09:08,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",2
09:07,,,,,"STEAL  by HAHN,JAKE",,,"STEAL  by HAHN,JAKE",2
09:01,,,,,"MISS 3PTR by JOHNSON,CHAISE",,,"MISS 3PTR by JOHNSON,CHAISE",2
--,,,,,"REBOUND OFF by HAHN,JAKE",,,"REBOUND OFF by HAHN,JAKE",2
08:51,,,,,"TURNOVER  by HAHN,JAKE",,,"TURNOVER  by HAHN,JAKE",2
08:49,"STEAL  by BARRY,MICHAEL",,,,,,,"STEAL  by BARRY,MICHAEL",2
08:48,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",2
08:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:39,,,,,"MISS JUMPER by WYATT,JACK",,,"MISS JUMPER by WYATT,JACK",2
08:39,"BLOCK  by HOLLOWAY,JACK",,,,,,,"BLOCK  by HOLLOWAY,JACK",2
--,"REBOUND DEF by HOLLOWAY,JACK",,,,,,,"REBOUND DEF by HOLLOWAY,JACK",2
08:24,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",2
08:24,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",2
08:15,,,,,"MISS LAYUP by JOHNSON,CHAISE",,,"MISS LAYUP by JOHNSON,CHAISE",2
--,,,,,"REBOUND OFF by CLEMENTS,RYAN",,,"REBOUND OFF by CLEMENTS,RYAN",2
08:10,,53,,57 (+4),"GOOD LAYUP by CLEMENTS,RYAN(in the paint)",H-SC 53-57 (-4),,"GOOD LAYUP by CLEMENTS,RYAN(in the paint)",2
07:59,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",2
--,"REBOUND OFF by BARRY,MICHAEL",,,,,,,"REBOUND OFF by BARRY,MICHAEL",2
07:54,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",55,,57 (+2),,SEWANEE 55-57 (-2),,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",2
07:32,,55,,59 (+4),"GOOD JUMPER by QUINN,KEVIN",H-SC 55-59 (-4),,"GOOD JUMPER by QUINN,KEVIN",2
--,,,,,"ASSIST  by HAHN,JAKE",,,"ASSIST  by HAHN,JAKE",2
07:11,"GOOD LAYUP by KNOX,JOEY(in the paint)",57,,59 (+2),,SEWANEE 57-59 (-2),,"GOOD LAYUP by KNOX,JOEY(in the paint)",2
06:50,,,,,"MISS 3PTR by QUINN,KEVIN",,,"MISS 3PTR by QUINN,KEVIN",2
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",2
06:26,,,,,"FOUL  by WYATT,JACK",,,"FOUL  by WYATT,JACK",2
06:26,"SUB IN by GARWOOD,MACKIE",,,,,,,"SUB IN by GARWOOD,MACKIE",2
06:26,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
06:26,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",2
06:26,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
06:26,,,,,"SUB IN by HAVILAND,BAKER",,,"SUB IN by HAVILAND,BAKER",2
06:26,,,,,"SUB IN by TURNER,CHASE",,,"SUB IN by TURNER,CHASE",2
06:26,,,,,"SUB OUT by WYATT,JACK",,,"SUB OUT by WYATT,JACK",2
06:26,,,,,"SUB OUT by CLEMENTS,RYAN",,,"SUB OUT by CLEMENTS,RYAN",2
06:10,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",2
06:08,,,,,"STEAL  by HAHN,JAKE",,,"STEAL  by HAHN,JAKE",2
05:57,,,,,"MISS LAYUP by JOHNSON,CHAISE",,,"MISS LAYUP by JOHNSON,CHAISE",2
--,,,,,"REBOUND OFF by HAHN,JAKE",,,"REBOUND OFF by HAHN,JAKE",2
05:53,,,,,"MISS JUMPER by HAHN,JAKE",,,"MISS JUMPER by HAHN,JAKE",2
--,,,,,"REBOUND OFF by HAVILAND,BAKER",,,"REBOUND OFF by HAVILAND,BAKER",2
05:48,"FOUL  by STARR,RYAN",,,,,,,"FOUL  by STARR,RYAN",2
05:48,,,,,"MISS FT by HAVILAND,BAKER",,,"MISS FT by HAVILAND,BAKER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:48,,,,,"MISS FT by HAVILAND,BAKER",,,"MISS FT by HAVILAND,BAKER",2
--,,,,,"REBOUND OFF by TURNER,CHASE",,,"REBOUND OFF by TURNER,CHASE",2
05:48,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
05:48,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",2
05:38,,57,,62 (+5),"GOOD 3PTR by QUINN,KEVIN",H-SC 57-62 (-5),,"GOOD 3PTR by QUINN,KEVIN",2
--,,,,,"ASSIST  by JOHNSON,CHAISE",,,"ASSIST  by JOHNSON,CHAISE",2
05:04,"MISS JUMPER by KNOX,JOEY",,,,,,,"MISS JUMPER by KNOX,JOEY",2
--,,,,,"REBOUND DEF by QUINN,KEVIN",,,"REBOUND DEF by QUINN,KEVIN",2
04:36,,,,,"MISS JUMPER by JOHNSON,CHAISE",,,"MISS JUMPER by JOHNSON,CHAISE",2
--,,,,,"REBOUND OFF by HAVILAND,BAKER",,,"REBOUND OFF by HAVILAND,BAKER",2
04:33,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",2
04:33,,57,,63 (+6),"GOOD FT by HAVILAND,BAKER",H-SC 57-63 (-6),,"GOOD FT by HAVILAND,BAKER",2
04:33,,,,,"MISS FT by HAVILAND,BAKER",,,"MISS FT by HAVILAND,BAKER",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
04:33,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
04:33,"SUB IN by STARR,RYAN",,,,,,,"SUB IN by STARR,RYAN",2
04:33,"SUB OUT by GARWOOD,MACKIE",,,,,,,"SUB OUT by GARWOOD,MACKIE",2
04:33,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
04:33,,,,,"SUB IN by CLEMENTS,RYAN",,,"SUB IN by CLEMENTS,RYAN",2
04:33,,,,,"SUB OUT by JOHNSON,CHAISE",,,"SUB OUT by JOHNSON,CHAISE",2
04:20,,,,,"FOUL  by CLEMENTS,RYAN",,,"FOUL  by CLEMENTS,RYAN",2
04:20,"GOOD FT by STARR,RYAN",58,,63 (+5),,SEWANEE 58-63 (-5),,"GOOD FT by STARR,RYAN",2
04:20,"GOOD FT by STARR,RYAN",59,,63 (+4),,SEWANEE 59-63 (-4),,"GOOD FT by STARR,RYAN",2
04:20,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",2
04:20,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",2
04:20,,,,,"SUB IN by WYATT,JACK",,,"SUB IN by WYATT,JACK",2
04:20,,,,,"SUB OUT by HAVILAND,BAKER",,,"SUB OUT by HAVILAND,BAKER",2
04:02,,59,,65 (+6),"GOOD LAYUP by CLEMENTS,RYAN(in the paint)",H-SC 59-65 (-6),,"GOOD LAYUP by CLEMENTS,RYAN(in the paint)",2
03:42,"FOUL  by STARR,RYAN",,,,,,,"FOUL  by STARR,RYAN",2
03:42,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",2
03:42,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",2
03:42,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",2
03:25,,59,,67 (+8),"GOOD LAYUP by WYATT,JACK(in the paint)",H-SC 59-67 (-8),,"GOOD LAYUP by WYATT,JACK(in the paint)",2
--,,,,,"ASSIST  by TURNER,CHASE",,,"ASSIST  by TURNER,CHASE",2
03:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:10,,,,,"SUB IN by JOHNSON,CHAISE",,,"SUB IN by JOHNSON,CHAISE",2
03:10,,,,,"SUB OUT by TURNER,CHASE",,,"SUB OUT by TURNER,CHASE",2
03:03,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",2
02:43,,59,,69 (+10),"GOOD LAYUP by HAHN,JAKE(in the paint)",H-SC 59-69 (-10),,"GOOD LAYUP by HAHN,JAKE(in the paint)",2
--,,,,,"ASSIST  by QUINN,KEVIN",,,"ASSIST  by QUINN,KEVIN",2
02:23,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,,,,,"REBOUND DEF by JOHNSON,CHAISE",,,"REBOUND DEF by JOHNSON,CHAISE",2
02:19,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",2
02:19,,59,,70 (+11),"GOOD FT by JOHNSON,CHAISE",H-SC 59-70 (-11),,"GOOD FT by JOHNSON,CHAISE",2
02:19,,59,,71 (+12),"GOOD FT by JOHNSON,CHAISE",H-SC 59-71 (-12),,"GOOD FT by JOHNSON,CHAISE",2
02:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:07,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by WYATT,JACK",,,"REBOUND DEF by WYATT,JACK",2
01:39,,59,,73 (+14),"GOOD LAYUP by HAHN,JAKE(in the paint)",H-SC 59-73 (-14),,"GOOD LAYUP by HAHN,JAKE(in the paint)",2
--,,,,,"ASSIST  by CLEMENTS,RYAN",,,"ASSIST  by CLEMENTS,RYAN",2
01:28,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",2
01:28,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",2
01:12,,,,,"MISS 3PTR by JOHNSON,CHAISE",,,"MISS 3PTR by JOHNSON,CHAISE",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
01:03,"GOOD 3PTR by THOMAS,ADRIAN",62,,73 (+11),,SEWANEE 62-73 (-11),,"GOOD 3PTR by THOMAS,ADRIAN",2
--,"ASSIST  by WARLICK,JORDAN",,,,,,,"ASSIST  by WARLICK,JORDAN",2
00:52,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",2
00:52,,62,,74 (+12),"GOOD FT by HAHN,JAKE",H-SC 62-74 (-12),,"GOOD FT by HAHN,JAKE",2
00:52,,62,,75 (+13),"GOOD FT by HAHN,JAKE",H-SC 62-75 (-13),,"GOOD FT by HAHN,JAKE",2
00:52,,,,,"SUB IN by TURNER,CHASE",,,"SUB IN by TURNER,CHASE",2
00:52,,,,,"SUB IN by ATWOOD,COLE",,,"SUB IN by ATWOOD,COLE",2
00:52,,,,,"SUB OUT by JOHNSON,CHAISE",,,"SUB OUT by JOHNSON,CHAISE",2
00:52,,,,,"SUB OUT by QUINN,KEVIN",,,"SUB OUT by QUINN,KEVIN",2
00:46,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,,,,,"REBOUND DEF by HAHN,JAKE",,,"REBOUND DEF by HAHN,JAKE",2
00:14,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",2
00:14,,,,,"FOUL TECH by CLEMENTS,RYAN",,,"FOUL TECH by CLEMENTS,RYAN",2
00:14,"FOUL TECH by KNOX,JOEY",,,,,,,"FOUL TECH by KNOX,JOEY",2
00:14,,62,,76 (+14),"GOOD FT by WYATT,JACK",H-SC 62-76 (-14),,"GOOD FT by WYATT,JACK",2
00:14,,62,,77 (+15),"GOOD FT by WYATT,JACK",H-SC 62-77 (-15),,"GOOD FT by WYATT,JACK",2
00:14,"SUB IN by GARWOOD,MACKIE",,,,,,,"SUB IN by GARWOOD,MACKIE",2
