Time Remaining,UDMB2014,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:33,,,,,"MISS JUMPER by PRATER,DALLAS",,,"MISS JUMPER by PRATER,DALLAS",1
--,"REBOUND DEF by MALONE,KYM",,,,,,,"REBOUND DEF by MALONE,KYM",1
18:58,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",1
--,"REBOUND OFF by SARRAT,MICHAEL",,,,,,,"REBOUND OFF by SARRAT,MICHAEL",1
18:52,"TURNOVER  by BLACKBURN,BLAINE",,,,,,,"TURNOVER  by BLACKBURN,BLAINE",1
18:40,,0,,2 (+2),"GOOD JUMPER by GERCHOW,ALEX",MILLSAPS 0-2 (+2),,"GOOD JUMPER by GERCHOW,ALEX",1
--,,,,,"ASSIST  by PRATER,DALLAS",,,"ASSIST  by PRATER,DALLAS",1
18:24,"TURNOVER  by MALONE,KYM",,,,,,,"TURNOVER  by MALONE,KYM",1
17:59,"FOUL  by MALONE,KYM",,,,,,,"FOUL  by MALONE,KYM",1
17:59,,0,,3 (+3),"GOOD FT by PRATER,DALLAS",MILLSAPS 0-3 (+3),,"GOOD FT by PRATER,DALLAS",1
17:59,,0,,4 (+4),"GOOD FT by PRATER,DALLAS",MILLSAPS 0-4 (+4),,"GOOD FT by PRATER,DALLAS",1
17:35,"MISS 3PTR by MALONE,KYM",,,,,,,"MISS 3PTR by MALONE,KYM",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
17:23,,0,,6 (+6),"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 0-6 (+6),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
17:03,"MISS 3PTR by BLACKBURN,BLAINE",,,,,,,"MISS 3PTR by BLACKBURN,BLAINE",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
16:38,,0,,8 (+8),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 0-8 (+8),,"GOOD JUMPER by MCELVEEN,MAC",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
16:18,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
16:18,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
16:18,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",1
16:18,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",1
16:18,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
16:18,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
16:18,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",1
15:48,"GOOD JUMPER by WYATT,AARON",2,,8 (+6),,UDMB2014 2-8 (+6),,"GOOD JUMPER by WYATT,AARON",1
--,"ASSIST  by MALONE,KYM",,,,,,,"ASSIST  by MALONE,KYM",1
15:37,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",1
