Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,RUST,Game Score,Team Indicator,Play,Period
19:24,,,,,"MISS LAYUP by WAITE,LADARIUS",,,"MISS LAYUP by WAITE,LADARIUS",1
--,,,,,"REBOUND OFF by FAIRMAN,FREDRICK",,,"REBOUND OFF by FAIRMAN,FREDRICK",1
19:18,,0,,2 (+2),"GOOD LAYUP by FAIRMAN,FREDRICK(in the paint)",RUST 0-2 (-2),,"GOOD LAYUP by FAIRMAN,FREDRICK(in the paint)",1
19:05,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by LOWE,O'DARIUS",,,"REBOUND DEF by LOWE,O'DARIUS",1
18:45,,0,,5 (+5),"GOOD 3PTR by WILKINS,RYAN",RUST 0-5 (-5),,"GOOD 3PTR by WILKINS,RYAN",1
--,,,,,"ASSIST  by MCCOLLUM,RICK",,,"ASSIST  by MCCOLLUM,RICK",1
18:26,"GOOD 3PTR by ROBERTSON,MARC",3,,5 (+2),,MILLSAPS 3-5 (-2),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
18:05,,3,,8 (+5),"GOOD 3PTR by WILKINS,RYAN",RUST 3-8 (-5),,"GOOD 3PTR by WILKINS,RYAN",1
--,,,,,"ASSIST  by WAITE,LADARIUS",,,"ASSIST  by WAITE,LADARIUS",1
17:47,"GOOD 3PTR by ROBERTSON,MARC",6,,8 (+2),,MILLSAPS 6-8 (-2),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
17:34,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
17:34,,6,,9 (+3),"GOOD FT by FAIRMAN,FREDRICK",RUST 6-9 (-3),,"GOOD FT by FAIRMAN,FREDRICK",1
17:34,,6,,10 (+4),"GOOD FT by FAIRMAN,FREDRICK",RUST 6-10 (-4),,"GOOD FT by FAIRMAN,FREDRICK",1
17:34,"SUB IN by PRATER,DALLAS",,,,,,,"SUB IN by PRATER,DALLAS",1
17:34,"SUB IN by MOORE,MYLES",,,,,,,"SUB IN by MOORE,MYLES",1
17:34,"SUB IN by DETILLIEU,RYAN",,,,,,,"SUB IN by DETILLIEU,RYAN",1
17:34,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
17:34,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
17:34,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
17:14,"GOOD LAYUP by MOORE,MYLES(in the paint)",8,,10 (+2),,MILLSAPS 8-10 (-2),,"GOOD LAYUP by MOORE,MYLES(in the paint)",1
--,"ASSIST  by DETILLIEU,RYAN",,,,,,,"ASSIST  by DETILLIEU,RYAN",1
16:57,,8,,12 (+4),"GOOD JUMPER by MCCOLLUM,RICK",RUST 8-12 (-4),,"GOOD JUMPER by MCCOLLUM,RICK",1
16:40,"TURNOVER  by DETILLIEU,RYAN",,,,,,,"TURNOVER  by DETILLIEU,RYAN",1
16:35,,,,,"MISS LAYUP by WILKINS,RYAN",,,"MISS LAYUP by WILKINS,RYAN",1
--,,,,,"REBOUND OFF by LOWE,O'DARIUS",,,"REBOUND OFF by LOWE,O'DARIUS",1
16:32,,,,,"MISS LAYUP by LOWE,O'DARIUS",,,"MISS LAYUP by LOWE,O'DARIUS",1
--,,,,,"REBOUND OFF by WAITE,LADARIUS",,,"REBOUND OFF by WAITE,LADARIUS",1
16:24,,8,,15 (+7),"GOOD 3PTR by WILKINS,RYAN",RUST 8-15 (-7),,"GOOD 3PTR by WILKINS,RYAN",1
--,,,,,"ASSIST  by WAITE,LADARIUS",,,"ASSIST  by WAITE,LADARIUS",1
16:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:11,"MISS LAYUP by PRATER,DALLAS",,,,,,,"MISS LAYUP by PRATER,DALLAS",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
16:07,"TURNOVER  by GERCHOW,ALEX",,,,,,,"TURNOVER  by GERCHOW,ALEX",1
16:01,,,,,"TURNOVER  by LOWE,O'DARIUS",,,"TURNOVER  by LOWE,O'DARIUS",1
15:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:18,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:56,,,,,"TURNOVER  by WAITE,LADARIUS",,,"TURNOVER  by WAITE,LADARIUS",1
14:55,"STEAL  by MANCUSO,LOGAN",,,,,,,"STEAL  by MANCUSO,LOGAN",1
14:51,,,,,"FOUL  by WAITE,LADARIUS",,,"FOUL  by WAITE,LADARIUS",1
14:51,"GOOD FT by MOORE,MYLES",9,,15 (+6),,MILLSAPS 9-15 (-6),,"GOOD FT by MOORE,MYLES",1
14:51,"GOOD FT by MOORE,MYLES",10,,15 (+5),,MILLSAPS 10-15 (-5),,"GOOD FT by MOORE,MYLES",1
14:51,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
14:51,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
14:51,"SUB OUT by PRATER,DALLAS",,,,,,,"SUB OUT by PRATER,DALLAS",1
14:51,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
14:42,,,,,"MISS 3PTR by MCCOLLUM,RICK",,,"MISS 3PTR by MCCOLLUM,RICK",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
14:35,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
14:22,,10,,18 (+8),"GOOD 3PTR by HUDSON,DOMINIC",RUST 10-18 (-8),,"GOOD 3PTR by HUDSON,DOMINIC",1
--,,,,,"ASSIST  by MCCOLLUM,RICK",,,"ASSIST  by MCCOLLUM,RICK",1
14:03,,,,,"FOUL  by WILKINS,RYAN",,,"FOUL  by WILKINS,RYAN",1
14:01,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
13:59,,,,,"STEAL  by WAITE,LADARIUS",,,"STEAL  by WAITE,LADARIUS",1
13:40,,,,,"MISS JUMPER by FAIRMAN,FREDRICK",,,"MISS JUMPER by FAIRMAN,FREDRICK",1
--,,,,,"REBOUND OFF by STUCKEY,CURTIS",,,"REBOUND OFF by STUCKEY,CURTIS",1
13:33,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
13:32,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
13:32,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
13:32,"SUB OUT by DETILLIEU,RYAN",,,,,,,"SUB OUT by DETILLIEU,RYAN",1
13:32,"SUB OUT by MOORE,MYLES",,,,,,,"SUB OUT by MOORE,MYLES",1
13:26,,,,,"FOUL  by WORTHY,MALCOM",,,"FOUL  by WORTHY,MALCOM",1
13:26,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:26,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by BOWNES,JON",,,"REBOUND DEF by BOWNES,JON",1
13:21,,10,,21 (+11),"GOOD 3PTR by HUDSON,DOMINIC",RUST 10-21 (-11),,"GOOD 3PTR by HUDSON,DOMINIC",1
--,,,,,"ASSIST  by MCCOLLUM,RICK",,,"ASSIST  by MCCOLLUM,RICK",1
13:00,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
13:00,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
