Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
14:11,,,,,"MISS 3PTR by DAVIS,ANTHONY",,,"MISS 3PTR by DAVIS,ANTHONY",1
--,"REBOUND DEF by MOORE,MYLES",,,,,,,"REBOUND DEF by MOORE,MYLES",1
13:40,"TURNOVER  by DETILLIEU,RYAN",,,,,,,"TURNOVER  by DETILLIEU,RYAN",1
13:27,,3,,5 (+2),"GOOD 3PTR by AUGUSTINE,DYLAN",ETBU 3-5 (-2),,"GOOD 3PTR by AUGUSTINE,DYLAN",1
--,,,,,"ASSIST  by FELICIA,JUSTIN",,,"ASSIST  by FELICIA,JUSTIN",1
13:20,,,,,"SUB IN by FELICIA,JUSTIN",,,"SUB IN by FELICIA,JUSTIN",1
13:20,,,,,"SUB IN by AUGUSTINE,DYLAN",,,"SUB IN by AUGUSTINE,DYLAN",1
13:20,,,,,"SUB OUT by ATKINS,BRET",,,"SUB OUT by ATKINS,BRET",1
13:20,,,,,"SUB OUT by HORTON,ERIC",,,"SUB OUT by HORTON,ERIC",1
13:15,"TURNOVER  by DETILLIEU,RYAN",,,,,,,"TURNOVER  by DETILLIEU,RYAN",1
13:14,,,,,"STEAL  by DAVIS,ANTHONY",,,"STEAL  by DAVIS,ANTHONY",1
13:11,,3,,7 (+4),"GOOD LAYUP by DAVIS,ANTHONY(in the paint)",ETBU 3-7 (-4),,"GOOD LAYUP by DAVIS,ANTHONY(in the paint)",1
12:46,,,,,"FOUL  by DAVIS,ANTHONY",,,"FOUL  by DAVIS,ANTHONY",1
12:46,"MISS LAYUP by FREBIS,RONNIE",,,,,,,"MISS LAYUP by FREBIS,RONNIE",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
12:46,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",5,,7 (+2),,MILLSAPS 5-7 (-2),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
12:46,"SUB OUT by DETILLIEU,RYAN",,,,,,,"SUB OUT by DETILLIEU,RYAN",1
12:46,"SUB OUT by MOORE,MYLES",,,,,,,"SUB OUT by MOORE,MYLES",1
12:46,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",1
12:46,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
12:46,"SUB OUT by DOUGLASS,PARKS",,,,,,,"SUB OUT by DOUGLASS,PARKS",1
12:46,,,,,"SUB IN by SAMUEL,JAMIL",,,"SUB IN by SAMUEL,JAMIL",1
12:46,,,,,"SUB IN by MITCHELL,JUNIOR",,,"SUB IN by MITCHELL,JUNIOR",1
12:46,,,,,"SUB OUT by THOMPSON,ERBY",,,"SUB OUT by THOMPSON,ERBY",1
12:46,,,,,"SUB OUT by GRAY,AHNRE",,,"SUB OUT by GRAY,AHNRE",1
12:46,,,,,"SUB OUT by DAVIS,ANTHONY",,,"SUB OUT by DAVIS,ANTHONY",1
12:45,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
12:45,,,,,"MISS FT by SAMUEL,JAMIL",,,"MISS FT by SAMUEL,JAMIL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:45,,,,,"MISS FT by SAMUEL,JAMIL",,,"MISS FT by SAMUEL,JAMIL",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
12:45,"SUB IN by MOORE,MYLES",,,,,,,"SUB IN by MOORE,MYLES",1
12:45,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
12:45,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
12:45,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
12:45,"SUB IN by PRATER,DALLAS",,,,,,,"SUB IN by PRATER,DALLAS",1
12:45,,,,,"SUB IN by ATKINS,BRET",,,"SUB IN by ATKINS,BRET",1
11:46,"MISS JUMPER by PRATER,DALLAS",,,,,,,"MISS JUMPER by PRATER,DALLAS",1
--,"REBOUND OFF by FREBIS,RONNIE",,,,,,,"REBOUND OFF by FREBIS,RONNIE",1
11:43,"MISS JUMPER by FREBIS,RONNIE",,,,,,,"MISS JUMPER by FREBIS,RONNIE",1
--,,,,,"REBOUND DEF by FELICIA,JUSTIN",,,"REBOUND DEF by FELICIA,JUSTIN",1
11:30,,5,,10 (+5),"GOOD 3PTR by AUGUSTINE,DYLAN",ETBU 5-10 (-5),,"GOOD 3PTR by AUGUSTINE,DYLAN",1
--,,,,,"ASSIST  by FELICIA,JUSTIN",,,"ASSIST  by FELICIA,JUSTIN",1
11:18,,,,,"FOUL  by ATKINS,BRET",,,"FOUL  by ATKINS,BRET",1
11:18,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",1
11:18,"SUB OUT by PRATER,DALLAS",,,,,,,"SUB OUT by PRATER,DALLAS",1
11:03,"MISS LAYUP by AUBERT,DUSTIN",,,,,,,"MISS LAYUP by AUBERT,DUSTIN",1
--,,,,,"REBOUND DEF by MITCHELL,JUNIOR",,,"REBOUND DEF by MITCHELL,JUNIOR",1
10:56,,,,,"TURNOVER  by ATKINS,BRET",,,"TURNOVER  by ATKINS,BRET",1
10:55,"STEAL  by MOORE,MYLES",,,,,,,"STEAL  by MOORE,MYLES",1
10:46,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",7,,10 (+3),,MILLSAPS 7-10 (-3),,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",1
--,"ASSIST  by MOORE,MYLES",,,,,,,"ASSIST  by MOORE,MYLES",1
10:31,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
10:31,,7,,11 (+4),"GOOD FT by ATKINS,BRET",ETBU 7-11 (-4),,"GOOD FT by ATKINS,BRET",1
10:31,,,,,"MISS FT by ATKINS,BRET",,,"MISS FT by ATKINS,BRET",1
--,,,,,"REBOUND OFF by ATKINS,BRET",,,"REBOUND OFF by ATKINS,BRET",1
10:31,"SUB IN by MCSWAIN,JOSH",,,,,,,"SUB IN by MCSWAIN,JOSH",1
10:31,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
10:31,"SUB OUT by MOORE,MYLES",,,,,,,"SUB OUT by MOORE,MYLES",1
10:31,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
10:26,,7,,14 (+7),"GOOD 3PTR by AUGUSTINE,DYLAN",ETBU 7-14 (-7),,"GOOD 3PTR by AUGUSTINE,DYLAN",1
--,,,,,"ASSIST  by ATKINS,BRET",,,"ASSIST  by ATKINS,BRET",1
10:07,"TURNOVER  by AUBERT,DUSTIN",,,,,,,"TURNOVER  by AUBERT,DUSTIN",1
10:06,,,,,"STEAL  by SAMUEL,JAMIL",,,"STEAL  by SAMUEL,JAMIL",1
10:04,,7,,16 (+9),"GOOD DUNK by SAMUEL,JAMIL(in the paint)",ETBU 7-16 (-9),,"GOOD DUNK by SAMUEL,JAMIL(in the paint)",1
09:31,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:29,,,,,"FOUL  by SAMUEL,JAMIL",,,"FOUL  by SAMUEL,JAMIL",1
09:25,"MISS JUMPER by MCSWAIN,JOSH",,,,,,,"MISS JUMPER by MCSWAIN,JOSH",1
--,,,,,"REBOUND DEF by SAMUEL,JAMIL",,,"REBOUND DEF by SAMUEL,JAMIL",1
08:57,,,,,"MISS 3PTR by ATKINS,BRET",,,"MISS 3PTR by ATKINS,BRET",1
--,"REBOUND DEF by MCSWAIN,JOSH",,,,,,,"REBOUND DEF by MCSWAIN,JOSH",1
08:39,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",9,,16 (+7),,MILLSAPS 9-16 (-7),,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",1
08:37,"SUB IN by MELMS,MATT",,,,,,,"SUB IN by MELMS,MATT",1
08:37,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
08:30,,9,,18 (+9),"GOOD LAYUP by GRAY,AHNRE(in the paint)",ETBU 9-18 (-9),,"GOOD LAYUP by GRAY,AHNRE(in the paint)",1
--,,,,,"ASSIST  by AUGUSTINE,DYLAN",,,"ASSIST  by AUGUSTINE,DYLAN",1
08:26,,,,,"SUB IN by DAVIS,ANTHONY",,,"SUB IN by DAVIS,ANTHONY",1
08:26,,,,,"SUB IN by THOMPSON,ERBY",,,"SUB IN by THOMPSON,ERBY",1
08:26,,,,,"SUB IN by GRAY,AHNRE",,,"SUB IN by GRAY,AHNRE",1
08:26,,,,,"SUB OUT by ATKINS,BRET",,,"SUB OUT by ATKINS,BRET",1
08:26,,,,,"SUB OUT by SAMUEL,JAMIL",,,"SUB OUT by SAMUEL,JAMIL",1
08:26,,,,,"SUB OUT by MITCHELL,JUNIOR",,,"SUB OUT by MITCHELL,JUNIOR",1
08:23,"TURNOVER  by DOUGLASS,PARKS",,,,,,,"TURNOVER  by DOUGLASS,PARKS",1
08:22,,,,,"STEAL  by DAVIS,ANTHONY",,,"STEAL  by DAVIS,ANTHONY",1
08:19,,,,,"MISS LAYUP by DAVIS,ANTHONY",,,"MISS LAYUP by DAVIS,ANTHONY",1
--,"REBOUND DEF by DOUGLASS,PARKS",,,,,,,"REBOUND DEF by DOUGLASS,PARKS",1
07:50,"GOOD LAYUP by MCSWAIN,JOSH(in the paint)",11,,18 (+7),,MILLSAPS 11-18 (-7),,"GOOD LAYUP by MCSWAIN,JOSH(in the paint)",1
--,"ASSIST  by DOUGLASS,PARKS",,,,,,,"ASSIST  by DOUGLASS,PARKS",1
07:30,,,,,"MISS JUMPER by FELICIA,JUSTIN",,,"MISS JUMPER by FELICIA,JUSTIN",1
--,"REBOUND DEF by MCSWAIN,JOSH",,,,,,,"REBOUND DEF by MCSWAIN,JOSH",1
07:15,,,,,"FOUL  by FELICIA,JUSTIN",,,"FOUL  by FELICIA,JUSTIN",1
07:15,,,,,"SUB IN by LATIN,MALIK",,,"SUB IN by LATIN,MALIK",1
07:15,,,,,"SUB IN by SAMUEL,JAMIL",,,"SUB IN by SAMUEL,JAMIL",1
07:15,,,,,"SUB OUT by DAVIS,ANTHONY",,,"SUB OUT by DAVIS,ANTHONY",1
07:15,,,,,"SUB OUT by FELICIA,JUSTIN",,,"SUB OUT by FELICIA,JUSTIN",1
07:13,"TURNOVER  by MELMS,MATT",,,,,,,"TURNOVER  by MELMS,MATT",1
07:12,,,,,"STEAL  by LATIN,MALIK",,,"STEAL  by LATIN,MALIK",1
07:05,,,,,"MISS 3PTR by THOMPSON,ERBY",,,"MISS 3PTR by THOMPSON,ERBY",1
--,"REBOUND DEF by MELMS,MATT",,,,,,,"REBOUND DEF by MELMS,MATT",1
06:56,"TURNOVER  by MELMS,MATT",,,,,,,"TURNOVER  by MELMS,MATT",1
06:48,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
06:48,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
06:48,"SUB OUT by MCSWAIN,JOSH",,,,,,,"SUB OUT by MCSWAIN,JOSH",1
06:48,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",1
06:46,,,,,"MISS 3PTR by LATIN,MALIK",,,"MISS 3PTR by LATIN,MALIK",1
--,"REBOUND DEF by DOUGLASS,PARKS",,,,,,,"REBOUND DEF by DOUGLASS,PARKS",1
06:36,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",1
06:36,,,,,"BLOCK  by SAMUEL,JAMIL",,,"BLOCK  by SAMUEL,JAMIL",1
--,,,,,"REBOUND DEF by SAMUEL,JAMIL",,,"REBOUND DEF by SAMUEL,JAMIL",1
06:18,,,,,"MISS 3PTR by AUGUSTINE,DYLAN",,,"MISS 3PTR by AUGUSTINE,DYLAN",1
--,,,,,"REBOUND OFF by SAMUEL,JAMIL",,,"REBOUND OFF by SAMUEL,JAMIL",1
06:07,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
06:07,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
06:07,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
06:07,,,,,"SUB IN by ATKINS,BRET",,,"SUB IN by ATKINS,BRET",1
06:07,,,,,"SUB IN by MITCHELL,JUNIOR",,,"SUB IN by MITCHELL,JUNIOR",1
06:07,,,,,"SUB OUT by THOMPSON,ERBY",,,"SUB OUT by THOMPSON,ERBY",1
06:07,,,,,"SUB OUT by LATIN,MALIK",,,"SUB OUT by LATIN,MALIK",1
05:54,,11,,21 (+10),"GOOD 3PTR by AUGUSTINE,DYLAN",ETBU 11-21 (-10),,"GOOD 3PTR by AUGUSTINE,DYLAN",1
--,,,,,"ASSIST  by MITCHELL,JUNIOR",,,"ASSIST  by MITCHELL,JUNIOR",1
05:30,"TURNOVER  by DOUGLASS,PARKS",,,,,,,"TURNOVER  by DOUGLASS,PARKS",1
05:29,,,,,"STEAL  by GRAY,AHNRE",,,"STEAL  by GRAY,AHNRE",1
05:19,,,,,"TURNOVER  by AUGUSTINE,DYLAN",,,"TURNOVER  by AUGUSTINE,DYLAN",1
05:17,"STEAL  by MANCUSO,LOGAN",,,,,,,"STEAL  by MANCUSO,LOGAN",1
05:10,"TURNOVER  by MELMS,MATT",,,,,,,"TURNOVER  by MELMS,MATT",1
05:08,,,,,"STEAL  by SAMUEL,JAMIL",,,"STEAL  by SAMUEL,JAMIL",1
05:07,,11,,23 (+12),"GOOD DUNK by SAMUEL,JAMIL(in the paint)",ETBU 11-23 (-12),,"GOOD DUNK by SAMUEL,JAMIL(in the paint)",1
05:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:23,,,,,"FOUL  by ATKINS,BRET",,,"FOUL  by ATKINS,BRET",1
04:18,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
04:18,"GOOD FT by DOUGLASS,PARKS",12,,23 (+11),,MILLSAPS 12-23 (-11),,"GOOD FT by DOUGLASS,PARKS",1
04:18,"GOOD FT by DOUGLASS,PARKS",13,,23 (+10),,MILLSAPS 13-23 (-10),,"GOOD FT by DOUGLASS,PARKS",1
04:18,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
04:18,"SUB OUT by MELMS,MATT",,,,,,,"SUB OUT by MELMS,MATT",1
04:16,"FOUL  by FREBIS,RONNIE",,,,,,,"FOUL  by FREBIS,RONNIE",1
04:16,,13,,24 (+11),"GOOD FT by ATKINS,BRET",ETBU 13-24 (-11),,"GOOD FT by ATKINS,BRET",1
04:16,,13,,25 (+12),"GOOD FT by ATKINS,BRET",ETBU 13-25 (-12),,"GOOD FT by ATKINS,BRET",1
04:16,,,,,"SUB IN by DAY,TYLER",,,"SUB IN by DAY,TYLER",1
04:16,,,,,"SUB OUT by AUGUSTINE,DYLAN",,,"SUB OUT by AUGUSTINE,DYLAN",1
04:03,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
04:00,,13,,27 (+14),"GOOD JUMPER by SAMUEL,JAMIL",ETBU 13-27 (-14),,"GOOD JUMPER by SAMUEL,JAMIL",1
--,,,,,"ASSIST  by ATKINS,BRET",,,"ASSIST  by ATKINS,BRET",1
03:40,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",15,,27 (+12),,MILLSAPS 15-27 (-12),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
--,"ASSIST  by FREBIS,RONNIE",,,,,,,"ASSIST  by FREBIS,RONNIE",1
03:28,,,,,"MISS 3PTR by ATKINS,BRET",,,"MISS 3PTR by ATKINS,BRET",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
03:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:11,"TURNOVER  by FREBIS,RONNIE",,,,,,,"TURNOVER  by FREBIS,RONNIE",1
03:10,,,,,"STEAL  by MITCHELL,JUNIOR",,,"STEAL  by MITCHELL,JUNIOR",1
03:08,,15,,29 (+14),"GOOD LAYUP by MITCHELL,JUNIOR(in the paint)",ETBU 15-29 (-14),,"GOOD LAYUP by MITCHELL,JUNIOR(in the paint)",1
03:03,"TURNOVER  by FREBIS,RONNIE",,,,,,,"TURNOVER  by FREBIS,RONNIE",1
02:48,,,,,"MISS 3PTR by DAY,TYLER",,,"MISS 3PTR by DAY,TYLER",1
--,"REBOUND DEF by MCELVEEN,MAC",,,,,,,"REBOUND DEF by MCELVEEN,MAC",1
02:34,"GOOD 3PTR by GAGEN,BRENNAN",18,,29 (+11),,MILLSAPS 18-29 (-11),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",1
02:22,,18,,32 (+14),"GOOD 3PTR by MITCHELL,JUNIOR",ETBU 18-32 (-14),,"GOOD 3PTR by MITCHELL,JUNIOR",1
01:55,"GOOD 3PTR by MCELVEEN,MAC",21,,32 (+11),,MILLSAPS 21-32 (-11),,"GOOD 3PTR by MCELVEEN,MAC",1
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",1
01:40,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
01:40,,21,,33 (+12),"GOOD FT by GRAY,AHNRE",ETBU 21-33 (-12),,"GOOD FT by GRAY,AHNRE",1
01:40,,21,,34 (+13),"GOOD FT by GRAY,AHNRE",ETBU 21-34 (-13),,"GOOD FT by GRAY,AHNRE",1
01:40,"SUB IN by MCSWAIN,JOSH",,,,,,,"SUB IN by MCSWAIN,JOSH",1
01:40,"SUB IN by PRATER,DALLAS",,,,,,,"SUB IN by PRATER,DALLAS",1
01:40,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
01:40,"SUB IN by DETILLIEU,RYAN",,,,,,,"SUB IN by DETILLIEU,RYAN",1
01:40,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
01:40,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
01:40,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
01:40,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
01:40,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
01:40,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
01:40,,,,,"SUB IN by FELICIA,JUSTIN",,,"SUB IN by FELICIA,JUSTIN",1
01:40,,,,,"SUB IN by AUGUSTINE,DYLAN",,,"SUB IN by AUGUSTINE,DYLAN",1
01:40,,,,,"SUB IN by MCCLAHAN,KERRY",,,"SUB IN by MCCLAHAN,KERRY",1
01:40,,,,,"SUB IN by DAVIS,ANTHONY",,,"SUB IN by DAVIS,ANTHONY",1
01:40,,,,,"SUB OUT by ATKINS,BRET",,,"SUB OUT by ATKINS,BRET",1
01:40,,,,,"SUB OUT by MITCHELL,JUNIOR",,,"SUB OUT by MITCHELL,JUNIOR",1
01:40,,,,,"SUB OUT by DAY,TYLER",,,"SUB OUT by DAY,TYLER",1
01:40,,,,,"SUB OUT by SAMUEL,JAMIL",,,"SUB OUT by SAMUEL,JAMIL",1
01:32,,,,,"FOUL  by DAVIS,ANTHONY",,,"FOUL  by DAVIS,ANTHONY",1
01:30,"GOOD FT by DETILLIEU,RYAN",22,,34 (+12),,MILLSAPS 22-34 (-12),,"GOOD FT by DETILLIEU,RYAN",1
01:22,"FOUL  by MCSWAIN,JOSH",,,,,,,"FOUL  by MCSWAIN,JOSH",1
01:22,,22,,35 (+13),"GOOD FT by AUGUSTINE,DYLAN",ETBU 22-35 (-13),,"GOOD FT by AUGUSTINE,DYLAN",1
01:22,,,,,"STEAL  by AUGUSTINE,DYLAN",,,"STEAL  by AUGUSTINE,DYLAN",1
01:09,,22,,36 (+14),"GOOD FT by AUGUSTINE,DYLAN",ETBU 22-36 (-14),,"GOOD FT by AUGUSTINE,DYLAN",1
01:07,"GOOD JUMPER by GERCHOW,ALEX",24,,36 (+12),,MILLSAPS 24-36 (-12),,"GOOD JUMPER by GERCHOW,ALEX",1
00:42,"MISS JUMPER by MCSWAIN,JOSH",,,,,,,"MISS JUMPER by MCSWAIN,JOSH",1
--,,,,,"REBOUND DEF by DAVIS,ANTHONY",,,"REBOUND DEF by DAVIS,ANTHONY",1
00:38,,,,,"MISS FT by THOMPSON,ERBY",,,"MISS FT by THOMPSON,ERBY",1
