Time Remaining,TLU_MEN,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:19,,0,,2 (+2),"GOOD JUMPER by PRATER,DALLAS",MILLSAPS 0-2 (+2),,"GOOD JUMPER by PRATER,DALLAS",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
19:12,"TURNOVER  by HOLMES,STERLING",,,,,,,"TURNOVER  by HOLMES,STERLING",1
18:39,"FOUL  by HOLMES,STERLING",,,,,,,"FOUL  by HOLMES,STERLING",1
18:39,,0,,3 (+3),"GOOD FT by PRATER,DALLAS",MILLSAPS 0-3 (+3),,"GOOD FT by PRATER,DALLAS",1
18:39,,,,,"MISS FT by PRATER,DALLAS",,,"MISS FT by PRATER,DALLAS",1
--,"REBOUND DEF by MCGEE,DONTE",,,,,,,"REBOUND DEF by MCGEE,DONTE",1
18:22,"GOOD 3PTR by SANCHEZ,JOSH",3,,3,,TLU_MEN 3-3 (0),,"GOOD 3PTR by SANCHEZ,JOSH",1
--,"ASSIST  by HOLMES,STERLING",,,,,,,"ASSIST  by HOLMES,STERLING",1
18:07,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by SANCHEZ,JOSH",,,,,,,"REBOUND DEF by SANCHEZ,JOSH",1
17:51,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
17:51,"GOOD FT by HOLMES,STERLING",4 (+1),,3,,TLU_MEN 4-3 (-1),,"GOOD FT by HOLMES,STERLING",1
17:51,"GOOD FT by HOLMES,STERLING",5 (+2),,3,,TLU_MEN 5-3 (-2),,"GOOD FT by HOLMES,STERLING",1
17:41,,,,,"TURNOVER  by PRATER,DALLAS",,,"TURNOVER  by PRATER,DALLAS",1
17:38,"STEAL  by SANCHEZ,JOSH",,,,,,,"STEAL  by SANCHEZ,JOSH",1
17:36,"GOOD 3PTR by KOUREMETIS,JORDAN(fastbreak)",8 (+5),,3,,TLU_MEN 8-3 (-5),,"GOOD 3PTR by KOUREMETIS,JORDAN(fastbreak)",1
--,"ASSIST  by SANCHEZ,JOSH",,,,,,,"ASSIST  by SANCHEZ,JOSH",1
17:02,,8 (+3),,5,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 8-5 (-3),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",1
16:58,"FOUL  by KOUREMETIS,JORDAN",,,,,,,"FOUL  by KOUREMETIS,JORDAN",1
16:58,,8 (+2),,6,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 8-6 (-2),,"GOOD FT by AUBERT,DUSTIN",1
16:50,"GOOD 3PTR by KOUREMETIS,JORDAN",11 (+5),,6,,TLU_MEN 11-6 (-5),,"GOOD 3PTR by KOUREMETIS,JORDAN",1
--,"ASSIST  by SANCHEZ,JOSH",,,,,,,"ASSIST  by SANCHEZ,JOSH",1
16:34,,11 (+3),,8,"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 11-8 (-3),,"GOOD JUMPER by MCELVEEN,MAC",1
16:19,"GOOD LAYUP by HOLMES,STERLING(in the paint)",13 (+5),,8,,TLU_MEN 13-8 (-5),,"GOOD LAYUP by HOLMES,STERLING(in the paint)",1
--,"ASSIST  by KOUREMETIS,JORDAN",,,,,,,"ASSIST  by KOUREMETIS,JORDAN",1
16:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:17,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
16:17,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",1
16:17,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
16:17,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
