Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:48,"GOOD 3PTR by WAGNER,MARK",3 (+3),,0,,LCM 3-0 (-3),,"GOOD 3PTR by WAGNER,MARK",1
--,"ASSIST  by FORD,BRAXTON",,,,,,,"ASSIST  by FORD,BRAXTON",1
19:29,,,,,"TURNOVER  by FREBIS,RONNIE",,,"TURNOVER  by FREBIS,RONNIE",1
19:28,"STEAL  by WAGNER,MARK",,,,,,,"STEAL  by WAGNER,MARK",1
19:26,"GOOD JUMPER by FORD,BRAXTON",5 (+5),,0,,LCM 5-0 (-5),,"GOOD JUMPER by FORD,BRAXTON",1
--,"ASSIST  by WAGNER,MARK",,,,,,,"ASSIST  by WAGNER,MARK",1
19:13,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",1
18:54,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",1
18:41,,,,,"MISS LAYUP by FREBIS,RONNIE",,,"MISS LAYUP by FREBIS,RONNIE",1
18:41,"BLOCK  by JOHNSON,JORDAN",,,,,,,"BLOCK  by JOHNSON,JORDAN",1
--,"REBOUND DEF by FORD,BRAXTON",,,,,,,"REBOUND DEF by FORD,BRAXTON",1
18:25,"MISS 3PTR by FORD,BRAXTON",,,,,,,"MISS 3PTR by FORD,BRAXTON",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
18:11,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
17:59,,5 (+3),,2,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",MILLSAPS 5-2 (-3),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
17:49,"TURNOVER  by WAGNER,MARK",,,,,,,"TURNOVER  by WAGNER,MARK",1
17:45,,,,,"STEAL  by FREBIS,RONNIE",,,"STEAL  by FREBIS,RONNIE",1
17:41,"FOUL  by FORD,BRAXTON",,,,,,,"FOUL  by FORD,BRAXTON",1
17:22,,,,,"MISS LAYUP by AUBERT,DUSTIN",,,"MISS LAYUP by AUBERT,DUSTIN",1
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",1
17:12,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",1
16:56,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",1
16:43,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
16:43,"MISS FT by FORD,BRAXTON",,,,,,,"MISS FT by FORD,BRAXTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:43,"GOOD FT by FORD,BRAXTON",6 (+4),,2,,LCM 6-2 (-4),,"GOOD FT by FORD,BRAXTON",1
16:43,,,,,"TURNOVER  by DETILLIEU,RYAN",,,"TURNOVER  by DETILLIEU,RYAN",1
16:43,"STEAL  by WAGNER,MARK",,,,,,,"STEAL  by WAGNER,MARK",1
16:43,"GOOD LAYUP by WAGNER,MARK(fastbreak)(in the paint)",8 (+6),,2,,LCM 8-2 (-6),,"GOOD LAYUP by WAGNER,MARK(fastbreak)(in the paint)",1
16:43,"SUB IN by ENWEREAMA,TYMON",,,,,,,"SUB IN by ENWEREAMA,TYMON",1
16:43,"SUB IN by FLOYD,NAFIS",,,,,,,"SUB IN by FLOYD,NAFIS",1
16:43,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",1
16:43,"SUB OUT by FORD,BRAXTON",,,,,,,"SUB OUT by FORD,BRAXTON",1
16:43,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",1
16:43,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
16:29,,,,,"FOUL  by DETILLIEU,RYAN",,,"FOUL  by DETILLIEU,RYAN",1
16:05,"GOOD 3PTR by MITCHELL,NICK",11 (+9),,2,,LCM 11-2 (-9),,"GOOD 3PTR by MITCHELL,NICK",1
--,"ASSIST  by ENWEREAMA,TYMON",,,,,,,"ASSIST  by ENWEREAMA,TYMON",1
15:47,,,,,"MISS LAYUP by FREBIS,RONNIE",,,"MISS LAYUP by FREBIS,RONNIE",1
--,"REBOUND DEF by JOHNSON,JORDAN",,,,,,,"REBOUND DEF by JOHNSON,JORDAN",1
15:17,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
