Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:47,,0,,2 (+2),"GOOD LAYUP by PRATER,DALLAS(in the paint)",MILLSAPS 0-2 (+2),,"GOOD LAYUP by PRATER,DALLAS(in the paint)",1
19:28,"GOOD LAYUP by BOYD,CHRIS(in the paint)",2,,2,,CCM 2-2 (0),,"GOOD LAYUP by BOYD,CHRIS(in the paint)",1
--,"ASSIST  by ARIMA,Z",,,,,,,"ASSIST  by ARIMA,Z",1
19:11,,2,,4 (+2),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 2-4 (+2),,"GOOD JUMPER by MCELVEEN,MAC",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
18:58,"MISS JUMPER by MCGRIFF,COLTON",,,,,,,"MISS JUMPER by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
18:51,,,,,"MISS LAYUP by PRATER,DALLAS",,,"MISS LAYUP by PRATER,DALLAS",1
--,"REBOUND DEF by SEARS,CONNOR",,,,,,,"REBOUND DEF by SEARS,CONNOR",1
18:25,"GOOD LAYUP by ARIMA,Z(in the paint)",4,,4,,CCM 4-4 (0),,"GOOD LAYUP by ARIMA,Z(in the paint)",1
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",1
18:11,,4,,6 (+2),"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 4-6 (+2),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
17:59,"MISS 3PTR by ARIMA,Z",,,,,,,"MISS 3PTR by ARIMA,Z",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
17:46,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,"REBOUND DEF by BOYD,CHRIS",,,,,,,"REBOUND DEF by BOYD,CHRIS",1
17:25,"GOOD JUMPER by COX,TJ",6,,6,,CCM 6-6 (0),,"GOOD JUMPER by COX,TJ",1
17:07,,,,,"MISS 3PTR by PRATER,DALLAS",,,"MISS 3PTR by PRATER,DALLAS",1
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",1
16:56,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by MCGRIFF,COLTON",,,,,,,"REBOUND DEF by MCGRIFF,COLTON",1
16:42,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",8 (+2),,6,,CCM 8-6 (-2),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",1
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",1
16:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:24,,8,,8,"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 8-8 (0),,"GOOD JUMPER by MCELVEEN,MAC",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
16:12,"MISS 3PTR by MCGRIFF,COLTON",,,,,,,"MISS 3PTR by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by PRATER,DALLAS",,,"REBOUND DEF by PRATER,DALLAS",1
16:03,"FOUL  by ARIMA,Z",,,,,,,"FOUL  by ARIMA,Z",1
15:41,,8,,11 (+3),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 8-11 (+3),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
15:27,"TURNOVER  by ARIMA,Z",,,,,,,"TURNOVER  by ARIMA,Z",1
15:25,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",1
15:17,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",1
15:05,,8,,14 (+6),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 8-14 (+6),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
14:50,"GOOD JUMPER by BOYD,CHRIS",10,,14 (+4),,CCM 10-14 (+4),,"GOOD JUMPER by BOYD,CHRIS",1
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",1
14:34,,10,,17 (+7),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 10-17 (+7),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by PRATER,DALLAS",,,"ASSIST  by PRATER,DALLAS",1
14:28,"SUB IN by ENGBERS,BRYANT",,,,,,,"SUB IN by ENGBERS,BRYANT",1
14:28,"SUB IN by BURNS,RYAN",,,,,,,"SUB IN by BURNS,RYAN",1
14:28,"SUB IN by PHELPS,BEN",,,,,,,"SUB IN by PHELPS,BEN",1
14:28,"SUB IN by FRIERSON,NATE",,,,,,,"SUB IN by FRIERSON,NATE",1
14:28,"SUB OUT by SEARS,CONNOR",,,,,,,"SUB OUT by SEARS,CONNOR",1
14:28,"SUB OUT by BOYD,CHRIS",,,,,,,"SUB OUT by BOYD,CHRIS",1
14:28,"SUB OUT by COX,TJ",,,,,,,"SUB OUT by COX,TJ",1
14:28,"SUB OUT by ARIMA,Z",,,,,,,"SUB OUT by ARIMA,Z",1
14:28,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",1
14:28,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
14:28,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
14:28,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",1
14:28,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
14:28,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",1
14:28,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
14:28,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
14:10,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
