Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,MCM,Game Score,Team Indicator,Play,Period
19:46,,0,,2 (+2),"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MCM 0-2 (+2),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
19:32,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
19:15,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
18:45,"MISS 3PTR by BATES,ROMELLO",,,,,,,"MISS 3PTR by BATES,ROMELLO",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
18:13,,0,,5 (+5),"GOOD 3PTR by ROBERTSON,MARC",MCM 0-5 (+5),,"GOOD 3PTR by ROBERTSON,MARC",1
17:59,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",1
--,,,,,"REBOUND DEF by MOORE,MYLES",,,"REBOUND DEF by MOORE,MYLES",1
17:45,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
17:30,"GOOD LAYUP by DAVIS,ALEX(in the paint)",2,,5 (+3),,OUM 2-5 (+3),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",1
17:13,,,,,"MISS 3PTR by MOORE,MYLES",,,"MISS 3PTR by MOORE,MYLES",1
--,"REBOUND DEF by BATES,ROMELLO",,,,,,,"REBOUND DEF by BATES,ROMELLO",1
17:06,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",4,,5 (+1),,OUM 4-5 (+1),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
--,"ASSIST  by BATES,ROMELLO",,,,,,,"ASSIST  by BATES,ROMELLO",1
16:46,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
16:43,,4,,7 (+3),"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MCM 4-7 (+3),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
16:35,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
16:27,,,,,"TURNOVER  by MOORE,MYLES",,,"TURNOVER  by MOORE,MYLES",1
16:26,"STEAL  by BATES,ROMELLO",,,,,,,"STEAL  by BATES,ROMELLO",1
16:21,"GOOD LAYUP by PATRICK,DREW(in the paint)",6,,7 (+1),,OUM 6-7 (+1),,"GOOD LAYUP by PATRICK,DREW(in the paint)",1
--,"ASSIST  by DAVIS,ALEX",,,,,,,"ASSIST  by DAVIS,ALEX",1
16:21,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
16:21,"GOOD FT by PATRICK,DREW",7,,7,,OUM 7-7 (0),,"GOOD FT by PATRICK,DREW",1
16:21,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",1
16:21,,,,,"SUB IN by HANSTAD,RAJAN",,,"SUB IN by HANSTAD,RAJAN",1
16:21,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",1
16:21,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
16:21,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
16:21,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
16:08,,7,,9 (+2),"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",MCM 7-9 (+2),,"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",1
15:57,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by HANSTAD,RAJAN",,,"REBOUND DEF by HANSTAD,RAJAN",1
15:41,,,,,"MISS 3PTR by HANSTAD,RAJAN",,,"MISS 3PTR by HANSTAD,RAJAN",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
15:27,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
15:26,,,,,"STEAL  by DETILLIEU,RYAN",,,"STEAL  by DETILLIEU,RYAN",1
15:03,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
15:03,,,,,"MISS FT by PRATER,DALLAS",,,"MISS FT by PRATER,DALLAS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:03,,7,,10 (+3),"GOOD FT by PRATER,DALLAS",MCM 7-10 (+3),,"GOOD FT by PRATER,DALLAS",1
15:03,"SUB IN by WARDLAW,CHASE",,,,,,,"SUB IN by WARDLAW,CHASE",1
15:03,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
15:03,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
15:03,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
15:03,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
15:03,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
15:03,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
15:03,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
14:52,"GOOD LAYUP by BATES,ROMELLO(in the paint)",9,,10 (+1),,OUM 9-10 (+1),,"GOOD LAYUP by BATES,ROMELLO(in the paint)",1
14:24,,,,,"TURNOVER  by DETILLIEU,RYAN",,,"TURNOVER  by DETILLIEU,RYAN",1
14:23,"STEAL  by BATES,ROMELLO",,,,,,,"STEAL  by BATES,ROMELLO",1
14:12,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",11 (+1),,10,,OUM 11-10 (-1),,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",1
--,"ASSIST  by LAWRENCE,CHRIS",,,,,,,"ASSIST  by LAWRENCE,CHRIS",1
13:41,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by BATES,ROMELLO",,,,,,,"REBOUND DEF by BATES,ROMELLO",1
13:32,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",13 (+3),,10,,OUM 13-10 (-3),,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",1
--,"ASSIST  by WARDLAW,CHASE",,,,,,,"ASSIST  by WARDLAW,CHASE",1
13:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:23,,,,,"TURNOVER  by PRATER,DALLAS",,,"TURNOVER  by PRATER,DALLAS",1
13:14,,,,,"FOUL  by HANSTAD,RAJAN",,,"FOUL  by HANSTAD,RAJAN",1
13:14,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
13:14,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
