Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:40,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
19:39,"STEAL  by LOWE,O'DARIUS",,,,,,,"STEAL  by LOWE,O'DARIUS",1
19:23,"GOOD LAYUP by FAIRMAN,FREDRICK(in the paint)",2 (+2),,0,,RUST 2-0 (-2),,"GOOD LAYUP by FAIRMAN,FREDRICK(in the paint)",1
--,"ASSIST  by HUDSON,DOMINIC",,,,,,,"ASSIST  by HUDSON,DOMINIC",1
18:52,,2,,2,"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",MILLSAPS 2-2 (0),,"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
18:36,"GOOD 3PTR by HUDSON,DOMINIC",5 (+3),,2,,RUST 5-2 (-3),,"GOOD 3PTR by HUDSON,DOMINIC",1
--,"ASSIST  by WAITE,LADARIUS",,,,,,,"ASSIST  by WAITE,LADARIUS",1
18:06,,,,,"TURNOVER  by PRATER,DALLAS",,,"TURNOVER  by PRATER,DALLAS",1
18:03,"STEAL  by LOWE,O'DARIUS",,,,,,,"STEAL  by LOWE,O'DARIUS",1
17:57,"MISS LAYUP by WILKINS,RYAN",,,,,,,"MISS LAYUP by WILKINS,RYAN",1
17:57,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
17:47,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by HUDSON,DOMINIC",,,,,,,"REBOUND DEF by HUDSON,DOMINIC",1
17:39,"GOOD 3PTR by WILKINS,RYAN",8 (+6),,2,,RUST 8-2 (-6),,"GOOD 3PTR by WILKINS,RYAN",1
--,"ASSIST  by WAITE,LADARIUS",,,,,,,"ASSIST  by WAITE,LADARIUS",1
17:00,,,,,"MISS JUMPER by MCSWAIN,JOSH",,,"MISS JUMPER by MCSWAIN,JOSH",1
17:00,"BLOCK  by LOWE,O'DARIUS",,,,,,,"BLOCK  by LOWE,O'DARIUS",1
--,"REBOUND DEF by LOWE,O'DARIUS",,,,,,,"REBOUND DEF by LOWE,O'DARIUS",1
16:50,"TURNOVER  by FAIRMAN,FREDRICK",,,,,,,"TURNOVER  by FAIRMAN,FREDRICK",1
16:49,,,,,"STEAL  by MCSWAIN,JOSH",,,"STEAL  by MCSWAIN,JOSH",1
16:45,,,,,"MISS LAYUP by DETILLIEU,RYAN",,,"MISS LAYUP by DETILLIEU,RYAN",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
16:42,,8 (+4),,4,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 8-4 (-4),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
16:42,"FOUL  by WILKINS,RYAN",,,,,,,"FOUL  by WILKINS,RYAN",1
16:42,,8 (+3),,5,"GOOD FT by GERCHOW,ALEX",MILLSAPS 8-5 (-3),,"GOOD FT by GERCHOW,ALEX",1
16:42,"SUB IN by WILLIAMS,J",,,,,,,"SUB IN by WILLIAMS,J",1
16:42,"SUB OUT by LOWE,O'DARIUS",,,,,,,"SUB OUT by LOWE,O'DARIUS",1
16:42,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
16:42,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
16:42,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",1
16:42,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",1
16:20,"TURNOVER  by WAITE,LADARIUS",,,,,,,"TURNOVER  by WAITE,LADARIUS",1
16:18,,,,,"STEAL  by MOORE,MYLES",,,"STEAL  by MOORE,MYLES",1
16:14,,,,,"TURNOVER  by MOORE,MYLES",,,"TURNOVER  by MOORE,MYLES",1
