Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:45,,0,,2 (+2),"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
19:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
19:08,"GOOD LAYUP by BOBB,MARCUS(in the paint)",2,,2,,OZARKS 2-2 (0),,"GOOD LAYUP by BOBB,MARCUS(in the paint)",1
--,"ASSIST  by CUMMINGS,ANDREW",,,,,,,"ASSIST  by CUMMINGS,ANDREW",1
18:51,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
18:49,"STEAL  by DODD,RONNIE",,,,,,,"STEAL  by DODD,RONNIE",1
18:46,"GOOD LAYUP by DODD,RONNIE(fastbreak)(in the paint)",4 (+2),,2,,OZARKS 4-2 (-2),,"GOOD LAYUP by DODD,RONNIE(fastbreak)(in the paint)",1
18:31,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
18:29,,4,,4,"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 4-4 (0),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
18:29,"FOUL  by DODD,RONNIE",,,,,,,"FOUL  by DODD,RONNIE",1
18:26,,,,,"MISS FT by HENRY,COLIN",,,"MISS FT by HENRY,COLIN",1
--,"REBOUND DEF by DODD,RONNIE",,,,,,,"REBOUND DEF by DODD,RONNIE",1
18:10,"MISS 3PTR by BOBB,MARCUS",,,,,,,"MISS 3PTR by BOBB,MARCUS",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
18:00,,4,,6 (+2),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 4-6 (+2),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
17:55,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
17:55,,4,,7 (+3),"GOOD FT by KEGARISE,KEVIN",BSC 4-7 (+3),,"GOOD FT by KEGARISE,KEVIN",1
17:54,"MISS LAYUP by BOBB,MARCUS",,,,,,,"MISS LAYUP by BOBB,MARCUS",1
