Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:56,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by MCGRIFF,COLTON",,,,,,,"REBOUND DEF by MCGRIFF,COLTON",1
19:46,"MISS 3PTR by MCGRIFF,COLTON",,,,,,,"MISS 3PTR by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
19:21,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
19:15,,0,,2 (+2),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
18:48,"TURNOVER  by MCGRIFF,COLTON",,,,,,,"TURNOVER  by MCGRIFF,COLTON",1
18:45,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
18:26,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
18:22,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
18:15,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
18:11,"STEAL  by BOWMAN,SAM",,,,,,,"STEAL  by BOWMAN,SAM",1
18:10,"TURNOVER  by BOWMAN,SAM",,,,,,,"TURNOVER  by BOWMAN,SAM",1
18:10,,,,,"STEAL  by HENRY,COLIN",,,"STEAL  by HENRY,COLIN",1
18:09,,0,,4 (+4),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 0-4 (+4),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
17:43,"TURNOVER  by BOYD,CHRIS",,,,,,,"TURNOVER  by BOYD,CHRIS",1
17:42,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
17:37,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
17:36,"STEAL  by FRIERSON,NATE",,,,,,,"STEAL  by FRIERSON,NATE",1
17:13,"GOOD JUMPER by MUTCHERSON,ROSBIE",2,,4 (+2),,CCM 2-4 (+2),,"GOOD JUMPER by MUTCHERSON,ROSBIE",1
16:58,"FOUL  by FRIERSON,NATE",,,,,,,"FOUL  by FRIERSON,NATE",1
16:58,,2,,5 (+3),"GOOD FT by RICHARDS,ZAC",BSC 2-5 (+3),,"GOOD FT by RICHARDS,ZAC",1
16:58,,,,,"MISS FT by RICHARDS,ZAC",,,"MISS FT by RICHARDS,ZAC",1
