Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
15:44,,,,,"SUB IN by BAXTER,DUSTIN",,,"SUB IN by BAXTER,DUSTIN",1
15:44,,,,,"SUB OUT by WHITE,MIKE",,,"SUB OUT by WHITE,MIKE",1
15:09,,,,,"MISS LAYUP by VAUGHN,MARCUS",,,"MISS LAYUP by VAUGHN,MARCUS",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
14:36,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:36,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
14:36,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
14:36,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
14:36,,,,,"SUB IN by BENNETT,LINCOLN",,,"SUB IN by BENNETT,LINCOLN",1
14:36,,,,,"SUB OUT by MITCHELL,NICK",,,"SUB OUT by MITCHELL,NICK",1
14:23,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",1
14:23,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",1
14:07,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",1
13:58,,9,,17 (+8),"GOOD LAYUP by ANDERSON,KYRON(in the paint)",LC 9-17 (-8),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",1
13:58,"FOUL  by MARSCHNER,BRENDAN",,,,,,,"FOUL  by MARSCHNER,BRENDAN",1
13:58,,,,,"MISS FT by ANDERSON,KYRON",,,"MISS FT by ANDERSON,KYRON",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
13:37,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
13:35,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
13:35,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
13:13,,9,,19 (+10),"GOOD JUMPER by VAUGHN,MARCUS",LC 9-19 (-10),,"GOOD JUMPER by VAUGHN,MARCUS",1
12:56,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
12:56,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
12:56,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
12:56,,,,,"SUB IN by WAGNER,MARK",,,"SUB IN by WAGNER,MARK",1
12:56,,,,,"SUB OUT by ANDERSON,KYRON",,,"SUB OUT by ANDERSON,KYRON",1
12:43,,,,,"MISS 3PTR by BAXTER,DUSTIN",,,"MISS 3PTR by BAXTER,DUSTIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:43,,,,,"FOUL  by SMITH,IRA",,,"FOUL  by SMITH,IRA",1
12:29,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
12:20,"MISS LAYUP by MARSCHNER,BRENDAN",,,,,,,"MISS LAYUP by MARSCHNER,BRENDAN",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
12:15,"MISS 3PTR by OLAFSSON,ODDUR",,,,,,,"MISS 3PTR by OLAFSSON,ODDUR",1
--,,,,,"REBOUND DEF by BENNETT,LINCOLN",,,"REBOUND DEF by BENNETT,LINCOLN",1
12:00,,,,,"TURNOVER  by BENNETT,LINCOLN",,,"TURNOVER  by BENNETT,LINCOLN",1
12:00,,,,,"FOUL  by BENNETT,LINCOLN",,,"FOUL  by BENNETT,LINCOLN",1
12:00,,,,,"SUB IN by WHITE,MIKE",,,"SUB IN by WHITE,MIKE",1
12:00,,,,,"SUB OUT by BENNETT,LINCOLN",,,"SUB OUT by BENNETT,LINCOLN",1
11:57,"GOOD JUMPER by KEGARISE,KEVIN",11,,19 (+8),,BSC 11-19 (-8),,"GOOD JUMPER by KEGARISE,KEVIN",1
11:29,"FOUL  by MARSCHNER,BRENDAN",,,,,,,"FOUL  by MARSCHNER,BRENDAN",1
11:29,,,,,"MISS FT by BAXTER,DUSTIN",,,"MISS FT by BAXTER,DUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:29,,,,,"MISS FT by BAXTER,DUSTIN",,,"MISS FT by BAXTER,DUSTIN",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
11:29,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
11:29,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
11:29,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
11:29,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
11:29,,,,,"SUB IN by JOHNSON,JORDAN",,,"SUB IN by JOHNSON,JORDAN",1
11:29,,,,,"SUB IN by ANDERSON,KYRON",,,"SUB IN by ANDERSON,KYRON",1
11:29,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
11:29,,,,,"SUB OUT by SMITH,IRA",,,"SUB OUT by SMITH,IRA",1
11:04,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by WHITE,MIKE",,,"REBOUND DEF by WHITE,MIKE",1
10:43,,,,,"MISS LAYUP by ANDERSON,KYRON",,,"MISS LAYUP by ANDERSON,KYRON",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
10:38,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
10:35,,,,,"STEAL  by ANDERSON,KYRON",,,"STEAL  by ANDERSON,KYRON",1
10:21,,,,,"MISS 3PTR by BAXTER,DUSTIN",,,"MISS 3PTR by BAXTER,DUSTIN",1
--,,,,,"REBOUND OFF by JOHNSON,JORDAN",,,"REBOUND OFF by JOHNSON,JORDAN",1
10:15,,11,,22 (+11),"GOOD 3PTR by ANDERSON,KYRON",LC 11-22 (-11),,"GOOD 3PTR by ANDERSON,KYRON",1
--,,,,,"ASSIST  by JOHNSON,JORDAN",,,"ASSIST  by JOHNSON,JORDAN",1
10:00,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",13,,22 (+9),,BSC 13-22 (-9),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
09:38,,,,,"MISS 3PTR by WAGNER,MARK",,,"MISS 3PTR by WAGNER,MARK",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
09:29,"TURNOVER  by GALFSKY,ANDER",,,,,,,"TURNOVER  by GALFSKY,ANDER",1
09:29,,,,,"SUB IN by MITCHELL,NICK",,,"SUB IN by MITCHELL,NICK",1
09:29,,,,,"SUB IN by BENNETT,LINCOLN",,,"SUB IN by BENNETT,LINCOLN",1
09:29,,,,,"SUB OUT by WHITE,MIKE",,,"SUB OUT by WHITE,MIKE",1
09:29,,,,,"SUB OUT by BAXTER,DUSTIN",,,"SUB OUT by BAXTER,DUSTIN",1
09:20,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
09:20,,,,,"MISS FT by JOHNSON,JORDAN",,,"MISS FT by JOHNSON,JORDAN",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
08:59,,,,,"MISS FT by MITCHELL,NICK",,,"MISS FT by MITCHELL,NICK",1
08:59,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
08:59,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
