Time Remaining,JCU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:24,"MISS LAYUP by HUBBARD,KYLE",,,,,,,"MISS LAYUP by HUBBARD,KYLE",1
--,"REBOUND OFF by HUBBARD,KYLE",,,,,,,"REBOUND OFF by HUBBARD,KYLE",1
19:19,"MISS LAYUP by HUBBARD,KYLE",,,,,,,"MISS LAYUP by HUBBARD,KYLE",1
--,"REBOUND OFF by HUBBARD,KYLE",,,,,,,"REBOUND OFF by HUBBARD,KYLE",1
19:13,"GOOD LAYUP by HUBBARD,KYLE(in the paint)",2 (+2),,0,,JCU 2-0 (-2),,"GOOD LAYUP by HUBBARD,KYLE(in the paint)",1
18:51,,2,,3 (+1),"GOOD 3PTR by THOMAS,LARRY",BSC 2-3 (+1),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
18:29,"MISS 3PTR by HENDRICKSON,DAVID",,,,,,,"MISS 3PTR by HENDRICKSON,DAVID",1
--,"REBOUND OFF by ANGERS,RYAN",,,,,,,"REBOUND OFF by ANGERS,RYAN",1
18:18,,,,,"FOUL  by KEGARISE,KEVIN",,,"FOUL  by KEGARISE,KEVIN",1
18:12,"MISS 3PTR by ANGERS,RYAN",,,,,,,"MISS 3PTR by ANGERS,RYAN",1
--,"REBOUND OFF by JANZ,KENNY",,,,,,,"REBOUND OFF by JANZ,KENNY",1
18:12,"MISS 3PTR by WHALEN,MICHAEL",,,,,,,"MISS 3PTR by WHALEN,MICHAEL",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
18:12,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
18:09,"FOUL  by HUBBARD,KYLE",,,,,,,"FOUL  by HUBBARD,KYLE",1
18:09,,2,,4 (+2),"GOOD FT by HENRY,COLIN",BSC 2-4 (+2),,"GOOD FT by HENRY,COLIN",1
18:09,,2,,5 (+3),"GOOD FT by HENRY,COLIN",BSC 2-5 (+3),,"GOOD FT by HENRY,COLIN",1
17:32,,2,,8 (+6),"GOOD 3PTR by THOMAS,LARRY(fastbreak)",BSC 2-8 (+6),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
17:22,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
17:22,"GOOD FT by JANZ,KENNY",3,,8 (+5),,JCU 3-8 (+5),,"GOOD FT by JANZ,KENNY",1
17:22,"GOOD FT by JANZ,KENNY",4,,8 (+4),,JCU 4-8 (+4),,"GOOD FT by JANZ,KENNY",1
17:21,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
17:18,"STEAL  by HENDRICKSON,DAVID",,,,,,,"STEAL  by HENDRICKSON,DAVID",1
17:16,"GOOD LAYUP by ANGERS,RYAN(in the paint)",6,,8 (+2),,JCU 6-8 (+2),,"GOOD LAYUP by ANGERS,RYAN(in the paint)",1
17:16,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
17:16,"GOOD FT by ANGERS,RYAN",7,,8 (+1),,JCU 7-8 (+1),,"GOOD FT by ANGERS,RYAN",1
17:15,"MISS 3PTR by HENDRICKSON,DAVID",,,,,,,"MISS 3PTR by HENDRICKSON,DAVID",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
17:11,"FOUL  by HENDRICKSON,DAVID",,,,,,,"FOUL  by HENDRICKSON,DAVID",1
17:06,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by JANZ,KENNY",,,,,,,"REBOUND DEF by JANZ,KENNY",1
16:52,"MISS LAYUP by HUBBARD,KYLE",,,,,,,"MISS LAYUP by HUBBARD,KYLE",1
16:52,,,,,"BLOCK  by RICHARDS,ZAC",,,"BLOCK  by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
