Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
03:55,,,,,"FOUL  by WILSON,KEVIN",,,"FOUL  by WILSON,KEVIN",1
03:55,"GOOD FT by WHITE,BLAISE",20 (+1),,19,,BSC 20-19 (+1),,"GOOD FT by WHITE,BLAISE",1
03:55,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
03:55,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
03:55,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
03:55,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
03:55,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
03:55,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
03:55,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
03:31,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
03:23,,,,,"MISS JUMPER by THOMAS,STERLING",,,"MISS JUMPER by THOMAS,STERLING",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:12,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
03:12,"GOOD FT by RICHARDS,ZAC",21 (+2),,19,,BSC 21-19 (+2),,"GOOD FT by RICHARDS,ZAC",1
03:12,"GOOD FT by RICHARDS,ZAC",22 (+3),,19,,BSC 22-19 (+3),,"GOOD FT by RICHARDS,ZAC",1
02:41,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
02:33,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
02:32,,,,,"STEAL  by THOMAS,STERLING",,,"STEAL  by THOMAS,STERLING",1
02:16,,,,,"MISS LAYUP by THOMAS,STERLING",,,"MISS LAYUP by THOMAS,STERLING",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
02:12,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
02:12,,22 (+2),,20,"GOOD FT by THOMAS,STERLING",MILLSAPS 22-20 (+2),,"GOOD FT by THOMAS,STERLING",1
02:12,,22 (+1),,21,"GOOD FT by THOMAS,STERLING",MILLSAPS 22-21 (+1),,"GOOD FT by THOMAS,STERLING",1
02:12,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
02:12,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
02:00,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
02:00,"MISS FT by FREEMAN,SCHYLAR",,,,,,,"MISS FT by FREEMAN,SCHYLAR",1
