Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,MVILLE,Game Score,Team Indicator,Play,Period
19:43,,,,,"MISS JUMPER by BODEWIG,JOEY",,,"MISS JUMPER by BODEWIG,JOEY",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
19:23,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
19:17,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
19:14,,,,,"STEAL  by FORD,CHRISTIAN",,,"STEAL  by FORD,CHRISTIAN",1
19:14,,,,,"TURNOVER  by FORD,CHRISTIAN",,,"TURNOVER  by FORD,CHRISTIAN",1
19:09,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by RAYE,CRAIG",,,"REBOUND DEF by RAYE,CRAIG",1
19:03,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
18:56,,,,,"TURNOVER  by BUTLER,OSCAR",,,"TURNOVER  by BUTLER,OSCAR",1
18:55,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
18:49,"MISS 3PTR by HENRY,COLIN",,,,,,,"MISS 3PTR by HENRY,COLIN",1
--,,,,,"REBOUND DEF by BODEWIG,JOEY",,,"REBOUND DEF by BODEWIG,JOEY",1
18:14,,,,,"TURNOVER  by LAMBERT,WES",,,"TURNOVER  by LAMBERT,WES",1
18:01,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
18:00,,,,,"STEAL  by RAYE,CRAIG",,,"STEAL  by RAYE,CRAIG",1
17:54,,0,,3 (+3),"GOOD 3PTR by BUTLER,OSCAR",MVILLE 0-3 (-3),,"GOOD 3PTR by BUTLER,OSCAR",1
--,,,,,"ASSIST  by FORD,CHRISTIAN",,,"ASSIST  by FORD,CHRISTIAN",1
17:46,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",2,,3 (+1),,BSC 2-3 (-1),,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
17:26,,2,,6 (+4),"GOOD 3PTR by LAMBERT,WES",MVILLE 2-6 (-4),,"GOOD 3PTR by LAMBERT,WES",1
--,,,,,"ASSIST  by FORD,CHRISTIAN",,,"ASSIST  by FORD,CHRISTIAN",1
17:01,"GOOD JUMPER by THOMAS,LARRY(in the paint)",4,,6 (+2),,BSC 4-6 (-2),,"GOOD JUMPER by THOMAS,LARRY(in the paint)",1
16:54,,4,,8 (+4),"GOOD JUMPER by RAYE,CRAIG(fastbreak)",MVILLE 4-8 (-4),,"GOOD JUMPER by RAYE,CRAIG(fastbreak)",1
16:32,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by LAMBERT,WES",,,"REBOUND DEF by LAMBERT,WES",1
16:12,,,,,"MISS LAYUP by BODEWIG,JOEY",,,"MISS LAYUP by BODEWIG,JOEY",1
--,,,,,"REBOUND OFF by BODEWIG,JOEY",,,"REBOUND OFF by BODEWIG,JOEY",1
16:09,,,,,"TURNOVER  by BODEWIG,JOEY",,,"TURNOVER  by BODEWIG,JOEY",1
16:08,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
16:06,,,,,"FOUL  by LAMBERT,WES",,,"FOUL  by LAMBERT,WES",1
16:06,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
16:06,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
16:06,,,,,"SUB IN by GRIFFIN,JETHRO",,,"SUB IN by GRIFFIN,JETHRO",1
16:06,,,,,"SUB OUT by LAMBERT,WES",,,"SUB OUT by LAMBERT,WES",1
16:01,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
15:59,,,,,"STEAL  by GRIFFIN,JETHRO",,,"STEAL  by GRIFFIN,JETHRO",1
15:57,,4,,10 (+6),"GOOD LAYUP by GRIFFIN,JETHRO(fastbreak)(in the paint)",MVILLE 4-10 (-6),,"GOOD LAYUP by GRIFFIN,JETHRO(fastbreak)(in the paint)",1
15:51,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by BODEWIG,JOEY",,,"REBOUND DEF by BODEWIG,JOEY",1
15:39,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
15:39,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
15:39,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
15:37,,,,,"MISS JUMPER by GRIFFIN,JETHRO",,,"MISS JUMPER by GRIFFIN,JETHRO",1
--,,,,,"REBOUND OFF by RAYE,CRAIG",,,"REBOUND OFF by RAYE,CRAIG",1
15:35,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
15:35,,4,,11 (+7),"GOOD FT by RAYE,CRAIG",MVILLE 4-11 (-7),,"GOOD FT by RAYE,CRAIG",1
15:35,,4,,12 (+8),"GOOD FT by RAYE,CRAIG",MVILLE 4-12 (-8),,"GOOD FT by RAYE,CRAIG",1
15:35,,,,,"SUB IN by BYRD,JAUMONEE",,,"SUB IN by BYRD,JAUMONEE",1
15:35,,,,,"SUB OUT by BODEWIG,JOEY",,,"SUB OUT by BODEWIG,JOEY",1
15:24,,,,,"FOUL  by BYRD,JAUMONEE",,,"FOUL  by BYRD,JAUMONEE",1
15:24,"GOOD FT by RICHARDS,ZAC",5,,12 (+7),,BSC 5-12 (-7),,"GOOD FT by RICHARDS,ZAC",1
15:24,"GOOD FT by RICHARDS,ZAC",6,,12 (+6),,BSC 6-12 (-6),,"GOOD FT by RICHARDS,ZAC",1
15:24,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
15:24,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
15:14,,,,,"TURNOVER  by RAYE,CRAIG",,,"TURNOVER  by RAYE,CRAIG",1
15:13,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
15:11,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",1
--,,,,,"REBOUND DEF by RAYE,CRAIG",,,"REBOUND DEF by RAYE,CRAIG",1
15:01,,,,,"MISS JUMPER by RAYE,CRAIG",,,"MISS JUMPER by RAYE,CRAIG",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
14:47,"GOOD 3PTR by THOMAS,LARRY",9,,12 (+3),,BSC 9-12 (-3),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
14:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:43,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
14:43,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
14:43,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
14:43,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
14:43,,,,,"SUB IN by PEAKE,SPENCER",,,"SUB IN by PEAKE,SPENCER",1
14:43,,,,,"SUB OUT by RAYE,CRAIG",,,"SUB OUT by RAYE,CRAIG",1
14:28,,9,,14 (+5),"GOOD JUMPER by PEAKE,SPENCER",MVILLE 9-14 (-5),,"GOOD JUMPER by PEAKE,SPENCER",1
14:00,"TURNOVER  by MARSCHNER,BRENDAN",,,,,,,"TURNOVER  by MARSCHNER,BRENDAN",1
13:58,,,,,"STEAL  by BYRD,JAUMONEE",,,"STEAL  by BYRD,JAUMONEE",1
13:53,,,,,"TURNOVER  by BUTLER,OSCAR",,,"TURNOVER  by BUTLER,OSCAR",1
13:53,,,,,"SUB IN by KELLY,RICHARD",,,"SUB IN by KELLY,RICHARD",1
13:53,,,,,"SUB IN by BURRIS,JP",,,"SUB IN by BURRIS,JP",1
13:53,,,,,"SUB IN by LAMBERT,WES",,,"SUB IN by LAMBERT,WES",1
13:53,,,,,"SUB OUT by BUTLER,OSCAR",,,"SUB OUT by BUTLER,OSCAR",1
13:53,,,,,"SUB OUT by GRIFFIN,JETHRO",,,"SUB OUT by GRIFFIN,JETHRO",1
13:53,,,,,"SUB OUT by FORD,CHRISTIAN",,,"SUB OUT by FORD,CHRISTIAN",1
13:39,"GOOD JUMPER by HOLLAND,JASON(in the paint)",11,,14 (+3),,BSC 11-14 (-3),,"GOOD JUMPER by HOLLAND,JASON(in the paint)",1
13:13,,,,,"MISS JUMPER by BYRD,JAUMONEE",,,"MISS JUMPER by BYRD,JAUMONEE",1
--,,,,,"REBOUND OFF by BYRD,JAUMONEE",,,"REBOUND OFF by BYRD,JAUMONEE",1
