Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
13:41,,,,,"SUB IN by TEEMS,JORDAN",,,"SUB IN by TEEMS,JORDAN",1
13:41,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",1
13:31,,5,,16 (+11),"GOOD LAYUP by TEEMS,JORDAN(in the paint)",BCM 5-16 (-11),,"GOOD LAYUP by TEEMS,JORDAN(in the paint)",1
13:28,,,,,"FOUL  by ABRAMS,JONATHAN",,,"FOUL  by ABRAMS,JONATHAN",1
13:13,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
13:13,,,,,"SUB OUT by ABRAMS,JONATHAN",,,"SUB OUT by ABRAMS,JONATHAN",1
12:59,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",1
12:59,,,,,"BLOCK  by BRUCE,DEVAN",,,"BLOCK  by BRUCE,DEVAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:45,,,,,"MISS LAYUP by SMOAK,HUNTER",,,"MISS LAYUP by SMOAK,HUNTER",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
12:39,"MISS 3PTR by ASSANESI,KELLY",,,,,,,"MISS 3PTR by ASSANESI,KELLY",1
--,,,,,"REBOUND DEF by HOWARD,MAC",,,"REBOUND DEF by HOWARD,MAC",1
12:28,,,,,"MISS 3PTR by BRUCE,DEVAN",,,"MISS 3PTR by BRUCE,DEVAN",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
12:13,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,,,,,"REBOUND DEF by HOWARD,MAC",,,"REBOUND DEF by HOWARD,MAC",1
11:54,,,,,"TURNOVER  by TEEMS,JORDAN",,,"TURNOVER  by TEEMS,JORDAN",1
11:51,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
11:51,"TURNOVER  by ASSANESI,KELLY",,,,,,,"TURNOVER  by ASSANESI,KELLY",1
11:41,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
11:41,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
11:41,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
11:41,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
11:41,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
11:41,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
11:41,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
11:41,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
11:41,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
11:41,"SUB OUT by ASSANESI,KELLY",,,,,,,"SUB OUT by ASSANESI,KELLY",1
11:41,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",1
11:41,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
11:40,,,,,"TURNOVER  by TEEMS,JORDAN",,,"TURNOVER  by TEEMS,JORDAN",1
11:38,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
11:36,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",7,,16 (+9),,BSCM 7-16 (-9),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
11:36,,,,,"FOUL  by HOWARD,MAC",,,"FOUL  by HOWARD,MAC",1
11:36,"GOOD FT by RICHARDS,ZAC",8,,16 (+8),,BSCM 8-16 (-8),,"GOOD FT by RICHARDS,ZAC",1
11:27,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",1
11:19,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
11:17,,,,,"STEAL  by TEEMS,JORDAN",,,"STEAL  by TEEMS,JORDAN",1
10:50,,8,,18 (+10),"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 8-18 (-10),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
10:21,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by BRUCE,DEVAN",,,"REBOUND DEF by BRUCE,DEVAN",1
10:15,,8,,20 (+12),"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",BCM 8-20 (-12),,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",1
09:54,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by TEEMS,JORDAN",,,"REBOUND DEF by TEEMS,JORDAN",1
09:49,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
09:49,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
09:49,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
09:49,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
09:49,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
09:49,,,,,"SUB IN by WRIGHT,JAKE",,,"SUB IN by WRIGHT,JAKE",1
09:49,,,,,"SUB OUT by HOWARD,MAC",,,"SUB OUT by HOWARD,MAC",1
09:46,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
09:33,,8,,22 (+14),"GOOD JUMPER by WHALEN,MAC",BCM 8-22 (-14),,"GOOD JUMPER by WHALEN,MAC",1
--,,,,,"ASSIST  by WRIGHT,JAKE",,,"ASSIST  by WRIGHT,JAKE",1
09:33,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
09:33,,,,,"STEAL  by BRUCE,DEVAN",,,"STEAL  by BRUCE,DEVAN",1
09:33,,,,,"MISS 3PTR by TEEMS,JORDAN",,,"MISS 3PTR by TEEMS,JORDAN",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
08:09,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by WRIGHT,JAKE",,,"REBOUND DEF by WRIGHT,JAKE",1
08:01,,,,,"TURNOVER  by BRUCE,DEVAN",,,"TURNOVER  by BRUCE,DEVAN",1
07:58,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
07:56,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by BRUCE,DEVAN",,,"REBOUND DEF by BRUCE,DEVAN",1
07:46,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
07:42,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
07:42,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
07:42,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
07:42,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",1
07:42,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",1
07:42,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
07:42,,,,,"SUB OUT by BRUCE,DEVAN",,,"SUB OUT by BRUCE,DEVAN",1
07:33,,,,,"TURNOVER  by WRIGHT,JAKE",,,"TURNOVER  by WRIGHT,JAKE",1
07:32,"STEAL  by WELCH,ROSS",,,,,,,"STEAL  by WELCH,ROSS",1
07:27,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by TEEMS,JORDAN",,,"REBOUND DEF by TEEMS,JORDAN",1
07:09,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
06:59,"MISS 3PTR by AVERY,ALEX",,,,,,,"MISS 3PTR by AVERY,ALEX",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
06:50,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
