Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
13:09,,,,,"SUB OUT by PITTMAN, JOSH",,,"SUB OUT by PITTMAN, JOSH",1
12:41,"GOOD 3PTR by THOMAS,LARRY",15,,15,,BSC 15-15 (0),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
12:28,,,,,"MISS 3PTR by STEVENSON, BEN",,,"MISS 3PTR by STEVENSON, BEN",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
12:26,,,,,"FOUL  by HINTON, JARRED",,,"FOUL  by HINTON, JARRED",1
12:11,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by FREEMAN, WILL",,,"REBOUND DEF by FREEMAN, WILL",1
11:58,,15,,17 (+2),"GOOD JUMPER by TRACY, TRAVIS",GC 15-17 (-2),,"GOOD JUMPER by TRACY, TRAVIS",1
--,,,,,"ASSIST  by HINTON, JARRED",,,"ASSIST  by HINTON, JARRED",1
11:37,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
11:33,"MISS JUMPER by HENRY,COLIN",,,,,,,"MISS JUMPER by HENRY,COLIN",1
11:33,,,,,"BLOCK  by FREEMAN, WILL",,,"BLOCK  by FREEMAN, WILL",1
--,,,,,"REBOUND DEF by HINTON, JARRED",,,"REBOUND DEF by HINTON, JARRED",1
11:26,,15,,19 (+4),"GOOD LAYUP by HINTON, JARRED(fastbreak)(in the paint)",GC 15-19 (-4),,"GOOD LAYUP by HINTON, JARRED(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MCCARTHY, MATT",,,"ASSIST  by MCCARTHY, MATT",1
11:15,,,,,"FOUL  by MCCARTHY, MATT",,,"FOUL  by MCCARTHY, MATT",1
11:15,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
11:15,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
11:15,,,,,"SUB IN by RICHARDSON, ZEB",,,"SUB IN by RICHARDSON, ZEB",1
11:15,,,,,"SUB IN by HOPKINS, JAKE",,,"SUB IN by HOPKINS, JAKE",1
11:15,,,,,"SUB IN by PITTMAN, JOSH",,,"SUB IN by PITTMAN, JOSH",1
11:15,,,,,"SUB OUT by FREEMAN, WILL",,,"SUB OUT by FREEMAN, WILL",1
11:15,,,,,"SUB OUT by STEVENSON, BEN",,,"SUB OUT by STEVENSON, BEN",1
11:15,,,,,"SUB OUT by HINTON, JARRED",,,"SUB OUT by HINTON, JARRED",1
11:09,"GOOD 3PTR by KEGARISE,KEVIN",18,,19 (+1),,BSC 18-19 (-1),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
11:04,,,,,"TURNOVER  by HOPKINS, JAKE",,,"TURNOVER  by HOPKINS, JAKE",1
11:03,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
11:00,"MISS 3PTR by RICHARDS,ZAC",,,,,,,"MISS 3PTR by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by RICHARDSON, ZEB",,,"REBOUND DEF by RICHARDSON, ZEB",1
10:42,,18,,21 (+3),"GOOD JUMPER by RICHARDSON, ZEB",GC 18-21 (-3),,"GOOD JUMPER by RICHARDSON, ZEB",1
--,,,,,"ASSIST  by MCCARTHY, MATT",,,"ASSIST  by MCCARTHY, MATT",1
10:42,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
10:42,,18,,22 (+4),"GOOD FT by RICHARDSON, ZEB",GC 18-22 (-4),,"GOOD FT by RICHARDSON, ZEB",1
10:42,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
10:42,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
10:19,,,,,"FOUL  by PITTMAN, JOSH",,,"FOUL  by PITTMAN, JOSH",1
10:19,"GOOD FT by RICHARDS,ZAC",19,,22 (+3),,BSC 19-22 (-3),,"GOOD FT by RICHARDS,ZAC",1
10:19,"GOOD FT by RICHARDS,ZAC",20,,22 (+2),,BSC 20-22 (-2),,"GOOD FT by RICHARDS,ZAC",1
09:56,,20,,24 (+4),"GOOD JUMPER by RICHARDSON, ZEB",GC 20-24 (-4),,"GOOD JUMPER by RICHARDSON, ZEB",1
--,,,,,"ASSIST  by PITTMAN, JOSH",,,"ASSIST  by PITTMAN, JOSH",1
09:41,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:31,"FOUL  by MARSCHNER,BRENDAN",,,,,,,"FOUL  by MARSCHNER,BRENDAN",1
09:16,,,,,"TURNOVER  by TRACY, TRAVIS",,,"TURNOVER  by TRACY, TRAVIS",1
09:14,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
09:13,,,,,"FOUL  by RICHARDSON, ZEB",,,"FOUL  by RICHARDSON, ZEB",1
09:13,"GOOD FT by WHITE,BLAISE",21,,24 (+3),,BSC 21-24 (-3),,"GOOD FT by WHITE,BLAISE",1
09:13,"GOOD FT by WHITE,BLAISE",22,,24 (+2),,BSC 22-24 (-2),,"GOOD FT by WHITE,BLAISE",1
08:59,,,,,"MISS 3PTR by PITTMAN, JOSH",,,"MISS 3PTR by PITTMAN, JOSH",1
--,,,,,"REBOUND OFF by HOPKINS, JAKE",,,"REBOUND OFF by HOPKINS, JAKE",1
08:49,,22,,26 (+4),"GOOD JUMPER by RICHARDSON, ZEB",GC 22-26 (-4),,"GOOD JUMPER by RICHARDSON, ZEB",1
--,,,,,"ASSIST  by PITTMAN, JOSH",,,"ASSIST  by PITTMAN, JOSH",1
08:32,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",1
--,,,,,"REBOUND DEF by HOPKINS, JAKE",,,"REBOUND DEF by HOPKINS, JAKE",1
08:20,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
08:20,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
08:20,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
08:20,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
08:20,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
08:20,,,,,"SUB IN by FREEMAN, WILL",,,"SUB IN by FREEMAN, WILL",1
08:20,,,,,"SUB IN by HINTON, JARRED",,,"SUB IN by HINTON, JARRED",1
08:20,,,,,"SUB OUT by RICHARDSON, ZEB",,,"SUB OUT by RICHARDSON, ZEB",1
08:20,,,,,"SUB OUT by MCCARTHY, MATT",,,"SUB OUT by MCCARTHY, MATT",1
08:18,,,,,"TURNOVER  by FREEMAN, WILL",,,"TURNOVER  by FREEMAN, WILL",1
08:17,"STEAL  by RICHARDS,ZAC",,,,,,,"STEAL  by RICHARDS,ZAC",1
08:14,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",25,,26 (+1),,BSC 25-26 (-1),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
08:02,,,,,"MISS LAYUP by PITTMAN, JOSH",,,"MISS LAYUP by PITTMAN, JOSH",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
07:48,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",27 (+1),,26,,BSC 27-26 (+1),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
07:39,,,,,"MISS 3PTR by TRACY, TRAVIS",,,"MISS 3PTR by TRACY, TRAVIS",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
07:34,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
07:34,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
07:34,,,,,"STEAL  by TRACY, TRAVIS",,,"STEAL  by TRACY, TRAVIS",1
07:34,,,,,"SUB IN by MCCARTHY, MATT",,,"SUB IN by MCCARTHY, MATT",1
07:34,,,,,"SUB OUT by PITTMAN, JOSH",,,"SUB OUT by PITTMAN, JOSH",1
07:23,,27,,28 (+1),"GOOD LAYUP by HOPKINS, JAKE(in the paint)",GC 27-28 (-1),,"GOOD LAYUP by HOPKINS, JAKE(in the paint)",1
07:23,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
07:23,,27,,29 (+2),"GOOD FT by HOPKINS, JAKE",GC 27-29 (-2),,"GOOD FT by HOPKINS, JAKE",1
07:23,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
07:23,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
07:16,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
07:16,,,,,"SUB IN by STEVENSON, BEN",,,"SUB IN by STEVENSON, BEN",1
07:16,,,,,"SUB OUT by TRACY, TRAVIS",,,"SUB OUT by TRACY, TRAVIS",1
06:57,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
06:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
06:51,,27,,30 (+3),"GOOD FT by FREEMAN, WILL",GC 27-30 (-3),,"GOOD FT by FREEMAN, WILL",1
06:51,,27,,31 (+4),"GOOD FT by FREEMAN, WILL",GC 27-31 (-4),,"GOOD FT by FREEMAN, WILL",1
06:51,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
06:51,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
06:41,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
06:35,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
06:33,,,,,"STEAL  by STEVENSON, BEN",,,"STEAL  by STEVENSON, BEN",1
06:22,,,,,"MISS LAYUP by FREEMAN, WILL",,,"MISS LAYUP by FREEMAN, WILL",1
06:22,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
06:16,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",30,,31 (+1),,BSC 30-31 (-1),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
05:52,,,,,"MISS JUMPER by HOPKINS, JAKE",,,"MISS JUMPER by HOPKINS, JAKE",1
--,,,,,"REBOUND OFF by STEVENSON, BEN",,,"REBOUND OFF by STEVENSON, BEN",1
05:49,,,,,"MISS JUMPER by STEVENSON, BEN",,,"MISS JUMPER by STEVENSON, BEN",1
--,,,,,"REBOUND OFF by STEVENSON, BEN",,,"REBOUND OFF by STEVENSON, BEN",1
05:34,,,,,"MISS LAYUP by HINTON, JARRED",,,"MISS LAYUP by HINTON, JARRED",1
--,,,,,"REBOUND OFF by FREEMAN, WILL",,,"REBOUND OFF by FREEMAN, WILL",1
05:31,,30,,33 (+3),"GOOD LAYUP by FREEMAN, WILL(in the paint)",GC 30-33 (-3),,"GOOD LAYUP by FREEMAN, WILL(in the paint)",1
05:13,"GOOD 3PTR by THOMAS,LARRY",33,,33,,BSC 33-33 (0),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
05:00,,33,,35 (+2),"GOOD LAYUP by FREEMAN, WILL(fastbreak)(in the paint)",GC 33-35 (-2),,"GOOD LAYUP by FREEMAN, WILL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STEVENSON, BEN",,,"ASSIST  by STEVENSON, BEN",1
04:41,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by FREEMAN, WILL",,,"REBOUND DEF by FREEMAN, WILL",1
04:31,,33,,38 (+5),"GOOD 3PTR by MCCARTHY, MATT",GC 33-38 (-5),,"GOOD 3PTR by MCCARTHY, MATT",1
--,,,,,"ASSIST  by HINTON, JARRED",,,"ASSIST  by HINTON, JARRED",1
04:08,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by HINTON, JARRED",,,"REBOUND DEF by HINTON, JARRED",1
03:55,,33,,41 (+8),"GOOD 3PTR by MCCARTHY, MATT",GC 33-41 (-8),,"GOOD 3PTR by MCCARTHY, MATT",1
--,,,,,"ASSIST  by HINTON, JARRED",,,"ASSIST  by HINTON, JARRED",1
03:55,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
03:55,,33,,42 (+9),"GOOD FT by MCCARTHY, MATT",GC 33-42 (-9),,"GOOD FT by MCCARTHY, MATT",1
03:55,"SUB IN by WARRICK,JOHN",,,,,,,"SUB IN by WARRICK,JOHN",1
03:55,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
03:55,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
03:55,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
03:55,,,,,"SUB IN by RICHARDSON, ZEB",,,"SUB IN by RICHARDSON, ZEB",1
03:55,,,,,"SUB IN by TRACY, TRAVIS",,,"SUB IN by TRACY, TRAVIS",1
03:55,,,,,"SUB IN by PITTMAN, JOSH",,,"SUB IN by PITTMAN, JOSH",1
03:55,,,,,"SUB OUT by FREEMAN, WILL",,,"SUB OUT by FREEMAN, WILL",1
03:55,,,,,"SUB OUT by HOPKINS, JAKE",,,"SUB OUT by HOPKINS, JAKE",1
03:55,,,,,"SUB OUT by STEVENSON, BEN",,,"SUB OUT by STEVENSON, BEN",1
03:38,,,,,"FOUL  by HINTON, JARRED",,,"FOUL  by HINTON, JARRED",1
03:23,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",35,,42 (+7),,BSC 35-42 (-7),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
03:11,,35,,45 (+10),"GOOD 3PTR by PITTMAN, JOSH",GC 35-45 (-10),,"GOOD 3PTR by PITTMAN, JOSH",1
--,,,,,"ASSIST  by MCCARTHY, MATT",,,"ASSIST  by MCCARTHY, MATT",1
02:52,"GOOD 3PTR by WELCH,ROSS",38,,45 (+7),,BSC 38-45 (-7),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
02:39,,,,,"MISS JUMPER by PITTMAN, JOSH",,,"MISS JUMPER by PITTMAN, JOSH",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
02:33,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND OFF by WELCH,ROSS",,,,,,,"REBOUND OFF by WELCH,ROSS",1
02:28,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
02:27,,,,,"STEAL  by TRACY, TRAVIS",,,"STEAL  by TRACY, TRAVIS",1
02:25,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
02:25,,38,,46 (+8),"GOOD FT by TRACY, TRAVIS",GC 38-46 (-8),,"GOOD FT by TRACY, TRAVIS",1
02:25,,38,,47 (+9),"GOOD FT by TRACY, TRAVIS",GC 38-47 (-9),,"GOOD FT by TRACY, TRAVIS",1
02:25,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
02:25,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
02:25,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
02:25,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
02:25,,,,,"SUB IN by MCCARTHY, MATT",,,"SUB IN by MCCARTHY, MATT",1
02:25,,,,,"SUB IN by HOPKINS, JAKE",,,"SUB IN by HOPKINS, JAKE",1
02:25,,,,,"SUB OUT by PITTMAN, JOSH",,,"SUB OUT by PITTMAN, JOSH",1
02:25,,,,,"SUB OUT by MCCARTHY, MATT",,,"SUB OUT by MCCARTHY, MATT",1
