Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,WESLEY,Game Score,Team Indicator,Play,Period
14:58,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
14:58,"SUB IN by WARRICK,JOHN",,,,,,,"SUB IN by WARRICK,JOHN",1
14:58,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
14:58,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
14:58,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
14:58,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
14:58,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
14:58,,,,,"SUB IN by CARTER,RASHEED",,,"SUB IN by CARTER,RASHEED",1
14:58,,,,,"SUB IN by ROGERS,LEO",,,"SUB IN by ROGERS,LEO",1
14:58,,,,,"SUB OUT by LANGAN,DAVID",,,"SUB OUT by LANGAN,DAVID",1
14:58,,,,,"SUB OUT by PETTIFORD,QUINCY",,,"SUB OUT by PETTIFORD,QUINCY",1
14:55,,,,,"MISS JUMPER by HAGAN,JACQUARD",,,"MISS JUMPER by HAGAN,JACQUARD",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
14:49,"TURNOVER  by MARSCHNER,BRENDAN",,,,,,,"TURNOVER  by MARSCHNER,BRENDAN",1
14:48,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
14:48,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
14:23,,,,,"MISS JUMPER by ROGERS,LEO",,,"MISS JUMPER by ROGERS,LEO",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
14:12,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
14:09,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
14:09,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
13:48,"FOUL  by WARRICK,JOHN",,,,,,,"FOUL  by WARRICK,JOHN",1
13:48,,,,,"MISS FT by HAGAN,JACQUARD",,,"MISS FT by HAGAN,JACQUARD",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:48,,16 (+11),,5,"GOOD FT by HAGAN,JACQUARD",WESLEY 16-5 (+11),,"GOOD FT by HAGAN,JACQUARD",1
13:22,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
13:08,,,,,"MISS JUMPER by ROGERS,LEO",,,"MISS JUMPER by ROGERS,LEO",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:06,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
13:06,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
13:06,"SUB OUT by WARRICK,JOHN",,,,,,,"SUB OUT by WARRICK,JOHN",1
13:06,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
12:52,,,,,"MISS JUMPER by HAGAN,JACQUARD",,,"MISS JUMPER by HAGAN,JACQUARD",1
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",1
12:49,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
12:49,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
12:49,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
12:49,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
12:49,,,,,"SUB IN by TILGHMAN,AJ",,,"SUB IN by TILGHMAN,AJ",1
12:49,,,,,"SUB OUT by SELBY,ERIC",,,"SUB OUT by SELBY,ERIC",1
12:39,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
12:39,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
12:35,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by CARTER,RASHEED",,,"REBOUND DEF by CARTER,RASHEED",1
12:15,,,,,"MISS JUMPER by ROGERS,LEO",,,"MISS JUMPER by ROGERS,LEO",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
12:08,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
12:06,,,,,"STEAL  by TILGHMAN,AJ",,,"STEAL  by TILGHMAN,AJ",1
11:54,,,,,"MISS JUMPER by REYNOLDS,PAUL",,,"MISS JUMPER by REYNOLDS,PAUL",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
11:45,"GOOD 3PTR by HENRY,COLIN(fastbreak)",19 (+14),,5,,BSC 19-5 (+14),,"GOOD 3PTR by HENRY,COLIN(fastbreak)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
11:11,,19 (+12),,7,"GOOD JUMPER by CARTER,RASHEED(in the paint)",WESLEY 19-7 (+12),,"GOOD JUMPER by CARTER,RASHEED(in the paint)",1
--,,,,,"ASSIST  by ROGERS,LEO",,,"ASSIST  by ROGERS,LEO",1
10:56,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
10:56,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
10:56,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
10:56,,,,,"SUB IN by DAVIDSON,DEVON",,,"SUB IN by DAVIDSON,DEVON",1
10:56,,,,,"SUB OUT by ROGERS,LEO",,,"SUB OUT by ROGERS,LEO",1
10:23,,19 (+10),,9,"GOOD LAYUP by TILGHMAN,AJ(in the paint)",WESLEY 19-9 (+10),,"GOOD LAYUP by TILGHMAN,AJ(in the paint)",1
--,,,,,"ASSIST  by REYNOLDS,PAUL",,,"ASSIST  by REYNOLDS,PAUL",1
10:23,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
10:23,,19 (+9),,10,"GOOD FT by TILGHMAN,AJ",WESLEY 19-10 (+9),,"GOOD FT by TILGHMAN,AJ",1
10:17,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
10:16,,,,,"STEAL  by TILGHMAN,AJ",,,"STEAL  by TILGHMAN,AJ",1
10:14,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
10:03,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
10:03,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
09:59,,,,,"MISS JUMPER by CARTER,RASHEED",,,"MISS JUMPER by CARTER,RASHEED",1
--,,,,,"REBOUND OFF by CARTER,RASHEED",,,"REBOUND OFF by CARTER,RASHEED",1
09:45,,,,,"MISS 3PTR by TILGHMAN,AJ",,,"MISS 3PTR by TILGHMAN,AJ",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
09:23,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
09:23,,,,,"FOUL  by HAGAN,JACQUARD",,,"FOUL  by HAGAN,JACQUARD",1
09:23,"GOOD FT by HENRY,COLIN",20 (+10),,10,,BSC 20-10 (+10),,"GOOD FT by HENRY,COLIN",1
09:23,"GOOD FT by HENRY,COLIN",21 (+11),,10,,BSC 21-10 (+11),,"GOOD FT by HENRY,COLIN",1
08:51,,,,,"MISS 3PTR by REYNOLDS,PAUL",,,"MISS 3PTR by REYNOLDS,PAUL",1
--,,,,,"REBOUND OFF by DAVIDSON,DEVON",,,"REBOUND OFF by DAVIDSON,DEVON",1
08:45,,21 (+9),,12,"GOOD LAYUP by DAVIDSON,DEVON(in the paint)",WESLEY 21-12 (+9),,"GOOD LAYUP by DAVIDSON,DEVON(in the paint)",1
--,,,,,"ASSIST  by TILGHMAN,AJ",,,"ASSIST  by TILGHMAN,AJ",1
08:31,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",23 (+11),,12,,BSC 23-12 (+11),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
08:16,,,,,"TURNOVER  by CARTER,RASHEED",,,"TURNOVER  by CARTER,RASHEED",1
08:16,,,,,"SUB IN by LANGAN,DAVID",,,"SUB IN by LANGAN,DAVID",1
08:16,,,,,"SUB IN by BRYANT,JJ",,,"SUB IN by BRYANT,JJ",1
08:16,,,,,"SUB OUT by HAGAN,JACQUARD",,,"SUB OUT by HAGAN,JACQUARD",1
08:16,,,,,"SUB OUT by CARTER,RASHEED",,,"SUB OUT by CARTER,RASHEED",1
08:03,"GOOD 3PTR by THOMAS,LARRY",26 (+14),,12,,BSC 26-12 (+14),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",1
07:42,,26 (+12),,14,"GOOD JUMPER by LANGAN,DAVID(in the paint)",WESLEY 26-14 (+12),,"GOOD JUMPER by LANGAN,DAVID(in the paint)",1
07:30,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",28 (+14),,14,,BSC 28-14 (+14),,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",1
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",1
06:58,,28 (+12),,16,"GOOD LAYUP by REYNOLDS,PAUL(in the paint)",WESLEY 28-16 (+12),,"GOOD LAYUP by REYNOLDS,PAUL(in the paint)",1
06:58,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
06:58,,28 (+11),,17,"GOOD FT by REYNOLDS,PAUL",WESLEY 28-17 (+11),,"GOOD FT by REYNOLDS,PAUL",1
06:58,SUB IN by 0,,,,,,,SUB IN by 0,1
06:58,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
06:58,,,,,"SUB IN by LENNON,WAYNE",,,"SUB IN by LENNON,WAYNE",1
06:58,,,,,"SUB OUT by DAVIDSON,DEVON",,,"SUB OUT by DAVIDSON,DEVON",1
06:52,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
06:52,,,,,"BLOCK  by BRYANT,JJ",,,"BLOCK  by BRYANT,JJ",1
--,,,,,"REBOUND DEF by REYNOLDS,PAUL",,,"REBOUND DEF by REYNOLDS,PAUL",1
06:43,,,,,"TURNOVER  by TILGHMAN,AJ",,,"TURNOVER  by TILGHMAN,AJ",1
06:42,"STEAL  by RICHARDS,ZAC",,,,,,,"STEAL  by RICHARDS,ZAC",1
06:19,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
06:19,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
06:19,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
05:53,,,,,"MISS 3PTR by REYNOLDS,PAUL",,,"MISS 3PTR by REYNOLDS,PAUL",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
05:47,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by BRYANT,JJ",,,"REBOUND DEF by BRYANT,JJ",1
05:29,,,,,"MISS 3PTR by BRYANT,JJ",,,"MISS 3PTR by BRYANT,JJ",1
--,,,,,"REBOUND OFF by LANGAN,DAVID",,,"REBOUND OFF by LANGAN,DAVID",1
05:25,,28 (+9),,19,"GOOD LAYUP by LANGAN,DAVID(in the paint)",WESLEY 28-19 (+9),,"GOOD LAYUP by LANGAN,DAVID(in the paint)",1
04:46,,,,,"FOUL  by BRYANT,JJ",,,"FOUL  by BRYANT,JJ",1
04:46,"SUB IN by WARRICK,JOHN",,,,,,,"SUB IN by WARRICK,JOHN",1
04:46,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
04:46,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
04:46,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
04:46,,,,,"SUB IN by YOUNGBLOOD,BRANDIN",,,"SUB IN by YOUNGBLOOD,BRANDIN",1
04:46,,,,,"SUB IN by GUIDRY,NICK",,,"SUB IN by GUIDRY,NICK",1
04:46,,,,,"SUB OUT by LANGAN,DAVID",,,"SUB OUT by LANGAN,DAVID",1
04:46,,,,,"SUB OUT by REYNOLDS,PAUL",,,"SUB OUT by REYNOLDS,PAUL",1
04:37,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
04:21,,,,,"MISS 3PTR by LENNON,WAYNE",,,"MISS 3PTR by LENNON,WAYNE",1
--,,,,,"REBOUND OFF by TILGHMAN,AJ",,,"REBOUND OFF by TILGHMAN,AJ",1
04:01,,,,,"MISS 3PTR by GUIDRY,NICK",,,"MISS 3PTR by GUIDRY,NICK",1
--,"REBOUND DEF by WARRICK,JOHN",,,,,,,"REBOUND DEF by WARRICK,JOHN",1
03:49,"TURNOVER  by WARRICK,JOHN",,,,,,,"TURNOVER  by WARRICK,JOHN",1
03:48,,,,,"STEAL  by LENNON,WAYNE",,,"STEAL  by LENNON,WAYNE",1
03:46,,,,,"TURNOVER  by GUIDRY,NICK",,,"TURNOVER  by GUIDRY,NICK",1
03:42,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by YOUNGBLOOD,BRANDIN",,,"REBOUND DEF by YOUNGBLOOD,BRANDIN",1
03:27,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
03:27,,28 (+8),,20,"GOOD FT by BRYANT,JJ",WESLEY 28-20 (+8),,"GOOD FT by BRYANT,JJ",1
03:27,,28 (+7),,21,"GOOD FT by BRYANT,JJ",WESLEY 28-21 (+7),,"GOOD FT by BRYANT,JJ",1
03:27,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
03:27,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
03:27,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
03:27,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
03:27,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
03:27,"SUB OUT by WARRICK,JOHN",,,,,,,"SUB OUT by WARRICK,JOHN",1
03:27,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
03:27,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:27,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
03:27,SUB OUT by 0,,,,,,,SUB OUT by 0,1
03:27,,,,,"SUB IN by REYNOLDS,PAUL",,,"SUB IN by REYNOLDS,PAUL",1
03:27,,,,,"SUB IN by THOMAS,BOBBY",,,"SUB IN by THOMAS,BOBBY",1
03:27,,,,,"SUB OUT by TILGHMAN,AJ",,,"SUB OUT by TILGHMAN,AJ",1
03:27,,,,,"SUB OUT by BRYANT,JJ",,,"SUB OUT by BRYANT,JJ",1
02:55,"GOOD 3PTR by WELCH,ROSS",31 (+10),,21,,BSC 31-21 (+10),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
02:35,,31 (+8),,23,"GOOD LAYUP by LENNON,WAYNE(in the paint)",WESLEY 31-23 (+8),,"GOOD LAYUP by LENNON,WAYNE(in the paint)",1
--,,,,,"ASSIST  by THOMAS,BOBBY",,,"ASSIST  by THOMAS,BOBBY",1
02:35,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
02:35,,31 (+7),,24,"GOOD FT by LENNON,WAYNE",WESLEY 31-24 (+7),,"GOOD FT by LENNON,WAYNE",1
02:35,,,,,"SUB IN by HAGAN,JACQUARD",,,"SUB IN by HAGAN,JACQUARD",1
02:35,,,,,"SUB OUT by GUIDRY,NICK",,,"SUB OUT by GUIDRY,NICK",1
02:23,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
02:02,,,,,"MISS LAYUP by REYNOLDS,PAUL",,,"MISS LAYUP by REYNOLDS,PAUL",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
01:38,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by HAGAN,JACQUARD",,,"REBOUND DEF by HAGAN,JACQUARD",1
01:22,,,,,"MISS JUMPER by REYNOLDS,PAUL",,,"MISS JUMPER by REYNOLDS,PAUL",1
01:22,"BLOCK  by HENRY,COLIN",,,,,,,"BLOCK  by HENRY,COLIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:21,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
01:21,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
01:02,,,,,"MISS 3PTR by THOMAS,BOBBY",,,"MISS 3PTR by THOMAS,BOBBY",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
00:28,"GOOD 3PTR by THOMAS,LARRY",34 (+10),,24,,BSC 34-24 (+10),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
00:01,,,,,"MISS JUMPER by REYNOLDS,PAUL",,,"MISS JUMPER by REYNOLDS,PAUL",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
20:00,,,,,"SUB IN by LENNON,WAYNE",,,"SUB IN by LENNON,WAYNE",2
20:00,,,,,"SUB OUT by PETTIFORD,QUINCY",,,"SUB OUT by PETTIFORD,QUINCY",2
19:47,,,,,"MISS 3PTR by LENNON,WAYNE",,,"MISS 3PTR by LENNON,WAYNE",2
--,,,,,"REBOUND OFF by REYNOLDS,PAUL",,,"REBOUND OFF by REYNOLDS,PAUL",2
19:41,,34 (+8),,26,"GOOD LAYUP by REYNOLDS,PAUL(in the paint)",WESLEY 34-26 (+8),,"GOOD LAYUP by REYNOLDS,PAUL(in the paint)",2
19:26,"GOOD LAYUP by THOMAS,LARRY(in the paint)",36 (+10),,26,,BSC 36-26 (+10),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
19:16,,,,,"MISS 3PTR by HAGAN,JACQUARD",,,"MISS 3PTR by HAGAN,JACQUARD",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
18:56,,,,,"FOUL  by LENNON,WAYNE",,,"FOUL  by LENNON,WAYNE",2
18:47,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by LENNON,WAYNE",,,"REBOUND DEF by LENNON,WAYNE",2
18:41,,,,,"MISS LAYUP by REYNOLDS,PAUL",,,"MISS LAYUP by REYNOLDS,PAUL",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
18:14,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by HAGAN,JACQUARD",,,"REBOUND DEF by HAGAN,JACQUARD",2
17:55,,,,,"MISS 3PTR by SELBY,ERIC",,,"MISS 3PTR by SELBY,ERIC",2
--,,,,,"REBOUND OFF by LENNON,WAYNE",,,"REBOUND OFF by LENNON,WAYNE",2
17:47,,36 (+8),,28,"GOOD LAYUP by REYNOLDS,PAUL(in the paint)",WESLEY 36-28 (+8),,"GOOD LAYUP by REYNOLDS,PAUL(in the paint)",2
17:27,,,,,"FOUL  by LANGAN,DAVID",,,"FOUL  by LANGAN,DAVID",2
17:11,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by LENNON,WAYNE",,,"REBOUND DEF by LENNON,WAYNE",2
16:49,,36 (+5),,31,"GOOD 3PTR by LENNON,WAYNE",WESLEY 36-31 (+5),,"GOOD 3PTR by LENNON,WAYNE",2
--,,,,,"ASSIST  by LANGAN,DAVID",,,"ASSIST  by LANGAN,DAVID",2
16:38,,,,,"FOUL  by LANGAN,DAVID",,,"FOUL  by LANGAN,DAVID",2
16:37,,,,,"SUB IN by YOUNGBLOOD,BRANDIN",,,"SUB IN by YOUNGBLOOD,BRANDIN",2
16:37,,,,,"SUB OUT by LANGAN,DAVID",,,"SUB OUT by LANGAN,DAVID",2
16:35,,,,,"FOUL  by SELBY,ERIC",,,"FOUL  by SELBY,ERIC",2
16:25,"GOOD 3PTR by KEGARISE,KEVIN",39 (+8),,31,,BSC 39-31 (+8),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
16:12,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
16:12,,,,,"MISS FT by LENNON,WAYNE",,,"MISS FT by LENNON,WAYNE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:12,,,,,"MISS FT by LENNON,WAYNE",,,"MISS FT by LENNON,WAYNE",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
16:01,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
15:54,"MISS 3PTR by HENRY,COLIN",,,,,,,"MISS 3PTR by HENRY,COLIN",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
15:50,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
15:49,,,,,"STEAL  by LENNON,WAYNE",,,"STEAL  by LENNON,WAYNE",2
