Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
19:46,"GOOD LAYUP by HENRY,COLIN(in the paint)",2 (+2),,0,,BSCM 2-0 (+2),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
19:22,,2,,2,"GOOD JUMPER by KINNEY,JORDAN",OUM 2-2 (0),,"GOOD JUMPER by KINNEY,JORDAN",1
18:59,"GOOD 3PTR by THOMAS,LARRY",5 (+3),,2,,BSCM 5-2 (+3),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
18:34,,,,,"MISS 3PTR by JOVAAG,BRANDEN",,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,,,,,"REBOUND OFF by KINNEY,JORDAN",,,"REBOUND OFF by KINNEY,JORDAN",1
18:16,,5 (+1),,4,"GOOD JUMPER by KINNEY,JORDAN",OUM 5-4 (+1),,"GOOD JUMPER by KINNEY,JORDAN",1
--,,,,,"ASSIST  by PITTS,ALEC",,,"ASSIST  by PITTS,ALEC",1
18:02,"GOOD 3PTR by KEGARISE,KEVIN",8 (+4),,4,,BSCM 8-4 (+4),,"GOOD 3PTR by KEGARISE,KEVIN",1
17:40,,8 (+1),,7,"GOOD 3PTR by MOLINET,CHRISTIAN",OUM 8-7 (+1),,"GOOD 3PTR by MOLINET,CHRISTIAN",1
17:27,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
17:23,"GOOD LAYUP by HENRY,COLIN(in the paint)",10 (+3),,7,,BSCM 10-7 (+3),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
17:14,,10 (+1),,9,"GOOD LAYUP by MOLINET,CHRISTIAN(fastbreak)(in the paint)",OUM 10-9 (+1),,"GOOD LAYUP by MOLINET,CHRISTIAN(fastbreak)(in the paint)",1
17:00,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
17:00,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
16:45,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",12 (+3),,9,,BSCM 12-9 (+3),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",1
16:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:29,,,,,"TURNOVER  by MOLINET,CHRISTIAN",,,"TURNOVER  by MOLINET,CHRISTIAN",1
16:27,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
16:25,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",14 (+5),,9,,BSCM 14-9 (+5),,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",1
16:11,,,,,"TURNOVER  by PITTS,ALEC",,,"TURNOVER  by PITTS,ALEC",1
16:10,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
16:07,,,,,"FOUL  by JOVAAG,BRANDEN",,,"FOUL  by JOVAAG,BRANDEN",1
16:07,"GOOD FT by KEGARISE,KEVIN",15 (+6),,9,,BSCM 15-9 (+6),,"GOOD FT by KEGARISE,KEVIN",1
16:07,"GOOD FT by KEGARISE,KEVIN",16 (+7),,9,,BSCM 16-9 (+7),,"GOOD FT by KEGARISE,KEVIN",1
16:07,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",1
16:07,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",1
16:07,,,,,"SUB OUT by PURDY,SAM",,,"SUB OUT by PURDY,SAM",1
16:07,,,,,"SUB OUT by PITTS,ALEC",,,"SUB OUT by PITTS,ALEC",1
15:56,,,,,"MISS JUMPER by KINNEY,JORDAN",,,"MISS JUMPER by KINNEY,JORDAN",1
--,,,,,"REBOUND OFF by COURSON,TYLER",,,"REBOUND OFF by COURSON,TYLER",1
15:53,,16 (+5),,11,"GOOD TIPIN by COURSON,TYLER(in the paint)",OUM 16-11 (+5),,"GOOD TIPIN by COURSON,TYLER(in the paint)",1
15:37,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",18 (+7),,11,,BSCM 18-11 (+7),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
15:30,,18 (+4),,14,"GOOD 3PTR by JOVAAG,BRANDEN(fastbreak)",OUM 18-14 (+4),,"GOOD 3PTR by JOVAAG,BRANDEN(fastbreak)",1
--,,,,,"ASSIST  by MOLINET,CHRISTIAN",,,"ASSIST  by MOLINET,CHRISTIAN",1
15:13,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by JOVAAG,BRANDEN",,,"REBOUND DEF by JOVAAG,BRANDEN",1
15:05,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
14:45,"GOOD 3PTR by KEGARISE,KEVIN",21 (+7),,14,,BSCM 21-14 (+7),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
14:09,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",1
--,,,,,"REBOUND OFF by MOLINET,CHRISTIAN",,,"REBOUND OFF by MOLINET,CHRISTIAN",1
14:06,,21 (+5),,16,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",OUM 21-16 (+5),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",1
13:56,,,,,"SUB IN by HAMILTON,PRICE",,,"SUB IN by HAMILTON,PRICE",1
13:56,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
13:38,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",1
13:09,,,,,"TURNOVER  by MOLINET,CHRISTIAN",,,"TURNOVER  by MOLINET,CHRISTIAN",1
13:09,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
13:05,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",1
12:57,,,,,"MISS JUMPER by COURSON,TYLER",,,"MISS JUMPER by COURSON,TYLER",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
12:31,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",1
12:31,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
12:31,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
12:31,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
12:31,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
12:31,"SUB IN by ASSANESI,KELLY",,,,,,,"SUB IN by ASSANESI,KELLY",1
12:31,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
12:31,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
12:31,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
12:31,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
12:31,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
12:31,,,,,"SUB IN by PATRICK,DREW",,,"SUB IN by PATRICK,DREW",1
12:31,,,,,"SUB OUT by MOLINET,CHRISTIAN",,,"SUB OUT by MOLINET,CHRISTIAN",1
12:10,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
12:09,,,,,"STEAL  by DAVIS,ALEX",,,"STEAL  by DAVIS,ALEX",1
12:00,,,,,"MISS LAYUP by PATRICK,DREW",,,"MISS LAYUP by PATRICK,DREW",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
