Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:57,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
19:44,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",2 (+2),,0,,SEWANEE 2-0 (-2),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
19:27,,,,,"MISS JUMPER by KEGARISE,KEVIN",,,"MISS JUMPER by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
19:15,,2,,3 (+1),"GOOD 3PTR by WHITE,BLAISE",BSC 2-3 (+1),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
18:37,"GOOD JUMPER by BOULDIN,BRETT(in the paint)",4 (+1),,3,,SEWANEE 4-3 (-1),,"GOOD JUMPER by BOULDIN,BRETT(in the paint)",1
18:17,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
17:58,"GOOD JUMPER by VEAL,ROBERT",6 (+3),,3,,SEWANEE 6-3 (-3),,"GOOD JUMPER by VEAL,ROBERT",1
17:43,,,,,"MISS 3PTR by RICHARDS,ZAC",,,"MISS 3PTR by RICHARDS,ZAC",1
--,"REBOUND DEF by HODGE,NILAN",,,,,,,"REBOUND DEF by HODGE,NILAN",1
17:20,"MISS JUMPER by HODGE,NILAN",,,,,,,"MISS JUMPER by HODGE,NILAN",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
17:07,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",1
17:07,,,,,"MISS FT by THOMAS,LARRY",,,"MISS FT by THOMAS,LARRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:07,,6 (+2),,4,"GOOD FT by THOMAS,LARRY",BSC 6-4 (-2),,"GOOD FT by THOMAS,LARRY",1
16:47,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",1
16:27,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:26,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
16:26,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
16:26,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
16:26,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
16:26,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
16:26,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
16:26,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
16:26,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
16:26,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
16:26,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
15:48,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
15:46,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
15:42,,6,,6,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 6-6 (0),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
15:04,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
15:04,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
15:04,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
14:57,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
14:55,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
14:53,"GOOD LAYUP by BRYANT,VALENTINO(fastbreak)(in the paint)",8 (+2),,6,,SEWANEE 8-6 (-2),,"GOOD LAYUP by BRYANT,VALENTINO(fastbreak)(in the paint)",1
14:41,,8,,9 (+1),"GOOD 3PTR by WHITE,BLAISE",BSC 8-9 (+1),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
14:24,"GOOD JUMPER by CARTER,KESHONN",10 (+1),,9,,SEWANEE 10-9 (-1),,"GOOD JUMPER by CARTER,KESHONN",1
14:12,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:08,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
14:08,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
14:08,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
14:08,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
14:08,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
14:08,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
14:08,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
13:50,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
13:43,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
13:43,"GOOD FT by BRYANT,VALENTINO",11 (+2),,9,,SEWANEE 11-9 (-2),,"GOOD FT by BRYANT,VALENTINO",1
13:43,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
13:43,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
13:43,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
13:16,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",,,"MISS 3PTR by MARSCHNER,BRENDAN",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
12:59,"GOOD JUMPER by BROWN,TYLER",13 (+4),,9,,SEWANEE 13-9 (-4),,"GOOD JUMPER by BROWN,TYLER",1
12:42,,13 (+1),,12,"GOOD 3PTR by WELCH,ROSS",BSC 13-12 (-1),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by FREEMAN,SCHYLAR",,,"ASSIST  by FREEMAN,SCHYLAR",1
12:02,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",1
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",1
11:51,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
11:49,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",1
11:38,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
11:32,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
11:29,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
11:18,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
11:16,,,,,"STEAL  by SCHAMP,GRIFFIN",,,"STEAL  by SCHAMP,GRIFFIN",1
11:16,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
11:16,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
11:16,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
11:16,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
11:16,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
