Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EMORY,Game Score,Team Indicator,Play,Period
19:40,,,,,"MISS JUMPER by DAVIS, JAKE",,,"MISS JUMPER by DAVIS, JAKE",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
19:07,"GOOD 3PTR by WHITE,BLAISE",3 (+3),,0,,BSC 3-0 (+3),,"GOOD 3PTR by WHITE,BLAISE",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
18:38,,,,,"MISS JUMPER by DAVIS, JAKE",,,"MISS JUMPER by DAVIS, JAKE",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
18:29,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",6 (+6),,0,,BSC 6-0 (+6),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
18:21,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
18:21,,6 (+5),,1,"GOOD FT by MOORE, MCPHERSON",EMORY 6-1 (+5),,"GOOD FT by MOORE, MCPHERSON",1
18:21,,6 (+4),,2,"GOOD FT by MOORE, MCPHERSON",EMORY 6-2 (+4),,"GOOD FT by MOORE, MCPHERSON",1
18:16,,,,,"FOUL  by FLORIN, MICHAEL",,,"FOUL  by FLORIN, MICHAEL",1
18:12,"GOOD 3PTR by KEGARISE,KEVIN",9 (+7),,2,,BSC 9-2 (+7),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
17:59,,,,,"TURNOVER  by MOORE, MCPHERSON",,,"TURNOVER  by MOORE, MCPHERSON",1
17:42,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
17:42,,,,,"SUB IN by SCHATTIE, JOSH",,,"SUB IN by SCHATTIE, JOSH",1
17:42,,,,,"SUB OUT by DAVIS, JAKE",,,"SUB OUT by DAVIS, JAKE",1
17:19,,,,,"MISS JUMPER by MOORE, MCPHERSON",,,"MISS JUMPER by MOORE, MCPHERSON",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
17:07,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,,,,,"REBOUND DEF by SCHATTIE, JOSH",,,"REBOUND DEF by SCHATTIE, JOSH",1
17:01,,9 (+5),,4,"GOOD LAYUP by MOORE, MCPHERSON(fastbreak)(in the paint)",EMORY 9-4 (+5),,"GOOD LAYUP by MOORE, MCPHERSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FLORIN, MICHAEL",,,"ASSIST  by FLORIN, MICHAEL",1
17:01,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
17:01,,9 (+4),,5,"GOOD FT by MOORE, MCPHERSON",EMORY 9-5 (+4),,"GOOD FT by MOORE, MCPHERSON",1
16:50,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
16:50,,,,,"STEAL  by FLORIN, MICHAEL",,,"STEAL  by FLORIN, MICHAEL",1
16:45,,,,,"TURNOVER  by FLORIN, MICHAEL",,,"TURNOVER  by FLORIN, MICHAEL",1
16:45,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
16:40,"GOOD LAYUP by HENRY,COLIN(fastbreak)(in the paint)",11 (+6),,5,,BSC 11-5 (+6),,"GOOD LAYUP by HENRY,COLIN(fastbreak)(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
16:32,,11 (+4),,7,"GOOD LAYUP by FLORIN, MICHAEL(in the paint)",EMORY 11-7 (+4),,"GOOD LAYUP by FLORIN, MICHAEL(in the paint)",1
16:28,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
16:26,,,,,"STEAL  by FLORIN, MICHAEL",,,"STEAL  by FLORIN, MICHAEL",1
16:22,,,,,"TURNOVER  by MOORE, MCPHERSON",,,"TURNOVER  by MOORE, MCPHERSON",1
16:22,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
16:03,"GOOD 3PTR by THOMAS,LARRY",14 (+7),,7,,BSC 14-7 (+7),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
16:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:02,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
16:02,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
16:02,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
16:02,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
16:02,,,,,"SUB IN by OH, NASH",,,"SUB IN by OH, NASH",1
16:02,,,,,"SUB IN by RAO, DAVIS",,,"SUB IN by RAO, DAVIS",1
16:02,,,,,"SUB OUT by MOORE, MCPHERSON",,,"SUB OUT by MOORE, MCPHERSON",1
16:02,,,,,"SUB OUT by FLORIN, MICHAEL",,,"SUB OUT by FLORIN, MICHAEL",1
15:54,,,,,"TURNOVER  by GREVEN, ALEX",,,"TURNOVER  by GREVEN, ALEX",1
15:53,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
15:24,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",16 (+9),,7,,BSC 16-7 (+9),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by FREEMAN,SCHYLAR",,,,,,,"ASSIST  by FREEMAN,SCHYLAR",1
15:11,,16 (+7),,9,"GOOD LAYUP by FRIEDBERG, MICHAEL(in the paint)",EMORY 16-9 (+7),,"GOOD LAYUP by FRIEDBERG, MICHAEL(in the paint)",1
--,,,,,"ASSIST  by OH, NASH",,,"ASSIST  by OH, NASH",1
14:47,,,,,"FOUL  by SCHATTIE, JOSH",,,"FOUL  by SCHATTIE, JOSH",1
14:47,,,,,"SUB IN by DAVIS, JAKE",,,"SUB IN by DAVIS, JAKE",1
14:47,,,,,"SUB OUT by FRIEDBERG, MICHAEL",,,"SUB OUT by FRIEDBERG, MICHAEL",1
14:45,"GOOD TIPIN by FREEMAN,SCHYLAR(in the paint)",18 (+9),,9,,BSC 18-9 (+9),,"GOOD TIPIN by FREEMAN,SCHYLAR(in the paint)",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
14:31,,18 (+7),,11,"GOOD LAYUP by DAVIS, JAKE(in the paint)",EMORY 18-11 (+7),,"GOOD LAYUP by DAVIS, JAKE(in the paint)",1
14:15,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by OH, NASH",,,"REBOUND DEF by OH, NASH",1
14:06,,,,,"MISS JUMPER by GREVEN, ALEX",,,"MISS JUMPER by GREVEN, ALEX",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
14:00,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by GREVEN, ALEX",,,"REBOUND DEF by GREVEN, ALEX",1
13:56,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
13:56,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
13:56,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
13:56,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
13:56,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
13:56,,,,,"SUB IN by MOORE, MCPHERSON",,,"SUB IN by MOORE, MCPHERSON",1
