Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:45,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",1
19:44,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
19:39,,0,,2 (+2),"GOOD JUMPER by THOMAS,LARRY(in the paint)",BSC 0-2 (+2),,"GOOD JUMPER by THOMAS,LARRY(in the paint)",1
19:25,"TURNOVER  by JOVAAG,BRANDEN",,,,,,,"TURNOVER  by JOVAAG,BRANDEN",1
19:24,,,,,"STEAL  by RICHARDS,ZAC",,,"STEAL  by RICHARDS,ZAC",1
19:22,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
19:17,,,,,"MISS LAYUP by WHITE,BLAISE",,,"MISS LAYUP by WHITE,BLAISE",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
19:06,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
18:51,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
18:44,"GOOD LAYUP by DAVIS,ALEX(in the paint)",2,,2,,OU 2-2 (0),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",1
18:32,,2,,4 (+2),"GOOD JUMPER by KEGARISE,KEVIN",BSC 2-4 (+2),,"GOOD JUMPER by KEGARISE,KEVIN",1
