Time Remaining,WITT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:56,"GOOD LAYUP by JOHNSON,JAMES(in the paint)",2 (+2),,0,,WITT 2-0 (-2),,"GOOD LAYUP by JOHNSON,JAMES(in the paint)",1
19:25,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:23,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
19:23,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
19:10,"GOOD 3PTR by BALSER,MITCHELL",5 (+5),,0,,WITT 5-0 (-5),,"GOOD 3PTR by BALSER,MITCHELL",1
18:50,,5 (+3),,2,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",BSC 5-2 (-3),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
18:35,"MISS 3PTR by JOHNSON,JAMES",,,,,,,"MISS 3PTR by JOHNSON,JAMES",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
18:17,,,,,"MISS LAYUP by RUDAK,MATEUSZ",,,"MISS LAYUP by RUDAK,MATEUSZ",1
--,,,,,"REBOUND OFF by YANCEY,RICH",,,"REBOUND OFF by YANCEY,RICH",1
18:07,,5 (+1),,4,"GOOD LAYUP by YANCEY,RICH(in the paint)",BSC 5-4 (-1),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
17:54,"GOOD LAYUP by ROY,CHAD(in the paint)",7 (+3),,4,,WITT 7-4 (-3),,"GOOD LAYUP by ROY,CHAD(in the paint)",1
--,"ASSIST  by BERTEMES,JACOB",,,,,,,"ASSIST  by BERTEMES,JACOB",1
17:37,"FOUL  by BERTEMES,JACOB",,,,,,,"FOUL  by BERTEMES,JACOB",1
17:37,,,,,"MISS FT by RUDAK,MATEUSZ",,,"MISS FT by RUDAK,MATEUSZ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:37,,7 (+2),,5,"GOOD FT by RUDAK,MATEUSZ",BSC 7-5 (-2),,"GOOD FT by RUDAK,MATEUSZ",1
17:37,"SUB IN by SEIPEL,CONNOR",,,,,,,"SUB IN by SEIPEL,CONNOR",1
17:37,"SUB OUT by JOHNSON,JAMES",,,,,,,"SUB OUT by JOHNSON,JAMES",1
17:26,"TURNOVER  by ROY,CHAD",,,,,,,"TURNOVER  by ROY,CHAD",1
17:26,,,,,"STEAL  by RUDAK,MATEUSZ",,,"STEAL  by RUDAK,MATEUSZ",1
17:09,,7,,7,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",BSC 7-7 (0),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",1
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",1
17:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:46,"GOOD 3PTR by BALSER,MITCHELL",10 (+3),,7,,WITT 10-7 (-3),,"GOOD 3PTR by BALSER,MITCHELL",1
--,"ASSIST  by BERTEMES,JACOB",,,,,,,"ASSIST  by BERTEMES,JACOB",1
16:33,,10 (+1),,9,"GOOD JUMPER by ALLISON,ZACH",BSC 10-9 (-1),,"GOOD JUMPER by ALLISON,ZACH",1
16:11,"MISS 3PTR by MORGAN,MICHAEL",,,,,,,"MISS 3PTR by MORGAN,MICHAEL",1
--,"REBOUND OFF by SEIPEL,CONNOR",,,,,,,"REBOUND OFF by SEIPEL,CONNOR",1
16:05,"GOOD LAYUP by ROY,CHAD(in the paint)",12 (+3),,9,,WITT 12-9 (-3),,"GOOD LAYUP by ROY,CHAD(in the paint)",1
--,"ASSIST  by SEIPEL,CONNOR",,,,,,,"ASSIST  by SEIPEL,CONNOR",1
15:54,,,,,"MISS LAYUP by ALLISON,ZACH",,,"MISS LAYUP by ALLISON,ZACH",1
--,"REBOUND DEF by ROY,CHAD",,,,,,,"REBOUND DEF by ROY,CHAD",1
15:41,"MISS 3PTR by BALSER,MITCHELL",,,,,,,"MISS 3PTR by BALSER,MITCHELL",1
--,"REBOUND OFF by SEIPEL,CONNOR",,,,,,,"REBOUND OFF by SEIPEL,CONNOR",1
15:36,"MISS 3PTR by BERTEMES,JACOB",,,,,,,"MISS 3PTR by BERTEMES,JACOB",1
--,"REBOUND OFF by MORGAN,MICHAEL",,,,,,,"REBOUND OFF by MORGAN,MICHAEL",1
15:31,"GOOD LAYUP by ROY,CHAD(in the paint)",14 (+5),,9,,WITT 14-9 (-5),,"GOOD LAYUP by ROY,CHAD(in the paint)",1
--,"ASSIST  by MORGAN,MICHAEL",,,,,,,"ASSIST  by MORGAN,MICHAEL",1
15:08,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND DEF by ROY,CHAD",,,,,,,"REBOUND DEF by ROY,CHAD",1
14:59,"GOOD JUMPER by MORGAN,MICHAEL",16 (+7),,9,,WITT 16-9 (-7),,"GOOD JUMPER by MORGAN,MICHAEL",1
--,"ASSIST  by BALSER,MITCHELL",,,,,,,"ASSIST  by BALSER,MITCHELL",1
14:54,,,,,"TURNOVER  by YANCEY,RICH",,,"TURNOVER  by YANCEY,RICH",1
14:54,"SUB IN by SLONEKER,CHRIS",,,,,,,"SUB IN by SLONEKER,CHRIS",1
14:54,"SUB OUT by ROY,CHAD",,,,,,,"SUB OUT by ROY,CHAD",1
14:40,"TURNOVER  by BALSER,MITCHELL",,,,,,,"TURNOVER  by BALSER,MITCHELL",1
14:40,"SUB IN by PUMROY,JORDAN",,,,,,,"SUB IN by PUMROY,JORDAN",1
14:40,"SUB OUT by BALSER,MITCHELL",,,,,,,"SUB OUT by BALSER,MITCHELL",1
14:29,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
14:29,"BLOCK  by SLONEKER,CHRIS",,,,,,,"BLOCK  by SLONEKER,CHRIS",1
--,"REBOUND DEF by SLONEKER,CHRIS",,,,,,,"REBOUND DEF by SLONEKER,CHRIS",1
14:02,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
14:02,"SUB IN by ALI-SHAKIR,RASHAAD",,,,,,,"SUB IN by ALI-SHAKIR,RASHAAD",1
14:02,"SUB OUT by BERTEMES,JACOB",,,,,,,"SUB OUT by BERTEMES,JACOB",1
14:02,,,,,"SUB IN by BUTLER,TERENCE",,,"SUB IN by BUTLER,TERENCE",1
14:02,,,,,"SUB IN by DENBESTIN,COLE",,,"SUB IN by DENBESTIN,COLE",1
14:02,,,,,"SUB IN by LOVING,JIBRI",,,"SUB IN by LOVING,JIBRI",1
14:02,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
14:02,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
14:02,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
13:56,"GOOD LAYUP by SEIPEL,CONNOR(in the paint)",18 (+9),,9,,WITT 18-9 (-9),,"GOOD LAYUP by SEIPEL,CONNOR(in the paint)",1
--,"ASSIST  by PUMROY,JORDAN",,,,,,,"ASSIST  by PUMROY,JORDAN",1
13:25,,18 (+6),,12,"GOOD 3PTR by DENBESTIN,COLE",BSC 18-12 (-6),,"GOOD 3PTR by DENBESTIN,COLE",1
12:57,"MISS 3PTR by PUMROY,JORDAN",,,,,,,"MISS 3PTR by PUMROY,JORDAN",1
--,,,,,"REBOUND DEF by BUTLER,TERENCE",,,"REBOUND DEF by BUTLER,TERENCE",1
12:49,,18 (+3),,15,"GOOD 3PTR by BUTLER,TERENCE",BSC 18-15 (-3),,"GOOD 3PTR by BUTLER,TERENCE",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
12:11,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
12:11,"SUB IN by ROY,CHAD",,,,,,,"SUB IN by ROY,CHAD",1
