Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
17:56,,,,,"FOUL TECH by RICHARDSON,TERIK",,,"FOUL TECH by RICHARDSON,TERIK",1
17:56,"GOOD FT by BAK,CALVIN",1,,8 (+7),,17BSC-M 1-8 (-7),,"GOOD FT by BAK,CALVIN",1
17:56,"GOOD FT by BAK,CALVIN",2,,8 (+6),,17BSC-M 2-8 (-6),,"GOOD FT by BAK,CALVIN",1
17:56,,,,,"MISS 3PTR by WEBBER,BRENT",,,"MISS 3PTR by WEBBER,BRENT",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
17:56,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
17:56,,,,,"SUB IN by HEERINGEN,GIAN VAN",,,"SUB IN by HEERINGEN,GIAN VAN",1
17:56,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
17:56,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",1
17:56,,,,,"SUB IN by WORKS,JOHN",,,"SUB IN by WORKS,JOHN",1
17:56,,,,,"SUB IN by DURHAM,JONATHAN",,,"SUB IN by DURHAM,JONATHAN",1
17:56,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
17:56,,,,,"SUB OUT by WEBBER,BRENT",,,"SUB OUT by WEBBER,BRENT",1
17:56,,,,,"SUB OUT by RICHARDSON,TERIK",,,"SUB OUT by RICHARDSON,TERIK",1
17:56,,,,,"SUB OUT by DAVIS,RON",,,"SUB OUT by DAVIS,RON",1
17:56,,,,,"SUB OUT by SR,KYLE PATTERSON",,,"SUB OUT by SR,KYLE PATTERSON",1
17:54,,2,,11 (+9),"GOOD 3PTR by DURHAM,JONATHAN",BU 2-11 (-9),,"GOOD 3PTR by DURHAM,JONATHAN",1
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",1
17:43,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND OFF by RUDAK,MATEUSZ",,,,,,,"REBOUND OFF by RUDAK,MATEUSZ",1
17:20,"GOOD JUMPER by RUDAK,MATEUSZ",4,,11 (+7),,17BSC-M 4-11 (-7),,"GOOD JUMPER by RUDAK,MATEUSZ",1
17:13,,,,,"MISS 3PTR by WEBBER,BRENT",,,"MISS 3PTR by WEBBER,BRENT",1
--,,,,,"REBOUND OFF by ROBERTS,JOSHUA",,,"REBOUND OFF by ROBERTS,JOSHUA",1
17:04,,,,,"MISS 3PTR by DURHAM,JONATHAN",,,"MISS 3PTR by DURHAM,JONATHAN",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
16:57,,,,,"STEAL  by ROBERTS,JOSHUA",,,"STEAL  by ROBERTS,JOSHUA",1
16:57,,,,,"MISS JUMPER by ROBERTS,JOSHUA",,,"MISS JUMPER by ROBERTS,JOSHUA",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:57,,,,,"STEAL  by JONES,JUSTIN",,,"STEAL  by JONES,JUSTIN",1
16:57,,4,,13 (+9),"GOOD JUMPER by JONES,JUSTIN",BU 4-13 (-9),,"GOOD JUMPER by JONES,JUSTIN",1
16:57,"GOOD 3PTR by DENEKA,HARRISON",7,,13 (+6),,17BSC-M 7-13 (-6),,"GOOD 3PTR by DENEKA,HARRISON",1
--,"ASSIST  by DENBESTIN,COLE",,,,,,,"ASSIST  by DENBESTIN,COLE",1
16:57,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
16:57,"SUB IN by LOVING,TAU",,,,,,,"SUB IN by LOVING,TAU",1
16:57,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
16:57,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
16:57,"SUB IN by HARTER,J MORGAN",,,,,,,"SUB IN by HARTER,J MORGAN",1
16:57,"SUB OUT by HARTER,J MORGAN",,,,,,,"SUB OUT by HARTER,J MORGAN",1
16:57,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
16:57,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
16:57,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
16:57,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
16:57,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
16:57,,,,,"SUB IN by BROWN,ISIAH",,,"SUB IN by BROWN,ISIAH",1
16:57,,,,,"SUB IN by COLE,DAVID",,,"SUB IN by COLE,DAVID",1
16:57,,,,,"SUB IN by PRICE,VICTOR",,,"SUB IN by PRICE,VICTOR",1
16:57,,,,,"SUB IN by MCCOY,TOMMY",,,"SUB IN by MCCOY,TOMMY",1
16:57,,,,,"SUB IN by DAVIS,RON",,,"SUB IN by DAVIS,RON",1
16:57,,,,,"SUB OUT by HEERINGEN,GIAN VAN",,,"SUB OUT by HEERINGEN,GIAN VAN",1
16:57,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
16:57,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",1
16:57,,,,,"SUB OUT by WORKS,JOHN",,,"SUB OUT by WORKS,JOHN",1
16:57,,,,,"SUB OUT by DURHAM,JONATHAN",,,"SUB OUT by DURHAM,JONATHAN",1
16:51,,,,,"MISS 3PTR by WORKS,JOHN",,,"MISS 3PTR by WORKS,JOHN",1
16:39,,,,,"FOUL  by WORKS,JOHN",,,"FOUL  by WORKS,JOHN",1
16:26,"GOOD 3PTR by DENBESTIN,COLE",10,,13 (+3),,17BSC-M 10-13 (-3),,"GOOD 3PTR by DENBESTIN,COLE",1
16:06,,10,,16 (+6),"GOOD 3PTR by DAVIS,RON",BU 10-16 (-6),,"GOOD 3PTR by DAVIS,RON",1
--,,,,,"ASSIST  by BROWN,ISIAH",,,"ASSIST  by BROWN,ISIAH",1
15:37,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",12,,16 (+4),,17BSC-M 12-16 (-4),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
15:26,,,,,"MISS 3PTR by PRICE,VICTOR",,,"MISS 3PTR by PRICE,VICTOR",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:18,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:15,,,,,"STEAL  by BROWN,ISIAH",,,"STEAL  by BROWN,ISIAH",1
15:15,,,,,"MISS 3PTR by BROWN,ISIAH",,,"MISS 3PTR by BROWN,ISIAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:50,,,,,"MISS 3PTR by HODUM,RICK",,,"MISS 3PTR by HODUM,RICK",1
--,,,,,"REBOUND OFF by DAVIS,RON",,,"REBOUND OFF by DAVIS,RON",1
14:50,,12,,19 (+7),"GOOD 3PTR by WEBBER,BRENT",BU 12-19 (-7),,"GOOD 3PTR by WEBBER,BRENT",1
--,,,,,"ASSIST  by DAVIS,RON",,,"ASSIST  by DAVIS,RON",1
14:50,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
14:50,,,,,"SUB IN by RICHARDSON,TERIK",,,"SUB IN by RICHARDSON,TERIK",1
14:50,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",1
14:50,,,,,"SUB IN by LEATHERWOOD,TRAEVIAN",,,"SUB IN by LEATHERWOOD,TRAEVIAN",1
14:50,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
14:50,,,,,"SUB IN by WEBBER,BRENT",,,"SUB IN by WEBBER,BRENT",1
14:50,,,,,"SUB IN by WORKS,JOHN",,,"SUB IN by WORKS,JOHN",1
14:50,,,,,"SUB IN by SR,KYLE PATTERSON",,,"SUB IN by SR,KYLE PATTERSON",1
14:50,,,,,"SUB OUT by LEATHERWOOD,TRAEVIAN",,,"SUB OUT by LEATHERWOOD,TRAEVIAN",1
14:50,,,,,"SUB OUT by PRICE,VICTOR",,,"SUB OUT by PRICE,VICTOR",1
14:50,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
14:50,,,,,"SUB OUT by WORKS,JOHN",,,"SUB OUT by WORKS,JOHN",1
14:50,,,,,"SUB OUT by BROWN,ISIAH",,,"SUB OUT by BROWN,ISIAH",1
14:50,,,,,"SUB OUT by COLE,DAVID",,,"SUB OUT by COLE,DAVID",1
14:50,,,,,"SUB OUT by MCCOY,TOMMY",,,"SUB OUT by MCCOY,TOMMY",1
14:46,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",1
14:43,,12,,22 (+10),"GOOD 3PTR by DAVIS,RON",BU 12-22 (-10),,"GOOD 3PTR by DAVIS,RON",1
--,,,,,"ASSIST  by HODUM,RICK",,,"ASSIST  by HODUM,RICK",1
14:37,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",1
14:31,,,,,"MISS 3PTR by DAVIS,RON",,,"MISS 3PTR by DAVIS,RON",1
--,"REBOUND DEF by LOVING,JIBRI",,,,,,,"REBOUND DEF by LOVING,JIBRI",1
14:13,"MISS DUNK by LOVING,JIBRI",,,,,,,"MISS DUNK by LOVING,JIBRI",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:04,,,,,"FOUL  by DAVIS,RON",,,"FOUL  by DAVIS,RON",1
13:59,"MISS FT by LOVING,JIBRI",,,,,,,"MISS FT by LOVING,JIBRI",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:41,"MISS FT by LOVING,JIBRI",,,,,,,"MISS FT by LOVING,JIBRI",1
--,,,,,"REBOUND DEF by SR,KYLE PATTERSON",,,"REBOUND DEF by SR,KYLE PATTERSON",1
13:41,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
13:41,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
13:41,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
13:41,,,,,"SUB OUT by DAVIS,RON",,,"SUB OUT by DAVIS,RON",1
13:37,"STEAL  by DENEKA,HARRISON",,,,,,,"STEAL  by DENEKA,HARRISON",1
13:33,,,,,"TURNOVER  by WEBBER,BRENT",,,"TURNOVER  by WEBBER,BRENT",1
13:29,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",14,,22 (+8),,17BSC-M 14-22 (-8),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",1
13:21,,,,,"MISS 3PTR by JONES,JUSTIN",,,"MISS 3PTR by JONES,JUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:11,"GOOD LAYUP by MOORE,KADEN(in the paint)",16,,22 (+6),,17BSC-M 16-22 (-6),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
13:11,,,,,"FOUL  by WORKS,JOHN",,,"FOUL  by WORKS,JOHN",1
13:11,"MISS FT by YANCEY,RICH",,,,,,,"MISS FT by YANCEY,RICH",1
--,,,,,"REBOUND DEF by ROBERTS,JOSHUA",,,"REBOUND DEF by ROBERTS,JOSHUA",1
13:11,,16,,24 (+8),"GOOD LAYUP by WORKS,JOHN(in the paint)",BU 16-24 (-8),,"GOOD LAYUP by WORKS,JOHN(in the paint)",1
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",1
13:11,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
13:11,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
13:11,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
13:11,"SUB OUT by LOVING,TAU",,,,,,,"SUB OUT by LOVING,TAU",1
13:11,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
13:11,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
13:11,,,,,"SUB IN by HEERINGEN,GIAN VAN",,,"SUB IN by HEERINGEN,GIAN VAN",1
13:11,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",1
13:11,,,,,"SUB IN by WORKS,JOHN",,,"SUB IN by WORKS,JOHN",1
13:11,,,,,"SUB IN by DURHAM,JONATHAN",,,"SUB IN by DURHAM,JONATHAN",1
13:11,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
13:11,,,,,"SUB OUT by WEBBER,BRENT",,,"SUB OUT by WEBBER,BRENT",1
13:11,,,,,"SUB OUT by RICHARDSON,TERIK",,,"SUB OUT by RICHARDSON,TERIK",1
13:11,,,,,"SUB OUT by SR,KYLE PATTERSON",,,"SUB OUT by SR,KYLE PATTERSON",1
12:26,,,,,"FOUL  by HEERINGEN,GIAN VAN",,,"FOUL  by HEERINGEN,GIAN VAN",1
12:16,"GOOD FT by DENEKA,HARRISON",17,,24 (+7),,17BSC-M 17-24 (-7),,"GOOD FT by DENEKA,HARRISON",1
12:16,"MISS FT by DENEKA,HARRISON",,,,,,,"MISS FT by DENEKA,HARRISON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:16,"FOUL  by GONDA,MATT",,,,,,,"FOUL  by GONDA,MATT",1
12:16,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
12:16,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
12:16,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
12:16,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
12:16,,,,,"SUB IN by MCCOY,TOMMY",,,"SUB IN by MCCOY,TOMMY",1
12:16,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
11:55,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",1
11:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:55,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
11:55,,,,,"SUB OUT by HEERINGEN,GIAN VAN",,,"SUB OUT by HEERINGEN,GIAN VAN",1
11:30,"GOOD JUMPER by RUDAK,MATEUSZ(in the paint)",19,,24 (+5),,17BSC-M 19-24 (-5),,"GOOD JUMPER by RUDAK,MATEUSZ(in the paint)",1
--,"ASSIST  by RUDAK,MATEUSZ",,,,,,,"ASSIST  by RUDAK,MATEUSZ",1
11:12,,,,,"MISS 3PTR by DURHAM,JONATHAN",,,"MISS 3PTR by DURHAM,JONATHAN",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
11:04,,,,,"FOUL  by MCCOY,TOMMY",,,"FOUL  by MCCOY,TOMMY",1
11:04,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:04,"GOOD FT by RUDAK,MATEUSZ",20,,24 (+4),,17BSC-M 20-24 (-4),,"GOOD FT by RUDAK,MATEUSZ",1
11:04,"GOOD FT by RUDAK,MATEUSZ",21,,24 (+3),,17BSC-M 21-24 (-3),,"GOOD FT by RUDAK,MATEUSZ",1
11:04,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
11:04,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
10:59,,21,,27 (+6),"GOOD 3PTR by ROBERTS,JOSHUA",BU 21-27 (-6),,"GOOD 3PTR by ROBERTS,JOSHUA",1
--,,,,,"ASSIST  by DURHAM,JONATHAN",,,"ASSIST  by DURHAM,JONATHAN",1
10:48,,,,,"FOUL  by ROBERTS,JOSHUA",,,"FOUL  by ROBERTS,JOSHUA",1
10:48,"GOOD FT by BUTLER,TERENCE",22,,27 (+5),,17BSC-M 22-27 (-5),,"GOOD FT by BUTLER,TERENCE",1
10:48,"GOOD FT by BUTLER,TERENCE",23,,27 (+4),,17BSC-M 23-27 (-4),,"GOOD FT by BUTLER,TERENCE",1
10:48,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
10:48,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
10:48,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
10:48,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
10:38,"STEAL  by BUTLER,TERENCE",,,,,,,"STEAL  by BUTLER,TERENCE",1
10:29,"GOOD LAYUP by BUTLER,TERENCE(fastbreak)(in the paint)",25,,27 (+2),,17BSC-M 25-27 (-2),,"GOOD LAYUP by BUTLER,TERENCE(fastbreak)(in the paint)",1
10:01,,,,,"MISS JUMPER by JONES,JUSTIN",,,"MISS JUMPER by JONES,JUSTIN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
09:44,"GOOD LAYUP by ALLISON,ZACH(in the paint)",27,,27,,17BSC-M 27-27 (0),,"GOOD LAYUP by ALLISON,ZACH(in the paint)",1
09:16,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
09:07,,,,,"FOUL  by DURHAM,JONATHAN",,,"FOUL  by DURHAM,JONATHAN",1
09:07,"MISS FT by ALLISON,ZACH",,,,,,,"MISS FT by ALLISON,ZACH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:07,"GOOD FT by ALLISON,ZACH",28 (+1),,27,,17BSC-M 28-27 (+1),,"GOOD FT by ALLISON,ZACH",1
09:07,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
09:07,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
09:07,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
09:07,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",1
09:07,,,,,"SUB IN by BROWN,ISIAH",,,"SUB IN by BROWN,ISIAH",1
09:07,,,,,"SUB IN by COLE,DAVID",,,"SUB IN by COLE,DAVID",1
09:07,,,,,"SUB IN by PRICE,VICTOR",,,"SUB IN by PRICE,VICTOR",1
09:07,,,,,"SUB IN by DAVIS,RON",,,"SUB IN by DAVIS,RON",1
09:07,,,,,"SUB IN by SR,KYLE PATTERSON",,,"SUB IN by SR,KYLE PATTERSON",1
09:07,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
09:07,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",1
09:07,,,,,"SUB OUT by WORKS,JOHN",,,"SUB OUT by WORKS,JOHN",1
09:07,,,,,"SUB OUT by MCCOY,TOMMY",,,"SUB OUT by MCCOY,TOMMY",1
09:07,,,,,"SUB OUT by DURHAM,JONATHAN",,,"SUB OUT by DURHAM,JONATHAN",1
08:49,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
08:25,,28,,30 (+2),"GOOD 3PTR by DAVIS,RON",BU 28-30 (-2),,"GOOD 3PTR by DAVIS,RON",1
08:16,"MISS JUMPER by SPENCE,BEN",,,,,,,"MISS JUMPER by SPENCE,BEN",1
--,,,,,"REBOUND DEF by BROWN,ISIAH",,,"REBOUND DEF by BROWN,ISIAH",1
08:06,,,,,"MISS JUMPER by SR,KYLE PATTERSON",,,"MISS JUMPER by SR,KYLE PATTERSON",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
08:00,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
07:44,"FOUL  by DENBESTIN,COLE",,,,,,,"FOUL  by DENBESTIN,COLE",1
07:44,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:35,,,,,"MISS 3PTR by BROWN,ISIAH",,,"MISS 3PTR by BROWN,ISIAH",1
--,,,,,"REBOUND OFF by DAVIS,RON",,,"REBOUND OFF by DAVIS,RON",1
07:27,,28,,32 (+4),"GOOD JUMPER by DAVIS,RON",BU 28-32 (-4),,"GOOD JUMPER by DAVIS,RON",1
07:19,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND OFF by YANCEY,RICH",,,,,,,"REBOUND OFF by YANCEY,RICH",1
07:07,,,,,"MISS 3PTR by WORKS,JOHN",,,"MISS 3PTR by WORKS,JOHN",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
06:48,,28,,34 (+6),"GOOD LAYUP by PRICE,VICTOR(in the paint)",BU 28-34 (-6),,"GOOD LAYUP by PRICE,VICTOR(in the paint)",1
06:43,,,,,"FOUL  by SR,KYLE PATTERSON",,,"FOUL  by SR,KYLE PATTERSON",1
06:43,"GOOD FT by ALLISON,ZACH",29,,34 (+5),,17BSC-M 29-34 (-5),,"GOOD FT by ALLISON,ZACH",1
06:43,"GOOD FT by ALLISON,ZACH",30,,34 (+4),,17BSC-M 30-34 (-4),,"GOOD FT by ALLISON,ZACH",1
06:43,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
06:43,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
06:43,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
06:43,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
06:43,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
06:43,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
06:41,,30,,36 (+6),"GOOD LAYUP by BROWN,ISIAH(in the paint)",BU 30-36 (-6),,"GOOD LAYUP by BROWN,ISIAH(in the paint)",1
--,,,,,"ASSIST  by SR,KYLE PATTERSON",,,"ASSIST  by SR,KYLE PATTERSON",1
06:34,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
06:34,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",1
06:34,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
06:34,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
06:34,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
06:34,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
06:34,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",1
06:34,,,,,"SUB OUT by DAVIS,RON",,,"SUB OUT by DAVIS,RON",1
06:30,"FOUL  by LOVING,JIBRI",,,,,,,"FOUL  by LOVING,JIBRI",1
06:13,,30,,39 (+9),"GOOD 3PTR by ROBERTS,JOSHUA",BU 30-39 (-9),,"GOOD 3PTR by ROBERTS,JOSHUA",1
--,,,,,"ASSIST  by PRICE,VICTOR",,,"ASSIST  by PRICE,VICTOR",1
06:02,"GOOD 3PTR by BAK,CALVIN",33,,39 (+6),,17BSC-M 33-39 (-6),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by BUTLER,TERENCE",,,,,,,"ASSIST  by BUTLER,TERENCE",1
05:53,,33,,41 (+8),"GOOD LAYUP by SR,KYLE PATTERSON(fastbreak)(in the paint)",BU 33-41 (-8),,"GOOD LAYUP by SR,KYLE PATTERSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BROWN,ISIAH",,,"ASSIST  by BROWN,ISIAH",1
05:47,,,,,"FOUL  by ROBERTS,JOSHUA",,,"FOUL  by ROBERTS,JOSHUA",1
05:47,"GOOD FT by SPENCE,BEN",34,,41 (+7),,17BSC-M 34-41 (-7),,"GOOD FT by SPENCE,BEN",1
05:47,"GOOD FT by SPENCE,BEN",35,,41 (+6),,17BSC-M 35-41 (-6),,"GOOD FT by SPENCE,BEN",1
05:47,,,,,"MISS 3PTR by WEBBER,BRENT",,,"MISS 3PTR by WEBBER,BRENT",1
