Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
19:46,,0,,2 (+2),"GOOD JUMPER by DENEKA,HARRISON(in the paint)",17BSC-M 0-2 (+2),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
19:26,"GOOD 3PTR by GRANT,SHE'CHEM",3 (+1),,2,,MILMB 3-2 (-1),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
18:50,,3,,4 (+1),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",17BSC-M 3-4 (+1),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
18:26,"MISS LAYUP by TURNER,JAMES",,,,,,,"MISS LAYUP by TURNER,JAMES",1
--,"REBOUND OFF by SULLIVAN,MICHAEL",,,,,,,"REBOUND OFF by SULLIVAN,MICHAEL",1
18:23,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",5 (+1),,4,,MILMB 5-4 (-1),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",1
18:09,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
17:57,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by BAK,CALVIN",,,"REBOUND DEF by BAK,CALVIN",1
17:46,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
17:46,,5,,5,"GOOD FT by ALLISON,ZACH",17BSC-M 5-5 (0),,"GOOD FT by ALLISON,ZACH",1
17:46,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
17:46,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
