Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:44,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
19:39,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2 (+2),,0,,17BSC-M 2-0 (+2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
19:25,,,,,"MISS 3PTR by HOLLIS,MITCHELL",,,"MISS 3PTR by HOLLIS,MITCHELL",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
19:17,,,,,"FOUL  by MITCHELL,JAMES",,,"FOUL  by MITCHELL,JAMES",1
19:08,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",4 (+4),,0,,17BSC-M 4-0 (+4),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by MOORE,KADEN",,,,,,,"ASSIST  by MOORE,KADEN",1
18:44,,4 (+2),,2,"GOOD JUMPER by TWAGIRAYEZU,PATJO(in the paint)",CCM 4-2 (+2),,"GOOD JUMPER by TWAGIRAYEZU,PATJO(in the paint)",1
18:30,"MISS 3PTR by MOORE,KADEN",,,,,,,"MISS 3PTR by MOORE,KADEN",1
--,"REBOUND OFF by BAK,CALVIN",,,,,,,"REBOUND OFF by BAK,CALVIN",1
18:25,"GOOD LAYUP by BAK,CALVIN(in the paint)",6 (+4),,2,,17BSC-M 6-2 (+4),,"GOOD LAYUP by BAK,CALVIN(in the paint)",1
18:17,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
17:59,"TURNOVER  by RUDAK,MATEUSZ",,,,,,,"TURNOVER  by RUDAK,MATEUSZ",1
17:58,,,,,"STEAL  by HAYNES,CALEB",,,"STEAL  by HAYNES,CALEB",1
