Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
17:46,,,,,"MISS JUMPER by TWAGIRAYEZU,PATJO",,,"MISS JUMPER by TWAGIRAYEZU,PATJO",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:28,,,,,"MISS 3PTR by DRYDEN,BERTO",,,"MISS 3PTR by DRYDEN,BERTO",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
17:00,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",1
17:00,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",1
17:00,,,,,"SUB IN by JAUCH,JARED",,,"SUB IN by JAUCH,JARED",1
17:00,,,,,"SUB OUT by MITCHELL,JAMES",,,"SUB OUT by MITCHELL,JAMES",1
17:00,,,,,"SUB OUT by HOLLIS,MITCHELL",,,"SUB OUT by HOLLIS,MITCHELL",1
16:53,"FOUL  by ALLISON,ZACH",,,,,,,"FOUL  by ALLISON,ZACH",1
16:53,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
16:53,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
16:40,,6 (+2),,4,"GOOD LAYUP by HAYNES,CALEB(in the paint)",CCM 6-4 (+2),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
--,,,,,"ASSIST  by DRYDEN,BERTO",,,"ASSIST  by DRYDEN,BERTO",1
16:30,"GOOD LAYUP by ALLISON,ZACH(in the paint)",8 (+4),,4,,17BSC-M 8-4 (+4),,"GOOD LAYUP by ALLISON,ZACH(in the paint)",1
16:18,,,,,"MISS LAYUP by HAYNES,CALEB",,,"MISS LAYUP by HAYNES,CALEB",1
--,"REBOUND DEF by BUTLER,TERENCE",,,,,,,"REBOUND DEF by BUTLER,TERENCE",1
16:10,"TURNOVER  by BUTLER,TERENCE",,,,,,,"TURNOVER  by BUTLER,TERENCE",1
16:09,,,,,"STEAL  by SPRAGG,BAILEY",,,"STEAL  by SPRAGG,BAILEY",1
16:04,,,,,"MISS LAYUP by TWAGIRAYEZU,PATJO",,,"MISS LAYUP by TWAGIRAYEZU,PATJO",1
--,"REBOUND DEF by BUTLER,TERENCE",,,,,,,"REBOUND DEF by BUTLER,TERENCE",1
15:51,"MISS JUMPER by RUDAK,MATEUSZ",,,,,,,"MISS JUMPER by RUDAK,MATEUSZ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:50,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",1
15:50,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
15:50,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
15:50,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
15:50,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
15:50,,,,,"SUB IN by BRYAN,WILLIAM",,,"SUB IN by BRYAN,WILLIAM",1
15:50,,,,,"SUB IN by MITCHELL,JAMES",,,"SUB IN by MITCHELL,JAMES",1
15:50,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",1
15:50,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",1
15:43,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:42,,,,,"FOUL  by BRYAN,WILLIAM",,,"FOUL  by BRYAN,WILLIAM",1
15:22,,,,,"FOUL  by BRYAN,WILLIAM",,,"FOUL  by BRYAN,WILLIAM",1
15:22,"GOOD FT by RUDAK,MATEUSZ",9 (+5),,4,,17BSC-M 9-4 (+5),,"GOOD FT by RUDAK,MATEUSZ",1
15:22,"GOOD FT by RUDAK,MATEUSZ",10 (+6),,4,,17BSC-M 10-4 (+6),,"GOOD FT by RUDAK,MATEUSZ",1
15:22,,,,,"SUB IN by HOLLIS,MITCHELL",,,"SUB IN by HOLLIS,MITCHELL",1
15:22,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
15:15,,10 (+3),,7,"GOOD 3PTR by MITCHELL,JAMES",CCM 10-7 (+3),,"GOOD 3PTR by MITCHELL,JAMES",1
--,,,,,"ASSIST  by SPRAGG,BAILEY",,,"ASSIST  by SPRAGG,BAILEY",1
14:59,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND OFF by DENBESTIN,COLE",,,,,,,"REBOUND OFF by DENBESTIN,COLE",1
14:55,"TURNOVER  by DENBESTIN,COLE",,,,,,,"TURNOVER  by DENBESTIN,COLE",1
14:55,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",1
14:55,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
14:35,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",1
--,,,,,"REBOUND OFF by BRYAN,WILLIAM",,,"REBOUND OFF by BRYAN,WILLIAM",1
14:29,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",1
--,"REBOUND DEF by BUTLER,TERENCE",,,,,,,"REBOUND DEF by BUTLER,TERENCE",1
14:21,"GOOD JUMPER by BUTLER,TERENCE",12 (+5),,7,,17BSC-M 12-7 (+5),,"GOOD JUMPER by BUTLER,TERENCE",1
14:01,,,,,"MISS LAYUP by BRYAN,WILLIAM",,,"MISS LAYUP by BRYAN,WILLIAM",1
14:01,"BLOCK  by LOVING,JIBRI",,,,,,,"BLOCK  by LOVING,JIBRI",1
--,"REBOUND DEF by BUTLER,TERENCE",,,,,,,"REBOUND DEF by BUTLER,TERENCE",1
13:54,"GOOD 3PTR by SPENCE,BEN",15 (+8),,7,,17BSC-M 15-7 (+8),,"GOOD 3PTR by SPENCE,BEN",1
--,"ASSIST  by BUTLER,TERENCE",,,,,,,"ASSIST  by BUTLER,TERENCE",1
13:39,"FOUL  by LOVING,JIBRI",,,,,,,"FOUL  by LOVING,JIBRI",1
13:39,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
13:39,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
13:39,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
13:39,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
13:39,,,,,"SUB IN by TWAGIRAYEZU,PATJO",,,"SUB IN by TWAGIRAYEZU,PATJO",1
13:39,,,,,"SUB IN by MOORE,BEN",,,"SUB IN by MOORE,BEN",1
13:39,,,,,"SUB OUT by BRYAN,WILLIAM",,,"SUB OUT by BRYAN,WILLIAM",1
13:39,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
13:29,,15 (+5),,10,"GOOD 3PTR by MITCHELL,JAMES",CCM 15-10 (+5),,"GOOD 3PTR by MITCHELL,JAMES",1
--,,,,,"ASSIST  by TWAGIRAYEZU,PATJO",,,"ASSIST  by TWAGIRAYEZU,PATJO",1
13:05,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
13:02,,,,,"FOUL  by TWAGIRAYEZU,PATJO",,,"FOUL  by TWAGIRAYEZU,PATJO",1
13:02,"MISS FT by DENEKA,HARRISON",,,,,,,"MISS FT by DENEKA,HARRISON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:02,"GOOD FT by DENEKA,HARRISON",16 (+6),,10,,17BSC-M 16-10 (+6),,"GOOD FT by DENEKA,HARRISON",1
13:02,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
13:02,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",1
13:02,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",1
13:02,,,,,"SUB OUT by MOORE,BEN",,,"SUB OUT by MOORE,BEN",1
12:48,,16 (+3),,13,"GOOD 3PTR by MITCHELL,JAMES",CCM 16-13 (+3),,"GOOD 3PTR by MITCHELL,JAMES",1
--,,,,,"ASSIST  by HOLLIS,MITCHELL",,,"ASSIST  by HOLLIS,MITCHELL",1
12:29,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by JAUCH,JARED",,,"REBOUND DEF by JAUCH,JARED",1
12:09,,,,,"MISS JUMPER by TWAGIRAYEZU,PATJO",,,"MISS JUMPER by TWAGIRAYEZU,PATJO",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
11:55,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,"REBOUND DEF by TWAGIRAYEZU,PATJO",1
11:47,,,,,"MISS 3PTR by CRUMLY,WILL",,,"MISS 3PTR by CRUMLY,WILL",1
--,,,,,"REBOUND OFF by HOLLIS,MITCHELL",,,"REBOUND OFF by HOLLIS,MITCHELL",1
11:39,"FOUL  by DENBESTIN,COLE",,,,,,,"FOUL  by DENBESTIN,COLE",1
11:39,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
11:39,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
11:39,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
11:39,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",1
11:39,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
11:39,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
11:39,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",1
11:39,,,,,"SUB IN by BRIGHT,STEFON",,,"SUB IN by BRIGHT,STEFON",1
11:39,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",1
11:39,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",1
11:39,,,,,"SUB OUT by JAUCH,JARED",,,"SUB OUT by JAUCH,JARED",1
11:39,,,,,"SUB OUT by HOLLIS,MITCHELL",,,"SUB OUT by HOLLIS,MITCHELL",1
11:27,,,,,"MISS 3PTR by BRIGHT,STEFON",,,"MISS 3PTR by BRIGHT,STEFON",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
11:17,,,,,"FOUL  by HAYNES,CALEB",,,"FOUL  by HAYNES,CALEB",1
11:17,"GOOD FT by RUDAK,MATEUSZ",17 (+4),,13,,17BSC-M 17-13 (+4),,"GOOD FT by RUDAK,MATEUSZ",1
11:17,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by BRIGHT,STEFON",,,"REBOUND DEF by BRIGHT,STEFON",1
10:59,,,,,"MISS LAYUP by BRIGHT,STEFON",,,"MISS LAYUP by BRIGHT,STEFON",1
10:59,"BLOCK  by MOORE,KADEN",,,,,,,"BLOCK  by MOORE,KADEN",1
--,,,,,"REBOUND OFF by BRIGHT,STEFON",,,"REBOUND OFF by BRIGHT,STEFON",1
10:56,,,,,"MISS LAYUP by BRIGHT,STEFON",,,"MISS LAYUP by BRIGHT,STEFON",1
10:56,"BLOCK  by MOORE,KADEN",,,,,,,"BLOCK  by MOORE,KADEN",1
--,"REBOUND DEF by BAK,CALVIN",,,,,,,"REBOUND DEF by BAK,CALVIN",1
10:48,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",1
10:47,,,,,"STEAL  by BRIGHT,STEFON",,,"STEAL  by BRIGHT,STEFON",1
10:34,,17 (+1),,16,"GOOD 3PTR by TWAGIRAYEZU,PATJO",CCM 17-16 (+1),,"GOOD 3PTR by TWAGIRAYEZU,PATJO",1
--,,,,,"ASSIST  by BRIGHT,STEFON",,,"ASSIST  by BRIGHT,STEFON",1
10:11,"GOOD 3PTR by MOORE,KADEN",20 (+4),,16,,17BSC-M 20-16 (+4),,"GOOD 3PTR by MOORE,KADEN",1
--,"ASSIST  by DENEKA,HARRISON",,,,,,,"ASSIST  by DENEKA,HARRISON",1
10:00,"FOUL  by ALLISON,ZACH",,,,,,,"FOUL  by ALLISON,ZACH",1
10:00,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
10:00,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
09:44,,,,,"MISS LAYUP by DRYDEN,BERTO",,,"MISS LAYUP by DRYDEN,BERTO",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
09:32,"MISS LAYUP by BAK,CALVIN",,,,,,,"MISS LAYUP by BAK,CALVIN",1
--,,,,,"REBOUND DEF by DRYDEN,BERTO",,,"REBOUND DEF by DRYDEN,BERTO",1
09:24,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:21,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
09:21,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
09:09,"TURNOVER  by RUDAK,MATEUSZ",,,,,,,"TURNOVER  by RUDAK,MATEUSZ",1
09:08,,,,,"STEAL  by BRIGHT,STEFON",,,"STEAL  by BRIGHT,STEFON",1
09:05,,,,,"MISS LAYUP by BRIGHT,STEFON",,,"MISS LAYUP by BRIGHT,STEFON",1
--,,,,,"REBOUND OFF by HAYNES,CALEB",,,"REBOUND OFF by HAYNES,CALEB",1
09:01,,20 (+1),,19,"GOOD 3PTR by MITCHELL,JAMES",CCM 20-19 (+1),,"GOOD 3PTR by MITCHELL,JAMES",1
--,,,,,"ASSIST  by BRIGHT,STEFON",,,"ASSIST  by BRIGHT,STEFON",1
08:51,"TURNOVER  by GONDA,MATT",,,,,,,"TURNOVER  by GONDA,MATT",1
08:51,,,,,"STEAL  by TWAGIRAYEZU,PATJO",,,"STEAL  by TWAGIRAYEZU,PATJO",1
08:46,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
08:37,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",1
08:18,,,,,"MISS LAYUP by HAYNES,CALEB",,,"MISS LAYUP by HAYNES,CALEB",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
08:09,"GOOD LAYUP by GONDA,MATT(in the paint)",22 (+3),,19,,17BSC-M 22-19 (+3),,"GOOD LAYUP by GONDA,MATT(in the paint)",1
08:07,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
08:07,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
08:07,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
08:07,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
08:07,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
08:07,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
08:07,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
08:07,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",1
08:07,,,,,"SUB IN by BRYAN,WILLIAM",,,"SUB IN by BRYAN,WILLIAM",1
08:07,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",1
08:07,,,,,"SUB IN by JAUCH,JARED",,,"SUB IN by JAUCH,JARED",1
08:07,,,,,"SUB IN by HOLLIS,MITCHELL",,,"SUB IN by HOLLIS,MITCHELL",1
08:07,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",1
08:07,,,,,"SUB OUT by MITCHELL,JAMES",,,"SUB OUT by MITCHELL,JAMES",1
08:07,,,,,"SUB OUT by BRIGHT,STEFON",,,"SUB OUT by BRIGHT,STEFON",1
08:07,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
08:00,,,,,"MISS 3PTR by HOLLIS,MITCHELL",,,"MISS 3PTR by HOLLIS,MITCHELL",1
--,,,,,"REBOUND OFF by TWAGIRAYEZU,PATJO",,,"REBOUND OFF by TWAGIRAYEZU,PATJO",1
07:56,,22 (+1),,21,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",CCM 22-21 (+1),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",1
07:48,,,,,"FOUL  by JAUCH,JARED",,,"FOUL  by JAUCH,JARED",1
07:48,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
07:48,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
07:17,"TURNOVER  by RUDAK,MATEUSZ",,,,,,,"TURNOVER  by RUDAK,MATEUSZ",1
07:17,,,,,"STEAL  by BRYAN,WILLIAM",,,"STEAL  by BRYAN,WILLIAM",1
07:17,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
07:17,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
07:07,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:05,,,,,"FOUL  by BRYAN,WILLIAM",,,"FOUL  by BRYAN,WILLIAM",1
07:05,"GOOD FT by SPENCE,BEN",23 (+2),,21,,17BSC-M 23-21 (+2),,"GOOD FT by SPENCE,BEN",1
07:05,"GOOD FT by SPENCE,BEN",24 (+3),,21,,17BSC-M 24-21 (+3),,"GOOD FT by SPENCE,BEN",1
07:05,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
07:05,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",1
07:05,,,,,"SUB IN by MOORE,BEN",,,"SUB IN by MOORE,BEN",1
07:05,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",1
07:05,,,,,"SUB OUT by BRYAN,WILLIAM",,,"SUB OUT by BRYAN,WILLIAM",1
07:05,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",1
06:48,,,,,"TURNOVER  by MOORE,BEN",,,"TURNOVER  by MOORE,BEN",1
06:46,"STEAL  by MOORE,KADEN",,,,,,,"STEAL  by MOORE,KADEN",1
06:30,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
06:20,,,,,"TURNOVER  by SPRAGG,BAILEY",,,"TURNOVER  by SPRAGG,BAILEY",1
06:19,"STEAL  by DENBESTIN,COLE",,,,,,,"STEAL  by DENBESTIN,COLE",1
06:11,"MISS JUMPER by SPENCE,BEN",,,,,,,"MISS JUMPER by SPENCE,BEN",1
--,,,,,"REBOUND DEF by JAUCH,JARED",,,"REBOUND DEF by JAUCH,JARED",1
05:56,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
05:56,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
05:56,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",1
05:56,,,,,"SUB OUT by MOORE,BEN",,,"SUB OUT by MOORE,BEN",1
05:48,,,,,"MISS 3PTR by SPRAGG,BAILEY",,,"MISS 3PTR by SPRAGG,BAILEY",1
--,,,,,"REBOUND OFF by HOLLIS,MITCHELL",,,"REBOUND OFF by HOLLIS,MITCHELL",1
05:42,,24,,24,"GOOD 3PTR by CRUMLY,WILL",CCM 24-24 (0),,"GOOD 3PTR by CRUMLY,WILL",1
--,,,,,"ASSIST  by HOLLIS,MITCHELL",,,"ASSIST  by HOLLIS,MITCHELL",1
05:22,"MISS JUMPER by DENBESTIN,COLE",,,,,,,"MISS JUMPER by DENBESTIN,COLE",1
--,"REBOUND OFF by MOORE,KADEN",,,,,,,"REBOUND OFF by MOORE,KADEN",1
05:17,"GOOD LAYUP by MOORE,KADEN(in the paint)",26 (+2),,24,,17BSC-M 26-24 (+2),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
05:00,,26,,26,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",CCM 26-26 (0),,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",1
04:38,,,,,"FOUL  by HAYNES,CALEB",,,"FOUL  by HAYNES,CALEB",1
04:38,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by HOLLIS,MITCHELL",,,"REBOUND DEF by HOLLIS,MITCHELL",1
04:38,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
04:38,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
04:38,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
04:38,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
04:31,,,,,"MISS 3PTR by CRUMLY,WILL",,,"MISS 3PTR by CRUMLY,WILL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:04,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
04:04,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
04:04,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",1
04:04,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
04:04,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
04:04,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
04:04,,,,,"SUB IN by TWAGIRAYEZU,PATJO",,,"SUB IN by TWAGIRAYEZU,PATJO",1
04:04,,,,,"SUB IN by MITCHELL,JAMES",,,"SUB IN by MITCHELL,JAMES",1
04:04,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",1
04:04,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",1
04:04,,,,,"SUB OUT by JAUCH,JARED",,,"SUB OUT by JAUCH,JARED",1
04:04,,,,,"SUB OUT by HOLLIS,MITCHELL",,,"SUB OUT by HOLLIS,MITCHELL",1
03:51,,,,,"TURNOVER  by SPRAGG,BAILEY",,,"TURNOVER  by SPRAGG,BAILEY",1
03:50,"STEAL  by LOVING,JIBRI",,,,,,,"STEAL  by LOVING,JIBRI",1
03:40,"GOOD JUMPER by MOORE,KADEN(in the paint)",28 (+2),,26,,17BSC-M 28-26 (+2),,"GOOD JUMPER by MOORE,KADEN(in the paint)",1
03:30,"FOUL  by LOVING,JIBRI",,,,,,,"FOUL  by LOVING,JIBRI",1
03:30,,,,,"MISS FT by HAYNES,CALEB",,,"MISS FT by HAYNES,CALEB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:30,,28 (+1),,27,"GOOD FT by HAYNES,CALEB",CCM 28-27 (+1),,"GOOD FT by HAYNES,CALEB",1
03:30,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
03:30,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
03:30,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
03:30,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
03:30,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",1
03:30,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",1
03:05,"MISS LAYUP by RUDAK,MATEUSZ",,,,,,,"MISS LAYUP by RUDAK,MATEUSZ",1
03:05,,,,,"BLOCK  by HAYNES,CALEB",,,"BLOCK  by HAYNES,CALEB",1
