Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:45,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
19:36,"MISS JUMPER by MOORE,MILES",,,,,,,"MISS JUMPER by MOORE,MILES",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
19:10,,,,,"MISS JUMPER by BAK,CALVIN",,,"MISS JUMPER by BAK,CALVIN",1
--,,,,,"REBOUND OFF by YANCEY,RICH",,,"REBOUND OFF by YANCEY,RICH",1
19:02,,0,,2 (+2),"GOOD LAYUP by YANCEY,RICH(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
18:52,"GOOD JUMPER by HIRSH,ELIJAH",2,,2,,BCM 2-2 (0),,"GOOD JUMPER by HIRSH,ELIJAH",1
18:21,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
18:12,"MISS LAYUP by MOORE,MILES",,,,,,,"MISS LAYUP by MOORE,MILES",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
17:58,"FOUL  by FORTE,MCCARTY",,,,,,,"FOUL  by FORTE,MCCARTY",1
17:58,,2,,3 (+1),"GOOD FT by YANCEY,RICH",BSC 2-3 (+1),,"GOOD FT by YANCEY,RICH",1
17:58,,2,,4 (+2),"GOOD FT by YANCEY,RICH",BSC 2-4 (+2),,"GOOD FT by YANCEY,RICH",1
17:43,"GOOD 3PTR by MCCLOUD,ALTON",5 (+1),,4,,BCM 5-4 (-1),,"GOOD 3PTR by MCCLOUD,ALTON",1
