Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
18:59,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
18:59,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
18:43,,31,,41 (+10),"GOOD JUMPER by BLANZ,BUCK",MILMB 31-41 (-10),,"GOOD JUMPER by BLANZ,BUCK",2
18:22,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",2
18:15,"TURNOVER  by MURPHY,JUWAN",,,,,,,"TURNOVER  by MURPHY,JUWAN",2
18:13,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",2
18:10,,31,,43 (+12),"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",MILMB 31-43 (-12),,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",2
17:56,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
17:44,,31,,46 (+15),"GOOD 3PTR by BLANZ,BUCK",MILMB 31-46 (-15),,"GOOD 3PTR by BLANZ,BUCK",2
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",2
17:32,"MISS LAYUP by RUDAK,MATEUSZ",,,,,,,"MISS LAYUP by RUDAK,MATEUSZ",2
--,"REBOUND OFF by RUDAK,MATEUSZ",,,,,,,"REBOUND OFF by RUDAK,MATEUSZ",2
17:28,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",33,,46 (+13),,17BSC-M 33-46 (-13),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",2
17:01,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",2
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",2
17:01,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",2
17:01,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
17:01,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",2
17:01,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",2
17:01,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
17:01,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",2
17:01,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
16:43,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by BURNETT,DREW",,,"REBOUND DEF by BURNETT,DREW",2
16:15,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
16:15,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
16:09,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:03,"SUB IN by LOVING,TAU",,,,,,,"SUB IN by LOVING,TAU",2
16:03,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
15:41,"GOOD 3PTR by MURPHY,JUWAN",36,,46 (+10),,17BSC-M 36-46 (-10),,"GOOD 3PTR by MURPHY,JUWAN",2
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",2
15:17,,36,,48 (+12),"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",MILMB 36-48 (-12),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
15:02,"MISS 3PTR by JR,BRUCE BRIGHT",,,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",2
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",2
14:53,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by DENBESTEN,COLE",,,,,,,"REBOUND DEF by DENBESTEN,COLE",2
14:32,"GOOD JUMPER by JR,BRUCE BRIGHT",38,,48 (+10),,17BSC-M 38-48 (-10),,"GOOD JUMPER by JR,BRUCE BRIGHT",2
14:10,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
14:10,,,,,"MISS FT by BLANZ,BUCK",,,"MISS FT by BLANZ,BUCK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:10,,38,,49 (+11),"GOOD FT by BLANZ,BUCK",MILMB 38-49 (-11),,"GOOD FT by BLANZ,BUCK",2
14:10,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
14:10,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",2
14:10,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",2
14:10,"SUB IN by HARTER,J MORGAN",,,,,,,"SUB IN by HARTER,J MORGAN",2
14:10,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",2
14:10,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
14:10,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",2
14:10,"SUB OUT by LOVING,TAU",,,,,,,"SUB OUT by LOVING,TAU",2
14:10,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",2
14:10,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",2
14:10,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
14:10,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
14:10,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
14:10,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
14:10,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",2
14:10,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
13:57,"MISS LAYUP by YANCEY,RICH",,,,,,,"MISS LAYUP by YANCEY,RICH",2
13:57,,,,,"BLOCK  by BURNETT,DREW",,,"BLOCK  by BURNETT,DREW",2
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",2
13:32,,38,,51 (+13),"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",MILMB 38-51 (-13),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",2
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",2
13:24,"GOOD LAYUP by YANCEY,RICH(in the paint)",40,,51 (+11),,17BSC-M 40-51 (-11),,"GOOD LAYUP by YANCEY,RICH(in the paint)",2
13:03,,40,,54 (+14),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 40-54 (-14),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",2
12:45,"MISS LAYUP by YANCEY,RICH",,,,,,,"MISS LAYUP by YANCEY,RICH",2
--,,,,,"REBOUND DEF by BURNETT,DREW",,,"REBOUND DEF by BURNETT,DREW",2
12:26,,40,,57 (+17),"GOOD 3PTR by BURNETT,DREW",MILMB 40-57 (-17),,"GOOD 3PTR by BURNETT,DREW",2
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",2
12:21,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",2
12:21,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",2
12:21,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
12:21,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",2
12:21,"SUB OUT by HARTER,J MORGAN",,,,,,,"SUB OUT by HARTER,J MORGAN",2
12:21,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
12:21,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",2
12:21,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",2
12:21,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",2
12:03,"MISS LAYUP by YANCEY,RICH",,,,,,,"MISS LAYUP by YANCEY,RICH",2
--,,,,,"REBOUND DEF by OWENS,MATT",,,"REBOUND DEF by OWENS,MATT",2
11:42,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",2
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",2
11:33,"TURNOVER  by GONDA,MATT",,,,,,,"TURNOVER  by GONDA,MATT",2
11:32,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",2
11:25,,40,,60 (+20),"GOOD 3PTR by GRANT,SHE'CHEM",MILMB 40-60 (-20),,"GOOD 3PTR by GRANT,SHE'CHEM",2
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",2
11:17,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:17,"SUB IN by HARTER,J MORGAN",,,,,,,"SUB IN by HARTER,J MORGAN",2
11:17,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",2
11:17,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
11:17,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
10:54,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:49,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
10:49,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
10:49,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",2
10:48,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
10:48,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
10:48,"MISS FT by DENEKA,HARRISON",,,,,,,"MISS FT by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",2
10:48,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",2
10:48,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
10:25,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
10:03,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
10:01,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
09:54,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
09:53,"STEAL  by DENEKA,HARRISON",,,,,,,"STEAL  by DENEKA,HARRISON",2
09:39,"MISS LAYUP by MURPHY,JUWAN",,,,,,,"MISS LAYUP by MURPHY,JUWAN",2
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",2
09:17,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",2
09:17,,,,,"TURNOVER  by BURNETT,DREW",,,"TURNOVER  by BURNETT,DREW",2
09:17,,,,,"FOUL  by BURNETT,DREW",,,"FOUL  by BURNETT,DREW",2
09:17,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",2
09:17,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",2
09:17,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",2
09:17,"SUB OUT by HARTER,J MORGAN",,,,,,,"SUB OUT by HARTER,J MORGAN",2
09:17,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
09:17,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",2
09:13,"GOOD LAYUP by SPENCE,BEN(in the paint)",42,,60 (+18),,17BSC-M 42-60 (-18),,"GOOD LAYUP by SPENCE,BEN(in the paint)",2
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",2
08:46,,42,,63 (+21),"GOOD 3PTR by GRANT,SHE'CHEM",MILMB 42-63 (-21),,"GOOD 3PTR by GRANT,SHE'CHEM",2
--,,,,,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",2
08:35,"TURNOVER  by JR,BRUCE BRIGHT",,,,,,,"TURNOVER  by JR,BRUCE BRIGHT",2
08:33,,,,,"STEAL  by GRANT,SHE'CHEM",,,"STEAL  by GRANT,SHE'CHEM",2
08:05,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
08:05,,42,,64 (+22),"GOOD FT by BURNETT,DREW",MILMB 42-64 (-22),,"GOOD FT by BURNETT,DREW",2
08:05,,42,,65 (+23),"GOOD FT by BURNETT,DREW",MILMB 42-65 (-23),,"GOOD FT by BURNETT,DREW",2
08:05,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
08:05,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",2
08:05,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
08:05,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",2
08:05,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
08:05,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",2
08:05,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
08:05,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
07:52,"MISS LAYUP by BAK,CALVIN",,,,,,,"MISS LAYUP by BAK,CALVIN",2
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",2
07:24,,42,,67 (+25),"GOOD LAYUP by MILLER,JOSHUA(in the paint)",MILMB 42-67 (-25),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",2
07:15,"GOOD LAYUP by SPENCE,BEN(in the paint)",44,,67 (+23),,17BSC-M 44-67 (-23),,"GOOD LAYUP by SPENCE,BEN(in the paint)",2
--,"ASSIST  by DENBESTEN,COLE",,,,,,,"ASSIST  by DENBESTEN,COLE",2
06:58,,44,,70 (+26),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 44-70 (-26),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
06:37,"MISS JUMPER by SPENCE,BEN",,,,,,,"MISS JUMPER by SPENCE,BEN",2
--,"REBOUND OFF by YANCEY,RICH",,,,,,,"REBOUND OFF by YANCEY,RICH",2
06:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
06:33,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
06:33,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
06:33,,,,,"SUB IN by CARVELLI,CAMERON",,,"SUB IN by CARVELLI,CAMERON",2
06:33,,,,,"SUB IN by LEONCE,JOSH",,,"SUB IN by LEONCE,JOSH",2
06:33,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",2
06:33,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
06:25,"GOOD 3PTR by BAK,CALVIN",47,,70 (+23),,17BSC-M 47-70 (-23),,"GOOD 3PTR by BAK,CALVIN",2
06:19,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",2
06:19,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",2
06:01,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",2
06:01,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
05:58,,47,,72 (+25),"GOOD LAYUP by LEONCE,JOSH(in the paint)",MILMB 47-72 (-25),,"GOOD LAYUP by LEONCE,JOSH(in the paint)",2
05:52,"TURNOVER  by YANCEY,RICH",,,,,,,"TURNOVER  by YANCEY,RICH",2
05:52,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
05:52,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",2
05:52,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
05:52,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
05:52,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
05:52,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
05:35,,,,,"MISS LAYUP by CARVELLI,CAMERON",,,"MISS LAYUP by CARVELLI,CAMERON",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
05:27,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND OFF by RUDAK,MATEUSZ",,,,,,,"REBOUND OFF by RUDAK,MATEUSZ",2
05:19,"GOOD 3PTR by DENBESTEN,COLE",50,,72 (+22),,17BSC-M 50-72 (-22),,"GOOD 3PTR by DENBESTEN,COLE",2
--,"ASSIST  by RUDAK,MATEUSZ",,,,,,,"ASSIST  by RUDAK,MATEUSZ",2
04:46,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",2
--,,,,,"REBOUND OFF by OWENS,MATT",,,"REBOUND OFF by OWENS,MATT",2
04:42,,50,,74 (+24),"GOOD LAYUP by OWENS,MATT(in the paint)",MILMB 50-74 (-24),,"GOOD LAYUP by OWENS,MATT(in the paint)",2
04:32,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",2
04:31,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",2
04:16,,,,,"MISS LAYUP by COLEMAN,DANIEL",,,"MISS LAYUP by COLEMAN,DANIEL",2
04:16,"BLOCK  by RUDAK,MATEUSZ",,,,,,,"BLOCK  by RUDAK,MATEUSZ",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
04:16,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",2
04:16,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",2
04:01,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
03:55,,,,,"FOUL  by CARVELLI,CAMERON",,,"FOUL  by CARVELLI,CAMERON",2
03:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:55,"GOOD FT by STEWART,CHRISTIAN",51,,74 (+23),,17BSC-M 51-74 (-23),,"GOOD FT by STEWART,CHRISTIAN",2
03:55,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",2
--,"REBOUND OFF by JR,BRUCE BRIGHT",,,,,,,"REBOUND OFF by JR,BRUCE BRIGHT",2
03:55,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",2
03:55,"SUB IN by HARTER,J MORGAN",,,,,,,"SUB IN by HARTER,J MORGAN",2
03:55,"SUB IN by MCCURRY,CONAL",,,,,,,"SUB IN by MCCURRY,CONAL",2
03:55,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",2
03:55,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
03:55,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",2
03:51,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",2
03:51,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:51,"GOOD FT by STEWART,CHRISTIAN",52,,74 (+22),,17BSC-M 52-74 (-22),,"GOOD FT by STEWART,CHRISTIAN",2
03:51,,,,,"SUB IN by JR,RONALD WILLIAMS",,,"SUB IN by JR,RONALD WILLIAMS",2
03:51,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
03:28,,52,,77 (+25),"GOOD 3PTR by LEONCE,JOSH",MILMB 52-77 (-25),,"GOOD 3PTR by LEONCE,JOSH",2
--,,,,,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",2
03:08,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",54,,77 (+23),,17BSC-M 54-77 (-23),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
02:41,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
02:24,,,,,"FOUL  by COLEMAN,DANIEL",,,"FOUL  by COLEMAN,DANIEL",2
02:24,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:24,"GOOD FT by STEWART,CHRISTIAN",55,,77 (+22),,17BSC-M 55-77 (-22),,"GOOD FT by STEWART,CHRISTIAN",2
02:24,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
02:24,"SUB IN by LOVING,TAU",,,,,,,"SUB IN by LOVING,TAU",2
02:24,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
02:24,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",2
02:24,,,,,"SUB IN by II,DERRICK BURT",,,"SUB IN by II,DERRICK BURT",2
02:24,,,,,"SUB IN by MANNING,JOHNATHAN",,,"SUB IN by MANNING,JOHNATHAN",2
02:24,,,,,"SUB OUT by LEONCE,JOSH",,,"SUB OUT by LEONCE,JOSH",2
02:24,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",2
01:51,,,,,"MISS LAYUP by II,DERRICK BURT",,,"MISS LAYUP by II,DERRICK BURT",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
01:42,"GOOD 3PTR by LOVING,TAU",58,,77 (+19),,17BSC-M 58-77 (-19),,"GOOD 3PTR by LOVING,TAU",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
01:16,,,,,"MISS LAYUP by JR,RONALD WILLIAMS",,,"MISS LAYUP by JR,RONALD WILLIAMS",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
00:54,"MISS 3PTR by LOVING,JIBRI",,,,,,,"MISS 3PTR by LOVING,JIBRI",2
--,,,,,"REBOUND DEF by JR,RONALD WILLIAMS",,,"REBOUND DEF by JR,RONALD WILLIAMS",2
00:39,"FOUL  by LOVING,JIBRI",,,,,,,"FOUL  by LOVING,JIBRI",2
00:39,,58,,78 (+20),"GOOD FT by JR,RONALD WILLIAMS",MILMB 58-78 (-20),,"GOOD FT by JR,RONALD WILLIAMS",2
00:39,,58,,79 (+21),"GOOD FT by JR,RONALD WILLIAMS",MILMB 58-79 (-21),,"GOOD FT by JR,RONALD WILLIAMS",2
00:24,"GOOD 3PTR by MCCURRY,CONAL",61,,79 (+18),,17BSC-M 61-79 (-18),,"GOOD 3PTR by MCCURRY,CONAL",2
--,"ASSIST  by LOVING,TAU",,,,,,,"ASSIST  by LOVING,TAU",2
