Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by DENBESTIN,COLE",,,,,,,"REBOUND OFF by DENBESTIN,COLE",1
16:56,,,,,"MISS JUMPER by ELMORE,TC",,,"MISS JUMPER by ELMORE,TC",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
16:25,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",1
16:22,,,,,"STEAL  by REID,BRYANT",,,"STEAL  by REID,BRYANT",1
16:19,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
16:15,,,,,"MISS FT by ELMORE,TC",,,"MISS FT by ELMORE,TC",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
16:12,,,,,"MISS 3PTR by PINES,KYANTE",,,"MISS 3PTR by PINES,KYANTE",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
16:08,"MISS 3PTR by BUTLER,TERENCE",,,,,,,"MISS 3PTR by BUTLER,TERENCE",1
--,"REBOUND OFF by BAK,CALVIN",,,,,,,"REBOUND OFF by BAK,CALVIN",1
16:07,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
16:07,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
16:07,,,,,"SUB IN by BEEMAN,JALEEL",,,"SUB IN by BEEMAN,JALEEL",1
16:07,,,,,"SUB IN by KING,ISAIAH",,,"SUB IN by KING,ISAIAH",1
16:07,,,,,"SUB OUT by JONES,RJ",,,"SUB OUT by JONES,RJ",1
16:07,,,,,"SUB OUT by REID,BRYANT",,,"SUB OUT by REID,BRYANT",1
15:55,"GOOD 3PTR by BAK,CALVIN",3,,6 (+3),,17BSC-M 3-6 (-3),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",1
15:34,,,,,"MISS LAYUP by BOYD,CAM",,,"MISS LAYUP by BOYD,CAM",1
--,,,,,"REBOUND OFF by PINES,KYANTE",,,"REBOUND OFF by PINES,KYANTE",1
15:26,,,,,"MISS LAYUP by PINES,KYANTE",,,"MISS LAYUP by PINES,KYANTE",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
15:23,,,,,"TURNOVER  by KING,ISAIAH",,,"TURNOVER  by KING,ISAIAH",1
15:15,,3,,8 (+5),"GOOD LAYUP by ELMORE,TC(in the paint)",HCM 3-8 (-5),,"GOOD LAYUP by ELMORE,TC(in the paint)",1
15:15,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",1
15:15,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
15:15,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
15:15,,,,,"SUB IN by CHADWICK,SCOTTY",,,"SUB IN by CHADWICK,SCOTTY",1
15:15,,,,,"SUB OUT by MCLEAN,BRANDON",,,"SUB OUT by MCLEAN,BRANDON",1
15:14,,,,,"FOUL  by CHADWICK,SCOTTY",,,"FOUL  by CHADWICK,SCOTTY",1
15:14,,,,,"SUB IN by GRAVES,JOHN JAY",,,"SUB IN by GRAVES,JOHN JAY",1
15:14,,,,,"SUB IN by BOYD,CAM",,,"SUB IN by BOYD,CAM",1
15:14,,,,,"SUB IN by HOBSON,CHARVEZ'",,,"SUB IN by HOBSON,CHARVEZ'",1
15:14,,,,,"SUB OUT by CHADWICK,SCOTTY",,,"SUB OUT by CHADWICK,SCOTTY",1
15:14,,,,,"SUB OUT by PINES,KYANTE",,,"SUB OUT by PINES,KYANTE",1
15:14,,,,,"SUB OUT by ELMORE,TC",,,"SUB OUT by ELMORE,TC",1
15:10,"GOOD 3PTR by BUTLER,TERENCE",6,,8 (+2),,17BSC-M 6-8 (-2),,"GOOD 3PTR by BUTLER,TERENCE",1
--,"ASSIST  by ALLISON,ZACH",,,,,,,"ASSIST  by ALLISON,ZACH",1
15:09,,,,,"FOUL  by CHADWICK,SCOTTY",,,"FOUL  by CHADWICK,SCOTTY",1
15:09,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
15:09,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
15:03,"FOUL  by BUTLER,TERENCE",,,,,,,"FOUL  by BUTLER,TERENCE",1
14:55,,,,,"MISS 3PTR by BOYD,CAM",,,"MISS 3PTR by BOYD,CAM",1
