Time Remaining,BU-M,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
17:03,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
17:03,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
17:01,"TURNOVER  by MCCOY,TOMMY",,,,,,,"TURNOVER  by MCCOY,TOMMY",1
16:49,,,,,"MISS LAYUP by ALLISON,ZACH",,,"MISS LAYUP by ALLISON,ZACH",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
16:34,,5,,11 (+6),"GOOD 3PTR by MOORE,KADEN",17BSC-M 5-11 (+6),,"GOOD 3PTR by MOORE,KADEN",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
16:24,"TURNOVER  by JONES,JUSTIN",,,,,,,"TURNOVER  by JONES,JUSTIN",1
16:22,,,,,"STEAL  by DENBESTEN,COLE",,,"STEAL  by DENBESTEN,COLE",1
16:19,,5,,14 (+9),"GOOD 3PTR by DENBESTEN,COLE",17BSC-M 5-14 (+9),,"GOOD 3PTR by DENBESTEN,COLE",1
16:07,"TURNOVER  by MCCOY,TOMMY",,,,,,,"TURNOVER  by MCCOY,TOMMY",1
15:56,,,,,"MISS 3PTR by MOORE,KADEN",,,"MISS 3PTR by MOORE,KADEN",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
15:51,,,,,"MISS 3PTR by ALLISON,ZACH",,,"MISS 3PTR by ALLISON,ZACH",1
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",1
15:47,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:47,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:47,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",1
--,"REBOUND DEF by HEERINGEN,GIAN VAN",,,,,,,"REBOUND DEF by HEERINGEN,GIAN VAN",1
15:46,"FOUL  by DURHAM,JONATHAN",,,,,,,"FOUL  by DURHAM,JONATHAN",1
15:38,"MISS 3PTR by DURHAM,JONATHAN",,,,,,,"MISS 3PTR by DURHAM,JONATHAN",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
15:25,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",1
15:25,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",1
15:03,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
15:03,"MISS FT by JONES,JUSTIN",,,,,,,"MISS FT by JONES,JUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:03,"MISS FT by JONES,JUSTIN",,,,,,,"MISS FT by JONES,JUSTIN",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
15:03,"FOUL  by DURHAM,JONATHAN",,,,,,,"FOUL  by DURHAM,JONATHAN",1
15:03,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",1
15:03,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
15:03,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
15:03,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
14:38,,,,,"MISS 3PTR by RUDAK,MATEUSZ",,,"MISS 3PTR by RUDAK,MATEUSZ",1
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",1
14:36,"FOUL  by JONES,JUSTIN",,,,,,,"FOUL  by JONES,JUSTIN",1
14:36,"SUB IN by LORRIS,JOHN",,,,,,,"SUB IN by LORRIS,JOHN",1
14:36,"SUB IN by COLE,DAVID",,,,,,,"SUB IN by COLE,DAVID",1
14:36,"SUB IN by LEATHERWOOD,TREVEYON",,,,,,,"SUB IN by LEATHERWOOD,TREVEYON",1
14:36,"SUB IN by ROBERS,JOSHUA",,,,,,,"SUB IN by ROBERS,JOSHUA",1
14:36,"SUB IN by WORKS,JOHN",,,,,,,"SUB IN by WORKS,JOHN",1
14:36,"SUB OUT by HEERINGEN,GIAN VAN",,,,,,,"SUB OUT by HEERINGEN,GIAN VAN",1
14:36,"SUB OUT by PODUM,RICK",,,,,,,"SUB OUT by PODUM,RICK",1
14:36,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",1
14:36,"SUB OUT by MCCOY,TOMMY",,,,,,,"SUB OUT by MCCOY,TOMMY",1
14:36,"SUB OUT by DURHAM,JONATHAN",,,,,,,"SUB OUT by DURHAM,JONATHAN",1
14:16,"FOUL  by LEATHERWOOD,TREVEYON",,,,,,,"FOUL  by LEATHERWOOD,TREVEYON",1
14:16,,5,,15 (+10),"GOOD FT by DENEKA,HARRISON",17BSC-M 5-15 (+10),,"GOOD FT by DENEKA,HARRISON",1
14:16,,5,,16 (+11),"GOOD FT by DENEKA,HARRISON",17BSC-M 5-16 (+11),,"GOOD FT by DENEKA,HARRISON",1
14:16,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
14:16,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
13:55,"MISS JUMPER by LEATHERWOOD,TREVEYON",,,,,,,"MISS JUMPER by LEATHERWOOD,TREVEYON",1
13:55,,,,,"BLOCK  by DENEKA,HARRISON",,,"BLOCK  by DENEKA,HARRISON",1
--,"REBOUND OFF by LEATHERWOOD,TREVEYON",,,,,,,"REBOUND OFF by LEATHERWOOD,TREVEYON",1
13:51,"MISS JUMPER by LEATHERWOOD,TREVEYON",,,,,,,"MISS JUMPER by LEATHERWOOD,TREVEYON",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
13:45,,,,,"MISS 3PTR by YANCEY,RICH",,,"MISS 3PTR by YANCEY,RICH",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
13:38,,,,,"MISS JUMPER by YANCEY,RICH",,,"MISS JUMPER by YANCEY,RICH",1
--,"REBOUND OFF by LEATHERWOOD,TREVEYON",,,,,,,"REBOUND OFF by LEATHERWOOD,TREVEYON",1
13:29,"TURNOVER  by LEATHERWOOD,TREVEYON",,,,,,,"TURNOVER  by LEATHERWOOD,TREVEYON",1
13:21,,5,,18 (+13),"GOOD LAYUP by ALLISON,ZACH(in the paint)",17BSC-M 5-18 (+13),,"GOOD LAYUP by ALLISON,ZACH(in the paint)",1
13:15,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
13:15,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
13:04,"MISS LAYUP by WORKS,JOHN",,,,,,,"MISS LAYUP by WORKS,JOHN",1
13:04,,,,,"BLOCK  by RUDAK,MATEUSZ",,,"BLOCK  by RUDAK,MATEUSZ",1
--,"REBOUND OFF by ROBERS,JOSHUA",,,,,,,"REBOUND OFF by ROBERS,JOSHUA",1
