Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS 3PTR by YANCEY,RICH",,,"MISS 3PTR by YANCEY,RICH",1
--,"REBOUND DEF by JONES,RJ",,,,,,,"REBOUND DEF by JONES,RJ",1
19:31,"MISS 3PTR by PINES,KYANTE",,,,,,,"MISS 3PTR by PINES,KYANTE",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
19:05,,0,,3 (+3),"GOOD 3PTR by YANCEY,RICH",17BSC-M 0-3 (+3),,"GOOD 3PTR by YANCEY,RICH",1
--,,,,,"ASSIST  by RUDAK,MATEUSZ",,,"ASSIST  by RUDAK,MATEUSZ",1
18:47,"GOOD LAYUP by PINES,KYANTE(in the paint)",2,,3 (+1),,HCM 2-3 (+1),,"GOOD LAYUP by PINES,KYANTE(in the paint)",1
--,"ASSIST  by REID,BRYANT",,,,,,,"ASSIST  by REID,BRYANT",1
18:34,,,,,"MISS LAYUP by YANCEY,RICH",,,"MISS LAYUP by YANCEY,RICH",1
--,"REBOUND DEF by ELMORE,TC",,,,,,,"REBOUND DEF by ELMORE,TC",1
18:26,"TURNOVER  by ELMORE,TC",,,,,,,"TURNOVER  by ELMORE,TC",1
18:25,,,,,"STEAL  by YANCEY,RICH",,,"STEAL  by YANCEY,RICH",1
18:22,,2,,5 (+3),"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",17BSC-M 2-5 (+3),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",1
18:18,"FOUL  by REID,BRYANT",,,,,,,"FOUL  by REID,BRYANT",1
18:18,,2,,6 (+4),"GOOD FT by DENEKA,HARRISON",17BSC-M 2-6 (+4),,"GOOD FT by DENEKA,HARRISON",1
18:12,"MISS LAYUP by ELMORE,TC",,,,,,,"MISS LAYUP by ELMORE,TC",1
--,"REBOUND OFF by REID,BRYANT",,,,,,,"REBOUND OFF by REID,BRYANT",1
18:09,"GOOD JUMPER by REID,BRYANT",4,,6 (+2),,HCM 4-6 (+2),,"GOOD JUMPER by REID,BRYANT",1
17:59,,4,,9 (+5),"GOOD 3PTR by DENEKA,HARRISON",17BSC-M 4-9 (+5),,"GOOD 3PTR by DENEKA,HARRISON",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
17:38,"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",6,,9 (+3),,HCM 6-9 (+3),,"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",1
17:26,,,,,"MISS JUMPER by ALLISON,ZACH",,,"MISS JUMPER by ALLISON,ZACH",1
--,"REBOUND DEF by ELMORE,TC",,,,,,,"REBOUND DEF by ELMORE,TC",1
17:19,"GOOD JUMPER by REID,BRYANT",8,,9 (+1),,HCM 8-9 (+1),,"GOOD JUMPER by REID,BRYANT",1
16:58,,8,,12 (+4),"GOOD 3PTR by YANCEY,RICH",17BSC-M 8-12 (+4),,"GOOD 3PTR by YANCEY,RICH",1
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",1
16:47,"TURNOVER  by REID,BRYANT",,,,,,,"TURNOVER  by REID,BRYANT",1
16:45,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1
16:44,,8,,14 (+6),"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",17BSC-M 8-14 (+6),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",1
16:33,"GOOD 3PTR by JONES,RJ",11,,14 (+3),,HCM 11-14 (+3),,"GOOD 3PTR by JONES,RJ",1
16:18,,11,,16 (+5),"GOOD JUMPER by DENEKA,HARRISON(in the paint)",17BSC-M 11-16 (+5),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
16:15,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
16:15,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
16:15,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
16:15,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",1
16:15,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
16:03,,11,,19 (+8),"GOOD 3PTR by BAK,CALVIN",17BSC-M 11-19 (+8),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
15:49,"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",13,,19 (+6),,HCM 13-19 (+6),,"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",1
--,"ASSIST  by REID,BRYANT",,,,,,,"ASSIST  by REID,BRYANT",1
15:30,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",1
15:29,"STEAL  by JONES,RJ",,,,,,,"STEAL  by JONES,RJ",1
15:26,"MISS LAYUP by REID,BRYANT",,,,,,,"MISS LAYUP by REID,BRYANT",1
--,"REBOUND OFF by MCLEAN,BRANDON",,,,,,,"REBOUND OFF by MCLEAN,BRANDON",1
15:23,"GOOD TIPIN by MCLEAN,BRANDON(in the paint)",15,,19 (+4),,HCM 15-19 (+4),,"GOOD TIPIN by MCLEAN,BRANDON(in the paint)",1
15:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:23,"SUB IN by GRAVES,JOHN JAY",,,,,,,"SUB IN by GRAVES,JOHN JAY",1
15:23,"SUB IN by BOYD,CAM",,,,,,,"SUB IN by BOYD,CAM",1
15:23,"SUB IN by HOBSON,CHARVEZ'",,,,,,,"SUB IN by HOBSON,CHARVEZ'",1
15:23,"SUB IN by KING,ISAIAH",,,,,,,"SUB IN by KING,ISAIAH",1
15:23,"SUB OUT by MCLEAN,BRANDON",,,,,,,"SUB OUT by MCLEAN,BRANDON",1
15:23,"SUB OUT by PINES,KYANTE",,,,,,,"SUB OUT by PINES,KYANTE",1
15:23,"SUB OUT by JONES,RJ",,,,,,,"SUB OUT by JONES,RJ",1
15:23,"SUB OUT by ELMORE,TC",,,,,,,"SUB OUT by ELMORE,TC",1
15:23,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
15:23,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
15:23,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
15:23,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
15:23,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
15:23,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
15:05,,,,,"MISS JUMPER by DENBESTEN,COLE",,,"MISS JUMPER by DENBESTEN,COLE",1
--,"REBOUND DEF by BOYD,CAM",,,,,,,"REBOUND DEF by BOYD,CAM",1
14:52,"TURNOVER  by KING,ISAIAH",,,,,,,"TURNOVER  by KING,ISAIAH",1
14:45,,15,,21 (+6),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",17BSC-M 15-21 (+6),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
14:26,"GOOD JUMPER by KING,ISAIAH(in the paint)",17,,21 (+4),,HCM 17-21 (+4),,"GOOD JUMPER by KING,ISAIAH(in the paint)",1
14:26,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",1
14:26,"MISS FT by KING,ISAIAH",,,,,,,"MISS FT by KING,ISAIAH",1
--,"REBOUND OFF by GRAVES,JOHN JAY",,,,,,,"REBOUND OFF by GRAVES,JOHN JAY",1
14:26,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
14:26,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",1
14:26,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
14:26,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
14:22,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
14:22,"GOOD FT by GRAVES,JOHN JAY",18,,21 (+3),,HCM 18-21 (+3),,"GOOD FT by GRAVES,JOHN JAY",1
14:22,"GOOD FT by GRAVES,JOHN JAY",19,,21 (+2),,HCM 19-21 (+2),,"GOOD FT by GRAVES,JOHN JAY",1
14:06,,,,,"MISS 3PTR by ALLISON,ZACH",,,"MISS 3PTR by ALLISON,ZACH",1
--,"REBOUND DEF by GRAVES,JOHN JAY",,,,,,,"REBOUND DEF by GRAVES,JOHN JAY",1
13:57,"TURNOVER  by BOYD,CAM",,,,,,,"TURNOVER  by BOYD,CAM",1
13:56,,,,,"STEAL  by GONDA,MATT",,,"STEAL  by GONDA,MATT",1
13:54,,19,,23 (+4),"GOOD LAYUP by GONDA,MATT(fastbreak)(in the paint)",17BSC-M 19-23 (+4),,"GOOD LAYUP by GONDA,MATT(fastbreak)(in the paint)",1
13:54,"FOUL  by REID,BRYANT",,,,,,,"FOUL  by REID,BRYANT",1
13:54,,,,,"MISS FT by GONDA,MATT",,,"MISS FT by GONDA,MATT",1
--,"REBOUND DEF by SCHMITT,LUCAS",,,,,,,"REBOUND DEF by SCHMITT,LUCAS",1
13:54,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",1
13:54,"SUB OUT by REID,BRYANT",,,,,,,"SUB OUT by REID,BRYANT",1
13:25,"GOOD JUMPER by KING,ISAIAH",21,,23 (+2),,HCM 21-23 (+2),,"GOOD JUMPER by KING,ISAIAH",1
13:07,"FOUL  by SCHMITT,LUCAS",,,,,,,"FOUL  by SCHMITT,LUCAS",1
13:07,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",1
13:07,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
13:01,,21,,25 (+4),"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",17BSC-M 21-25 (+4),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
12:45,"TURNOVER  by KING,ISAIAH",,,,,,,"TURNOVER  by KING,ISAIAH",1
12:44,,,,,"STEAL  by ALLISON,ZACH",,,"STEAL  by ALLISON,ZACH",1
12:41,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,"REBOUND DEF by GRAVES,JOHN JAY",,,,,,,"REBOUND DEF by GRAVES,JOHN JAY",1
12:30,"GOOD LAYUP by GRAVES,JOHN JAY(in the paint)",23,,25 (+2),,HCM 23-25 (+2),,"GOOD LAYUP by GRAVES,JOHN JAY(in the paint)",1
12:30,,,,,"FOUL  by RUDAK,MATEUSZ",,,"FOUL  by RUDAK,MATEUSZ",1
12:30,"GOOD FT by GRAVES,JOHN JAY",24,,25 (+1),,HCM 24-25 (+1),,"GOOD FT by GRAVES,JOHN JAY",1
12:30,"SUB IN by PINES,KYANTE",,,,,,,"SUB IN by PINES,KYANTE",1
12:30,"SUB IN by JONES,RJ",,,,,,,"SUB IN by JONES,RJ",1
12:30,"SUB OUT by SCHMITT,LUCAS",,,,,,,"SUB OUT by SCHMITT,LUCAS",1
12:30,"SUB OUT by HOBSON,CHARVEZ'",,,,,,,"SUB OUT by HOBSON,CHARVEZ'",1
12:30,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
12:30,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
