Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
13:43,"STEAL  by DENEKA,HARRISON",,,,,,,"STEAL  by DENEKA,HARRISON",1
13:24,"TURNOVER  by LOVING,JIBRI",,,,,,,"TURNOVER  by LOVING,JIBRI",1
13:18,"SUB IN by MCCURRY,CONAL",,,,,,,"SUB IN by MCCURRY,CONAL",1
13:18,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
13:18,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
13:18,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
13:18,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",1
13:18,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",1
13:18,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
13:18,,,,,"SUB OUT by MOORE,MILES",,,"SUB OUT by MOORE,MILES",1
13:03,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
13:03,"SUB OUT by HARTER,J MORGAN",,,,,,,"SUB OUT by HARTER,J MORGAN",1
13:03,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
13:03,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",1
12:36,,13 (+3),,10,"GOOD 3PTR by ATKINSON,QUINN",BCM 13-10 (+3),,"GOOD 3PTR by ATKINSON,QUINN",1
--,,,,,"ASSIST  by MARDER,NICK",,,"ASSIST  by MARDER,NICK",1
12:20,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",1
12:17,,,,,"STEAL  by CLARK,ETHAN",,,"STEAL  by CLARK,ETHAN",1
12:12,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
11:44,"MISS LAYUP by DENEKA,HARRISON",,,,,,,"MISS LAYUP by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by CLARK,ETHAN",,,"REBOUND DEF by CLARK,ETHAN",1
11:27,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:27,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
