Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SJFC,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
15:19,,,,,"FOUL  by D'AMICO,MICHAEL",,,"FOUL  by D'AMICO,MICHAEL",1
15:19,"GOOD FT by RUDAK,MATEUSZ",11 (+3),,8,,BSC 11-8 (+3),,"GOOD FT by RUDAK,MATEUSZ",1
15:19,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by HAIGHT,JAKE",,,"REBOUND DEF by HAIGHT,JAKE",1
15:19,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
15:19,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
15:19,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
15:19,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
15:19,,,,,"SUB IN by HAIGHT,JAKE",,,"SUB IN by HAIGHT,JAKE",1
15:19,,,,,"SUB IN by FARRELL,TYLER",,,"SUB IN by FARRELL,TYLER",1
15:19,,,,,"SUB IN by MORALES,DANIEL",,,"SUB IN by MORALES,DANIEL",1
15:19,,,,,"SUB OUT by ROBINSON,SAMMY",,,"SUB OUT by ROBINSON,SAMMY",1
15:19,,,,,"SUB OUT by HENDERSON,RYAN",,,"SUB OUT by HENDERSON,RYAN",1
15:19,,,,,"SUB OUT by ENGLISH,TYLER",,,"SUB OUT by ENGLISH,TYLER",1
15:09,,,,,"MISS 3PTR by LEONE,JAMES",,,"MISS 3PTR by LEONE,JAMES",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:05,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",1
15:05,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
14:53,,,,,"FOUL  by FARRELL,TYLER",,,"FOUL  by FARRELL,TYLER",1
14:35,,,,,"FOUL  by HAIGHT,JAKE",,,"FOUL  by HAIGHT,JAKE",1
14:35,"GOOD FT by DENEKA,HARRISON",12 (+4),,8,,BSC 12-8 (+4),,"GOOD FT by DENEKA,HARRISON",1
14:35,"MISS FT by DENEKA,HARRISON",,,,,,,"MISS FT by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by FARRELL,TYLER",,,"REBOUND DEF by FARRELL,TYLER",1
14:23,,12 (+1),,11,"GOOD 3PTR by D'AMICO,MICHAEL",SJFC 12-11 (+1),,"GOOD 3PTR by D'AMICO,MICHAEL",1
--,,,,,"ASSIST  by LEONE,JAMES",,,"ASSIST  by LEONE,JAMES",1
14:00,,,,,"FOUL  by FARRELL,TYLER",,,"FOUL  by FARRELL,TYLER",1
14:00,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
14:00,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
14:00,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
14:00,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
13:55,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
13:39,,,,,"MISS 3PTR by MORALES,DANIEL",,,"MISS 3PTR by MORALES,DANIEL",1
--,,,,,"REBOUND OFF by HAIGHT,JAKE",,,"REBOUND OFF by HAIGHT,JAKE",1
13:35,,,,,"MISS LAYUP by HAIGHT,JAKE",,,"MISS LAYUP by HAIGHT,JAKE",1
--,,,,,"REBOUND OFF by HAIGHT,JAKE",,,"REBOUND OFF by HAIGHT,JAKE",1
13:32,,,,,"MISS JUMPER by HAIGHT,JAKE",,,"MISS JUMPER by HAIGHT,JAKE",1
--,,,,,"REBOUND OFF by HAIGHT,JAKE",,,"REBOUND OFF by HAIGHT,JAKE",1
13:16,,,,,"TURNOVER  by MORALES,DANIEL",,,"TURNOVER  by MORALES,DANIEL",1
13:16,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
13:16,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",1
13:16,,,,,"SUB IN by ENGLISH,TYLER",,,"SUB IN by ENGLISH,TYLER",1
13:16,,,,,"SUB OUT by LEONE,JAMES",,,"SUB OUT by LEONE,JAMES",1
12:58,"MISS JUMPER by RUDAK,MATEUSZ",,,,,,,"MISS JUMPER by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by ENGLISH,TYLER",,,"REBOUND DEF by ENGLISH,TYLER",1
12:43,,,,,"MISS 3PTR by D'AMICO,MICHAEL",,,"MISS 3PTR by D'AMICO,MICHAEL",1
--,,,,,"REBOUND OFF by MORALES,DANIEL",,,"REBOUND OFF by MORALES,DANIEL",1
