Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SJFC,Game Score,Team Indicator,Play,Period
00:03,"GOOD FT by DENEKA,HARRISON",41 (+9),,32,,BSC 41-32 (+9),,"GOOD FT by DENEKA,HARRISON",1
00:03,"GOOD FT by DENEKA,HARRISON",42 (+10),,32,,BSC 42-32 (+10),,"GOOD FT by DENEKA,HARRISON",1
00:03,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
00:03,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
00:03,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
00:03,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
00:03,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",1
00:03,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
00:03,,,,,"SUB IN by VALERIANI,MARK",,,"SUB IN by VALERIANI,MARK",1
00:03,,,,,"SUB OUT by D'AMICO,MICHAEL",,,"SUB OUT by D'AMICO,MICHAEL",1
20:00,,,,,"SUB IN by MORALES,DANIEL",,,"SUB IN by MORALES,DANIEL",2
20:00,,,,,"SUB OUT by D'AMICO,MICHAEL",,,"SUB OUT by D'AMICO,MICHAEL",2
19:41,,42 (+8),,34,"GOOD LAYUP by ROBINSON,SAMMY(in the paint)",SJFC 42-34 (+8),,"GOOD LAYUP by ROBINSON,SAMMY(in the paint)",2
--,,,,,"ASSIST  by LEONE,JAMES",,,"ASSIST  by LEONE,JAMES",2
19:20,"MISS JUMPER by MOORE,KADEN",,,,,,,"MISS JUMPER by MOORE,KADEN",2
--,,,,,"REBOUND DEF by MORALES,DANIEL",,,"REBOUND DEF by MORALES,DANIEL",2
19:15,,42 (+6),,36,"GOOD DUNK by HENDERSON,RYAN(fastbreak)(in the paint)",SJFC 42-36 (+6),,"GOOD DUNK by HENDERSON,RYAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MORALES,DANIEL",,,"ASSIST  by MORALES,DANIEL",2
18:53,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",2
18:52,,,,,"STEAL  by MORALES,DANIEL",,,"STEAL  by MORALES,DANIEL",2
18:52,"FOUL  by ALLISON,ZACH",,,,,,,"FOUL  by ALLISON,ZACH",2
18:32,,42 (+4),,38,"GOOD LAYUP by MORALES,DANIEL(in the paint)",SJFC 42-38 (+4),,"GOOD LAYUP by MORALES,DANIEL(in the paint)",2
18:32,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",2
18:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
18:32,,42 (+3),,39,"GOOD FT by MORALES,DANIEL",SJFC 42-39 (+3),,"GOOD FT by MORALES,DANIEL",2
18:15,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",2
18:15,,,,,"STEAL  by HENDERSON,RYAN",,,"STEAL  by HENDERSON,RYAN",2
18:08,,42 (+1),,41,"GOOD LAYUP by ENGLISH,TYLER(in the paint)",SJFC 42-41 (+1),,"GOOD LAYUP by ENGLISH,TYLER(in the paint)",2
17:57,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",2
17:55,,,,,"STEAL  by HENDERSON,RYAN",,,"STEAL  by HENDERSON,RYAN",2
17:53,,42,,43 (+1),"GOOD DUNK by HENDERSON,RYAN(fastbreak)(in the paint)",SJFC 42-43 (-1),,"GOOD DUNK by HENDERSON,RYAN(fastbreak)(in the paint)",2
17:36,"MISS 3PTR by ALLISON,ZACH",,,,,,,"MISS 3PTR by ALLISON,ZACH",2
--,,,,,"REBOUND DEF by ENGLISH,TYLER",,,"REBOUND DEF by ENGLISH,TYLER",2
17:27,,42,,45 (+3),"GOOD LAYUP by ROBINSON,SAMMY(fastbreak)(in the paint)",SJFC 42-45 (-3),,"GOOD LAYUP by ROBINSON,SAMMY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LEONE,JAMES",,,"ASSIST  by LEONE,JAMES",2
17:15,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",2
17:14,,,,,"STEAL  by ROBINSON,SAMMY",,,"STEAL  by ROBINSON,SAMMY",2
17:12,,42,,47 (+5),"GOOD LAYUP by ROBINSON,SAMMY(fastbreak)(in the paint)",SJFC 42-47 (-5),,"GOOD LAYUP by ROBINSON,SAMMY(fastbreak)(in the paint)",2
16:48,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",2
16:48,"TURNOVER  by RUDAK,MATEUSZ",,,,,,,"TURNOVER  by RUDAK,MATEUSZ",2
16:48,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
16:48,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",2
16:48,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",2
16:48,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",2
16:48,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",2
16:48,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
16:48,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",2
16:48,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",2
16:34,,42,,50 (+8),"GOOD 3PTR by LEONE,JAMES",SJFC 42-50 (-8),,"GOOD 3PTR by LEONE,JAMES",2
--,,,,,"ASSIST  by MORALES,DANIEL",,,"ASSIST  by MORALES,DANIEL",2
16:24,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND OFF by SPENCE,BEN",,,,,,,"REBOUND OFF by SPENCE,BEN",2
16:19,,,,,"FOUL  by ROBINSON,SAMMY",,,"FOUL  by ROBINSON,SAMMY",2
16:19,"MISS FT by SPENCE,BEN",,,,,,,"MISS FT by SPENCE,BEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:19,"GOOD FT by SPENCE,BEN",43,,50 (+7),,BSC 43-50 (-7),,"GOOD FT by SPENCE,BEN",2
15:57,,43,,52 (+9),"GOOD LAYUP by ROBINSON,SAMMY(in the paint)",SJFC 43-52 (-9),,"GOOD LAYUP by ROBINSON,SAMMY(in the paint)",2
--,,,,,"ASSIST  by LEONE,JAMES",,,"ASSIST  by LEONE,JAMES",2
15:46,,,,,"FOUL  by MORALES,DANIEL",,,"FOUL  by MORALES,DANIEL",2
15:46,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",2
15:46,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
15:37,"TURNOVER  by LOVING,JIBRI",,,,,,,"TURNOVER  by LOVING,JIBRI",2
15:37,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",2
15:37,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
15:37,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",2
15:37,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
15:24,,,,,"MISS 3PTR by ENGLISH,TYLER",,,"MISS 3PTR by ENGLISH,TYLER",2
--,,,,,"REBOUND OFF by LEONE,JAMES",,,"REBOUND OFF by LEONE,JAMES",2
15:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:12,,,,,"FOUL  by ENGLISH,TYLER",,,"FOUL  by ENGLISH,TYLER",2
15:12,,,,,"TURNOVER  by ENGLISH,TYLER",,,"TURNOVER  by ENGLISH,TYLER",2
14:56,"GOOD 3PTR by DENBESTIN,COLE",46,,52 (+6),,BSC 46-52 (-6),,"GOOD 3PTR by DENBESTIN,COLE",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
14:31,,,,,"MISS 3PTR by ROBINSON,SAMMY",,,"MISS 3PTR by ROBINSON,SAMMY",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
14:08,,,,,"FOUL  by ROBINSON,SAMMY",,,"FOUL  by ROBINSON,SAMMY",2
14:04,,,,,"FOUL  by MORALES,DANIEL",,,"FOUL  by MORALES,DANIEL",2
14:04,,,,,"SUB IN by SCANLON,MARK",,,"SUB IN by SCANLON,MARK",2
14:04,,,,,"SUB OUT by MORALES,DANIEL",,,"SUB OUT by MORALES,DANIEL",2
13:57,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,"REBOUND OFF by YANCEY,RICH",,,,,,,"REBOUND OFF by YANCEY,RICH",2
13:51,"GOOD LAYUP by SPENCE,BEN(in the paint)",48,,52 (+4),,BSC 48-52 (-4),,"GOOD LAYUP by SPENCE,BEN(in the paint)",2
--,"ASSIST  by DENEKA,HARRISON",,,,,,,"ASSIST  by DENEKA,HARRISON",2
13:51,,,,,"FOUL  by SCANLON,MARK",,,"FOUL  by SCANLON,MARK",2
13:51,"GOOD FT by SPENCE,BEN",49,,52 (+3),,BSC 49-52 (-3),,"GOOD FT by SPENCE,BEN",2
13:51,,,,,"SUB IN by HAIGHT,JAKE",,,"SUB IN by HAIGHT,JAKE",2
13:51,,,,,"SUB OUT by ROBINSON,SAMMY",,,"SUB OUT by ROBINSON,SAMMY",2
13:37,,49,,54 (+5),"GOOD LAYUP by ENGLISH,TYLER(in the paint)",SJFC 49-54 (-5),,"GOOD LAYUP by ENGLISH,TYLER(in the paint)",2
13:22,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",51,,54 (+3),,BSC 51-54 (-3),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
12:59,,51,,57 (+6),"GOOD 3PTR by HENDERSON,RYAN",SJFC 51-57 (-6),,"GOOD 3PTR by HENDERSON,RYAN",2
--,,,,,"ASSIST  by HAIGHT,JAKE",,,"ASSIST  by HAIGHT,JAKE",2
12:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:56,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",2
12:56,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",2
12:56,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
12:56,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",2
12:27,"MISS 3PTR by ALLISON,ZACH",,,,,,,"MISS 3PTR by ALLISON,ZACH",2
12:27,,,,,"BLOCK  by LEONE,JAMES",,,"BLOCK  by LEONE,JAMES",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:25,,,,,"SUB IN by D'AMICO,MICHAEL",,,"SUB IN by D'AMICO,MICHAEL",2
12:25,,,,,"SUB OUT by ENGLISH,TYLER",,,"SUB OUT by ENGLISH,TYLER",2
12:10,,51,,60 (+9),"GOOD 3PTR by LEONE,JAMES",SJFC 51-60 (-9),,"GOOD 3PTR by LEONE,JAMES",2
--,,,,,"ASSIST  by D'AMICO,MICHAEL",,,"ASSIST  by D'AMICO,MICHAEL",2
11:48,,,,,"FOUL  by HENDERSON,RYAN",,,"FOUL  by HENDERSON,RYAN",2
11:48,"GOOD FT by DENEKA,HARRISON",52,,60 (+8),,BSC 52-60 (-8),,"GOOD FT by DENEKA,HARRISON",2
11:48,"MISS FT by DENEKA,HARRISON",,,,,,,"MISS FT by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by HAIGHT,JAKE",,,"REBOUND DEF by HAIGHT,JAKE",2
11:48,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
11:48,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
11:21,,,,,"MISS 3PTR by D'AMICO,MICHAEL",,,"MISS 3PTR by D'AMICO,MICHAEL",2
--,"REBOUND DEF by BUTLER,TERENCE",,,,,,,"REBOUND DEF by BUTLER,TERENCE",2
11:04,"GOOD LAYUP by BUTLER,TERENCE(in the paint)",54,,60 (+6),,BSC 54-60 (-6),,"GOOD LAYUP by BUTLER,TERENCE(in the paint)",2
10:49,,,,,"MISS LAYUP by HAIGHT,JAKE",,,"MISS LAYUP by HAIGHT,JAKE",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
10:43,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",2
10:41,,,,,"FOUL  by D'AMICO,MICHAEL",,,"FOUL  by D'AMICO,MICHAEL",2
10:41,"GOOD FT by DENEKA,HARRISON",55,,60 (+5),,BSC 55-60 (-5),,"GOOD FT by DENEKA,HARRISON",2
10:41,"GOOD FT by DENEKA,HARRISON",56,,60 (+4),,BSC 56-60 (-4),,"GOOD FT by DENEKA,HARRISON",2
10:41,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
10:41,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
10:41,,,,,"SUB IN by VALERIANI,MARK",,,"SUB IN by VALERIANI,MARK",2
10:41,,,,,"SUB OUT by D'AMICO,MICHAEL",,,"SUB OUT by D'AMICO,MICHAEL",2
10:25,,56,,62 (+6),"GOOD LAYUP by HENDERSON,RYAN(in the paint)",SJFC 56-62 (-6),,"GOOD LAYUP by HENDERSON,RYAN(in the paint)",2
--,,,,,"ASSIST  by VALERIANI,MARK",,,"ASSIST  by VALERIANI,MARK",2
10:07,,,,,"FOUL  by VALERIANI,MARK",,,"FOUL  by VALERIANI,MARK",2
10:07,"GOOD FT by BAK,CALVIN",57,,62 (+5),,BSC 57-62 (-5),,"GOOD FT by BAK,CALVIN",2
10:07,"GOOD FT by BAK,CALVIN",58,,62 (+4),,BSC 58-62 (-4),,"GOOD FT by BAK,CALVIN",2
09:57,,58,,64 (+6),"GOOD LAYUP by HAIGHT,JAKE(in the paint)",SJFC 58-64 (-6),,"GOOD LAYUP by HAIGHT,JAKE(in the paint)",2
09:44,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND DEF by SCANLON,MARK",,,"REBOUND DEF by SCANLON,MARK",2
09:22,,58,,67 (+9),"GOOD 3PTR by LEONE,JAMES",SJFC 58-67 (-9),,"GOOD 3PTR by LEONE,JAMES",2
--,,,,,"ASSIST  by HAIGHT,JAKE",,,"ASSIST  by HAIGHT,JAKE",2
09:13,,,,,"FOUL  by VALERIANI,MARK",,,"FOUL  by VALERIANI,MARK",2
09:13,"GOOD FT by BUTLER,TERENCE",59,,67 (+8),,BSC 59-67 (-8),,"GOOD FT by BUTLER,TERENCE",2
09:13,"GOOD FT by BUTLER,TERENCE",60,,67 (+7),,BSC 60-67 (-7),,"GOOD FT by BUTLER,TERENCE",2
09:13,,,,,"SUB IN by ROBINSON,SAMMY",,,"SUB IN by ROBINSON,SAMMY",2
09:13,,,,,"SUB IN by ENGLISH,TYLER",,,"SUB IN by ENGLISH,TYLER",2
09:13,,,,,"SUB OUT by HENDERSON,RYAN",,,"SUB OUT by HENDERSON,RYAN",2
09:13,,,,,"SUB OUT by VALERIANI,MARK",,,"SUB OUT by VALERIANI,MARK",2
08:58,,,,,"MISS 3PTR by ROBINSON,SAMMY",,,"MISS 3PTR by ROBINSON,SAMMY",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
08:46,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",2
08:45,,,,,"STEAL  by ENGLISH,TYLER",,,"STEAL  by ENGLISH,TYLER",2
08:41,,60,,69 (+9),"GOOD LAYUP by ENGLISH,TYLER(fastbreak)(in the paint)",SJFC 60-69 (-9),,"GOOD LAYUP by ENGLISH,TYLER(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LEONE,JAMES",,,"ASSIST  by LEONE,JAMES",2
08:24,"GOOD LAYUP by ALLISON,ZACH(in the paint)",62,,69 (+7),,BSC 62-69 (-7),,"GOOD LAYUP by ALLISON,ZACH(in the paint)",2
--,"ASSIST  by BUTLER,TERENCE",,,,,,,"ASSIST  by BUTLER,TERENCE",2
08:09,,,,,"TURNOVER  by LEONE,JAMES",,,"TURNOVER  by LEONE,JAMES",2
08:08,"STEAL  by BAK,CALVIN",,,,,,,"STEAL  by BAK,CALVIN",2
08:05,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",2
08:05,,,,,"STEAL  by HAIGHT,JAKE",,,"STEAL  by HAIGHT,JAKE",2
08:05,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
08:05,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",2
08:05,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",2
08:05,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
08:05,,,,,"SUB IN by HARRINGTON,DYLAN",,,"SUB IN by HARRINGTON,DYLAN",2
08:05,,,,,"SUB OUT by LEONE,JAMES",,,"SUB OUT by LEONE,JAMES",2
07:57,,62,,71 (+9),"GOOD LAYUP by ROBINSON,SAMMY(in the paint)",SJFC 62-71 (-9),,"GOOD LAYUP by ROBINSON,SAMMY(in the paint)",2
--,,,,,"ASSIST  by HAIGHT,JAKE",,,"ASSIST  by HAIGHT,JAKE",2
07:49,"TURNOVER  by RUDAK,MATEUSZ",,,,,,,"TURNOVER  by RUDAK,MATEUSZ",2
07:47,,,,,"STEAL  by ROBINSON,SAMMY",,,"STEAL  by ROBINSON,SAMMY",2
07:46,,62,,73 (+11),"GOOD LAYUP by ROBINSON,SAMMY(fastbreak)(in the paint)",SJFC 62-73 (-11),,"GOOD LAYUP by ROBINSON,SAMMY(fastbreak)(in the paint)",2
07:24,"GOOD LAYUP by BAK,CALVIN(in the paint)",64,,73 (+9),,BSC 64-73 (-9),,"GOOD LAYUP by BAK,CALVIN(in the paint)",2
07:01,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",2
07:01,,64,,74 (+10),"GOOD FT by ROBINSON,SAMMY",SJFC 64-74 (-10),,"GOOD FT by ROBINSON,SAMMY",2
07:01,,64,,75 (+11),"GOOD FT by ROBINSON,SAMMY",SJFC 64-75 (-11),,"GOOD FT by ROBINSON,SAMMY",2
07:01,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",2
07:01,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",2
07:01,,,,,"SUB IN by FARRELL,TYLER",,,"SUB IN by FARRELL,TYLER",2
07:01,,,,,"SUB OUT by HAIGHT,JAKE",,,"SUB OUT by HAIGHT,JAKE",2
06:43,"GOOD 3PTR by BAK,CALVIN",67,,75 (+8),,BSC 67-75 (-8),,"GOOD 3PTR by BAK,CALVIN",2
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",2
06:23,,,,,"MISS LAYUP by ENGLISH,TYLER",,,"MISS LAYUP by ENGLISH,TYLER",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:21,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",2
06:21,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",2
06:21,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",2
06:21,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",2
06:21,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
06:21,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
05:59,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",2
05:58,,,,,"STEAL  by HARRINGTON,DYLAN",,,"STEAL  by HARRINGTON,DYLAN",2
05:58,"FOUL  by ALLISON,ZACH",,,,,,,"FOUL  by ALLISON,ZACH",2
05:52,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
05:52,,,,,"MISS FT by ROBINSON,SAMMY",,,"MISS FT by ROBINSON,SAMMY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:52,,,,,"MISS FT by ROBINSON,SAMMY",,,"MISS FT by ROBINSON,SAMMY",2
--,"REBOUND DEF by LOVING,JIBRI",,,,,,,"REBOUND DEF by LOVING,JIBRI",2
05:50,,,,,"FOUL  by FARRELL,TYLER",,,"FOUL  by FARRELL,TYLER",2
05:50,"MISS FT by LOVING,JIBRI",,,,,,,"MISS FT by LOVING,JIBRI",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:50,"MISS FT by LOVING,JIBRI",,,,,,,"MISS FT by LOVING,JIBRI",2
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",2
05:47,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",69,,75 (+6),,BSC 69-75 (-6),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
05:33,,69,,77 (+8),"GOOD JUMPER by ROBINSON,SAMMY(in the paint)",SJFC 69-77 (-8),,"GOOD JUMPER by ROBINSON,SAMMY(in the paint)",2
05:14,"GOOD LAYUP by ALLISON,ZACH(in the paint)",71,,77 (+6),,BSC 71-77 (-6),,"GOOD LAYUP by ALLISON,ZACH(in the paint)",2
04:44,,71,,79 (+8),"GOOD LAYUP by SCANLON,MARK(in the paint)",SJFC 71-79 (-8),,"GOOD LAYUP by SCANLON,MARK(in the paint)",2
04:27,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by ENGLISH,TYLER",,,"REBOUND DEF by ENGLISH,TYLER",2
04:19,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",2
04:19,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
04:19,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",2
04:19,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",2
04:06,,71,,81 (+10),"GOOD JUMPER by ENGLISH,TYLER(in the paint)",SJFC 71-81 (-10),,"GOOD JUMPER by ENGLISH,TYLER(in the paint)",2
03:44,"MISS 3PTR by RUDAK,MATEUSZ",,,,,,,"MISS 3PTR by RUDAK,MATEUSZ",2
--,,,,,"REBOUND DEF by ROBINSON,SAMMY",,,"REBOUND DEF by ROBINSON,SAMMY",2
03:25,,71,,83 (+12),"GOOD LAYUP by FARRELL,TYLER(in the paint)",SJFC 71-83 (-12),,"GOOD LAYUP by FARRELL,TYLER(in the paint)",2
--,,,,,"ASSIST  by SCANLON,MARK",,,"ASSIST  by SCANLON,MARK",2
03:25,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
03:25,,,,,"MISS FT by FARRELL,TYLER",,,"MISS FT by FARRELL,TYLER",2
--,,,,,"REBOUND OFF by ROBINSON,SAMMY",,,"REBOUND OFF by ROBINSON,SAMMY",2
03:25,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",2
03:25,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
03:22,,,,,"MISS LAYUP by ROBINSON,SAMMY",,,"MISS LAYUP by ROBINSON,SAMMY",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
03:08,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",2
03:07,,,,,"STEAL  by FARRELL,TYLER",,,"STEAL  by FARRELL,TYLER",2
03:03,,71,,85 (+14),"GOOD LAYUP by ROBINSON,SAMMY(fastbreak)(in the paint)",SJFC 71-85 (-14),,"GOOD LAYUP by ROBINSON,SAMMY(fastbreak)(in the paint)",2
03:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:49,,,,,"FOUL  by ROBINSON,SAMMY",,,"FOUL  by ROBINSON,SAMMY",2
02:49,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:49,"GOOD FT by RUDAK,MATEUSZ",72,,85 (+13),,BSC 72-85 (-13),,"GOOD FT by RUDAK,MATEUSZ",2
02:49,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
02:49,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",2
02:21,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",2
02:21,,,,,"MISS FT by SCANLON,MARK",,,"MISS FT by SCANLON,MARK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:21,,72,,86 (+14),"GOOD FT by SCANLON,MARK",SJFC 72-86 (-14),,"GOOD FT by SCANLON,MARK",2
02:21,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",2
02:21,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
02:10,,,,,"FOUL  by SCANLON,MARK",,,"FOUL  by SCANLON,MARK",2
02:10,"GOOD FT by RUDAK,MATEUSZ",73,,86 (+13),,BSC 73-86 (-13),,"GOOD FT by RUDAK,MATEUSZ",2
02:10,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",2
--,,,,,"REBOUND DEF by ENGLISH,TYLER",,,"REBOUND DEF by ENGLISH,TYLER",2
02:10,,,,,"SUB IN by D'AMICO,MICHAEL",,,"SUB IN by D'AMICO,MICHAEL",2
02:10,,,,,"SUB OUT by SCANLON,MARK",,,"SUB OUT by SCANLON,MARK",2
01:43,,,,,"TURNOVER  by D'AMICO,MICHAEL",,,"TURNOVER  by D'AMICO,MICHAEL",2
01:42,"STEAL  by BUTLER,TERENCE",,,,,,,"STEAL  by BUTLER,TERENCE",2
01:39,"GOOD LAYUP by BUTLER,TERENCE(fastbreak)(in the paint)",75,,86 (+11),,BSC 75-86 (-11),,"GOOD LAYUP by BUTLER,TERENCE(fastbreak)(in the paint)",2
01:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:38,"SUB IN by ZHOU,ANDY",,,,,,,"SUB IN by ZHOU,ANDY",2
01:38,"SUB IN by ,BRUCE BRIGHT JR",,,,,,,"SUB IN by ,BRUCE BRIGHT JR",2
01:38,"SUB IN by MCCURRY,CONAL",,,,,,,"SUB IN by MCCURRY,CONAL",2
