Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
17:04,,,,,"MISS JUMPER by RUDAK,MATEUSZ",,,"MISS JUMPER by RUDAK,MATEUSZ",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
17:00,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
16:58,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",1
16:58,"STEAL  by STOKES,TIMOTHY",,,,,,,"STEAL  by STOKES,TIMOTHY",1
16:32,"MISS JUMPER by SCHULTZ,TRAVIS",,,,,,,"MISS JUMPER by SCHULTZ,TRAVIS",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
16:20,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,"REBOUND DEF by WASHINGTON,DEVON",,,,,,,"REBOUND DEF by WASHINGTON,DEVON",1
16:11,"MISS 3PTR by GROGAN,TAYLAN",,,,,,,"MISS 3PTR by GROGAN,TAYLAN",1
--,"REBOUND OFF by WASHINGTON,DEVON",,,,,,,"REBOUND OFF by WASHINGTON,DEVON",1
16:07,"MISS JUMPER by WASHINGTON,DEVON",,,,,,,"MISS JUMPER by WASHINGTON,DEVON",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
15:56,,4,,11 (+7),"GOOD 3PTR by DENBESTEN,COLE",17BSC-M 4-11 (+7),,"GOOD 3PTR by DENBESTEN,COLE",1
--,,,,,"ASSIST  by RUDAK,MATEUSZ",,,"ASSIST  by RUDAK,MATEUSZ",1
15:11,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:56,,,,,"TURNOVER  by RUDAK,MATEUSZ",,,"TURNOVER  by RUDAK,MATEUSZ",1
14:56,"SUB IN by BURKS,NICK",,,,,,,"SUB IN by BURKS,NICK",1
14:56,"SUB IN by SCHULTZ,TRAVIS",,,,,,,"SUB IN by SCHULTZ,TRAVIS",1
14:56,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
14:56,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
14:49,"MISS JUMPER by GROGAN,TAYLAN",,,,,,,"MISS JUMPER by GROGAN,TAYLAN",1
--,"REBOUND OFF by HOLLIS,REX",,,,,,,"REBOUND OFF by HOLLIS,REX",1
14:43,"MISS JUMPER by STOKES,TIMOTHY",,,,,,,"MISS JUMPER by STOKES,TIMOTHY",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
14:38,,,,,"MISS 3PTR by RUDAK,MATEUSZ",,,"MISS 3PTR by RUDAK,MATEUSZ",1
--,"REBOUND DEF by WASHINGTON,DEVON",,,,,,,"REBOUND DEF by WASHINGTON,DEVON",1
14:34,,,,,"FOUL  by YANCEY,RICH",,,"FOUL  by YANCEY,RICH",1
14:34,"GOOD FT by GROGAN,TAYLAN",5,,11 (+6),,LCM 5-11 (+6),,"GOOD FT by GROGAN,TAYLAN",1
14:34,"GOOD FT by GROGAN,TAYLAN",6,,11 (+5),,LCM 6-11 (+5),,"GOOD FT by GROGAN,TAYLAN",1
14:34,"SUB OUT by POWELL,LASHARD",,,,,,,"SUB OUT by POWELL,LASHARD",1
14:34,"SUB OUT by SCHULTZ,TRAVIS",,,,,,,"SUB OUT by SCHULTZ,TRAVIS",1
14:34,,,,,"SUB IN by LOVING,JIBRI",,,"SUB IN by LOVING,JIBRI",1
14:34,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
14:34,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
14:34,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
14:34,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",1
14:34,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
14:34,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
14:34,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
14:31,"FOUL  by GROGAN,TAYLAN",,,,,,,"FOUL  by GROGAN,TAYLAN",1
14:08,,,,,"MISS LAYUP by SPENCE,BEN",,,"MISS LAYUP by SPENCE,BEN",1
14:08,"BLOCK  by WASHINGTON,DEVON",,,,,,,"BLOCK  by WASHINGTON,DEVON",1
--,,,,,"REBOUND OFF by LOVING,JIBRI",,,"REBOUND OFF by LOVING,JIBRI",1
14:03,,,,,"MISS JUMPER by LOVING,JIBRI",,,"MISS JUMPER by LOVING,JIBRI",1
--,"REBOUND DEF by WASHINGTON,DEVON",,,,,,,"REBOUND DEF by WASHINGTON,DEVON",1
13:55,"MISS LAYUP by WASHINGTON,DEVON",,,,,,,"MISS LAYUP by WASHINGTON,DEVON",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
13:50,,,,,"TURNOVER  by LOVING,JIBRI",,,"TURNOVER  by LOVING,JIBRI",1
13:46,"SUB IN by COLEMAN,JAQUEZ",,,,,,,"SUB IN by COLEMAN,JAQUEZ",1
13:46,"SUB OUT by GROGAN,TAYLAN",,,,,,,"SUB OUT by GROGAN,TAYLAN",1
13:46,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
13:46,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
13:46,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
13:46,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
13:41,"MISS JUMPER by COLEMAN,JAQUEZ",,,,,,,"MISS JUMPER by COLEMAN,JAQUEZ",1
--,,,,,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",1
13:37,,6,,14 (+8),"GOOD 3PTR by BAK,CALVIN(fastbreak)(in the paint)",17BSC-M 6-14 (+8),,"GOOD 3PTR by BAK,CALVIN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
13:21,"MISS LAYUP by BURKS,NICK",,,,,,,"MISS LAYUP by BURKS,NICK",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
13:10,,,,,"MISS LAYUP by GONDA,MATT",,,"MISS LAYUP by GONDA,MATT",1
--,"REBOUND DEF by HOLLIS,REX",,,,,,,"REBOUND DEF by HOLLIS,REX",1
13:04,"GOOD LAYUP by BURKS,NICK(fastbreak)(in the paint)",8,,14 (+6),,LCM 8-14 (+6),,"GOOD LAYUP by BURKS,NICK(fastbreak)(in the paint)",1
13:04,,,,,"FOUL  by YANCEY,RICH",,,"FOUL  by YANCEY,RICH",1
13:04,"GOOD FT by BURKS,NICK",9,,14 (+5),,LCM 9-14 (+5),,"GOOD FT by BURKS,NICK",1
12:52,,9,,16 (+7),"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",17BSC-M 9-16 (+7),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",1
12:24,"MISS 3PTR by HOLLIS,REX",,,,,,,"MISS 3PTR by HOLLIS,REX",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
12:08,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by YANCEY,RICH",,,"REBOUND OFF by YANCEY,RICH",1
12:04,,,,,"MISS JUMPER by YANCEY,RICH",,,"MISS JUMPER by YANCEY,RICH",1
--,"REBOUND DEF by WASHINGTON,DEVON",,,,,,,"REBOUND DEF by WASHINGTON,DEVON",1
11:51,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:51,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",1
11:51,"GOOD FT by STOKES,TIMOTHY",10,,16 (+6),,LCM 10-16 (+6),,"GOOD FT by STOKES,TIMOTHY",1
11:51,"GOOD FT by STOKES,TIMOTHY",11,,16 (+5),,LCM 11-16 (+5),,"GOOD FT by STOKES,TIMOTHY",1
11:51,"SUB IN by GROGAN,TAYLAN",,,,,,,"SUB IN by GROGAN,TAYLAN",1
11:51,"SUB IN by SCHULTZ,TRAVIS",,,,,,,"SUB IN by SCHULTZ,TRAVIS",1
11:51,"SUB OUT by STOKES,TIMOTHY",,,,,,,"SUB OUT by STOKES,TIMOTHY",1
11:51,"SUB OUT by WASHINGTON,DEVON",,,,,,,"SUB OUT by WASHINGTON,DEVON",1
11:51,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",1
11:51,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
11:51,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",1
11:51,,,,,"SUB OUT by LOVING,JIBRI",,,"SUB OUT by LOVING,JIBRI",1
11:51,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
11:51,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
11:41,,,,,"MISS 3PTR by MOORE,KADEN",,,"MISS 3PTR by MOORE,KADEN",1
--,"REBOUND DEF by BURKS,NICK",,,,,,,"REBOUND DEF by BURKS,NICK",1
11:32,"TURNOVER  by GROGAN,TAYLAN",,,,,,,"TURNOVER  by GROGAN,TAYLAN",1
11:24,,11,,18 (+7),"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",17BSC-M 11-18 (+7),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",1
--,,,,,"ASSIST  by DENBESTEN,COLE",,,"ASSIST  by DENBESTEN,COLE",1
11:08,"MISS JUMPER by BURKS,NICK",,,,,,,"MISS JUMPER by BURKS,NICK",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
11:00,,,,,"MISS 3PTR by MOORE,KADEN",,,"MISS 3PTR by MOORE,KADEN",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
10:55,,11,,20 (+9),"GOOD JUMPER by DENEKA,HARRISON(in the paint)",17BSC-M 11-20 (+9),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
10:30,"MISS 3PTR by BURKS,NICK",,,,,,,"MISS 3PTR by BURKS,NICK",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
10:16,,11,,22 (+11),"GOOD JUMPER by RUDAK,MATEUSZ(in the paint)",17BSC-M 11-22 (+11),,"GOOD JUMPER by RUDAK,MATEUSZ(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
10:05,"TURNOVER  by GROGAN,TAYLAN",,,,,,,"TURNOVER  by GROGAN,TAYLAN",1
10:05,"SUB IN by LEBLANC,LEJAWON",,,,,,,"SUB IN by LEBLANC,LEJAWON",1
10:05,"SUB IN by POWELL,LASHARD",,,,,,,"SUB IN by POWELL,LASHARD",1
10:05,"SUB IN by STOKES,TIMOTHY",,,,,,,"SUB IN by STOKES,TIMOTHY",1
10:05,"SUB OUT by BURKS,NICK",,,,,,,"SUB OUT by BURKS,NICK",1
10:05,"SUB OUT by COLEMAN,JAQUEZ",,,,,,,"SUB OUT by COLEMAN,JAQUEZ",1
10:05,"SUB OUT by HOLLIS,REX",,,,,,,"SUB OUT by HOLLIS,REX",1
10:05,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
10:05,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
09:58,,,,,"TURNOVER  by ALLISON,ZACH",,,"TURNOVER  by ALLISON,ZACH",1
09:56,"STEAL  by LEBLANC,LEJAWON",,,,,,,"STEAL  by LEBLANC,LEJAWON",1
09:53,"GOOD LAYUP by LEBLANC,LEJAWON(fastbreak)(in the paint)",13,,22 (+9),,LCM 13-22 (+9),,"GOOD LAYUP by LEBLANC,LEJAWON(fastbreak)(in the paint)",1
09:47,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
09:47,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
09:35,,,,,"MISS LAYUP by RUDAK,MATEUSZ",,,"MISS LAYUP by RUDAK,MATEUSZ",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
09:33,"FOUL  by SCHULTZ,TRAVIS",,,,,,,"FOUL  by SCHULTZ,TRAVIS",1
09:33,,,,,"MISS FT by SPENCE,BEN",,,"MISS FT by SPENCE,BEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:33,,13,,23 (+10),"GOOD FT by SPENCE,BEN",17BSC-M 13-23 (+10),,"GOOD FT by SPENCE,BEN",1
09:28,"TURNOVER  by SCHULTZ,TRAVIS",,,,,,,"TURNOVER  by SCHULTZ,TRAVIS",1
09:28,,,,,"STEAL  by MOORE,KADEN",,,"STEAL  by MOORE,KADEN",1
09:28,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",1
09:28,"SUB IN by WASHINGTON,DEVON",,,,,,,"SUB IN by WASHINGTON,DEVON",1
09:28,"SUB OUT by SCHULTZ,TRAVIS",,,,,,,"SUB OUT by SCHULTZ,TRAVIS",1
09:24,"TURNOVER  by LEBLANC,LEJAWON",,,,,,,"TURNOVER  by LEBLANC,LEJAWON",1
09:24,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
09:24,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
09:09,,,,,"FOUL  by YANCEY,RICH",,,"FOUL  by YANCEY,RICH",1
09:09,,,,,"TURNOVER  by YANCEY,RICH",,,"TURNOVER  by YANCEY,RICH",1
08:52,,,,,"FOUL  by YANCEY,RICH",,,"FOUL  by YANCEY,RICH",1
08:52,"SUB IN by COLEMAN,JAQUEZ",,,,,,,"SUB IN by COLEMAN,JAQUEZ",1
08:52,"SUB OUT by POWELL,LASHARD",,,,,,,"SUB OUT by POWELL,LASHARD",1
08:52,,,,,"SUB IN by LOVING,JIBRI",,,"SUB IN by LOVING,JIBRI",1
08:52,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
08:52,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",1
08:52,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
08:46,"MISS 3PTR by GROGAN,TAYLAN",,,,,,,"MISS 3PTR by GROGAN,TAYLAN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
08:32,,13,,25 (+12),"GOOD DUNK by LOVING,JIBRI(in the paint)",17BSC-M 13-25 (+12),,"GOOD DUNK by LOVING,JIBRI(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
08:08,"TURNOVER  by STOKES,TIMOTHY",,,,,,,"TURNOVER  by STOKES,TIMOTHY",1
08:06,,,,,"STEAL  by MOORE,KADEN",,,"STEAL  by MOORE,KADEN",1
07:58,,,,,"MISS LAYUP by ALLISON,ZACH",,,"MISS LAYUP by ALLISON,ZACH",1
--,"REBOUND DEF by WASHINGTON,DEVON",,,,,,,"REBOUND DEF by WASHINGTON,DEVON",1
07:51,"GOOD 3PTR by COLEMAN,JAQUEZ",16,,25 (+9),,LCM 16-25 (+9),,"GOOD 3PTR by COLEMAN,JAQUEZ",1
--,"ASSIST  by GROGAN,TAYLAN",,,,,,,"ASSIST  by GROGAN,TAYLAN",1
07:38,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,"REBOUND DEF by WASHINGTON,DEVON",,,,,,,"REBOUND DEF by WASHINGTON,DEVON",1
07:06,"GOOD JUMPER by LEBLANC,LEJAWON(in the paint)",18,,25 (+7),,LCM 18-25 (+7),,"GOOD JUMPER by LEBLANC,LEJAWON(in the paint)",1
07:03,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:03,"SUB IN by SCHULTZ,TRAVIS",,,,,,,"SUB IN by SCHULTZ,TRAVIS",1
07:03,"SUB IN by LEE,TORRIAN",,,,,,,"SUB IN by LEE,TORRIAN",1
07:03,"SUB OUT by WASHINGTON,DEVON",,,,,,,"SUB OUT by WASHINGTON,DEVON",1
07:03,"SUB OUT by STOKES,TIMOTHY",,,,,,,"SUB OUT by STOKES,TIMOTHY",1
07:03,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
07:03,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
07:03,,,,,"SUB IN by HARTER,J MORGAN",,,"SUB IN by HARTER,J MORGAN",1
07:03,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
07:03,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
07:03,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
06:57,"FOUL  by SCHULTZ,TRAVIS",,,,,,,"FOUL  by SCHULTZ,TRAVIS",1
06:57,,,,,"MISS FT by LOVING,JIBRI",,,"MISS FT by LOVING,JIBRI",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:57,,18,,26 (+8),"GOOD FT by LOVING,JIBRI",17BSC-M 18-26 (+8),,"GOOD FT by LOVING,JIBRI",1
06:31,"GOOD JUMPER by GROGAN,TAYLAN(in the paint)",20,,26 (+6),,LCM 20-26 (+6),,"GOOD JUMPER by GROGAN,TAYLAN(in the paint)",1
06:18,,20,,28 (+8),"GOOD JUMPER by MOORE,KADEN(in the paint)",17BSC-M 20-28 (+8),,"GOOD JUMPER by MOORE,KADEN(in the paint)",1
06:00,"MISS 3PTR by SCHULTZ,TRAVIS",,,,,,,"MISS 3PTR by SCHULTZ,TRAVIS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:56,"SUB IN by WASHINGTON,DEVON",,,,,,,"SUB IN by WASHINGTON,DEVON",1
05:56,"SUB OUT by SCHULTZ,TRAVIS",,,,,,,"SUB OUT by SCHULTZ,TRAVIS",1
05:51,"MISS JUMPER by LEBLANC,LEJAWON",,,,,,,"MISS JUMPER by LEBLANC,LEJAWON",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
05:30,,20,,30 (+10),"GOOD JUMPER by DENEKA,HARRISON(in the paint)",17BSC-M 20-30 (+10),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
05:13,"MISS JUMPER by WASHINGTON,DEVON",,,,,,,"MISS JUMPER by WASHINGTON,DEVON",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
05:07,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
05:04,"STEAL  by GROGAN,TAYLAN",,,,,,,"STEAL  by GROGAN,TAYLAN",1
05:03,"GOOD LAYUP by GROGAN,TAYLAN(fastbreak)(in the paint)",22,,30 (+8),,LCM 22-30 (+8),,"GOOD LAYUP by GROGAN,TAYLAN(fastbreak)(in the paint)",1
04:54,"FOUL  by GROGAN,TAYLAN",,,,,,,"FOUL  by GROGAN,TAYLAN",1
04:54,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",1
04:54,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
04:54,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",1
04:54,,,,,"SUB OUT by LOVING,JIBRI",,,"SUB OUT by LOVING,JIBRI",1
04:54,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
04:54,,,,,"SUB OUT by HARTER,J MORGAN",,,"SUB OUT by HARTER,J MORGAN",1
04:40,,22,,33 (+11),"GOOD 3PTR by BAK,CALVIN",17BSC-M 22-33 (+11),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by MOORE,KADEN",,,"ASSIST  by MOORE,KADEN",1
04:35,"SUB IN by STOKES,TIMOTHY",,,,,,,"SUB IN by STOKES,TIMOTHY",1
04:35,"SUB IN by HOLLIS,REX",,,,,,,"SUB IN by HOLLIS,REX",1
04:35,"SUB OUT by LEBLANC,LEJAWON",,,,,,,"SUB OUT by LEBLANC,LEJAWON",1
04:35,"SUB OUT by GROGAN,TAYLAN",,,,,,,"SUB OUT by GROGAN,TAYLAN",1
04:35,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
04:35,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
04:06,"MISS 3PTR by LEE,TORRIAN",,,,,,,"MISS 3PTR by LEE,TORRIAN",1
--,"REBOUND OFF by WASHINGTON,DEVON",,,,,,,"REBOUND OFF by WASHINGTON,DEVON",1
04:01,"GOOD JUMPER by WASHINGTON,DEVON(in the paint)",24,,33 (+9),,LCM 24-33 (+9),,"GOOD JUMPER by WASHINGTON,DEVON(in the paint)",1
03:40,"FOUL  by WASHINGTON,DEVON",,,,,,,"FOUL  by WASHINGTON,DEVON",1
03:40,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:40,,24,,34 (+10),"GOOD FT by DENEKA,HARRISON",17BSC-M 24-34 (+10),,"GOOD FT by DENEKA,HARRISON",1
03:40,,24,,35 (+11),"GOOD FT by DENEKA,HARRISON",17BSC-M 24-35 (+11),,"GOOD FT by DENEKA,HARRISON",1
03:17,"GOOD 3PTR by STOKES,TIMOTHY",27,,35 (+8),,LCM 27-35 (+8),,"GOOD 3PTR by STOKES,TIMOTHY",1
--,"ASSIST  by LEE,TORRIAN",,,,,,,"ASSIST  by LEE,TORRIAN",1
03:02,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by COLEMAN,JAQUEZ",,,,,,,"REBOUND DEF by COLEMAN,JAQUEZ",1
02:55,"GOOD LAYUP by LEE,TORRIAN(fastbreak)(in the paint)",29,,35 (+6),,LCM 29-35 (+6),,"GOOD LAYUP by LEE,TORRIAN(fastbreak)(in the paint)",1
02:48,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",1
02:43,"STEAL  by STOKES,TIMOTHY",,,,,,,"STEAL  by STOKES,TIMOTHY",1
02:42,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
02:42,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
02:42,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
02:42,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
02:42,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
02:26,"GOOD 3PTR by POWELL,LASHARD",32,,35 (+3),,LCM 32-35 (+3),,"GOOD 3PTR by POWELL,LASHARD",1
--,"ASSIST  by STOKES,TIMOTHY",,,,,,,"ASSIST  by STOKES,TIMOTHY",1
02:13,,32,,37 (+5),"GOOD JUMPER by DENEKA,HARRISON(in the paint)",17BSC-M 32-37 (+5),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
02:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:50,"TURNOVER  by WASHINGTON,DEVON",,,,,,,"TURNOVER  by WASHINGTON,DEVON",1
01:34,,32,,39 (+7),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",17BSC-M 32-39 (+7),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
01:10,"GOOD 3PTR by LEE,TORRIAN",35,,39 (+4),,LCM 35-39 (+4),,"GOOD 3PTR by LEE,TORRIAN",1
--,"ASSIST  by POWELL,LASHARD",,,,,,,"ASSIST  by POWELL,LASHARD",1
00:58,,35,,41 (+6),"GOOD JUMPER by DENEKA,HARRISON(in the paint)",17BSC-M 35-41 (+6),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
00:45,"MISS 3PTR by LEE,TORRIAN",,,,,,,"MISS 3PTR by LEE,TORRIAN",1
--,,,,,"REBOUND DEF by DENBESTEN,COLE",,,"REBOUND DEF by DENBESTEN,COLE",1
00:21,,,,,"TURNOVER  by RUDAK,MATEUSZ",,,"TURNOVER  by RUDAK,MATEUSZ",1
00:19,"STEAL  by STOKES,TIMOTHY",,,,,,,"STEAL  by STOKES,TIMOTHY",1
