Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,IWU,Game Score,Team Indicator,Play,Period
14:09,,4,,11 (+7),"GOOD LAYUP by ROSE,BRADY(in the paint)",IWU 4-11 (-7),,"GOOD LAYUP by ROSE,BRADY(in the paint)",1
14:00,"GOOD 3PTR by STEWART,CHRISTIAN",7,,11 (+4),,17BSC-M 7-11 (-4),,"GOOD 3PTR by STEWART,CHRISTIAN",1
--,"ASSIST  by DENBESTIN,COLE",,,,,,,"ASSIST  by DENBESTIN,COLE",1
13:51,,7,,13 (+6),"GOOD LAYUP by ROSE,BRADY(fastbreak)(in the paint)",IWU 7-13 (-6),,"GOOD LAYUP by ROSE,BRADY(fastbreak)(in the paint)",1
13:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:49,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
13:49,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
13:49,,,,,"SUB IN by WALLEN,DOUG",,,"SUB IN by WALLEN,DOUG",1
13:49,,,,,"SUB OUT by BONNETT,COLIN",,,"SUB OUT by BONNETT,COLIN",1
13:44,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",9,,13 (+4),,17BSC-M 9-13 (-4),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",1
13:21,,,,,"MISS 3PTR by WALLEN,DOUG",,,"MISS 3PTR by WALLEN,DOUG",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
12:52,"TURNOVER  by RUDAK,MATEUSZ",,,,,,,"TURNOVER  by RUDAK,MATEUSZ",1
12:50,,,,,"STEAL  by ROSE,BRADY",,,"STEAL  by ROSE,BRADY",1
12:30,,,,,"TURNOVER  by BURDINE,TYLER",,,"TURNOVER  by BURDINE,TYLER",1
12:30,,,,,"SUB IN by O'NEILL,ALEX",,,"SUB IN by O'NEILL,ALEX",1
12:30,,,,,"SUB IN by BONNETT,COLIN",,,"SUB IN by BONNETT,COLIN",1
12:30,,,,,"SUB OUT by BURDINE,TYLER",,,"SUB OUT by BURDINE,TYLER",1
12:30,,,,,"SUB OUT by ROSE,BRADY",,,"SUB OUT by ROSE,BRADY",1
12:11,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
12:11,"SUB IN by ZHOU,ANDY",,,,,,,"SUB IN by ZHOU,ANDY",1
12:11,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
12:11,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
12:11,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
12:11,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
12:11,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
12:11,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
12:05,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",1
12:04,,,,,"STEAL  by CURRY,MILES",,,"STEAL  by CURRY,MILES",1
11:51,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
11:39,,,,,"MISS 3PTR by CURRY,MILES",,,"MISS 3PTR by CURRY,MILES",1
--,,,,,"REBOUND OFF by WALLEN,DOUG",,,"REBOUND OFF by WALLEN,DOUG",1
11:35,,,,,"MISS LAYUP by WALLEN,DOUG",,,"MISS LAYUP by WALLEN,DOUG",1
--,,,,,"REBOUND OFF by WALLEN,DOUG",,,"REBOUND OFF by WALLEN,DOUG",1
11:33,,,,,"MISS LAYUP by WALLEN,DOUG",,,"MISS LAYUP by WALLEN,DOUG",1
--,,,,,"REBOUND OFF by O'NEILL,ALEX",,,"REBOUND OFF by O'NEILL,ALEX",1
11:31,,,,,"MISS LAYUP by O'NEILL,ALEX",,,"MISS LAYUP by O'NEILL,ALEX",1
--,,,,,"REBOUND OFF by O'NEILL,ALEX",,,"REBOUND OFF by O'NEILL,ALEX",1
11:31,"FOUL  by ZHOU,ANDY",,,,,,,"FOUL  by ZHOU,ANDY",1
11:31,,9,,14 (+5),"GOOD FT by O'NEILL,ALEX",IWU 9-14 (-5),,"GOOD FT by O'NEILL,ALEX",1
11:31,,9,,15 (+6),"GOOD FT by O'NEILL,ALEX",IWU 9-15 (-6),,"GOOD FT by O'NEILL,ALEX",1
11:20,,,,,"FOUL  by WOLFE,GRANT",,,"FOUL  by WOLFE,GRANT",1
11:20,"GOOD FT by ZHOU,ANDY",10,,15 (+5),,17BSC-M 10-15 (-5),,"GOOD FT by ZHOU,ANDY",1
11:20,"GOOD FT by ZHOU,ANDY",11,,15 (+4),,17BSC-M 11-15 (-4),,"GOOD FT by ZHOU,ANDY",1
11:20,,,,,"SUB IN by ROSE,BRADY",,,"SUB IN by ROSE,BRADY",1
11:20,,,,,"SUB IN by KNOBLOCH,ZACH",,,"SUB IN by KNOBLOCH,ZACH",1
11:20,,,,,"SUB OUT by WALLEN,DOUG",,,"SUB OUT by WALLEN,DOUG",1
11:20,,,,,"SUB OUT by WOLFE,GRANT",,,"SUB OUT by WOLFE,GRANT",1
11:12,,,,,"MISS LAYUP by CURRY,MILES",,,"MISS LAYUP by CURRY,MILES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:10,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
11:10,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
11:07,,11,,17 (+6),"GOOD LAYUP by ROSE,BRADY(in the paint)",IWU 11-17 (-6),,"GOOD LAYUP by ROSE,BRADY(in the paint)",1
10:37,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",13,,17 (+4),,17BSC-M 13-17 (-4),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
10:17,,,,,"FOUL  by ROSE,BRADY",,,"FOUL  by ROSE,BRADY",1
10:17,,,,,"TURNOVER  by ROSE,BRADY",,,"TURNOVER  by ROSE,BRADY",1
10:08,,,,,"FOUL  by O'NEILL,ALEX",,,"FOUL  by O'NEILL,ALEX",1
10:08,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
10:08,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
10:08,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
10:01,,,,,"MISS 3PTR by ROSE,BRADY",,,"MISS 3PTR by ROSE,BRADY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:59,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",1
09:59,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
09:43,,13,,19 (+6),"GOOD LAYUP by CURRY,MILES(in the paint)",IWU 13-19 (-6),,"GOOD LAYUP by CURRY,MILES(in the paint)",1
09:20,"MISS LAYUP by DENEKA,HARRISON",,,,,,,"MISS LAYUP by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by O'NEILL,ALEX",,,"REBOUND DEF by O'NEILL,ALEX",1
09:12,,,,,"MISS LAYUP by ROSE,BRADY",,,"MISS LAYUP by ROSE,BRADY",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
09:03,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
09:03,"SUB OUT by ZHOU,ANDY",,,,,,,"SUB OUT by ZHOU,ANDY",1
09:03,,,,,"SUB IN by GREGOIRE,JASON",,,"SUB IN by GREGOIRE,JASON",1
09:03,,,,,"SUB IN by BEASLEY,JAYLEN",,,"SUB IN by BEASLEY,JAYLEN",1
09:03,,,,,"SUB OUT by KNOBLOCH,ZACH",,,"SUB OUT by KNOBLOCH,ZACH",1
09:03,,,,,"SUB OUT by CURRY,MILES",,,"SUB OUT by CURRY,MILES",1
08:54,,,,,"FOUL  by O'NEILL,ALEX",,,"FOUL  by O'NEILL,ALEX",1
08:54,"GOOD FT by SPENCE,BEN",14,,19 (+5),,17BSC-M 14-19 (-5),,"GOOD FT by SPENCE,BEN",1
08:54,"GOOD FT by SPENCE,BEN",15,,19 (+4),,17BSC-M 15-19 (-4),,"GOOD FT by SPENCE,BEN",1
08:54,,,,,"SUB IN by BURDINE,TYLER",,,"SUB IN by BURDINE,TYLER",1
08:54,,,,,"SUB OUT by O'NEILL,ALEX",,,"SUB OUT by O'NEILL,ALEX",1
08:46,,,,,"MISS 3PTR by GREGOIRE,JASON",,,"MISS 3PTR by GREGOIRE,JASON",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
08:39,"MISS 3PTR by DENBESTIN,COLE",,,,,,,"MISS 3PTR by DENBESTIN,COLE",1
--,,,,,"REBOUND DEF by GREGOIRE,JASON",,,"REBOUND DEF by GREGOIRE,JASON",1
08:20,,15,,21 (+6),"GOOD JUMPER by BURDINE,TYLER(in the paint)",IWU 15-21 (-6),,"GOOD JUMPER by BURDINE,TYLER(in the paint)",1
08:01,"GOOD 3PTR by DENBESTIN,COLE",18,,21 (+3),,17BSC-M 18-21 (-3),,"GOOD 3PTR by DENBESTIN,COLE",1
--,"ASSIST  by ALLISON,ZACH",,,,,,,"ASSIST  by ALLISON,ZACH",1
07:52,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
07:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:52,,,,,"SUB IN by CURRY,MILES",,,"SUB IN by CURRY,MILES",1
07:52,,,,,"SUB OUT by BEASLEY,JAYLEN",,,"SUB OUT by BEASLEY,JAYLEN",1
07:41,"MISS 3PTR by JR,BRUCE BRIGHT",,,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:30,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by BONNETT,COLIN",,,"REBOUND DEF by BONNETT,COLIN",1
07:09,,18,,24 (+6),"GOOD 3PTR by ROSE,BRADY",IWU 18-24 (-6),,"GOOD 3PTR by ROSE,BRADY",1
--,,,,,"ASSIST  by CURRY,MILES",,,"ASSIST  by CURRY,MILES",1
07:00,"GOOD 3PTR by DENBESTIN,COLE(fastbreak)",21,,24 (+3),,17BSC-M 21-24 (-3),,"GOOD 3PTR by DENBESTIN,COLE(fastbreak)",1
--,"ASSIST  by ALLISON,ZACH",,,,,,,"ASSIST  by ALLISON,ZACH",1
06:41,,21,,26 (+5),"GOOD LAYUP by BONNETT,COLIN(in the paint)",IWU 21-26 (-5),,"GOOD LAYUP by BONNETT,COLIN(in the paint)",1
06:32,"MISS LAYUP by ALLISON,ZACH",,,,,,,"MISS LAYUP by ALLISON,ZACH",1
--,,,,,"REBOUND DEF by BURDINE,TYLER",,,"REBOUND DEF by BURDINE,TYLER",1
06:26,,21,,28 (+7),"GOOD LAYUP by BONNETT,COLIN(fastbreak)(in the paint)",IWU 21-28 (-7),,"GOOD LAYUP by BONNETT,COLIN(fastbreak)(in the paint)",1
06:06,"GOOD LAYUP by JR,BRUCE BRIGHT(in the paint)",23,,28 (+5),,17BSC-M 23-28 (-5),,"GOOD LAYUP by JR,BRUCE BRIGHT(in the paint)",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
05:48,,23,,31 (+8),"GOOD 3PTR by GREGOIRE,JASON",IWU 23-31 (-8),,"GOOD 3PTR by GREGOIRE,JASON",1
--,,,,,"ASSIST  by BURDINE,TYLER",,,"ASSIST  by BURDINE,TYLER",1
05:31,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",25,,31 (+6),,17BSC-M 25-31 (-6),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
05:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
05:29,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
05:29,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
05:29,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
05:29,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
05:29,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",1
05:29,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
05:29,,,,,"SUB IN by WOLFE,GRANT",,,"SUB IN by WOLFE,GRANT",1
05:29,,,,,"SUB IN by KNOBLOCH,ZACH",,,"SUB IN by KNOBLOCH,ZACH",1
05:29,,,,,"SUB OUT by ROSE,BRADY",,,"SUB OUT by ROSE,BRADY",1
05:29,,,,,"SUB OUT by BONNETT,COLIN",,,"SUB OUT by BONNETT,COLIN",1
05:15,,,,,"MISS 3PTR by KNOBLOCH,ZACH",,,"MISS 3PTR by KNOBLOCH,ZACH",1
--,,,,,"REBOUND OFF by BURDINE,TYLER",,,"REBOUND OFF by BURDINE,TYLER",1
05:13,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",1
05:12,,,,,"MISS LAYUP by KNOBLOCH,ZACH",,,"MISS LAYUP by KNOBLOCH,ZACH",1
05:12,"BLOCK  by ALLISON,ZACH",,,,,,,"BLOCK  by ALLISON,ZACH",1
--,,,,,"REBOUND OFF by BEASLEY,JAYLEN",,,"REBOUND OFF by BEASLEY,JAYLEN",1
05:08,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
04:42,"MISS LAYUP by BAK,CALVIN",,,,,,,"MISS LAYUP by BAK,CALVIN",1
--,"REBOUND OFF by RUDAK,MATEUSZ",,,,,,,"REBOUND OFF by RUDAK,MATEUSZ",1
04:41,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
04:41,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
04:34,"GOOD LAYUP by SPENCE,BEN(in the paint)",27,,31 (+4),,17BSC-M 27-31 (-4),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
--,"ASSIST  by ALLISON,ZACH",,,,,,,"ASSIST  by ALLISON,ZACH",1
04:34,,,,,"FOUL  by CURRY,MILES",,,"FOUL  by CURRY,MILES",1
04:34,"GOOD FT by SPENCE,BEN",28,,31 (+3),,17BSC-M 28-31 (-3),,"GOOD FT by SPENCE,BEN",1
04:34,,,,,"SUB IN by WALLEN,DOUG",,,"SUB IN by WALLEN,DOUG",1
04:34,,,,,"SUB IN by ROSE,BRADY",,,"SUB IN by ROSE,BRADY",1
04:34,,,,,"SUB IN by BEASLEY,JAYLEN",,,"SUB IN by BEASLEY,JAYLEN",1
04:34,,,,,"SUB OUT by GREGOIRE,JASON",,,"SUB OUT by GREGOIRE,JASON",1
04:34,,,,,"SUB OUT by KNOBLOCH,ZACH",,,"SUB OUT by KNOBLOCH,ZACH",1
04:34,,,,,"SUB OUT by CURRY,MILES",,,"SUB OUT by CURRY,MILES",1
04:26,,28,,34 (+6),"GOOD 3PTR by WOLFE,GRANT",IWU 28-34 (-6),,"GOOD 3PTR by WOLFE,GRANT",1
--,,,,,"ASSIST  by ROSE,BRADY",,,"ASSIST  by ROSE,BRADY",1
04:11,"MISS LAYUP by SPENCE,BEN",,,,,,,"MISS LAYUP by SPENCE,BEN",1
04:11,,,,,"BLOCK  by BURDINE,TYLER",,,"BLOCK  by BURDINE,TYLER",1
--,,,,,"REBOUND DEF by BURDINE,TYLER",,,"REBOUND DEF by BURDINE,TYLER",1
04:09,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
04:09,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
03:47,,28,,37 (+9),"GOOD 3PTR by BEASLEY,JAYLEN",IWU 28-37 (-9),,"GOOD 3PTR by BEASLEY,JAYLEN",1
--,,,,,"ASSIST  by WOLFE,GRANT",,,"ASSIST  by WOLFE,GRANT",1
03:35,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",1
03:06,,28,,40 (+12),"GOOD 3PTR by WOLFE,GRANT",IWU 28-40 (-12),,"GOOD 3PTR by WOLFE,GRANT",1
02:54,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
02:49,"MISS LAYUP by DENEKA,HARRISON",,,,,,,"MISS LAYUP by DENEKA,HARRISON",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
02:45,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",30,,40 (+10),,17BSC-M 30-40 (-10),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
02:38,,,,,"MISS 3PTR by ROSE,BRADY",,,"MISS 3PTR by ROSE,BRADY",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
02:19,"GOOD 3PTR by GONDA,MATT",33,,40 (+7),,17BSC-M 33-40 (-7),,"GOOD 3PTR by GONDA,MATT",1
--,"ASSIST  by DENEKA,HARRISON",,,,,,,"ASSIST  by DENEKA,HARRISON",1
02:01,,,,,"FOUL  by BEASLEY,JAYLEN",,,"FOUL  by BEASLEY,JAYLEN",1
02:01,,,,,"TURNOVER  by BEASLEY,JAYLEN",,,"TURNOVER  by BEASLEY,JAYLEN",1
02:01,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
02:01,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
02:01,,,,,"SUB IN by BAKER,DANNY",,,"SUB IN by BAKER,DANNY",1
02:01,,,,,"SUB IN by BONNETT,COLIN",,,"SUB IN by BONNETT,COLIN",1
02:01,,,,,"SUB IN by CURRY,MILES",,,"SUB IN by CURRY,MILES",1
02:01,,,,,"SUB OUT by BURDINE,TYLER",,,"SUB OUT by BURDINE,TYLER",1
02:01,,,,,"SUB OUT by WALLEN,DOUG",,,"SUB OUT by WALLEN,DOUG",1
02:01,,,,,"SUB OUT by BEASLEY,JAYLEN",,,"SUB OUT by BEASLEY,JAYLEN",1
01:43,"GOOD 3PTR by YANCEY,RICH",36,,40 (+4),,17BSC-M 36-40 (-4),,"GOOD 3PTR by YANCEY,RICH",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
01:23,,,,,"MISS LAYUP by BONNETT,COLIN",,,"MISS LAYUP by BONNETT,COLIN",1
--,,,,,"REBOUND OFF by CURRY,MILES",,,"REBOUND OFF by CURRY,MILES",1
01:20,,,,,"MISS LAYUP by CURRY,MILES",,,"MISS LAYUP by CURRY,MILES",1
--,,,,,"REBOUND OFF by CURRY,MILES",,,"REBOUND OFF by CURRY,MILES",1
01:19,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
01:19,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
01:19,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
01:16,,,,,"MISS JUMPER by ROSE,BRADY",,,"MISS JUMPER by ROSE,BRADY",1
--,"REBOUND DEF by DENBESTIN,COLE",,,,,,,"REBOUND DEF by DENBESTIN,COLE",1
01:05,"FOUL  by DENBESTIN,COLE",,,,,,,"FOUL  by DENBESTIN,COLE",1
01:05,"TURNOVER  by DENBESTIN,COLE",,,,,,,"TURNOVER  by DENBESTIN,COLE",1
00:41,,,,,"MISS 3PTR by CURRY,MILES",,,"MISS 3PTR by CURRY,MILES",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
00:31,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,,,,,"REBOUND DEF by BAKER,DANNY",,,"REBOUND DEF by BAKER,DANNY",1
00:05,,36,,43 (+7),"GOOD 3PTR by ROSE,BRADY",IWU 36-43 (-7),,"GOOD 3PTR by ROSE,BRADY",1
20:00,,,,,"SUB IN by CURRY,MILES",,,"SUB IN by CURRY,MILES",2
20:00,,,,,"SUB OUT by BEASLEY,JAYLEN",,,"SUB OUT by BEASLEY,JAYLEN",2
19:50,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND DEF by CURRY,MILES",,,"REBOUND DEF by CURRY,MILES",2
19:35,,,,,"MISS LAYUP by GREGOIRE,JASON",,,"MISS LAYUP by GREGOIRE,JASON",2
