Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,JCU,Game Score,Team Indicator,Play,Period
14:52,,,,,"SUB OUT by HENDRICKSON,DAVID",,,"SUB OUT by HENDRICKSON,DAVID",1
14:49,,8,,13 (+5),"GOOD LAYUP by SWEENEY,PATRICK(in the paint)",JCU 8-13 (-5),,"GOOD LAYUP by SWEENEY,PATRICK(in the paint)",1
--,,,,,"ASSIST  by COMBS,JORDAN",,,"ASSIST  by COMBS,JORDAN",1
14:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:17,"MISS JUMPER by NEWSOME,TAYLOR",,,,,,,"MISS JUMPER by NEWSOME,TAYLOR",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:58,"FOUL  by MELLOAN,JAMES",,,,,,,"FOUL  by MELLOAN,JAMES",1
13:58,,,,,"FOUL  by JANZ,KENNY",,,"FOUL  by JANZ,KENNY",1
13:52,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",1
13:48,,,,,"STEAL  by SWEENEY,PATRICK",,,"STEAL  by SWEENEY,PATRICK",1
13:48,,8,,15 (+7),"GOOD LAYUP by COMBS,JORDAN(fastbreak)(in the paint)",JCU 8-15 (-7),,"GOOD LAYUP by COMBS,JORDAN(fastbreak)(in the paint)",1
13:33,,,,,"FOUL  by SWEENEY,PATRICK",,,"FOUL  by SWEENEY,PATRICK",1
13:33,"MISS FT by GRIGGS,MATT",,,,,,,"MISS FT by GRIGGS,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:30,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",1
13:30,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
13:30,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
13:30,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
13:30,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
13:30,"SUB OUT by JACKSON,CASEY",,,,,,,"SUB OUT by JACKSON,CASEY",1
13:30,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
13:30,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
13:30,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
13:30,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
13:29,"MISS FT by GRIGGS,MATT",,,,,,,"MISS FT by GRIGGS,MATT",1
--,,,,,"REBOUND DEF by SWEENEY,PATRICK",,,"REBOUND DEF by SWEENEY,PATRICK",1
13:10,,8,,18 (+10),"GOOD 3PTR by SWEENEY,CONOR",JCU 8-18 (-10),,"GOOD 3PTR by SWEENEY,CONOR",1
--,,,,,"ASSIST  by SWEENEY,PATRICK",,,"ASSIST  by SWEENEY,PATRICK",1
12:53,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",1
12:52,,,,,"STEAL  by SWEENEY,CONOR",,,"STEAL  by SWEENEY,CONOR",1
12:46,,,,,"MISS LAYUP by SWEENEY,CONOR",,,"MISS LAYUP by SWEENEY,CONOR",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
12:37,,,,,"FOUL  by ANGERS,RYAN",,,"FOUL  by ANGERS,RYAN",1
12:37,,,,,"SUB IN by HARTNETT,MICHAEL",,,"SUB IN by HARTNETT,MICHAEL",1
12:37,,,,,"SUB IN by MEYER,JOE",,,"SUB IN by MEYER,JOE",1
12:37,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",1
12:37,,,,,"SUB IN by SHONTZ,COREY",,,"SUB IN by SHONTZ,COREY",1
12:37,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",1
12:37,,,,,"SUB OUT by JANZ,KENNY",,,"SUB OUT by JANZ,KENNY",1
12:37,,,,,"SUB OUT by SWEENEY,CONOR",,,"SUB OUT by SWEENEY,CONOR",1
12:37,,,,,"SUB OUT by COMBS,JORDAN",,,"SUB OUT by COMBS,JORDAN",1
12:37,,,,,"SUB OUT by ANGERS,RYAN",,,"SUB OUT by ANGERS,RYAN",1
12:37,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",1
12:33,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",1
12:33,,,,,"BLOCK  by HESTER,MARK",,,"BLOCK  by HESTER,MARK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:19,"MISS 3PTR by ROSS,GREG",,,,,,,"MISS 3PTR by ROSS,GREG",1
--,"REBOUND OFF by MULLANEY,JEFF",,,,,,,"REBOUND OFF by MULLANEY,JEFF",1
12:10,"GOOD 3PTR by ELLIS,BRYON",11,,18 (+7),,CENTRE_M 11-18 (-7),,"GOOD 3PTR by ELLIS,BRYON",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
12:01,,,,,"MISS 3PTR by HESTER,MARK",,,"MISS 3PTR by HESTER,MARK",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
11:35,,,,,"FOUL  by HUBBARD,KYLE",,,"FOUL  by HUBBARD,KYLE",1
11:35,"GOOD FT by ROSS,GREG",12,,18 (+6),,CENTRE_M 12-18 (-6),,"GOOD FT by ROSS,GREG",1
11:35,"GOOD FT by ROSS,GREG",13,,18 (+5),,CENTRE_M 13-18 (-5),,"GOOD FT by ROSS,GREG",1
11:35,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
11:35,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
11:26,"MISS 3PTR by GRIGGS,MATT",,,,,,,"MISS 3PTR by GRIGGS,MATT",1
11:26,,,,,"BLOCK  by HENDRICKSON,DAVID",,,"BLOCK  by HENDRICKSON,DAVID",1
--,,,,,"REBOUND DEF by SWEENEY,CONOR",,,"REBOUND DEF by SWEENEY,CONOR",1
10:51,"GOOD JUMPER by ROSS,GREG",15,,18 (+3),,CENTRE_M 15-18 (-3),,"GOOD JUMPER by ROSS,GREG",1
10:49,,,,,"MISS 3PTR by SHONTZ,COREY",,,"MISS 3PTR by SHONTZ,COREY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:45,,15,,20 (+5),"GOOD LAYUP by MEYER,JOE(in the paint)",JCU 15-20 (-5),,"GOOD LAYUP by MEYER,JOE(in the paint)",1
10:45,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",1
10:45,,,,,"MISS FT by MEYER,JOE",,,"MISS FT by MEYER,JOE",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
10:23,"MISS LAYUP by MULLANEY,JEFF",,,,,,,"MISS LAYUP by MULLANEY,JEFF",1
--,"REBOUND OFF by TAYLOR,CHRIS",,,,,,,"REBOUND OFF by TAYLOR,CHRIS",1
10:17,,,,,"FOUL  by HESTER,MARK",,,"FOUL  by HESTER,MARK",1
10:17,"GOOD FT by MULLANEY,JEFF",16,,20 (+4),,CENTRE_M 16-20 (-4),,"GOOD FT by MULLANEY,JEFF",1
10:17,"GOOD FT by MULLANEY,JEFF",17,,20 (+3),,CENTRE_M 17-20 (-3),,"GOOD FT by MULLANEY,JEFF",1
10:17,"GOOD FT by MULLANEY,JEFF",18,,20 (+2),,CENTRE_M 18-20 (-2),,"GOOD FT by MULLANEY,JEFF",1
10:17,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
10:17,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
10:13,,,,,"TURNOVER  by SHONTZ,COREY",,,"TURNOVER  by SHONTZ,COREY",1
10:13,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
10:13,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
10:13,,,,,"SUB IN by SWEENEY,REGAN",,,"SUB IN by SWEENEY,REGAN",1
10:13,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",1
10:08,,,,,"FOUL  by SWEENEY,REGAN",,,"FOUL  by SWEENEY,REGAN",1
10:08,"GOOD FT by ROSS,GREG",19,,20 (+1),,CENTRE_M 19-20 (-1),,"GOOD FT by ROSS,GREG",1
10:08,"GOOD FT by ROSS,GREG",20,,20,,CENTRE_M 20-20 (0),,"GOOD FT by ROSS,GREG",1
10:08,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
10:08,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
09:58,,,,,"TURNOVER  by SHONTZ,COREY",,,"TURNOVER  by SHONTZ,COREY",1
09:58,"STEAL  by TAYLOR,CHRIS",,,,,,,"STEAL  by TAYLOR,CHRIS",1
09:53,"GOOD 3PTR by KARSNER,JOSH(fastbreak)",23 (+3),,20,,CENTRE_M 23-20 (+3),,"GOOD 3PTR by KARSNER,JOSH(fastbreak)",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
09:48,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:48,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",1
09:48,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
09:48,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
09:48,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
09:48,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
09:48,,,,,"SUB IN by ANGERS,RYAN",,,"SUB IN by ANGERS,RYAN",1
09:48,,,,,"SUB IN by SWEENEY,CONOR",,,"SUB IN by SWEENEY,CONOR",1
09:48,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",1
09:48,,,,,"SUB IN by HENDRICKSON,DAVID",,,"SUB IN by HENDRICKSON,DAVID",1
09:48,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",1
09:48,,,,,"SUB OUT by SWEENEY,REGAN",,,"SUB OUT by SWEENEY,REGAN",1
09:48,,,,,"SUB OUT by HARTNETT,MICHAEL",,,"SUB OUT by HARTNETT,MICHAEL",1
09:48,,,,,"SUB OUT by MEYER,JOE",,,"SUB OUT by MEYER,JOE",1
09:48,,,,,"SUB OUT by SHONTZ,COREY",,,"SUB OUT by SHONTZ,COREY",1
09:48,,,,,"SUB OUT by HESTER,MARK",,,"SUB OUT by HESTER,MARK",1
09:35,,,,,"TURNOVER  by SWEENEY,PATRICK",,,"TURNOVER  by SWEENEY,PATRICK",1
09:35,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",1
09:26,"MISS LAYUP by MULLANEY,JEFF",,,,,,,"MISS LAYUP by MULLANEY,JEFF",1
--,"REBOUND OFF by MELLOAN,JAMES",,,,,,,"REBOUND OFF by MELLOAN,JAMES",1
09:26,,,,,"FOUL  by SWEENEY,CONOR",,,"FOUL  by SWEENEY,CONOR",1
09:26,"GOOD FT by MELLOAN,JAMES",24 (+4),,20,,CENTRE_M 24-20 (+4),,"GOOD FT by MELLOAN,JAMES",1
09:26,"GOOD FT by MELLOAN,JAMES",25 (+5),,20,,CENTRE_M 25-20 (+5),,"GOOD FT by MELLOAN,JAMES",1
09:02,,,,,"MISS 3PTR by SWEENEY,CONOR",,,"MISS 3PTR by SWEENEY,CONOR",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
08:51,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by JANZ,KENNY",,,"REBOUND DEF by JANZ,KENNY",1
08:37,,,,,"MISS 3PTR by HENDRICKSON,DAVID",,,"MISS 3PTR by HENDRICKSON,DAVID",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
08:31,,,,,"FOUL  by SWEENEY,CONOR",,,"FOUL  by SWEENEY,CONOR",1
08:31,"MISS FT by TAYLOR,CHRIS",,,,,,,"MISS FT by TAYLOR,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:31,"GOOD FT by TAYLOR,CHRIS",26 (+6),,20,,CENTRE_M 26-20 (+6),,"GOOD FT by TAYLOR,CHRIS",1
08:31,"SUB IN by JACKSON,CASEY",,,,,,,"SUB IN by JACKSON,CASEY",1
08:31,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
08:31,,,,,"SUB IN by HARTNETT,MICHAEL",,,"SUB IN by HARTNETT,MICHAEL",1
08:31,,,,,"SUB IN by COMBS,JORDAN",,,"SUB IN by COMBS,JORDAN",1
08:31,,,,,"SUB OUT by SWEENEY,CONOR",,,"SUB OUT by SWEENEY,CONOR",1
08:31,,,,,"SUB OUT by HENDRICKSON,DAVID",,,"SUB OUT by HENDRICKSON,DAVID",1
08:23,,26 (+4),,22,"GOOD LAYUP by ANGERS,RYAN(in the paint)",JCU 26-22 (+4),,"GOOD LAYUP by ANGERS,RYAN(in the paint)",1
07:55,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by HARTNETT,MICHAEL",,,"REBOUND DEF by HARTNETT,MICHAEL",1
07:29,,,,,"TURNOVER  by HARTNETT,MICHAEL",,,"TURNOVER  by HARTNETT,MICHAEL",1
07:28,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",1
07:20,"MISS 3PTR by JACKSON,CASEY",,,,,,,"MISS 3PTR by JACKSON,CASEY",1
--,,,,,"REBOUND DEF by COMBS,JORDAN",,,"REBOUND DEF by COMBS,JORDAN",1
07:03,,26 (+2),,24,"GOOD LAYUP by ANGERS,RYAN(in the paint)",JCU 26-24 (+2),,"GOOD LAYUP by ANGERS,RYAN(in the paint)",1
06:32,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by HARTNETT,MICHAEL",,,"REBOUND DEF by HARTNETT,MICHAEL",1
06:19,,,,,"MISS JUMPER by SWEENEY,PATRICK",,,"MISS JUMPER by SWEENEY,PATRICK",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
05:50,"GOOD JUMPER by MULLANEY,JEFF",28 (+4),,24,,CENTRE_M 28-24 (+4),,"GOOD JUMPER by MULLANEY,JEFF",1
05:39,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",1
05:39,,28 (+3),,25,"GOOD FT by ANGERS,RYAN",JCU 28-25 (+3),,"GOOD FT by ANGERS,RYAN",1
05:39,,28 (+2),,26,"GOOD FT by ANGERS,RYAN",JCU 28-26 (+2),,"GOOD FT by ANGERS,RYAN",1
05:39,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
05:39,"SUB IN by WRIGHT,SPENCER",,,,,,,"SUB IN by WRIGHT,SPENCER",1
05:39,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
05:39,,,,,"SUB IN by SHONTZ,COREY",,,"SUB IN by SHONTZ,COREY",1
05:39,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",1
05:39,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",1
05:39,,,,,"SUB IN by MEYER,JOE",,,"SUB IN by MEYER,JOE",1
05:39,,,,,"SUB OUT by ANGERS,RYAN",,,"SUB OUT by ANGERS,RYAN",1
05:39,,,,,"SUB OUT by JANZ,KENNY",,,"SUB OUT by JANZ,KENNY",1
05:39,,,,,"SUB OUT by COMBS,JORDAN",,,"SUB OUT by COMBS,JORDAN",1
05:39,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",1
05:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:17,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by SHONTZ,COREY",,,"REBOUND DEF by SHONTZ,COREY",1
05:04,,28,,29 (+1),"GOOD 3PTR by HARTNETT,MICHAEL",JCU 28-29 (-1),,"GOOD 3PTR by HARTNETT,MICHAEL",1
--,,,,,"ASSIST  by HUBBARD,KYLE",,,"ASSIST  by HUBBARD,KYLE",1
04:48,"MISS LAYUP by GRIGGS,MATT",,,,,,,"MISS LAYUP by GRIGGS,MATT",1
--,,,,,"REBOUND DEF by HESTER,MARK",,,"REBOUND DEF by HESTER,MARK",1
04:35,,28,,32 (+4),"GOOD 3PTR by SHONTZ,COREY",JCU 28-32 (-4),,"GOOD 3PTR by SHONTZ,COREY",1
--,,,,,"ASSIST  by HARTNETT,MICHAEL",,,"ASSIST  by HARTNETT,MICHAEL",1
03:59,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND DEF by SHONTZ,COREY",,,"REBOUND DEF by SHONTZ,COREY",1
03:49,,,,,"MISS 3PTR by SHONTZ,COREY",,,"MISS 3PTR by SHONTZ,COREY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:49,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",1
03:49,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
03:49,"SUB OUT by JACKSON,CASEY",,,,,,,"SUB OUT by JACKSON,CASEY",1
03:49,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
03:49,,,,,"SUB IN by SWEENEY,REGAN",,,"SUB IN by SWEENEY,REGAN",1
03:49,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",1
03:28,"GOOD 3PTR by ELLIS,BRYON",31,,32 (+1),,CENTRE_M 31-32 (-1),,"GOOD 3PTR by ELLIS,BRYON",1
--,"ASSIST  by NEWSOME,TAYLOR",,,,,,,"ASSIST  by NEWSOME,TAYLOR",1
03:18,,31,,34 (+3),"GOOD LAYUP by HESTER,MARK(in the paint)",JCU 31-34 (-3),,"GOOD LAYUP by HESTER,MARK(in the paint)",1
02:57,"GOOD LAYUP by ROSS,GREG(in the paint)",33,,34 (+1),,CENTRE_M 33-34 (-1),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
--,"ASSIST  by NEWSOME,TAYLOR",,,,,,,"ASSIST  by NEWSOME,TAYLOR",1
02:46,,33,,37 (+4),"GOOD 3PTR by HESTER,MARK",JCU 33-37 (-4),,"GOOD 3PTR by HESTER,MARK",1
02:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:43,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
02:43,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
02:43,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
02:43,"SUB OUT by WRIGHT,SPENCER",,,,,,,"SUB OUT by WRIGHT,SPENCER",1
02:43,,,,,"SUB IN by HENDRICKSON,DAVID",,,"SUB IN by HENDRICKSON,DAVID",1
02:43,,,,,"SUB IN by SWEENEY,CONOR",,,"SUB IN by SWEENEY,CONOR",1
