Time Remaining,MILLM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:34,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by MEADES,TAYLOR",,,,,,,"REBOUND DEF by MEADES,TAYLOR",1
19:20,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2 (+2),,0,,MILLM 2-0 (-2),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
19:20,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",1
19:20,"GOOD FT by MEADES,TAYLOR",3 (+3),,0,,MILLM 3-0 (-3),,"GOOD FT by MEADES,TAYLOR",1
19:07,,,,,"TURNOVER  by MULLANEY,JEFF",,,"TURNOVER  by MULLANEY,JEFF",1
19:04,"STEAL  by MERKEL,BRIAN",,,,,,,"STEAL  by MERKEL,BRIAN",1
18:45,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",1
--,"REBOUND OFF by THOMAS,STERLING",,,,,,,"REBOUND OFF by THOMAS,STERLING",1
18:35,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
18:22,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",1
18:16,,3,,3,"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 3-3 (0),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",1
17:54,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",5 (+2),,3,,MILLM 5-3 (-2),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
17:33,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",1
17:06,"MISS JUMPER by KINNEAR,KYLE",,,,,,,"MISS JUMPER by KINNEAR,KYLE",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
16:56,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
16:47,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
