Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,AC-M,Game Score,Team Indicator,Play,Period
19:49,,,,,"MISS JUMPER by SAUNDERS,JOSH",,,"MISS JUMPER by SAUNDERS,JOSH",1
--,,,,,"REBOUND OFF by MICHAEL,ALEN",,,"REBOUND OFF by MICHAEL,ALEN",1
19:43,,0,,2 (+2),"GOOD LAYUP by MICHAEL,ALEN(in the paint)",AC-M 0-2 (-2),,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",1
19:10,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by MICHAEL,ALEN",,,"REBOUND DEF by MICHAEL,ALEN",1
18:48,,,,,"MISS JUMPER by HARRELL,GREG",,,"MISS JUMPER by HARRELL,GREG",1
--,,,,,"REBOUND OFF by SAUNDERS,JOSH",,,"REBOUND OFF by SAUNDERS,JOSH",1
18:42,,0,,5 (+5),"GOOD 3PTR by OKPALA,RANSOM",AC-M 0-5 (-5),,"GOOD 3PTR by OKPALA,RANSOM",1
--,,,,,"ASSIST  by HANCOCK,JORDAN",,,"ASSIST  by HANCOCK,JORDAN",1
18:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
18:10,"GOOD JUMPER by ROSS,GREG",2,,5 (+3),,CENTRE_M 2-5 (-3),,"GOOD JUMPER by ROSS,GREG",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
17:51,,2,,7 (+5),"GOOD JUMPER by HARRELL,GREG",AC-M 2-7 (-5),,"GOOD JUMPER by HARRELL,GREG",1
17:23,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",1
17:15,,2,,10 (+8),"GOOD 3PTR by HANCOCK,JORDAN",AC-M 2-10 (-8),,"GOOD 3PTR by HANCOCK,JORDAN",1
--,,,,,"ASSIST  by HARRELL,GREG",,,"ASSIST  by HARRELL,GREG",1
16:57,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
16:57,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
16:41,,,,,"MISS JUMPER by MICHAEL,ALEN",,,"MISS JUMPER by MICHAEL,ALEN",1
--,,,,,"REBOUND OFF by SAUNDERS,JOSH",,,"REBOUND OFF by SAUNDERS,JOSH",1
16:27,,2,,12 (+10),"GOOD JUMPER by MICHAEL,ALEN",AC-M 2-12 (-10),,"GOOD JUMPER by MICHAEL,ALEN",1
--,,,,,"ASSIST  by SAUNDERS,JOSH",,,"ASSIST  by SAUNDERS,JOSH",1
16:02,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
16:02,,,,,"BLOCK  by MICHAEL,ALEN",,,"BLOCK  by MICHAEL,ALEN",1
--,,,,,"REBOUND DEF by OKPALA,RANSOM",,,"REBOUND DEF by OKPALA,RANSOM",1
