Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,MSJMEN,Game Score,Team Indicator,Play,Period
15:57,,,,,"SUB OUT by GALLENSTEIN,LEE",,,"SUB OUT by GALLENSTEIN,LEE",1
15:45,,,,,"MISS 3PTR by CASS,CLIFFORD",,,"MISS 3PTR by CASS,CLIFFORD",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
15:31,,,,,"FOUL  by CASS,CLIFFORD",,,"FOUL  by CASS,CLIFFORD",1
15:21,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",7 (+3),,4,,CENTRE_M 7-4 (+3),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
15:03,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
15:03,,,,,"SUB IN by COLE,ALEX",,,"SUB IN by COLE,ALEX",1
15:03,,,,,"SUB OUT by BARBER,AARON",,,"SUB OUT by BARBER,AARON",1
14:41,,,,,"FOUL  by COUNTRYMAN,ANDY",,,"FOUL  by COUNTRYMAN,ANDY",1
14:30,"GOOD JUMPER by KARSNER,JOSH",9 (+5),,4,,CENTRE_M 9-4 (+5),,"GOOD JUMPER by KARSNER,JOSH",1
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",1
14:06,,9 (+3),,6,"GOOD JUMPER by MANN,DAVID",MSJMEN 9-6 (+3),,"GOOD JUMPER by MANN,DAVID",1
--,,,,,"ASSIST  by LANE,DAVID",,,"ASSIST  by LANE,DAVID",1
13:52,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
13:52,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
13:52,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
13:52,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
13:52,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
13:48,,,,,"MISS JUMPER by COLE,ALEX",,,"MISS JUMPER by COLE,ALEX",1
--,"REBOUND DEF by JACKSON,CASEY",,,,,,,"REBOUND DEF by JACKSON,CASEY",1
13:34,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",11 (+5),,6,,CENTRE_M 11-6 (+5),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
13:05,,,,,"SUB IN by PONZER,JORDAN",,,"SUB IN by PONZER,JORDAN",1
13:05,,,,,"SUB IN by LANE,DANNY",,,"SUB IN by LANE,DANNY",1
13:05,,,,,"SUB OUT by CASS,CLIFFORD",,,"SUB OUT by CASS,CLIFFORD",1
13:05,,,,,"SUB OUT by LANE,DAVID",,,"SUB OUT by LANE,DAVID",1
13:03,,,,,"TURNOVER  by MANN,DAVID",,,"TURNOVER  by MANN,DAVID",1
12:50,"GOOD 3PTR by JACKSON,CASEY",14 (+8),,6,,CENTRE_M 14-6 (+8),,"GOOD 3PTR by JACKSON,CASEY",1
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",1
12:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:09,,,,,"MISS 3PTR by MANN,DAVID",,,"MISS 3PTR by MANN,DAVID",1
--,"REBOUND DEF by MELLOAN,JAMES",,,,,,,"REBOUND DEF by MELLOAN,JAMES",1
11:55,"GOOD 3PTR by LOPEZ,COLLIN",17 (+11),,6,,CENTRE_M 17-6 (+11),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,"ASSIST  by JACKSON,CASEY",,,,,,,"ASSIST  by JACKSON,CASEY",1
11:35,,,,,"MISS LAYUP by MANN,DAVID",,,"MISS LAYUP by MANN,DAVID",1
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",1
11:23,"TURNOVER  by MELLOAN,JAMES",,,,,,,"TURNOVER  by MELLOAN,JAMES",1
11:00,,,,,"MISS 3PTR by PONZER,JORDAN",,,"MISS 3PTR by PONZER,JORDAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:32,"MISS 3PTR by JACKSON,CASEY",,,,,,,"MISS 3PTR by JACKSON,CASEY",1
--,,,,,"REBOUND DEF by PONZER,JORDAN",,,"REBOUND DEF by PONZER,JORDAN",1
10:29,"FOUL  by JACKSON,CASEY",,,,,,,"FOUL  by JACKSON,CASEY",1
10:29,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",1
10:29,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
10:29,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
10:29,"SUB OUT by JACKSON,CASEY",,,,,,,"SUB OUT by JACKSON,CASEY",1
10:29,,,,,"SUB IN by LANE,DAVID",,,"SUB IN by LANE,DAVID",1
10:29,,,,,"SUB IN by CASS,CLIFFORD",,,"SUB IN by CASS,CLIFFORD",1
10:29,,,,,"SUB OUT by LANE,DANNY",,,"SUB OUT by LANE,DANNY",1
10:29,,,,,"SUB OUT by COUNTRYMAN,ANDY",,,"SUB OUT by COUNTRYMAN,ANDY",1
10:05,,17 (+8),,9,"GOOD 3PTR by COLE,ALEX",MSJMEN 17-9 (+8),,"GOOD 3PTR by COLE,ALEX",1
--,,,,,"ASSIST  by LANE,DAVID",,,"ASSIST  by LANE,DAVID",1
09:52,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",1
09:52,"TURNOVER  by NEWSOME,TAYLOR",,,,,,,"TURNOVER  by NEWSOME,TAYLOR",1
09:52,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
09:52,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
09:39,,,,,"MISS JUMPER by CASS,CLIFFORD",,,"MISS JUMPER by CASS,CLIFFORD",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
09:32,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
09:29,,,,,"STEAL  by COLE,ALEX",,,"STEAL  by COLE,ALEX",1
09:06,,17 (+6),,11,"GOOD JUMPER by MANN,DAVID",MSJMEN 17-11 (+6),,"GOOD JUMPER by MANN,DAVID",1
--,,,,,"ASSIST  by LANE,DAVID",,,"ASSIST  by LANE,DAVID",1
08:42,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by MANN,DAVID",,,"REBOUND DEF by MANN,DAVID",1
08:10,,17 (+4),,13,"GOOD JUMPER by COLE,ALEX",MSJMEN 17-13 (+4),,"GOOD JUMPER by COLE,ALEX",1
--,,,,,"ASSIST  by PONZER,JORDAN",,,"ASSIST  by PONZER,JORDAN",1
08:01,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:01,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
08:01,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
08:01,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
08:01,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
07:33,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
07:31,,,,,"STEAL  by MANN,DAVID",,,"STEAL  by MANN,DAVID",1
07:14,,17 (+2),,15,"GOOD LAYUP by MANN,DAVID(in the paint)",MSJMEN 17-15 (+2),,"GOOD LAYUP by MANN,DAVID(in the paint)",1
07:14,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",1
07:14,,17 (+1),,16,"GOOD FT by MANN,DAVID",MSJMEN 17-16 (+1),,"GOOD FT by MANN,DAVID",1
07:14,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
07:14,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
06:56,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by MANN,DAVID",,,"REBOUND DEF by MANN,DAVID",1
06:28,,,,,"MISS 3PTR by CASS,CLIFFORD",,,"MISS 3PTR by CASS,CLIFFORD",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
06:17,"GOOD 3PTR by GRIGGS,MATT",20 (+4),,16,,CENTRE_M 20-16 (+4),,"GOOD 3PTR by GRIGGS,MATT",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
05:44,,20 (+2),,18,"GOOD JUMPER by MANN,DAVID",MSJMEN 20-18 (+2),,"GOOD JUMPER by MANN,DAVID",1
--,,,,,"ASSIST  by LANE,DAVID",,,"ASSIST  by LANE,DAVID",1
05:14,"GOOD 3PTR by GRIGGS,MATT",23 (+5),,18,,CENTRE_M 23-18 (+5),,"GOOD 3PTR by GRIGGS,MATT",1
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",1
05:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:51,,,,,"SUB IN by COUNTRYMAN,ANDY",,,"SUB IN by COUNTRYMAN,ANDY",1
04:51,,,,,"SUB OUT by PONZER,JORDAN",,,"SUB OUT by PONZER,JORDAN",1
04:48,,,,,"MISS 3PTR by COLE,ALEX",,,"MISS 3PTR by COLE,ALEX",1
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",1
04:31,,,,,"FOUL  by MANN,DAVID",,,"FOUL  by MANN,DAVID",1
04:31,"MISS FT by KARSNER,JOSH",,,,,,,"MISS FT by KARSNER,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:31,"GOOD FT by KARSNER,JOSH",24 (+6),,18,,CENTRE_M 24-18 (+6),,"GOOD FT by KARSNER,JOSH",1
04:31,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
04:31,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
04:18,,,,,"MISS JUMPER by COLE,ALEX",,,"MISS JUMPER by COLE,ALEX",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
03:44,,,,,"FOUL  by COLE,ALEX",,,"FOUL  by COLE,ALEX",1
03:44,"GOOD FT by NEWSOME,TAYLOR",25 (+7),,18,,CENTRE_M 25-18 (+7),,"GOOD FT by NEWSOME,TAYLOR",1
03:44,"MISS FT by NEWSOME,TAYLOR",,,,,,,"MISS FT by NEWSOME,TAYLOR",1
--,,,,,"REBOUND DEF by LANE,DAVID",,,"REBOUND DEF by LANE,DAVID",1
03:44,,,,,"SUB IN by BARBER,AARON",,,"SUB IN by BARBER,AARON",1
03:44,,,,,"SUB OUT by COLE,ALEX",,,"SUB OUT by COLE,ALEX",1
03:23,,,,,"MISS JUMPER by MANN,DAVID",,,"MISS JUMPER by MANN,DAVID",1
03:23,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
03:18,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
03:16,,,,,"FOUL  by MANN,DAVID",,,"FOUL  by MANN,DAVID",1
03:16,,,,,"TURNOVER  by MANN,DAVID",,,"TURNOVER  by MANN,DAVID",1
03:16,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
03:16,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
03:16,,,,,"SUB IN by COLE,ALEX",,,"SUB IN by COLE,ALEX",1
03:16,,,,,"SUB OUT by MANN,DAVID",,,"SUB OUT by MANN,DAVID",1
02:54,"MISS 3PTR by GRIGGS,MATT",,,,,,,"MISS 3PTR by GRIGGS,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:51,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
02:51,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
02:31,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
02:31,,25 (+6),,19,"GOOD FT by COLE,ALEX",MSJMEN 25-19 (+6),,"GOOD FT by COLE,ALEX",1
02:31,,25 (+5),,20,"GOOD FT by COLE,ALEX",MSJMEN 25-20 (+5),,"GOOD FT by COLE,ALEX",1
02:19,"FOUL  by MELLOAN,JAMES",,,,,,,"FOUL  by MELLOAN,JAMES",1
02:19,"TURNOVER  by MELLOAN,JAMES",,,,,,,"TURNOVER  by MELLOAN,JAMES",1
02:19,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
02:19,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
01:58,,25 (+2),,23,"GOOD 3PTR by COLE,ALEX",MSJMEN 25-23 (+2),,"GOOD 3PTR by COLE,ALEX",1
--,,,,,"ASSIST  by CASS,CLIFFORD",,,"ASSIST  by CASS,CLIFFORD",1
01:41,"GOOD 3PTR by KARSNER,JOSH",28 (+5),,23,,CENTRE_M 28-23 (+5),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
01:16,,28 (+3),,25,"GOOD JUMPER by CASS,CLIFFORD",MSJMEN 28-25 (+3),,"GOOD JUMPER by CASS,CLIFFORD",1
--,,,,,"ASSIST  by COUNTRYMAN,ANDY",,,"ASSIST  by COUNTRYMAN,ANDY",1
00:48,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by COUNTRYMAN,ANDY",,,"REBOUND DEF by COUNTRYMAN,ANDY",1
00:25,,,,,"TURNOVER  by COLE,ALEX",,,"TURNOVER  by COLE,ALEX",1
00:25,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
00:25,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
00:00,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",1
00:00,,,,,"STEAL  by LANE,DAVID",,,"STEAL  by LANE,DAVID",1
19:47,,,,,"FOUL  by COUNTRYMAN,ANDY",,,"FOUL  by COUNTRYMAN,ANDY",2
19:18,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:42,,,,,"MISS 3PTR by MANN,DAVID",,,"MISS 3PTR by MANN,DAVID",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
18:27,"GOOD JUMPER by ROSS,GREG",30 (+5),,25,,CENTRE_M 30-25 (+5),,"GOOD JUMPER by ROSS,GREG",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
18:03,,,,,"TURNOVER  by CASS,CLIFFORD",,,"TURNOVER  by CASS,CLIFFORD",2
18:01,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",2
17:46,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
--,,,,,"REBOUND DEF by GALLENSTEIN,LEE",,,"REBOUND DEF by GALLENSTEIN,LEE",2
17:29,,,,,"MISS JUMPER by MANN,DAVID",,,"MISS JUMPER by MANN,DAVID",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
17:13,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by LANE,DAVID",,,"REBOUND DEF by LANE,DAVID",2
17:10,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
17:10,,,,,"SUB IN by BARBER,AARON",,,"SUB IN by BARBER,AARON",2
17:10,,,,,"SUB OUT by GALLENSTEIN,LEE",,,"SUB OUT by GALLENSTEIN,LEE",2
16:57,,30 (+3),,27,"GOOD JUMPER by CASS,CLIFFORD",MSJMEN 30-27 (+3),,"GOOD JUMPER by CASS,CLIFFORD",2
16:41,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",2
--,,,,,"REBOUND DEF by BARBER,AARON",,,"REBOUND DEF by BARBER,AARON",2
16:21,,,,,"MISS 3PTR by CASS,CLIFFORD",,,"MISS 3PTR by CASS,CLIFFORD",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
15:54,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by LANE,DAVID",,,"REBOUND DEF by LANE,DAVID",2
15:39,,30 (+1),,29,"GOOD LAYUP by MANN,DAVID(in the paint)",MSJMEN 30-29 (+1),,"GOOD LAYUP by MANN,DAVID(in the paint)",2
--,,,,,"ASSIST  by LANE,DAVID",,,"ASSIST  by LANE,DAVID",2
15:21,"MISS JUMPER by KARSNER,JOSH",,,,,,,"MISS JUMPER by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by BARBER,AARON",,,"REBOUND DEF by BARBER,AARON",2
15:04,,30,,31 (+1),"GOOD JUMPER by CASS,CLIFFORD",MSJMEN 30-31 (-1),,"GOOD JUMPER by CASS,CLIFFORD",2
--,,,,,"ASSIST  by LANE,DAVID",,,"ASSIST  by LANE,DAVID",2
14:55,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:55,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
14:55,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",2
14:55,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
14:55,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
14:55,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
14:55,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",2
14:55,,,,,"SUB IN by COLE,ALEX",,,"SUB IN by COLE,ALEX",2
14:55,,,,,"SUB OUT by BARBER,AARON",,,"SUB OUT by BARBER,AARON",2
14:46,,,,,"FOUL  by COUNTRYMAN,ANDY",,,"FOUL  by COUNTRYMAN,ANDY",2
14:34,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",2
14:34,"TURNOVER  by NEWSOME,TAYLOR",,,,,,,"TURNOVER  by NEWSOME,TAYLOR",2
14:34,,,,,"SUB IN by LANE,DANNY",,,"SUB IN by LANE,DANNY",2
14:34,,,,,"SUB OUT by COUNTRYMAN,ANDY",,,"SUB OUT by COUNTRYMAN,ANDY",2
14:14,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
14:14,,30,,32 (+2),"GOOD FT by MANN,DAVID",MSJMEN 30-32 (-2),,"GOOD FT by MANN,DAVID",2
14:14,,30,,33 (+3),"GOOD FT by MANN,DAVID",MSJMEN 30-33 (-3),,"GOOD FT by MANN,DAVID",2
14:14,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",2
14:14,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
13:58,"GOOD LAYUP by MELLOAN,JAMES(in the paint)",32,,33 (+1),,CENTRE_M 32-33 (-1),,"GOOD LAYUP by MELLOAN,JAMES(in the paint)",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
13:58,,,,,"FOUL  by COLE,ALEX",,,"FOUL  by COLE,ALEX",2
13:58,"MISS FT by MELLOAN,JAMES",,,,,,,"MISS FT by MELLOAN,JAMES",2
--,,,,,"REBOUND DEF by MANN,DAVID",,,"REBOUND DEF by MANN,DAVID",2
13:58,,,,,"MISS 3PTR by COLE,ALEX",,,"MISS 3PTR by COLE,ALEX",2
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",2
13:58,"TURNOVER  by NEWSOME,TAYLOR",,,,,,,"TURNOVER  by NEWSOME,TAYLOR",2
13:58,,,,,"STEAL  by LANE,DANNY",,,"STEAL  by LANE,DANNY",2
13:41,,,,,"MISS JUMPER by CASS,CLIFFORD",,,"MISS JUMPER by CASS,CLIFFORD",2
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",2
12:47,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
12:47,"SUB IN by JACKSON,CASEY",,,,,,,"SUB IN by JACKSON,CASEY",2
12:47,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",2
12:47,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",2
12:36,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",2
12:19,,32,,35 (+3),"GOOD JUMPER by MANN,DAVID",MSJMEN 32-35 (-3),,"GOOD JUMPER by MANN,DAVID",2
--,,,,,"ASSIST  by CASS,CLIFFORD",,,"ASSIST  by CASS,CLIFFORD",2
11:48,,,,,"FOUL  by COLE,ALEX",,,"FOUL  by COLE,ALEX",2
11:48,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
11:48,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
11:46,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",2
11:44,,,,,"STEAL  by LANE,DANNY",,,"STEAL  by LANE,DANNY",2
11:37,,32,,37 (+5),"GOOD LAYUP by CASS,CLIFFORD(in the paint)",MSJMEN 32-37 (-5),,"GOOD LAYUP by CASS,CLIFFORD(in the paint)",2
--,,,,,"ASSIST  by LANE,DAVID",,,"ASSIST  by LANE,DAVID",2
11:18,"FOUL  by GRIGGS,MATT",,,,,,,"FOUL  by GRIGGS,MATT",2
11:18,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",2
11:18,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
11:18,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
11:18,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",2
