Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
19:52,,,,,"MISS JUMPER by SAUNDERS,JOSH",,,"MISS JUMPER by SAUNDERS,JOSH",1
--,,,,,"REBOUND OFF by HARRELL,GREG",,,"REBOUND OFF by HARRELL,GREG",1
19:41,,0,,3 (+3),"GOOD 3PTR by PHILLIPS,WALTER",AC 0-3 (-3),,"GOOD 3PTR by PHILLIPS,WALTER",1
--,,,,,"ASSIST  by SAUNDERS,JOSH",,,"ASSIST  by SAUNDERS,JOSH",1
19:16,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by PHILLIPS,WALTER",,,"REBOUND DEF by PHILLIPS,WALTER",1
19:03,,,,,"MISS JUMPER by OKPALA,RANSOM",,,"MISS JUMPER by OKPALA,RANSOM",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
18:52,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by SAUNDERS,JOSH",,,"REBOUND DEF by SAUNDERS,JOSH",1
18:40,,,,,"TURNOVER  by PHILLIPS,WALTER",,,"TURNOVER  by PHILLIPS,WALTER",1
18:27,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND DEF by HARRELL,GREG",,,"REBOUND DEF by HARRELL,GREG",1
18:15,,0,,5 (+5),"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",AC 0-5 (-5),,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",1
17:58,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",1
17:58,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
17:44,,,,,"MISS JUMPER by HARRELL,GREG",,,"MISS JUMPER by HARRELL,GREG",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
17:36,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",1
