Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
20:00,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
19:40,,0,,2 (+2),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 0-2 (-2),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
19:21,"STEAL  by MULLANEY,JEFF",,,,,,,"STEAL  by MULLANEY,JEFF",1
19:15,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",1
19:03,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",1
18:42,"GOOD 3PTR by ELLIS,BRYON",3 (+1),,2,,CENTRE_M 3-2 (+1),,"GOOD 3PTR by ELLIS,BRYON",1
18:25,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
17:53,"GOOD 3PTR by KARSNER,JOSH",6 (+4),,2,,CENTRE_M 6-2 (+4),,"GOOD 3PTR by KARSNER,JOSH",1
17:46,,,,,"MISS JUMPER by DUNAVANT,JOHN",,,"MISS JUMPER by DUNAVANT,JOHN",1
--,,,,,"REBOUND OFF by DUNAVANT,JOHN",,,"REBOUND OFF by DUNAVANT,JOHN",1
17:27,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",1
17:25,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
17:07,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",1
16:43,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
16:24,,6 (+3),,3,"GOOD FT by GALOW,ANDREW",RCMBB12 6-3 (+3),,"GOOD FT by GALOW,ANDREW",1
16:04,"GOOD 3PTR by ELLIS,BRYON",9 (+6),,3,,CENTRE_M 9-3 (+6),,"GOOD 3PTR by ELLIS,BRYON",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
