Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",2
05:37,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
05:14,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",2
05:09,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
04:42,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND OFF by BOULDIN,BRETT",,,"REBOUND OFF by BOULDIN,BRETT",2
04:38,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",2
04:27,"GOOD JUMPER by MULLANEY,JEFF",67,,68 (+1),,CENTRE_M 67-68 (-1),,"GOOD JUMPER by MULLANEY,JEFF",2
04:27,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
04:27,"MISS FT by MULLANEY,JEFF",,,,,,,"MISS FT by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",2
04:22,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
04:20,,67,,69 (+2),"GOOD FT by BOULDIN,BRETT",SEW 67-69 (-2),,"GOOD FT by BOULDIN,BRETT",2
04:10,,67,,70 (+3),"GOOD FT by BOULDIN,BRETT",SEW 67-70 (-3),,"GOOD FT by BOULDIN,BRETT",2
03:36,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
03:18,,67,,73 (+6),"GOOD 3PTR by BROWN,TYLER",SEW 67-73 (-6),,"GOOD 3PTR by BROWN,TYLER",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
02:54,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
02:33,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:15,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",69,,73 (+4),,CENTRE_M 69-73 (-4),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
01:52,,69,,76 (+7),"GOOD 3PTR by BROWN,TYLER",SEW 69-76 (-7),,"GOOD 3PTR by BROWN,TYLER",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
01:33,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
01:33,"MISS FT by MULLANEY,JEFF",,,,,,,"MISS FT by MULLANEY,JEFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:33,"GOOD FT by MULLANEY,JEFF",70,,76 (+6),,CENTRE_M 70-76 (-6),,"GOOD FT by MULLANEY,JEFF",2
01:33,"GOOD FT by MULLANEY,JEFF",71,,76 (+5),,CENTRE_M 71-76 (-5),,"GOOD FT by MULLANEY,JEFF",2
01:30,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
01:25,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
01:25,,71,,77 (+6),"GOOD FT by BRYANT,VALENTINO",SEW 71-77 (-6),,"GOOD FT by BRYANT,VALENTINO",2
01:25,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
01:16,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
01:16,,,,,"BLOCK  by BROWN,TYLER",,,"BLOCK  by BROWN,TYLER",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
01:13,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
01:12,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
01:12,,71,,78 (+7),"GOOD FT by BRYANT,VALENTINO",SEW 71-78 (-7),,"GOOD FT by BRYANT,VALENTINO",2
01:12,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
01:12,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:12,"GOOD FT by ROSS,GREG",72,,78 (+6),,CENTRE_M 72-78 (-6),,"GOOD FT by ROSS,GREG",2
01:12,"GOOD FT by ROSS,GREG",73,,78 (+5),,CENTRE_M 73-78 (-5),,"GOOD FT by ROSS,GREG",2
01:05,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",2
00:58,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
00:58,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
00:47,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
00:47,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
00:47,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:47,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
00:35,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
00:35,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
00:35,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
00:35,,,,,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:35,,73,,79 (+6),"GOOD FT by BROWN,TYLER",SEW 73-79 (-6),,"GOOD FT by BROWN,TYLER",2
00:29,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",75,,79 (+4),,CENTRE_M 75-79 (-4),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
00:29,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
00:29,"MISS FT by MULLANEY,JEFF",,,,,,,"MISS FT by MULLANEY,JEFF",2
--,"REBOUND OFF by NEWSOME,TAYLOR",,,,,,,"REBOUND OFF by NEWSOME,TAYLOR",2
00:22,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
00:22,"MISS FT by NEWSOME,TAYLOR",,,,,,,"MISS FT by NEWSOME,TAYLOR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:22,"GOOD FT by NEWSOME,TAYLOR",76,,79 (+3),,CENTRE_M 76-79 (-3),,"GOOD FT by NEWSOME,TAYLOR",2
00:18,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
00:18,,76,,80 (+4),"GOOD FT by AFFRONTI,LEWIS",SEW 76-80 (-4),,"GOOD FT by AFFRONTI,LEWIS",2
00:18,,76,,81 (+5),"GOOD FT by AFFRONTI,LEWIS",SEW 76-81 (-5),,"GOOD FT by AFFRONTI,LEWIS",2
00:14,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
00:12,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
00:12,"GOOD FT by ROSS,GREG",77,,81 (+4),,CENTRE_M 77-81 (-4),,"GOOD FT by ROSS,GREG",2
00:12,"GOOD FT by ROSS,GREG",78,,81 (+3),,CENTRE_M 78-81 (-3),,"GOOD FT by ROSS,GREG",2
00:12,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",2
00:12,,78,,82 (+4),"GOOD FT by BOULDIN,BRETT",SEW 78-82 (-4),,"GOOD FT by BOULDIN,BRETT",2
00:12,,78,,83 (+5),"GOOD FT by BOULDIN,BRETT",SEW 78-83 (-5),,"GOOD FT by BOULDIN,BRETT",2
00:06,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
00:01,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
00:01,,78,,84 (+6),"GOOD FT by BRYANT,VALENTINO",SEW 78-84 (-6),,"GOOD FT by BRYANT,VALENTINO",2
00:01,,78,,85 (+7),"GOOD FT by BRYANT,VALENTINO",SEW 78-85 (-7),,"GOOD FT by BRYANT,VALENTINO",2
00:01,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
