Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
15:33,,6 (+1),,5,"GOOD 3PTR by KEGARISE,KEVIN",BSC 6-5 (+1),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
15:19,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
15:19,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
15:19,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
15:19,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
15:19,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
15:19,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
15:19,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
15:19,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
15:19,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
15:19,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
15:19,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
15:19,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
15:19,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
15:19,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
15:19,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
15:09,,,,,"MISS JUMPER by HOLLAND,JASON",,,"MISS JUMPER by HOLLAND,JASON",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
14:52,"GOOD 3PTR by WHITESIDE,DONOVAN",9 (+4),,5,,CENTRE_M 9-5 (+4),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
14:40,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
14:28,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
14:28,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
14:14,,,,,"TURNOVER  by LEE,CALEB",,,"TURNOVER  by LEE,CALEB",1
14:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:55,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",1
13:37,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
13:16,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
12:59,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
12:59,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
12:59,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
12:59,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
12:59,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
12:30,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND OFF by MELLOAN,JAMES",,,,,,,"REBOUND OFF by MELLOAN,JAMES",1
12:16,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
12:16,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
12:16,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
12:16,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
12:16,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
12:05,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
11:42,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",1
11:42,"FOUL  by MELLOAN,JAMES",,,,,,,"FOUL  by MELLOAN,JAMES",1
11:42,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
11:42,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
11:42,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",1
11:42,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
11:42,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
11:42,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
11:29,,9 (+2),,7,"GOOD JUMPER by THOMAS,LARRY",BSC 9-7 (+2),,"GOOD JUMPER by THOMAS,LARRY",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
11:08,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",11 (+4),,7,,CENTRE_M 11-7 (+4),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
10:52,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",1
10:51,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",1
10:43,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
10:31,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
09:58,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
09:50,,,,,"MISS JUMPER by THOMAS,LARRY",,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
09:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:45,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
09:45,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
09:45,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
09:45,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
09:45,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
09:45,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
09:45,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
09:45,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
09:30,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
09:30,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
09:14,"GOOD 3PTR by LOPEZ,COLLIN",14 (+7),,7,,CENTRE_M 14-7 (+7),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,"ASSIST  by GRIGGS,MATT",,,,,,,"ASSIST  by GRIGGS,MATT",1
08:54,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",1
08:54,,14 (+6),,8,"GOOD FT by WHITE,BLAISE",BSC 14-8 (+6),,"GOOD FT by WHITE,BLAISE",1
08:54,,,,,"MISS FT by WHITE,BLAISE",,,"MISS FT by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
08:49,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
08:49,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",1
08:49,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:49,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",1
08:47,,,,,"STEAL  by KEGARISE,KEVIN",,,"STEAL  by KEGARISE,KEVIN",1
08:19,"FOUL  by GRIGGS,MATT",,,,,,,"FOUL  by GRIGGS,MATT",1
08:15,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
08:10,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
08:07,"GOOD LAYUP by ELLIS,BRYON(fastbreak)(in the paint)",16 (+8),,8,,CENTRE_M 16-8 (+8),,"GOOD LAYUP by ELLIS,BRYON(fastbreak)(in the paint)",1
07:54,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",1
07:54,,,,,"MISS FT by WHITE,BLAISE",,,"MISS FT by WHITE,BLAISE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:54,,16 (+7),,9,"GOOD FT by WHITE,BLAISE",BSC 16-9 (+7),,"GOOD FT by WHITE,BLAISE",1
07:54,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
07:54,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",1
07:54,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
07:54,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
07:54,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
07:54,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
07:28,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
07:28,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
07:28,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
07:28,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
07:28,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
07:28,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
07:28,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
07:28,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
07:28,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
07:28,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
07:28,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
07:28,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
07:28,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
07:28,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
07:16,,,,,"MISS JUMPER by LEE,CALEB",,,"MISS JUMPER by LEE,CALEB",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
06:55,"GOOD JUMPER by ROSS,GREG",18 (+9),,9,,CENTRE_M 18-9 (+9),,"GOOD JUMPER by ROSS,GREG",1
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",1
06:43,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
06:43,,18 (+8),,10,"GOOD FT by SCHAMP,GRIFFIN",BSC 18-10 (+8),,"GOOD FT by SCHAMP,GRIFFIN",1
06:43,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:43,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
06:43,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
06:37,,18 (+6),,12,"GOOD JUMPER by THOMAS,LARRY",BSC 18-12 (+6),,"GOOD JUMPER by THOMAS,LARRY",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
06:16,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
06:15,,,,,"STEAL  by MURPHY,NICK",,,"STEAL  by MURPHY,NICK",1
06:00,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",1
05:58,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",1
05:35,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
05:35,"GOOD FT by ROSS,GREG",19 (+7),,12,,CENTRE_M 19-12 (+7),,"GOOD FT by ROSS,GREG",1
05:35,"GOOD FT by ROSS,GREG",20 (+8),,12,,CENTRE_M 20-12 (+8),,"GOOD FT by ROSS,GREG",1
05:14,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
05:14,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
05:14,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
05:14,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
04:50,"GOOD 3PTR by KARSNER,JOSH",23 (+11),,12,,CENTRE_M 23-12 (+11),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
04:37,,23 (+9),,14,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",BSC 23-14 (+9),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
04:37,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",1
04:37,,23 (+8),,15,"GOOD FT by SCHAMP,GRIFFIN",BSC 23-15 (+8),,"GOOD FT by SCHAMP,GRIFFIN",1
04:37,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
04:37,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
04:37,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
04:37,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
04:37,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
04:37,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
04:37,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
04:37,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
04:00,"GOOD 3PTR by WHITESIDE,DONOVAN",26 (+11),,15,,CENTRE_M 26-15 (+11),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
03:44,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
03:39,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
03:39,,,,,"MISS JUMPER by RICHARDS,ZAC",,,"MISS JUMPER by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
03:39,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
03:39,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
03:37,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",1
03:37,,26 (+10),,16,"GOOD FT by HENRY,COLIN",BSC 26-16 (+10),,"GOOD FT by HENRY,COLIN",1
03:37,,26 (+9),,17,"GOOD FT by HENRY,COLIN",BSC 26-17 (+9),,"GOOD FT by HENRY,COLIN",1
03:37,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
03:37,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
03:31,"GOOD LAYUP by ROSS,GREG(in the paint)",28 (+11),,17,,CENTRE_M 28-17 (+11),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
03:23,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
03:23,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
03:20,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by KEGARISE,KEVIN",,,"REBOUND OFF by KEGARISE,KEVIN",1
03:12,,,,,"MISS JUMPER by KEGARISE,KEVIN",,,"MISS JUMPER by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
03:03,,28 (+8),,20,"GOOD 3PTR by WHITE,BLAISE",BSC 28-20 (+8),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
02:45,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
02:45,"GOOD FT by MULLANEY,JEFF",29 (+9),,20,,CENTRE_M 29-20 (+9),,"GOOD FT by MULLANEY,JEFF",1
02:45,"GOOD FT by MULLANEY,JEFF",30 (+10),,20,,CENTRE_M 30-20 (+10),,"GOOD FT by MULLANEY,JEFF",1
02:29,,30 (+7),,23,"GOOD 3PTR by WHITE,BLAISE",BSC 30-23 (+7),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
01:59,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
01:59,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",1
01:59,,,,,"MISS FT by HENRY,COLIN",,,"MISS FT by HENRY,COLIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:59,,30 (+6),,24,"GOOD FT by HENRY,COLIN",BSC 30-24 (+6),,"GOOD FT by HENRY,COLIN",1
01:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:52,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
01:52,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
01:37,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
01:37,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
01:37,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
01:28,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
01:15,,,,,"MISS JUMPER by RICHARDS,ZAC",,,"MISS JUMPER by RICHARDS,ZAC",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
00:56,"GOOD 3PTR by ROSS,GREG",33 (+9),,24,,CENTRE_M 33-24 (+9),,"GOOD 3PTR by ROSS,GREG",1
00:35,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
00:30,,33 (+7),,26,"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 33-26 (+7),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
00:02,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
00:02,"GOOD FT by MULLANEY,JEFF",34 (+8),,26,,CENTRE_M 34-26 (+8),,"GOOD FT by MULLANEY,JEFF",1
00:02,"GOOD FT by MULLANEY,JEFF",35 (+9),,26,,CENTRE_M 35-26 (+9),,"GOOD FT by MULLANEY,JEFF",1
00:02,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
00:02,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
00:02,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
00:02,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
00:02,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
00:02,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
00:00,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:30,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",2
19:30,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
19:10,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
19:10,,35 (+8),,27,"GOOD FT by HENRY,COLIN",BSC 35-27 (+8),,"GOOD FT by HENRY,COLIN",2
19:10,,,,,"MISS FT by HENRY,COLIN",,,"MISS FT by HENRY,COLIN",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
19:10,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
19:10,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
18:47,"GOOD 3PTR by LOPEZ,COLLIN",38 (+11),,27,,CENTRE_M 38-27 (+11),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
