Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",2
14:26,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
14:22,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",2
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",2
13:50,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",2
13:38,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",2
13:38,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",2
13:38,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
13:38,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
13:38,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
13:38,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
13:38,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",2
13:38,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
13:38,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",2
13:38,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
13:34,"MISS LAYUP by AFFRONTI,LEWIS",,,,,,,"MISS LAYUP by AFFRONTI,LEWIS",2
13:34,,,,,"BLOCK  by MULLANEY,JEFF",,,"BLOCK  by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",2
13:21,,33,,38 (+5),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 33-38 (+5),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",2
13:01,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",2
13:01,"GOOD 3PTR by BOULDIN,BRETT",36,,38 (+2),,SEW 36-38 (+2),,"GOOD 3PTR by BOULDIN,BRETT",2
--,"ASSIST  by BEVIACQUA,BRYAN",,,,,,,"ASSIST  by BEVIACQUA,BRYAN",2
13:00,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
12:33,,36,,40 (+4),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 36-40 (+4),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
12:33,"FOUL  by BEVIACQUA,BRYAN",,,,,,,"FOUL  by BEVIACQUA,BRYAN",2
12:33,,36,,41 (+5),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 36-41 (+5),,"GOOD FT by WHITESIDE,DONOVAN",2
12:10,"TURNOVER  by BEVIACQUA,BRYAN",,,,,,,"TURNOVER  by BEVIACQUA,BRYAN",2
12:09,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",2
12:06,,36,,43 (+7),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 36-43 (+7),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
12:03,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:03,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
12:03,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
12:03,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
12:03,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",2
12:03,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
12:03,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
11:32,"GOOD LAYUP by BROWN,TYLER(in the paint)",38,,43 (+5),,SEW 38-43 (+5),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
11:14,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",2
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",2
11:09,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",2
11:06,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",2
11:06,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
11:06,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",2
10:55,,38,,45 (+7),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 38-45 (+7),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
10:54,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",2
10:54,,38,,46 (+8),"GOOD FT by ROSS,GREG",CENTRE_M 38-46 (+8),,"GOOD FT by ROSS,GREG",2
10:42,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",2
10:42,"GOOD FT by BRYANT,VALENTINO",39,,46 (+7),,SEW 39-46 (+7),,"GOOD FT by BRYANT,VALENTINO",2
10:42,"GOOD FT by BRYANT,VALENTINO",40,,46 (+6),,SEW 40-46 (+6),,"GOOD FT by BRYANT,VALENTINO",2
10:42,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
10:19,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",2
10:19,"BLOCK  by BRYANT,VALENTINO",,,,,,,"BLOCK  by BRYANT,VALENTINO",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
10:05,"GOOD JUMPER by NELSON,ANVIL",42,,46 (+4),,SEW 42-46 (+4),,"GOOD JUMPER by NELSON,ANVIL",2
09:40,,42,,49 (+7),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 42-49 (+7),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",2
09:14,"GOOD LAYUP by NELSON,ANVIL(in the paint)",44,,49 (+5),,SEW 44-49 (+5),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
08:49,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND OFF by TAYLOR,CHRIS",,,"REBOUND OFF by TAYLOR,CHRIS",2
08:31,,44,,52 (+8),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 44-52 (+8),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
08:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:29,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",2
08:29,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
08:13,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",2
08:00,,,,,"TURNOVER  by MULLANEY,JEFF",,,"TURNOVER  by MULLANEY,JEFF",2
07:42,"MISS LAYUP by WILLIAMS,TRENT",,,,,,,"MISS LAYUP by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
07:22,,44,,55 (+11),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 44-55 (+11),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
06:56,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
06:30,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
06:30,,44,,56 (+12),"GOOD FT by KARSNER,JOSH",CENTRE_M 44-56 (+12),,"GOOD FT by KARSNER,JOSH",2
06:30,,44,,57 (+13),"GOOD FT by KARSNER,JOSH",CENTRE_M 44-57 (+13),,"GOOD FT by KARSNER,JOSH",2
06:30,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
06:30,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
06:30,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",2
06:30,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
06:30,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
06:30,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
06:30,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
06:30,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
06:09,"GOOD JUMPER by AFFRONTI,LEWIS",46,,57 (+11),,SEW 46-57 (+11),,"GOOD JUMPER by AFFRONTI,LEWIS",2
--,"ASSIST  by BROWN,TYLER",,,,,,,"ASSIST  by BROWN,TYLER",2
05:48,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",2
05:34,,46,,59 (+13),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 46-59 (+13),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
05:33,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
05:33,,46,,60 (+14),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 46-60 (+14),,"GOOD FT by LOPEZ,COLLIN",2
05:21,"MISS LAYUP by BOULDIN,BRETT",,,,,,,"MISS LAYUP by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
04:51,,46,,63 (+17),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 46-63 (+17),,"GOOD 3PTR by ELLIS,BRYON",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
04:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:40,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
04:40,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
04:31,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
04:30,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",2
04:09,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
04:00,"MISS 3PTR by VEAL,ROBERT",,,,,,,"MISS 3PTR by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
03:31,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",2
03:31,"BLOCK  by BROWN,TYLER",,,,,,,"BLOCK  by BROWN,TYLER",2
--,,,,,"REBOUND OFF by MULLANEY,JEFF",,,"REBOUND OFF by MULLANEY,JEFF",2
03:25,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
03:25,,,,,"MISS FT by MULLANEY,JEFF",,,"MISS FT by MULLANEY,JEFF",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:25,,46,,64 (+18),"GOOD FT by MULLANEY,JEFF",CENTRE_M 46-64 (+18),,"GOOD FT by MULLANEY,JEFF",2
03:25,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:25,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
03:25,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
03:25,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",2
03:25,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
03:25,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",2
03:25,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
03:25,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
03:25,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
03:06,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
02:36,,,,,"TURNOVER  by ROSS,GREG",,,"TURNOVER  by ROSS,GREG",2
02:36,"STEAL  by NELSON,ANVIL",,,,,,,"STEAL  by NELSON,ANVIL",2
02:11,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",2
02:11,"GOOD FT by VEAL,ROBERT",47,,64 (+17),,SEW 47-64 (+17),,"GOOD FT by VEAL,ROBERT",2
02:11,"GOOD FT by VEAL,ROBERT",48,,64 (+16),,SEW 48-64 (+16),,"GOOD FT by VEAL,ROBERT",2
02:11,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
02:11,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
02:11,,,,,"SUB IN by CAHALL,CALVIN",,,"SUB IN by CAHALL,CALVIN",2
02:11,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
01:48,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
01:36,"GOOD 3PTR by AFFRONTI,LEWIS",51,,64 (+13),,SEW 51-64 (+13),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
01:06,,51,,67 (+16),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 51-67 (+16),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
00:50,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",2
00:50,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
00:50,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",2
00:50,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",2
00:49,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",2
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",2
00:46,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",2
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",2
00:44,,,,,"FOUL  by MELLOAN,JAMES",,,"FOUL  by MELLOAN,JAMES",2
00:44,"GOOD FT by BRYANT,VALENTINO",52,,67 (+15),,SEW 52-67 (+15),,"GOOD FT by BRYANT,VALENTINO",2
00:44,"GOOD FT by BRYANT,VALENTINO",53,,67 (+14),,SEW 53-67 (+14),,"GOOD FT by BRYANT,VALENTINO",2
00:44,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
00:44,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",2
00:44,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
00:44,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
00:12,,,,,"MISS FT by CAHALL,CALVIN",,,"MISS FT by CAHALL,CALVIN",2
00:12,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:12,,53,,68 (+15),"GOOD FT by CAHALL,CALVIN",CENTRE_M 53-68 (+15),,"GOOD FT by CAHALL,CALVIN",2
00:08,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",2
