Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
13:08,,5,,11 (+6),"GOOD JUMPER by TAYLOR,CHRIS",CENTRE_M 5-11 (+6),,"GOOD JUMPER by TAYLOR,CHRIS",1
12:48,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
12:39,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
12:39,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",1
12:39,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",1
12:39,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",1
12:39,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
12:39,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
12:39,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
12:39,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
12:39,,,,,"SUB IN by JACKSON,CASEY",,,"SUB IN by JACKSON,CASEY",1
12:39,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
12:39,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
12:39,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
12:39,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
12:05,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",7,,11 (+4),,SEW 7-11 (+4),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
11:28,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",1
11:18,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND OFF by BOULDIN,BRETT",,,,,,,"REBOUND OFF by BOULDIN,BRETT",1
11:17,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",1
11:17,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",1
11:07,,7,,14 (+7),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 7-14 (+7),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",1
10:32,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
10:32,"MISS FT by NELSON,ANVIL",,,,,,,"MISS FT by NELSON,ANVIL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:32,"GOOD FT by NELSON,ANVIL",8,,14 (+6),,SEW 8-14 (+6),,"GOOD FT by NELSON,ANVIL",1
