Time Remaining,CAMB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by RAFFERTY,FRAN",,,,,,,"REBOUND DEF by RAFFERTY,FRAN",1
16:51,"MISS 3PTR by BOYD,JOHN",,,,,,,"MISS 3PTR by BOYD,JOHN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
16:40,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
16:32,,10 (+7),,3,"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 10-3 (-7),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
16:13,"MISS LAYUP by DULAC,GORAN",,,,,,,"MISS LAYUP by DULAC,GORAN",1
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",1
15:53,,,,,"MISS 3PTR by TAYLOR,CHRIS",,,"MISS 3PTR by TAYLOR,CHRIS",1
--,"REBOUND DEF by LEMONS,CORY",,,,,,,"REBOUND DEF by LEMONS,CORY",1
15:39,"MISS JUMPER by RAFFERTY,FRAN",,,,,,,"MISS JUMPER by RAFFERTY,FRAN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
15:24,,,,,"TURNOVER  by ROSS,GREG",,,"TURNOVER  by ROSS,GREG",1
15:22,"STEAL  by LEMONS,CORY",,,,,,,"STEAL  by LEMONS,CORY",1
15:19,"MISS JUMPER by LEMONS,CORY",,,,,,,"MISS JUMPER by LEMONS,CORY",1
--,"REBOUND OFF by RAFFERTY,FRAN",,,,,,,"REBOUND OFF by RAFFERTY,FRAN",1
15:13,"MISS LAYUP by WILLIAMS,AJ",,,,,,,"MISS LAYUP by WILLIAMS,AJ",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
15:03,,10 (+5),,5,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 10-5 (-5),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
14:49,"TURNOVER  by BOYD,JOHN",,,,,,,"TURNOVER  by BOYD,JOHN",1
14:49,"SUB IN by MILLER,JON",,,,,,,"SUB IN by MILLER,JON",1
14:49,"SUB OUT by DULAC,GORAN",,,,,,,"SUB OUT by DULAC,GORAN",1
14:49,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
14:49,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
14:32,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",1
--,"REBOUND DEF by BOYD,JOHN",,,,,,,"REBOUND DEF by BOYD,JOHN",1
14:22,"TURNOVER  by LEMONS,CORY",,,,,,,"TURNOVER  by LEMONS,CORY",1
14:22,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
14:22,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
14:13,,10 (+3),,7,"GOOD JUMPER by ROSS,GREG",CENTRE_M 10-7 (-3),,"GOOD JUMPER by ROSS,GREG",1
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",1
13:45,"MISS 3PTR by WILLIAMS,AJ",,,,,,,"MISS 3PTR by WILLIAMS,AJ",1
13:45,,,,,"BLOCK  by KARSNER,JOSH",,,"BLOCK  by KARSNER,JOSH",1
--,"REBOUND OFF by WILLIAMS,AJ",,,,,,,"REBOUND OFF by WILLIAMS,AJ",1
13:39,"MISS JUMPER by WILLIAMS,AJ",,,,,,,"MISS JUMPER by WILLIAMS,AJ",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:39,"SUB IN by KNOWLES,JEREMY",,,,,,,"SUB IN by KNOWLES,JEREMY",1
13:39,"SUB OUT by WILLIAMS,AJ",,,,,,,"SUB OUT by WILLIAMS,AJ",1
13:39,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
13:39,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
13:28,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND OFF by NEWSOME,TAYLOR",,,"REBOUND OFF by NEWSOME,TAYLOR",1
13:13,,10 (+1),,9,"GOOD JUMPER by ROSS,GREG",CENTRE_M 10-9 (-1),,"GOOD JUMPER by ROSS,GREG",1
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",1
13:13,"FOUL  by LEMONS,CORY",,,,,,,"FOUL  by LEMONS,CORY",1
13:13,,10,,10,"GOOD FT by ROSS,GREG",CENTRE_M 10-10 (0),,"GOOD FT by ROSS,GREG",1
13:13,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
13:13,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
12:50,,,,,"FOUL  by GRIGGS,MATT",,,"FOUL  by GRIGGS,MATT",1
12:47,"GOOD FT by BOYD,JOHN",11 (+1),,10,,CAMB 11-10 (-1),,"GOOD FT by BOYD,JOHN",1
12:47,"MISS FT by BOYD,JOHN",,,,,,,"MISS FT by BOYD,JOHN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:47,"GOOD FT by BOYD,JOHN",12 (+2),,10,,CAMB 12-10 (-2),,"GOOD FT by BOYD,JOHN",1
12:36,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",1
--,"REBOUND DEF by MILLER,JON",,,,,,,"REBOUND DEF by MILLER,JON",1
12:18,"MISS JUMPER by BOYD,JOHN",,,,,,,"MISS JUMPER by BOYD,JOHN",1
--,"REBOUND OFF by RAFFERTY,FRAN",,,,,,,"REBOUND OFF by RAFFERTY,FRAN",1
11:55,"TURNOVER  by BOYD,JOHN",,,,,,,"TURNOVER  by BOYD,JOHN",1
11:54,,,,,"STEAL  by MULLANEY,JEFF",,,"STEAL  by MULLANEY,JEFF",1
11:48,,,,,"MISS JUMPER by GRIGGS,MATT",,,"MISS JUMPER by GRIGGS,MATT",1
--,"REBOUND DEF by KNOWLES,JEREMY",,,,,,,"REBOUND DEF by KNOWLES,JEREMY",1
11:38,"GOOD 3PTR by KNOWLES,JEREMY",15 (+5),,10,,CAMB 15-10 (-5),,"GOOD 3PTR by KNOWLES,JEREMY",1
--,"ASSIST  by LEMONS,CORY",,,,,,,"ASSIST  by LEMONS,CORY",1
11:23,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",1
--,"REBOUND DEF by KNOWLES,JEREMY",,,,,,,"REBOUND DEF by KNOWLES,JEREMY",1
11:13,"TURNOVER  by LEMONS,CORY",,,,,,,"TURNOVER  by LEMONS,CORY",1
11:11,,,,,"STEAL  by LOPEZ,COLLIN",,,"STEAL  by LOPEZ,COLLIN",1
11:06,"FOUL  by BOYD,JOHN",,,,,,,"FOUL  by BOYD,JOHN",1
11:06,,,,,"MISS FT by LOPEZ,COLLIN",,,"MISS FT by LOPEZ,COLLIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:06,,,,,"MISS FT by LOPEZ,COLLIN",,,"MISS FT by LOPEZ,COLLIN",1
--,"REBOUND DEF by DULAC,GORAN",,,,,,,"REBOUND DEF by DULAC,GORAN",1
11:06,"SUB IN by DULAC,GORAN",,,,,,,"SUB IN by DULAC,GORAN",1
11:06,"SUB OUT by RAFFERTY,FRAN",,,,,,,"SUB OUT by RAFFERTY,FRAN",1
11:06,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
11:06,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
11:06,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
11:06,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
11:06,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
11:06,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
10:53,"MISS 3PTR by KNOWLES,JEREMY",,,,,,,"MISS 3PTR by KNOWLES,JEREMY",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
10:45,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by LEMONS,CORY",,,,,,,"REBOUND DEF by LEMONS,CORY",1
10:41,,,,,"FOUL  by MELLOAN,JAMES",,,"FOUL  by MELLOAN,JAMES",1
10:41,,,,,"SUB IN by JACKSON,CASEY",,,"SUB IN by JACKSON,CASEY",1
10:41,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
10:41,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
10:41,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
10:26,"GOOD JUMPER by LEMONS,CORY",17 (+7),,10,,CAMB 17-10 (-7),,"GOOD JUMPER by LEMONS,CORY",1
10:11,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
10:06,"FOUL  by DULAC,GORAN",,,,,,,"FOUL  by DULAC,GORAN",1
10:06,,17 (+6),,11,"GOOD FT by MULLANEY,JEFF",CENTRE_M 17-11 (-6),,"GOOD FT by MULLANEY,JEFF",1
10:06,,,,,"MISS FT by MULLANEY,JEFF",,,"MISS FT by MULLANEY,JEFF",1
--,"REBOUND DEF by KNOWLES,JEREMY",,,,,,,"REBOUND DEF by KNOWLES,JEREMY",1
10:06,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
10:06,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",1
10:06,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
10:06,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
10:06,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
09:37,"MISS JUMPER by LEMONS,CORY",,,,,,,"MISS JUMPER by LEMONS,CORY",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
09:33,,,,,"FOUL  by JACKSON,CASEY",,,"FOUL  by JACKSON,CASEY",1
09:33,"SUB IN by RAFFERTY,FRAN",,,,,,,"SUB IN by RAFFERTY,FRAN",1
09:33,"SUB OUT by MILLER,JON",,,,,,,"SUB OUT by MILLER,JON",1
09:33,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
09:31,"MISS JUMPER by RAFFERTY,FRAN",,,,,,,"MISS JUMPER by RAFFERTY,FRAN",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
09:29,"FOUL  by DULAC,GORAN",,,,,,,"FOUL  by DULAC,GORAN",1
09:11,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",1
--,"REBOUND DEF by KNOWLES,JEREMY",,,,,,,"REBOUND DEF by KNOWLES,JEREMY",1
08:59,"TURNOVER  by DULAC,GORAN",,,,,,,"TURNOVER  by DULAC,GORAN",1
08:59,"SUB IN by MILLER,JON",,,,,,,"SUB IN by MILLER,JON",1
08:59,"SUB OUT by DULAC,GORAN",,,,,,,"SUB OUT by DULAC,GORAN",1
08:59,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
08:59,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
08:42,,17 (+4),,13,"GOOD JUMPER by ROSS,GREG",CENTRE_M 17-13 (-4),,"GOOD JUMPER by ROSS,GREG",1
08:12,"GOOD 3PTR by KNOWLES,JEREMY",20 (+7),,13,,CAMB 20-13 (-7),,"GOOD 3PTR by KNOWLES,JEREMY",1
--,"ASSIST  by LEMONS,CORY",,,,,,,"ASSIST  by LEMONS,CORY",1
07:52,"FOUL  by MILLER,JON",,,,,,,"FOUL  by MILLER,JON",1
07:52,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
07:52,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
07:52,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
07:52,,,,,"SUB OUT by JACKSON,CASEY",,,"SUB OUT by JACKSON,CASEY",1
07:37,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
07:37,"BLOCK  by MILLER,JON",,,,,,,"BLOCK  by MILLER,JON",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
07:30,,20 (+4),,16,"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 20-16 (-4),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
07:16,"MISS JUMPER by MILLER,JON",,,,,,,"MISS JUMPER by MILLER,JON",1
--,"REBOUND OFF by MILLER,JON",,,,,,,"REBOUND OFF by MILLER,JON",1
07:11,"GOOD LAYUP by MILLER,JON(in the paint)",22 (+6),,16,,CAMB 22-16 (-6),,"GOOD LAYUP by MILLER,JON(in the paint)",1
07:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:53,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
06:51,"STEAL  by MILLER,JON",,,,,,,"STEAL  by MILLER,JON",1
06:45,"GOOD 3PTR by WILLIAMS,AJ",25 (+9),,16,,CAMB 25-16 (-9),,"GOOD 3PTR by WILLIAMS,AJ",1
--,"ASSIST  by LEMONS,CORY",,,,,,,"ASSIST  by LEMONS,CORY",1
06:30,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by KNOWLES,JEREMY",,,,,,,"REBOUND DEF by KNOWLES,JEREMY",1
06:22,,,,,"FOUL  by MULLANEY,JEFF",,,"FOUL  by MULLANEY,JEFF",1
06:22,"GOOD JUMPER by KNOWLES,JEREMY",27 (+11),,16,,CAMB 27-16 (-11),,"GOOD JUMPER by KNOWLES,JEREMY",1
--,"ASSIST  by LEMONS,CORY",,,,,,,"ASSIST  by LEMONS,CORY",1
06:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
06:22,"SUB IN by WILLIAMS,AJ",,,,,,,"SUB IN by WILLIAMS,AJ",1
06:22,"SUB OUT by MILLER,JON",,,,,,,"SUB OUT by MILLER,JON",1
06:22,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
06:22,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
06:03,,27 (+9),,18,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",CENTRE_M 27-18 (-9),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",1
05:45,"MISS 3PTR by KNOWLES,JEREMY",,,,,,,"MISS 3PTR by KNOWLES,JEREMY",1
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",1
05:17,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
05:07,"SUB IN by ROGERS,BRIMA",,,,,,,"SUB IN by ROGERS,BRIMA",1
05:07,"SUB OUT by WILLIAMS,AJ",,,,,,,"SUB OUT by WILLIAMS,AJ",1
05:07,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
05:07,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
04:48,"FOUL  by BOYD,JOHN",,,,,,,"FOUL  by BOYD,JOHN",1
04:48,,27 (+8),,19,"GOOD FT by MULLANEY,JEFF",CENTRE_M 27-19 (-8),,"GOOD FT by MULLANEY,JEFF",1
04:48,,27 (+7),,20,"GOOD FT by MULLANEY,JEFF",CENTRE_M 27-20 (-7),,"GOOD FT by MULLANEY,JEFF",1
04:35,"MISS 3PTR by LEMONS,CORY",,,,,,,"MISS 3PTR by LEMONS,CORY",1
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",1
04:13,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,"REBOUND DEF by RAFFERTY,FRAN",,,,,,,"REBOUND DEF by RAFFERTY,FRAN",1
03:58,"MISS LAYUP by KNOWLES,JEREMY",,,,,,,"MISS LAYUP by KNOWLES,JEREMY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:53,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
03:53,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
03:35,,27 (+4),,23,"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 27-23 (-4),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",1
03:15,"MISS 3PTR by ROGERS,BRIMA",,,,,,,"MISS 3PTR by ROGERS,BRIMA",1
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",1
03:01,,,,,"TURNOVER  by MULLANEY,JEFF",,,"TURNOVER  by MULLANEY,JEFF",1
03:00,"STEAL  by ROGERS,BRIMA",,,,,,,"STEAL  by ROGERS,BRIMA",1
02:57,"GOOD LAYUP by ROGERS,BRIMA(in the paint)",29 (+6),,23,,CAMB 29-23 (-6),,"GOOD LAYUP by ROGERS,BRIMA(in the paint)",1
02:40,"FOUL  by BOYD,JOHN",,,,,,,"FOUL  by BOYD,JOHN",1
02:40,,,,,"MISS FT by ROSS,GREG",,,"MISS FT by ROSS,GREG",1
--,"REBOUND DEF by LEMONS,CORY",,,,,,,"REBOUND DEF by LEMONS,CORY",1
02:40,"SUB IN by DULAC,GORAN",,,,,,,"SUB IN by DULAC,GORAN",1
02:40,"SUB IN by WILLIAMS,AJ",,,,,,,"SUB IN by WILLIAMS,AJ",1
02:40,"SUB OUT by BOYD,JOHN",,,,,,,"SUB OUT by BOYD,JOHN",1
02:40,"SUB OUT by RAFFERTY,FRAN",,,,,,,"SUB OUT by RAFFERTY,FRAN",1
02:24,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",1
02:24,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
02:24,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
02:24,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
02:24,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
01:59,"MISS JUMPER by KNOWLES,JEREMY",,,,,,,"MISS JUMPER by KNOWLES,JEREMY",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
01:40,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by KNOWLES,JEREMY",,,,,,,"REBOUND DEF by KNOWLES,JEREMY",1
01:21,"MISS JUMPER by DULAC,GORAN",,,,,,,"MISS JUMPER by DULAC,GORAN",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
01:15,"FOUL  by ROGERS,BRIMA",,,,,,,"FOUL  by ROGERS,BRIMA",1
01:15,,,,,"MISS FT by TAYLOR,CHRIS",,,"MISS FT by TAYLOR,CHRIS",1
--,"REBOUND DEF by DULAC,GORAN",,,,,,,"REBOUND DEF by DULAC,GORAN",1
01:15,"SUB IN by RAFFERTY,FRAN",,,,,,,"SUB IN by RAFFERTY,FRAN",1
01:15,"SUB OUT by ROGERS,BRIMA",,,,,,,"SUB OUT by ROGERS,BRIMA",1
01:15,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",1
01:15,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
01:15,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
01:15,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
00:59,"MISS 3PTR by WILLIAMS,AJ",,,,,,,"MISS 3PTR by WILLIAMS,AJ",1
--,"REBOUND OFF by LEMONS,CORY",,,,,,,"REBOUND OFF by LEMONS,CORY",1
00:54,"GOOD JUMPER by LEMONS,CORY",31 (+8),,23,,CAMB 31-23 (-8),,"GOOD JUMPER by LEMONS,CORY",1
00:36,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",1
--,"REBOUND DEF by LEMONS,CORY",,,,,,,"REBOUND DEF by LEMONS,CORY",1
00:07,"MISS JUMPER by LEMONS,CORY",,,,,,,"MISS JUMPER by LEMONS,CORY",1
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",1
00:01,,31 (+5),,26,"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 31-26 (-5),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",1
19:30,"GOOD JUMPER by LEMONS,CORY",33 (+7),,26,,CAMB 33-26 (-7),,"GOOD JUMPER by LEMONS,CORY",2
18:58,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",2
--,"REBOUND DEF by LEMONS,CORY",,,,,,,"REBOUND DEF by LEMONS,CORY",2
18:50,"GOOD 3PTR by BOYD,JOHN",36 (+10),,26,,CAMB 36-26 (-10),,"GOOD 3PTR by BOYD,JOHN",2
--,"ASSIST  by LEMONS,CORY",,,,,,,"ASSIST  by LEMONS,CORY",2
18:32,,36 (+8),,28,"GOOD JUMPER by TAYLOR,CHRIS",CENTRE_M 36-28 (-8),,"GOOD JUMPER by TAYLOR,CHRIS",2
18:18,"MISS 3PTR by BOYD,JOHN",,,,,,,"MISS 3PTR by BOYD,JOHN",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
18:05,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",2
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",2
18:00,"FOUL  by RAFFERTY,FRAN",,,,,,,"FOUL  by RAFFERTY,FRAN",2
18:00,,36 (+7),,29,"GOOD FT by KARSNER,JOSH",CENTRE_M 36-29 (-7),,"GOOD FT by KARSNER,JOSH",2
18:00,,36 (+6),,30,"GOOD FT by KARSNER,JOSH",CENTRE_M 36-30 (-6),,"GOOD FT by KARSNER,JOSH",2
18:00,"SUB IN by MAYO,SEAN",,,,,,,"SUB IN by MAYO,SEAN",2
18:00,"SUB OUT by RAFFERTY,FRAN",,,,,,,"SUB OUT by RAFFERTY,FRAN",2
18:00,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
18:00,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
17:32,"MISS JUMPER by MAYO,SEAN",,,,,,,"MISS JUMPER by MAYO,SEAN",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
17:30,"FOUL  by DULAC,GORAN",,,,,,,"FOUL  by DULAC,GORAN",2
17:07,,36 (+3),,33,"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 36-33 (-3),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
16:39,"MISS 3PTR by WILLIAMS,AJ",,,,,,,"MISS 3PTR by WILLIAMS,AJ",2
--,"REBOUND OFF by DULAC,GORAN",,,,,,,"REBOUND OFF by DULAC,GORAN",2
16:18,"MISS 3PTR by BOYD,JOHN",,,,,,,"MISS 3PTR by BOYD,JOHN",2
