Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TRINITY,Game Score,Team Indicator,Play,Period
19:43,,0,,3 (+3),"GOOD 3PTR by BEALL,RYAN",TRINITY 0-3 (-3),,"GOOD 3PTR by BEALL,RYAN",1
--,,,,,"ASSIST  by KITZINGER,ROBERT",,,"ASSIST  by KITZINGER,ROBERT",1
19:16,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
19:15,,,,,"STEAL  by YOUNG,WILLIAM",,,"STEAL  by YOUNG,WILLIAM",1
19:11,,0,,5 (+5),"GOOD LAYUP by BEALL,RYAN(in the paint)",TRINITY 0-5 (-5),,"GOOD LAYUP by BEALL,RYAN(in the paint)",1
--,,,,,"ASSIST  by YOUNG,WILLIAM",,,"ASSIST  by YOUNG,WILLIAM",1
18:48,"GOOD LAYUP by ROSS,GREG(in the paint)",2,,5 (+3),,CENTRE 2-5 (-3),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
18:30,,2,,7 (+5),"GOOD LAYUP by YOUNG,WILLIAM(in the paint)",TRINITY 2-7 (-5),,"GOOD LAYUP by YOUNG,WILLIAM(in the paint)",1
18:16,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
18:16,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
18:16,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
17:42,,,,,"MISS JUMPER by YOUNG,WILLIAM",,,"MISS JUMPER by YOUNG,WILLIAM",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
17:29,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND DEF by KITZINGER,ROBERT",,,"REBOUND DEF by KITZINGER,ROBERT",1
17:15,,,,,"MISS JUMPER by LAMBERT,ZACH",,,"MISS JUMPER by LAMBERT,ZACH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:50,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",1
