Time Remaining,BEREA_M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
11:36,,,,,"MISS JUMPER by NEWSOME,TAYLOR",,,"MISS JUMPER by NEWSOME,TAYLOR",1
--,,,,,"REBOUND OFF by MELLOAN,JAMES",,,"REBOUND OFF by MELLOAN,JAMES",1
11:16,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
11:16,"SUB IN by PONDER,AARON",,,,,,,"SUB IN by PONDER,AARON",1
11:16,"SUB IN by RILEY,KOTY",,,,,,,"SUB IN by RILEY,KOTY",1
11:16,"SUB IN by DAVIS,DEREK",,,,,,,"SUB IN by DAVIS,DEREK",1
11:16,"SUB OUT by HAYDEN,RASHAD",,,,,,,"SUB OUT by HAYDEN,RASHAD",1
11:16,"SUB OUT by GARMON,DOMINIQUE",,,,,,,"SUB OUT by GARMON,DOMINIQUE",1
11:16,"SUB OUT by CONGLETON,TREY",,,,,,,"SUB OUT by CONGLETON,TREY",1
11:16,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
11:16,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
11:16,,,,,"SUB IN by JACKSON,CASEY",,,"SUB IN by JACKSON,CASEY",1
11:16,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
11:16,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
11:16,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
11:10,"MISS JUMPER by CROSS,HARRY",,,,,,,"MISS JUMPER by CROSS,HARRY",1
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",1
10:58,,,,,"MISS LAYUP by MELLOAN,JAMES",,,"MISS LAYUP by MELLOAN,JAMES",1
--,"REBOUND DEF by RILEY,KOTY",,,,,,,"REBOUND DEF by RILEY,KOTY",1
10:37,"GOOD 3PTR by PONDER,AARON",14,,17 (+3),,BEREA_M 14-17 (+3),,"GOOD 3PTR by PONDER,AARON",1
--,"ASSIST  by DAVIS,DEREK",,,,,,,"ASSIST  by DAVIS,DEREK",1
10:21,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
10:09,,,,,"MISS JUMPER by GRIGGS,MATT",,,"MISS JUMPER by GRIGGS,MATT",1
--,,,,,"REBOUND OFF by JACKSON,CASEY",,,"REBOUND OFF by JACKSON,CASEY",1
10:05,,,,,"MISS LAYUP by JACKSON,CASEY",,,"MISS LAYUP by JACKSON,CASEY",1
--,"REBOUND DEF by CLARK,JOSH",,,,,,,"REBOUND DEF by CLARK,JOSH",1
10:00,"MISS 3PTR by DAVIS,DEREK",,,,,,,"MISS 3PTR by DAVIS,DEREK",1
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",1
09:48,"SUB IN by WEBSTER,TEVIN",,,,,,,"SUB IN by WEBSTER,TEVIN",1
09:48,"SUB OUT by CLARK,JOSH",,,,,,,"SUB OUT by CLARK,JOSH",1
09:48,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
09:48,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
09:48,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
09:48,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
09:48,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
09:48,,,,,"SUB OUT by JACKSON,CASEY",,,"SUB OUT by JACKSON,CASEY",1
09:36,"FOUL  by DAVIS,DEREK",,,,,,,"FOUL  by DAVIS,DEREK",1
09:36,"SUB IN by GARMON,DOMINIQUE",,,,,,,"SUB IN by GARMON,DOMINIQUE",1
09:36,"SUB OUT by DAVIS,DEREK",,,,,,,"SUB OUT by DAVIS,DEREK",1
09:19,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
09:19,"BLOCK  by CROSS,HARRY",,,,,,,"BLOCK  by CROSS,HARRY",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
09:13,,14,,19 (+5),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 14-19 (+5),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
09:03,"GOOD JUMPER by CROSS,HARRY",16,,19 (+3),,BEREA_M 16-19 (+3),,"GOOD JUMPER by CROSS,HARRY",1
08:50,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",1
--,"REBOUND DEF by RILEY,KOTY",,,,,,,"REBOUND DEF by RILEY,KOTY",1
08:40,"GOOD 3PTR by PONDER,AARON",19,,19,,BEREA_M 19-19 (0),,"GOOD 3PTR by PONDER,AARON",1
08:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
08:37,"SUB IN by CLARK,JOSH",,,,,,,"SUB IN by CLARK,JOSH",1
08:37,"SUB OUT by CROSS,HARRY",,,,,,,"SUB OUT by CROSS,HARRY",1
08:37,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",1
08:37,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
08:26,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
08:26,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
08:04,"GOOD 3PTR by RILEY,KOTY",22 (+3),,19,,BEREA_M 22-19 (-3),,"GOOD 3PTR by RILEY,KOTY",1
--,"ASSIST  by WEBSTER,TEVIN",,,,,,,"ASSIST  by WEBSTER,TEVIN",1
07:50,,22 (+1),,21,"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 22-21 (-1),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",1
07:40,"MISS 3PTR by PONDER,AARON",,,,,,,"MISS 3PTR by PONDER,AARON",1
--,"REBOUND OFF by GARMON,DOMINIQUE",,,,,,,"REBOUND OFF by GARMON,DOMINIQUE",1
07:33,,,,,"FOUL  by MULLANEY,JEFF",,,"FOUL  by MULLANEY,JEFF",1
07:33,"SUB IN by CANNON,KAIRO",,,,,,,"SUB IN by CANNON,KAIRO",1
07:33,"SUB OUT by RILEY,KOTY",,,,,,,"SUB OUT by RILEY,KOTY",1
07:29,"MISS 3PTR by PONDER,AARON",,,,,,,"MISS 3PTR by PONDER,AARON",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
07:19,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
07:17,,22,,23 (+1),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 22-23 (+1),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
07:17,"FOUL  by CANNON,KAIRO",,,,,,,"FOUL  by CANNON,KAIRO",1
07:17,,,,,"MISS FT by ROSS,GREG",,,"MISS FT by ROSS,GREG",1
--,"REBOUND DEF by CONGLETON,TREY",,,,,,,"REBOUND DEF by CONGLETON,TREY",1
07:17,"SUB IN by DAVIS,DEREK",,,,,,,"SUB IN by DAVIS,DEREK",1
07:17,"SUB IN by CONGLETON,TREY",,,,,,,"SUB IN by CONGLETON,TREY",1
07:17,"SUB IN by CROSS,HARRY",,,,,,,"SUB IN by CROSS,HARRY",1
07:17,"SUB OUT by WEBSTER,TEVIN",,,,,,,"SUB OUT by WEBSTER,TEVIN",1
07:17,"SUB OUT by PONDER,AARON",,,,,,,"SUB OUT by PONDER,AARON",1
07:17,"SUB OUT by CANNON,KAIRO",,,,,,,"SUB OUT by CANNON,KAIRO",1
07:17,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
07:17,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
07:00,"MISS LAYUP by CONGLETON,TREY",,,,,,,"MISS LAYUP by CONGLETON,TREY",1
--,"REBOUND OFF by CLARK,JOSH",,,,,,,"REBOUND OFF by CLARK,JOSH",1
06:57,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
06:57,"MISS FT by CLARK,JOSH",,,,,,,"MISS FT by CLARK,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:57,"MISS FT by CLARK,JOSH",,,,,,,"MISS FT by CLARK,JOSH",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
06:52,"FOUL  by CLARK,JOSH",,,,,,,"FOUL  by CLARK,JOSH",1
06:35,"FOUL  by CLARK,JOSH",,,,,,,"FOUL  by CLARK,JOSH",1
06:35,,22,,24 (+2),"GOOD FT by KARSNER,JOSH",CENTRE_M 22-24 (+2),,"GOOD FT by KARSNER,JOSH",1
06:35,,22,,25 (+3),"GOOD FT by KARSNER,JOSH",CENTRE_M 22-25 (+3),,"GOOD FT by KARSNER,JOSH",1
06:35,"SUB IN by WEBSTER,TEVIN",,,,,,,"SUB IN by WEBSTER,TEVIN",1
06:35,"SUB OUT by CLARK,JOSH",,,,,,,"SUB OUT by CLARK,JOSH",1
06:26,"GOOD JUMPER by WEBSTER,TEVIN",24,,25 (+1),,BEREA_M 24-25 (+1),,"GOOD JUMPER by WEBSTER,TEVIN",1
--,"ASSIST  by CROSS,HARRY",,,,,,,"ASSIST  by CROSS,HARRY",1
05:55,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by GARMON,DOMINIQUE",,,,,,,"REBOUND DEF by GARMON,DOMINIQUE",1
05:47,"MISS JUMPER by DAVIS,DEREK",,,,,,,"MISS JUMPER by DAVIS,DEREK",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
05:31,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,"REBOUND DEF by CONGLETON,TREY",,,,,,,"REBOUND DEF by CONGLETON,TREY",1
05:06,"GOOD LAYUP by CROSS,HARRY(in the paint)",26 (+1),,25,,BEREA_M 26-25 (-1),,"GOOD LAYUP by CROSS,HARRY(in the paint)",1
04:48,"FOUL  by CONGLETON,TREY",,,,,,,"FOUL  by CONGLETON,TREY",1
04:44,,26,,26,"GOOD FT by ROSS,GREG",CENTRE_M 26-26 (0),,"GOOD FT by ROSS,GREG",1
04:44,,26,,27 (+1),"GOOD FT by ROSS,GREG",CENTRE_M 26-27 (+1),,"GOOD FT by ROSS,GREG",1
04:44,"SUB IN by RILEY,KOTY",,,,,,,"SUB IN by RILEY,KOTY",1
04:44,"SUB IN by PONDER,AARON",,,,,,,"SUB IN by PONDER,AARON",1
04:44,"SUB OUT by DAVIS,DEREK",,,,,,,"SUB OUT by DAVIS,DEREK",1
04:44,"SUB OUT by GARMON,DOMINIQUE",,,,,,,"SUB OUT by GARMON,DOMINIQUE",1
04:44,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
04:44,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
04:44,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
04:44,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
04:23,"MISS JUMPER by RILEY,KOTY",,,,,,,"MISS JUMPER by RILEY,KOTY",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
04:10,,26,,29 (+3),"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",CENTRE_M 26-29 (+3),,"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
04:00,"MISS JUMPER by RILEY,KOTY",,,,,,,"MISS JUMPER by RILEY,KOTY",1
--,,,,,"REBOUND DEF by NEWSOME,TAYLOR",,,"REBOUND DEF by NEWSOME,TAYLOR",1
03:51,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,"REBOUND DEF by HAYDEN,RASHAD",,,,,,,"REBOUND DEF by HAYDEN,RASHAD",1
03:48,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",1
03:33,"MISS JUMPER by CROSS,HARRY",,,,,,,"MISS JUMPER by CROSS,HARRY",1
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",1
03:26,,26,,31 (+5),"GOOD LAYUP by MULLANEY,JEFF(in the paint)",CENTRE_M 26-31 (+5),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",1
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",1
03:15,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",1
03:15,"MISS FT by WEBSTER,TEVIN",,,,,,,"MISS FT by WEBSTER,TEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:15,"GOOD FT by WEBSTER,TEVIN",27,,31 (+4),,BEREA_M 27-31 (+4),,"GOOD FT by WEBSTER,TEVIN",1
03:15,,27,,33 (+6),"GOOD LAYUP by MULLANEY,JEFF(in the paint)",CENTRE_M 27-33 (+6),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",1
--,,,,,"ASSIST  by NEWSOME,TAYLOR",,,"ASSIST  by NEWSOME,TAYLOR",1
03:15,"SUB IN by CANNON,KAIRO",,,,,,,"SUB IN by CANNON,KAIRO",1
03:15,"SUB IN by GARMON,DOMINIQUE",,,,,,,"SUB IN by GARMON,DOMINIQUE",1
03:15,"SUB IN by CLARK,JOSH",,,,,,,"SUB IN by CLARK,JOSH",1
03:15,"SUB OUT by RILEY,KOTY",,,,,,,"SUB OUT by RILEY,KOTY",1
03:15,"SUB OUT by CONGLETON,TREY",,,,,,,"SUB OUT by CONGLETON,TREY",1
03:15,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
03:15,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
03:14,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",1
03:14,"GOOD LAYUP by CLARK,JOSH(in the paint)",29,,33 (+4),,BEREA_M 29-33 (+4),,"GOOD LAYUP by CLARK,JOSH(in the paint)",1
--,"ASSIST  by CROSS,HARRY",,,,,,,"ASSIST  by CROSS,HARRY",1
03:14,"SUB OUT by CANNON,KAIRO",,,,,,,"SUB OUT by CANNON,KAIRO",1
03:14,"SUB OUT by WEBSTER,TEVIN",,,,,,,"SUB OUT by WEBSTER,TEVIN",1
03:14,"SUB OUT by CROSS,HARRY",,,,,,,"SUB OUT by CROSS,HARRY",1
03:14,"SUB OUT by CLARK,JOSH",,,,,,,"SUB OUT by CLARK,JOSH",1
03:14,"SUB OUT by PONDER,AARON",,,,,,,"SUB OUT by PONDER,AARON",1
03:04,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by CANNON,KAIRO",,,,,,,"REBOUND DEF by CANNON,KAIRO",1
02:55,"TURNOVER  by PONDER,AARON",,,,,,,"TURNOVER  by PONDER,AARON",1
02:55,"SUB IN by CANNON,KAIRO",,,,,,,"SUB IN by CANNON,KAIRO",1
02:55,"SUB IN by CROSS,HARRY",,,,,,,"SUB IN by CROSS,HARRY",1
02:55,"SUB IN by CLARK,JOSH",,,,,,,"SUB IN by CLARK,JOSH",1
02:55,"SUB IN by PONDER,AARON",,,,,,,"SUB IN by PONDER,AARON",1
02:50,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
02:50,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
02:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:04,"SUB IN by DAVIS,DEREK",,,,,,,"SUB IN by DAVIS,DEREK",1
02:04,"SUB OUT by PONDER,AARON",,,,,,,"SUB OUT by PONDER,AARON",1
01:55,,29,,36 (+7),"GOOD 3PTR by MULLANEY,JEFF",CENTRE_M 29-36 (+7),,"GOOD 3PTR by MULLANEY,JEFF",1
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",1
01:44,"MISS 3PTR by DAVIS,DEREK",,,,,,,"MISS 3PTR by DAVIS,DEREK",1
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",1
01:27,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND OFF by NEWSOME,TAYLOR",,,"REBOUND OFF by NEWSOME,TAYLOR",1
01:14,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:07,"SUB IN by PONDER,AARON",,,,,,,"SUB IN by PONDER,AARON",1
01:07,"SUB OUT by CANNON,KAIRO",,,,,,,"SUB OUT by CANNON,KAIRO",1
01:07,,,,,"SUB IN by JACKSON,CASEY",,,"SUB IN by JACKSON,CASEY",1
01:07,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
01:07,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
01:07,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
00:41,"MISS JUMPER by CLARK,JOSH",,,,,,,"MISS JUMPER by CLARK,JOSH",1
00:41,,,,,"BLOCK  by MELLOAN,JAMES",,,"BLOCK  by MELLOAN,JAMES",1
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",1
00:34,,,,,"TURNOVER  by MELLOAN,JAMES",,,"TURNOVER  by MELLOAN,JAMES",1
00:02,"MISS 3PTR by CROSS,HARRY",,,,,,,"MISS 3PTR by CROSS,HARRY",1
