Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,UDMB,Game Score,Team Indicator,Play,Period
09:53,"GOOD FT by WHITESIDE,DONOVAN",45,,53 (+8),,CENTRE_M 45-53 (-8),,"GOOD FT by WHITESIDE,DONOVAN",2
09:35,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",2
09:35,,45,,54 (+9),"GOOD FT by MALONE,KYM",UDMB 45-54 (-9),,"GOOD FT by MALONE,KYM",2
09:35,,,,,"MISS FT by MALONE,KYM",,,"MISS FT by MALONE,KYM",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
09:16,"GOOD LAYUP by KARSNER,JOSH(in the paint)",47,,54 (+7),,CENTRE_M 47-54 (-7),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
08:59,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
08:37,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",49,,54 (+5),,CENTRE_M 49-54 (-5),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
08:11,,,,,"MISS LAYUP by WINEBARGER,ALEX",,,"MISS LAYUP by WINEBARGER,ALEX",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
07:59,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by SMITH,DECKER",,,"REBOUND DEF by SMITH,DECKER",2
07:49,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",2
07:48,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",2
07:42,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by WINEBARGER,ALEX",,,"REBOUND DEF by WINEBARGER,ALEX",2
07:32,,,,,"MISS 3PTR by HIGHTOWER,BRAETON",,,"MISS 3PTR by HIGHTOWER,BRAETON",2
--,,,,,"REBOUND OFF by SMITH,DECKER",,,"REBOUND OFF by SMITH,DECKER",2
07:31,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
07:15,,,,,"TURNOVER  by HIGHTOWER,BRAETON",,,"TURNOVER  by HIGHTOWER,BRAETON",2
07:12,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
07:12,,,,,"FOUL  by HIGHTOWER,BRAETON",,,"FOUL  by HIGHTOWER,BRAETON",2
07:12,,,,,"FOUL TECH by HIGHTOWER,BRAETON",,,"FOUL TECH by HIGHTOWER,BRAETON",2
07:12,,,,,"FOUL  by HIGHTOWER,BRAETON",,,"FOUL  by HIGHTOWER,BRAETON",2
07:12,"GOOD FT by ROSS,GREG",50,,54 (+4),,CENTRE_M 50-54 (-4),,"GOOD FT by ROSS,GREG",2
07:12,"GOOD FT by ROSS,GREG",51,,54 (+3),,CENTRE_M 51-54 (-3),,"GOOD FT by ROSS,GREG",2
07:12,"MISS FT by ELLIS,BRYON",,,,,,,"MISS FT by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by GILE,CURTIS",,,"REBOUND DEF by GILE,CURTIS",2
06:58,,51,,57 (+6),"GOOD 3PTR by BRUFFEY,TANNER",UDMB 51-57 (-6),,"GOOD 3PTR by BRUFFEY,TANNER",2
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",2
06:34,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
06:17,,,,,"MISS LAYUP by MALONE,KYM",,,"MISS LAYUP by MALONE,KYM",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
06:03,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",2
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",2
05:52,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:30,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
05:30,,51,,58 (+7),"GOOD FT by BRUFFEY,TANNER",UDMB 51-58 (-7),,"GOOD FT by BRUFFEY,TANNER",2
05:30,,51,,59 (+8),"GOOD FT by BRUFFEY,TANNER",UDMB 51-59 (-8),,"GOOD FT by BRUFFEY,TANNER",2
05:15,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:04,"MISS JUMPER by ELLIS,BRYON",,,,,,,"MISS JUMPER by ELLIS,BRYON",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
04:59,"GOOD LAYUP by ROSS,GREG(in the paint)",53,,59 (+6),,CENTRE_M 53-59 (-6),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
04:32,,53,,61 (+8),"GOOD JUMPER by STEPHENS,JOE",UDMB 53-61 (-8),,"GOOD JUMPER by STEPHENS,JOE",2
--,,,,,"ASSIST  by BRUFFEY,TANNER",,,"ASSIST  by BRUFFEY,TANNER",2
04:16,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",2
04:14,,,,,"STEAL  by BRUFFEY,TANNER",,,"STEAL  by BRUFFEY,TANNER",2
03:58,,53,,63 (+10),"GOOD LAYUP by STEPHENS,JOE(in the paint)",UDMB 53-63 (-10),,"GOOD LAYUP by STEPHENS,JOE(in the paint)",2
03:49,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:46,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",55,,63 (+8),,CENTRE_M 55-63 (-8),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
03:23,,,,,"MISS JUMPER by MALONE,KYM",,,"MISS JUMPER by MALONE,KYM",2
--,,,,,"REBOUND OFF by STEPHENS,JOE",,,"REBOUND OFF by STEPHENS,JOE",2
03:19,,,,,"MISS 3PTR by BRUFFEY,TANNER",,,"MISS 3PTR by BRUFFEY,TANNER",2
--,,,,,"REBOUND OFF by GILE,CURTIS",,,"REBOUND OFF by GILE,CURTIS",2
03:15,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",2
03:15,,,,,"MISS FT by GILE,CURTIS",,,"MISS FT by GILE,CURTIS",2
--,,,,,"REBOUND OFF by MALONE,KYM",,,"REBOUND OFF by MALONE,KYM",2
03:15,,55,,65 (+10),"GOOD LAYUP by MALONE,KYM(in the paint)",UDMB 55-65 (-10),,"GOOD LAYUP by MALONE,KYM(in the paint)",2
03:00,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",2
02:50,"MISS FT by MULLANEY,JEFF",,,,,,,"MISS FT by MULLANEY,JEFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:50,"GOOD FT by MULLANEY,JEFF",56,,65 (+9),,CENTRE_M 56-65 (-9),,"GOOD FT by MULLANEY,JEFF",2
02:42,,,,,"TURNOVER  by ASSINESI,DREW",,,"TURNOVER  by ASSINESI,DREW",2
02:40,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",2
02:34,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",58,,65 (+7),,CENTRE_M 58-65 (-7),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
02:27,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",2
02:12,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by BRUFFEY,TANNER",,,"REBOUND DEF by BRUFFEY,TANNER",2
01:45,,58,,68 (+10),"GOOD 3PTR by STEPHENS,JOE",UDMB 58-68 (-10),,"GOOD 3PTR by STEPHENS,JOE",2
--,,,,,"ASSIST  by GILE,CURTIS",,,"ASSIST  by GILE,CURTIS",2
01:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:05,"MISS LAYUP by MULLANEY,JEFF",,,,,,,"MISS LAYUP by MULLANEY,JEFF",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:05,,,,,"FOUL  by GILE,CURTIS",,,"FOUL  by GILE,CURTIS",2
01:05,"GOOD FT by KARSNER,JOSH",59,,68 (+9),,CENTRE_M 59-68 (-9),,"GOOD FT by KARSNER,JOSH",2
01:05,"GOOD FT by KARSNER,JOSH",60,,68 (+8),,CENTRE_M 60-68 (-8),,"GOOD FT by KARSNER,JOSH",2
01:04,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
01:04,,60,,69 (+9),"GOOD FT by GILE,CURTIS",UDMB 60-69 (-9),,"GOOD FT by GILE,CURTIS",2
01:04,,60,,70 (+10),"GOOD FT by GILE,CURTIS",UDMB 60-70 (-10),,"GOOD FT by GILE,CURTIS",2
00:58,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",62,,70 (+8),,CENTRE_M 62-70 (-8),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
00:55,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
00:55,,62,,71 (+9),"GOOD FT by BRUFFEY,TANNER",UDMB 62-71 (-9),,"GOOD FT by BRUFFEY,TANNER",2
00:55,,62,,72 (+10),"GOOD FT by BRUFFEY,TANNER",UDMB 62-72 (-10),,"GOOD FT by BRUFFEY,TANNER",2
00:48,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",2
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",2
00:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:38,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
00:38,,62,,73 (+11),"GOOD FT by BRUFFEY,TANNER",UDMB 62-73 (-11),,"GOOD FT by BRUFFEY,TANNER",2
00:38,,62,,74 (+12),"GOOD FT by BRUFFEY,TANNER",UDMB 62-74 (-12),,"GOOD FT by BRUFFEY,TANNER",2
00:31,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",2
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",2
00:27,"GOOD JUMPER by WHITESIDE,DONOVAN",64,,74 (+10),,CENTRE_M 64-74 (-10),,"GOOD JUMPER by WHITESIDE,DONOVAN",2
00:27,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",2
00:24,,,,,"MISS FT by BRUFFEY,TANNER",,,"MISS FT by BRUFFEY,TANNER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:24,,64,,75 (+11),"GOOD FT by BRUFFEY,TANNER",UDMB 64-75 (-11),,"GOOD FT by BRUFFEY,TANNER",2
00:24,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",66,,75 (+9),,CENTRE_M 66-75 (-9),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
