Time Remaining,MCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:38,"MISS 3PTR by SIBLEY,RANDE",,,,,,,"MISS 3PTR by SIBLEY,RANDE",1
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",1
19:20,,0,,2 (+2),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 0-2 (+2),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
18:58,"MISS JUMPER by STANLEY,MILTON",,,,,,,"MISS JUMPER by STANLEY,MILTON",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
18:47,,0,,4 (+4),"GOOD JUMPER by ROSS,GREG",CENTRE_M 0-4 (+4),,"GOOD JUMPER by ROSS,GREG",1
18:20,"MISS JUMPER by FORD,CHRISTIAN",,,,,,,"MISS JUMPER by FORD,CHRISTIAN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
17:45,,0,,6 (+6),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 0-6 (+6),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
17:24,"MISS JUMPER by STANLEY,MILTON",,,,,,,"MISS JUMPER by STANLEY,MILTON",1
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",1
16:59,,0,,8 (+8),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 0-8 (+8),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
16:36,"GOOD JUMPER by BUTLER,OSCAR",2,,8 (+6),,MCM 2-8 (+6),,"GOOD JUMPER by BUTLER,OSCAR",1
--,"ASSIST  by FORD,CHRISTIAN",,,,,,,"ASSIST  by FORD,CHRISTIAN",1
16:13,,2,,10 (+8),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 2-10 (+8),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
15:59,"GOOD JUMPER by WILLETT,MAVERICK",4,,10 (+6),,MCM 4-10 (+6),,"GOOD JUMPER by WILLETT,MAVERICK",1
--,"ASSIST  by BUTLER,OSCAR",,,,,,,"ASSIST  by BUTLER,OSCAR",1
15:37,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by WILLETT,MAVERICK",,,,,,,"REBOUND DEF by WILLETT,MAVERICK",1
15:23,"TURNOVER  by SIBLEY,RANDE",,,,,,,"TURNOVER  by SIBLEY,RANDE",1
15:23,"SUB IN by RUCKER,DONALD",,,,,,,"SUB IN by RUCKER,DONALD",1
15:23,"SUB IN by LAMBERT,WES",,,,,,,"SUB IN by LAMBERT,WES",1
15:23,"SUB IN by WILLIAMSON,BEN",,,,,,,"SUB IN by WILLIAMSON,BEN",1
15:23,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",1
15:23,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",1
15:23,"SUB OUT by SIBLEY,RANDE",,,,,,,"SUB OUT by SIBLEY,RANDE",1
15:23,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
15:23,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
14:53,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by WILLETT,MAVERICK",,,,,,,"REBOUND DEF by WILLETT,MAVERICK",1
14:44,"GOOD JUMPER by WILLETT,MAVERICK",6,,10 (+4),,MCM 6-10 (+4),,"GOOD JUMPER by WILLETT,MAVERICK",1
--,"ASSIST  by STANLEY,MILTON",,,,,,,"ASSIST  by STANLEY,MILTON",1
14:19,"FOUL  by STANLEY,MILTON",,,,,,,"FOUL  by STANLEY,MILTON",1
14:19,,,,,"MISS FT by MULLANEY,JEFF",,,"MISS FT by MULLANEY,JEFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:19,,6,,11 (+5),"GOOD FT by MULLANEY,JEFF",CENTRE_M 6-11 (+5),,"GOOD FT by MULLANEY,JEFF",1
14:19,,,,,"SUB IN by JACKSON,CASEY",,,"SUB IN by JACKSON,CASEY",1
14:19,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
14:19,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
14:19,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
14:19,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
14:19,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
14:19,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
14:19,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
14:01,"GOOD LAYUP by STANLEY,MILTON(in the paint)",8,,11 (+3),,MCM 8-11 (+3),,"GOOD LAYUP by STANLEY,MILTON(in the paint)",1
13:29,,,,,"MISS LAYUP by TAYLOR,CHRIS",,,"MISS LAYUP by TAYLOR,CHRIS",1
13:29,"BLOCK  by STANLEY,MILTON",,,,,,,"BLOCK  by STANLEY,MILTON",1
--,"REBOUND DEF by WILLIAMSON,BEN",,,,,,,"REBOUND DEF by WILLIAMSON,BEN",1
13:21,"MISS 3PTR by LAMBERT,WES",,,,,,,"MISS 3PTR by LAMBERT,WES",1
--,"REBOUND OFF by WILLIAMSON,BEN",,,,,,,"REBOUND OFF by WILLIAMSON,BEN",1
13:15,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",1
13:15,"GOOD FT by RUCKER,DONALD",9,,11 (+2),,MCM 9-11 (+2),,"GOOD FT by RUCKER,DONALD",1
13:15,"GOOD FT by RUCKER,DONALD",10,,11 (+1),,MCM 10-11 (+1),,"GOOD FT by RUCKER,DONALD",1
13:15,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",1
13:15,"SUB OUT by WILLETT,MAVERICK",,,,,,,"SUB OUT by WILLETT,MAVERICK",1
12:54,,,,,"MISS JUMPER by MELLOAN,JAMES",,,"MISS JUMPER by MELLOAN,JAMES",1
--,,,,,"REBOUND OFF by NEWSOME,TAYLOR",,,"REBOUND OFF by NEWSOME,TAYLOR",1
12:44,,,,,"MISS 3PTR by JACKSON,CASEY",,,"MISS 3PTR by JACKSON,CASEY",1
--,"REBOUND DEF by STANLEY,MILTON",,,,,,,"REBOUND DEF by STANLEY,MILTON",1
12:36,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
12:36,"SUB IN by P. BURRIS,J",,,,,,,"SUB IN by P. BURRIS,J",1
12:36,"SUB OUT by STANLEY,MILTON",,,,,,,"SUB OUT by STANLEY,MILTON",1
12:36,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
12:36,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
12:32,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",1
12:32,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
12:32,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
12:14,"GOOD JUMPER by RUCKER,DONALD",12 (+1),,11,,MCM 12-11 (-1),,"GOOD JUMPER by RUCKER,DONALD",1
--,"ASSIST  by WILLIAMSON,BEN",,,,,,,"ASSIST  by WILLIAMSON,BEN",1
11:51,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",1
11:51,,12,,12,"GOOD FT by ROSS,GREG",CENTRE_M 12-12 (0),,"GOOD FT by ROSS,GREG",1
11:51,,12,,13 (+1),"GOOD FT by ROSS,GREG",CENTRE_M 12-13 (+1),,"GOOD FT by ROSS,GREG",1
11:51,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",1
11:51,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
11:51,,,,,"SUB OUT by JACKSON,CASEY",,,"SUB OUT by JACKSON,CASEY",1
11:51,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
11:34,"MISS 3PTR by WILLIAMSON,BEN",,,,,,,"MISS 3PTR by WILLIAMSON,BEN",1
--,"REBOUND OFF by P. BURRIS,J",,,,,,,"REBOUND OFF by P. BURRIS,J",1
11:30,"FOUL  by P. BURRIS,J",,,,,,,"FOUL  by P. BURRIS,J",1
11:30,"TURNOVER  by P. BURRIS,J",,,,,,,"TURNOVER  by P. BURRIS,J",1
11:15,,12,,15 (+3),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 12-15 (+3),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
11:15,"TURNOVER  by RUCKER,DONALD",,,,,,,"TURNOVER  by RUCKER,DONALD",1
11:09,,,,,"MISS LAYUP by TAYLOR,CHRIS",,,"MISS LAYUP by TAYLOR,CHRIS",1
--,,,,,"REBOUND OFF by TAYLOR,CHRIS",,,"REBOUND OFF by TAYLOR,CHRIS",1
11:07,,12,,17 (+5),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 12-17 (+5),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
11:04,"MISS 3PTR by WILLIAMSON,BEN",,,,,,,"MISS 3PTR by WILLIAMSON,BEN",1
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",1
10:28,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",1
--,"REBOUND DEF by LAMBERT,WES",,,,,,,"REBOUND DEF by LAMBERT,WES",1
10:07,"TURNOVER  by LAMBERT,WES",,,,,,,"TURNOVER  by LAMBERT,WES",1
10:07,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",1
10:07,"SUB IN by WILLETT,MAVERICK",,,,,,,"SUB IN by WILLETT,MAVERICK",1
10:07,"SUB IN by STANLEY,MILTON",,,,,,,"SUB IN by STANLEY,MILTON",1
10:07,"SUB IN by BUTLER,OSCAR",,,,,,,"SUB IN by BUTLER,OSCAR",1
10:07,"SUB IN by SIBLEY,RANDE",,,,,,,"SUB IN by SIBLEY,RANDE",1
10:07,"SUB OUT by RUCKER,DONALD",,,,,,,"SUB OUT by RUCKER,DONALD",1
10:07,"SUB OUT by LAMBERT,WES",,,,,,,"SUB OUT by LAMBERT,WES",1
10:07,"SUB OUT by WILLIAMSON,BEN",,,,,,,"SUB OUT by WILLIAMSON,BEN",1
10:07,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",1
10:07,"SUB OUT by P. BURRIS,J",,,,,,,"SUB OUT by P. BURRIS,J",1
10:05,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
10:05,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
09:51,,12,,19 (+7),"GOOD JUMPER by ROSS,GREG",CENTRE_M 12-19 (+7),,"GOOD JUMPER by ROSS,GREG",1
09:31,"MISS JUMPER by BUTLER,OSCAR",,,,,,,"MISS JUMPER by BUTLER,OSCAR",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
09:09,,12,,21 (+9),"GOOD JUMPER by ROSS,GREG",CENTRE_M 12-21 (+9),,"GOOD JUMPER by ROSS,GREG",1
08:55,"TURNOVER  by BUTLER,OSCAR",,,,,,,"TURNOVER  by BUTLER,OSCAR",1
08:49,,,,,"STEAL  by ELLIS,BRYON",,,"STEAL  by ELLIS,BRYON",1
08:35,,12,,24 (+12),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 12-24 (+12),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",1
08:30,"SUB IN by RUCKER,DONALD",,,,,,,"SUB IN by RUCKER,DONALD",1
08:30,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",1
08:30,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
08:30,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
