Time Remaining,TU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
13:14,,9,,11 (+2),"GOOD 3PTR by MULLANEY,JEFF",CENTRE_M 9-11 (+2),,"GOOD 3PTR by MULLANEY,JEFF",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
12:38,"SUB IN by SALTARELLI,CRAIG",,,,,,,"SUB IN by SALTARELLI,CRAIG",1
12:38,"SUB IN by LAVANWAY,JOHN",,,,,,,"SUB IN by LAVANWAY,JOHN",1
12:38,"SUB OUT by WILT,JONATHAN",,,,,,,"SUB OUT by WILT,JONATHAN",1
12:38,"SUB OUT by YOUNG,WILLIAM",,,,,,,"SUB OUT by YOUNG,WILLIAM",1
12:38,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
12:38,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
12:38,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
12:38,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
12:38,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
12:38,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
12:35,"MISS JUMPER by LAMBERT,ZACH",,,,,,,"MISS JUMPER by LAMBERT,ZACH",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
12:24,,,,,"TURNOVER  by MULLANEY,JEFF",,,"TURNOVER  by MULLANEY,JEFF",1
12:21,"STEAL  by BEALL,RYAN",,,,,,,"STEAL  by BEALL,RYAN",1
12:19,"TURNOVER  by HOPSON,HEATH",,,,,,,"TURNOVER  by HOPSON,HEATH",1
12:14,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
12:14,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
11:56,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",1
--,"REBOUND DEF by LAVANWAY,JOHN",,,,,,,"REBOUND DEF by LAVANWAY,JOHN",1
11:39,"MISS JUMPER by BEALL,RYAN",,,,,,,"MISS JUMPER by BEALL,RYAN",1
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",1
11:28,"FOUL  by BEALL,RYAN",,,,,,,"FOUL  by BEALL,RYAN",1
11:28,"SUB IN by KITZINGER,ROBERT",,,,,,,"SUB IN by KITZINGER,ROBERT",1
11:28,"SUB OUT by HOPSON,HEATH",,,,,,,"SUB OUT by HOPSON,HEATH",1
10:59,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
10:59,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
10:59,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
10:59,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
10:53,,,,,"MISS JUMPER by GRIGGS,MATT",,,"MISS JUMPER by GRIGGS,MATT",1
--,"REBOUND DEF by LAVANWAY,JOHN",,,,,,,"REBOUND DEF by LAVANWAY,JOHN",1
10:30,"TURNOVER  by BEALL,RYAN",,,,,,,"TURNOVER  by BEALL,RYAN",1
10:13,"FOUL  by KITZINGER,ROBERT",,,,,,,"FOUL  by KITZINGER,ROBERT",1
10:13,,9,,12 (+3),"GOOD FT by ROSS,GREG",CENTRE_M 9-12 (+3),,"GOOD FT by ROSS,GREG",1
10:13,,9,,13 (+4),"GOOD FT by ROSS,GREG",CENTRE_M 9-13 (+4),,"GOOD FT by ROSS,GREG",1
09:58,"MISS JUMPER by SALTARELLI,CRAIG",,,,,,,"MISS JUMPER by SALTARELLI,CRAIG",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
09:45,,,,,"TURNOVER  by ELLIS,BRYON",,,"TURNOVER  by ELLIS,BRYON",1
09:43,"STEAL  by LAVANWAY,JOHN",,,,,,,"STEAL  by LAVANWAY,JOHN",1
09:26,"MISS 3PTR by SALTARELLI,CRAIG",,,,,,,"MISS 3PTR by SALTARELLI,CRAIG",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
09:01,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
--,,,,,"REBOUND OFF by GRIGGS,MATT",,,"REBOUND OFF by GRIGGS,MATT",1
08:56,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",1
08:53,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",1
08:53,"SUB IN by HOPSON,HEATH",,,,,,,"SUB IN by HOPSON,HEATH",1
08:53,"SUB OUT by LAMBERT,ZACH",,,,,,,"SUB OUT by LAMBERT,ZACH",1
08:53,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
08:53,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
08:27,"MISS JUMPER by SALTARELLI,CRAIG",,,,,,,"MISS JUMPER by SALTARELLI,CRAIG",1
--,"REBOUND OFF by LAVANWAY,JOHN",,,,,,,"REBOUND OFF by LAVANWAY,JOHN",1
08:17,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",1
08:17,"SUB IN by YOUNG,WILLIAM",,,,,,,"SUB IN by YOUNG,WILLIAM",1
08:17,"SUB IN by WILT,JONATHAN",,,,,,,"SUB IN by WILT,JONATHAN",1
08:17,"SUB OUT by SALTARELLI,CRAIG",,,,,,,"SUB OUT by SALTARELLI,CRAIG",1
08:17,"SUB OUT by LAVANWAY,JOHN",,,,,,,"SUB OUT by LAVANWAY,JOHN",1
08:17,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
08:17,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",1
08:17,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
08:17,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
08:15,,,,,"FOUL  by MULLANEY,JEFF",,,"FOUL  by MULLANEY,JEFF",1
08:15,"GOOD FT by KITZINGER,ROBERT",10,,13 (+3),,TU-M 10-13 (+3),,"GOOD FT by KITZINGER,ROBERT",1
08:15,"GOOD FT by KITZINGER,ROBERT",11,,13 (+2),,TU-M 11-13 (+2),,"GOOD FT by KITZINGER,ROBERT",1
07:58,,11,,15 (+4),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 11-15 (+4),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
07:49,"MISS 3PTR by KITZINGER,ROBERT",,,,,,,"MISS 3PTR by KITZINGER,ROBERT",1
--,"REBOUND OFF by WILT,JONATHAN",,,,,,,"REBOUND OFF by WILT,JONATHAN",1
07:46,,,,,"FOUL  by MELLOAN,JAMES",,,"FOUL  by MELLOAN,JAMES",1
07:35,"GOOD LAYUP by KITZINGER,ROBERT(in the paint)",13,,15 (+2),,TU-M 13-15 (+2),,"GOOD LAYUP by KITZINGER,ROBERT(in the paint)",1
--,"ASSIST  by WILT,JONATHAN",,,,,,,"ASSIST  by WILT,JONATHAN",1
07:06,,,,,"MISS JUMPER by MELLOAN,JAMES",,,"MISS JUMPER by MELLOAN,JAMES",1
--,"REBOUND DEF by WILT,JONATHAN",,,,,,,"REBOUND DEF by WILT,JONATHAN",1
06:50,"MISS 3PTR by HOPSON,HEATH",,,,,,,"MISS 3PTR by HOPSON,HEATH",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
06:42,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
06:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
