Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
11:09,"GOOD FT by JACKSON,CASEY",10,,15 (+5),,CENTRE_M 10-15 (-5),,"GOOD FT by JACKSON,CASEY",1
11:09,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
11:09,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
11:09,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",1
11:09,,,,,"SUB OUT by TRAMUTOLO,JAKE",,,"SUB OUT by TRAMUTOLO,JAKE",1
11:03,,10,,17 (+7),"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",CCM 10-17 (-7),,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",1
11:03,,,,,"FOUL  by TRAMUTOLO,JAKE",,,"FOUL  by TRAMUTOLO,JAKE",1
10:55,"MISS 3PTR by JACKSON,CASEY",,,,,,,"MISS 3PTR by JACKSON,CASEY",1
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",1
10:45,,10,,20 (+10),"GOOD 3PTR by MILNE,RYAN",CCM 10-20 (-10),,"GOOD 3PTR by MILNE,RYAN",1
10:29,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",1
10:29,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
10:29,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",1
09:46,"FOUL  by JACKSON,CASEY",,,,,,,"FOUL  by JACKSON,CASEY",1
09:46,,10,,21 (+11),"GOOD FT by REWOLDT,IAN",CCM 10-21 (-11),,"GOOD FT by REWOLDT,IAN",1
09:46,,10,,22 (+12),"GOOD FT by REWOLDT,IAN",CCM 10-22 (-12),,"GOOD FT by REWOLDT,IAN",1
09:46,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
09:46,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
09:46,,,,,"SUB IN by TRAMUTOLO,JAKE",,,"SUB IN by TRAMUTOLO,JAKE",1
09:46,,,,,"SUB OUT by REWOLDT,IAN",,,"SUB OUT by REWOLDT,IAN",1
09:31,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND DEF by WATERS,JEREMIAH",,,"REBOUND DEF by WATERS,JEREMIAH",1
09:07,,10,,24 (+14),"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",CCM 10-24 (-14),,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",1
08:50,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND DEF by MILNE,RYAN",,,"REBOUND DEF by MILNE,RYAN",1
08:40,,,,,"TURNOVER  by TRAMUTOLO,JAKE",,,"TURNOVER  by TRAMUTOLO,JAKE",1
08:39,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",1
08:34,"MISS 3PTR by JACKSON,CASEY",,,,,,,"MISS 3PTR by JACKSON,CASEY",1
--,"REBOUND OFF by JACKSON,CASEY",,,,,,,"REBOUND OFF by JACKSON,CASEY",1
08:29,"GOOD LAYUP by JACKSON,CASEY(in the paint)",12,,24 (+12),,CENTRE_M 12-24 (-12),,"GOOD LAYUP by JACKSON,CASEY(in the paint)",1
08:06,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",1
08:06,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
08:06,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
08:06,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
08:06,"SUB OUT by JACKSON,CASEY",,,,,,,"SUB OUT by JACKSON,CASEY",1
08:06,,,,,"SUB IN by REWOLDT,IAN",,,"SUB IN by REWOLDT,IAN",1
08:06,,,,,"SUB OUT by LESNANSKY,CHRIS",,,"SUB OUT by LESNANSKY,CHRIS",1
07:50,,12,,27 (+15),"GOOD 3PTR by WEBB,DANIEL",CCM 12-27 (-15),,"GOOD 3PTR by WEBB,DANIEL",1
--,,,,,"ASSIST  by MILNE,RYAN",,,"ASSIST  by MILNE,RYAN",1
07:27,"GOOD LAYUP by ROSS,GREG(in the paint)",14,,27 (+13),,CENTRE_M 14-27 (-13),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
07:27,,,,,"FOUL  by WEBB,DANIEL",,,"FOUL  by WEBB,DANIEL",1
07:27,"MISS FT by ROSS,GREG",,,,,,,"MISS FT by ROSS,GREG",1
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",1
07:11,,,,,"MISS 3PTR by MILNE,RYAN",,,"MISS 3PTR by MILNE,RYAN",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
06:54,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
06:54,,,,,"SUB IN by LESNANSKY,CHRIS",,,"SUB IN by LESNANSKY,CHRIS",1
06:54,,,,,"SUB OUT by WEBB,DANIEL",,,"SUB OUT by WEBB,DANIEL",1
06:37,,,,,"TURNOVER  by WATERS,JEREMIAH",,,"TURNOVER  by WATERS,JEREMIAH",1
06:35,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",1
06:03,"GOOD LAYUP by ROSS,GREG(in the paint)",16,,27 (+11),,CENTRE_M 16-27 (-11),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
05:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:45,,,,,"MISS 3PTR by MILNE,RYAN",,,"MISS 3PTR by MILNE,RYAN",1
--,,,,,"REBOUND OFF by REWOLDT,IAN",,,"REBOUND OFF by REWOLDT,IAN",1
05:42,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",1
05:42,,,,,"MISS FT by REWOLDT,IAN",,,"MISS FT by REWOLDT,IAN",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
05:27,"GOOD JUMPER by TAYLOR,CHRIS",18,,27 (+9),,CENTRE_M 18-27 (-9),,"GOOD JUMPER by TAYLOR,CHRIS",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
05:00,,,,,"MISS JUMPER by LESNANSKY,CHRIS",,,"MISS JUMPER by LESNANSKY,CHRIS",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
04:50,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
04:49,,,,,"STEAL  by REWOLDT,IAN",,,"STEAL  by REWOLDT,IAN",1
04:44,,,,,"TURNOVER  by TRAMUTOLO,JAKE",,,"TURNOVER  by TRAMUTOLO,JAKE",1
04:42,"STEAL  by LOPEZ,COLLIN",,,,,,,"STEAL  by LOPEZ,COLLIN",1
04:41,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",20,,27 (+7),,CENTRE_M 20-27 (-7),,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",1
04:12,,,,,"MISS JUMPER by REWOLDT,IAN",,,"MISS JUMPER by REWOLDT,IAN",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
03:50,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",1
03:38,,20,,30 (+10),"GOOD 3PTR by WATERS,JEREMIAH",CCM 20-30 (-10),,"GOOD 3PTR by WATERS,JEREMIAH",1
--,,,,,"ASSIST  by REWOLDT,IAN",,,"ASSIST  by REWOLDT,IAN",1
03:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:34,"SUB IN by JACKSON,CASEY",,,,,,,"SUB IN by JACKSON,CASEY",1
03:34,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
03:34,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
03:34,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
03:34,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
03:34,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
03:34,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
03:34,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
03:34,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",1
03:34,,,,,"SUB OUT by LESNANSKY,CHRIS",,,"SUB OUT by LESNANSKY,CHRIS",1
03:04,"GOOD 3PTR by LOPEZ,COLLIN",23,,30 (+7),,CENTRE_M 23-30 (-7),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",1
02:46,,,,,"MISS 3PTR by MILNE,RYAN",,,"MISS 3PTR by MILNE,RYAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:27,"MISS LAYUP by LOPEZ,COLLIN",,,,,,,"MISS LAYUP by LOPEZ,COLLIN",1
--,"REBOUND OFF by LOPEZ,COLLIN",,,,,,,"REBOUND OFF by LOPEZ,COLLIN",1
02:23,"MISS LAYUP by LOPEZ,COLLIN",,,,,,,"MISS LAYUP by LOPEZ,COLLIN",1
--,"REBOUND OFF by JACKSON,CASEY",,,,,,,"REBOUND OFF by JACKSON,CASEY",1
02:20,"GOOD 3PTR by KARSNER,JOSH",26,,30 (+4),,CENTRE_M 26-30 (-4),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by JACKSON,CASEY",,,,,,,"ASSIST  by JACKSON,CASEY",1
01:55,,,,,"MISS 3PTR by MILNE,RYAN",,,"MISS 3PTR by MILNE,RYAN",1
--,"REBOUND DEF by GRIGGS,MATT",,,,,,,"REBOUND DEF by GRIGGS,MATT",1
01:40,"MISS LAYUP by MELLOAN,JAMES",,,,,,,"MISS LAYUP by MELLOAN,JAMES",1
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",1
01:27,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
01:27,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
01:27,"SUB OUT by JACKSON,CASEY",,,,,,,"SUB OUT by JACKSON,CASEY",1
01:27,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
01:27,,,,,"SUB IN by LESNANSKY,CHRIS",,,"SUB IN by LESNANSKY,CHRIS",1
01:27,,,,,"SUB OUT by WEBB,DANIEL",,,"SUB OUT by WEBB,DANIEL",1
01:23,,,,,"MISS 3PTR by WATERS,JEREMIAH",,,"MISS 3PTR by WATERS,JEREMIAH",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
01:10,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
01:10,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",1
00:46,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",1
--,,,,,"REBOUND OFF by REWOLDT,IAN",,,"REBOUND OFF by REWOLDT,IAN",1
00:31,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:29,"SUB IN by JACKSON,CASEY",,,,,,,"SUB IN by JACKSON,CASEY",1
00:29,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
00:29,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
00:29,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
00:03,"FOUL  by GRIGGS,MATT",,,,,,,"FOUL  by GRIGGS,MATT",1
00:03,,26,,31 (+5),"GOOD FT by MILNE,RYAN",CCM 26-31 (-5),,"GOOD FT by MILNE,RYAN",1
00:03,,26,,32 (+6),"GOOD FT by MILNE,RYAN",CCM 26-32 (-6),,"GOOD FT by MILNE,RYAN",1
00:03,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
00:03,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
00:03,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
00:03,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
19:51,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",2
19:22,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
18:56,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",2
18:49,,,,,"MISS 3PTR by WATERS,JEREMIAH",,,"MISS 3PTR by WATERS,JEREMIAH",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
18:21,"GOOD JUMPER by MULLANEY,JEFF",28,,32 (+4),,CENTRE_M 28-32 (-4),,"GOOD JUMPER by MULLANEY,JEFF",2
17:58,,,,,"TURNOVER  by MILNE,RYAN",,,"TURNOVER  by MILNE,RYAN",2
17:56,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",2
17:49,"GOOD LAYUP by ROSS,GREG(in the paint)",30,,32 (+2),,CENTRE_M 30-32 (-2),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
17:28,,30,,35 (+5),"GOOD 3PTR by MILNE,RYAN",CCM 30-35 (-5),,"GOOD 3PTR by MILNE,RYAN",2
--,,,,,"ASSIST  by LESNANSKY,CHRIS",,,"ASSIST  by LESNANSKY,CHRIS",2
17:03,,,,,"FOUL  by LESNANSKY,CHRIS",,,"FOUL  by LESNANSKY,CHRIS",2
17:03,"GOOD FT by ROSS,GREG",31,,35 (+4),,CENTRE_M 31-35 (-4),,"GOOD FT by ROSS,GREG",2
17:03,"GOOD FT by ROSS,GREG",32,,35 (+3),,CENTRE_M 32-35 (-3),,"GOOD FT by ROSS,GREG",2
17:03,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
17:03,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
16:51,,,,,"MISS LAYUP by LESNANSKY,CHRIS",,,"MISS LAYUP by LESNANSKY,CHRIS",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
16:31,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
16:07,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",2
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",2
15:57,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",2
15:43,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",2
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",2
15:27,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
15:27,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
15:16,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",34,,35 (+1),,CENTRE_M 34-35 (-1),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
14:50,,34,,38 (+4),"GOOD 3PTR by MILNE,RYAN",CCM 34-38 (-4),,"GOOD 3PTR by MILNE,RYAN",2
14:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:24,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",2
14:07,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",2
14:07,"SUB IN by JACKSON,CASEY",,,,,,,"SUB IN by JACKSON,CASEY",2
14:07,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
14:07,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
14:07,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
13:35,,34,,40 (+6),"GOOD JUMPER by LESNANSKY,CHRIS",CCM 34-40 (-6),,"GOOD JUMPER by LESNANSKY,CHRIS",2
--,,,,,"ASSIST  by MILNE,RYAN",,,"ASSIST  by MILNE,RYAN",2
13:19,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:17,,,,,"FOUL  by LESNANSKY,CHRIS",,,"FOUL  by LESNANSKY,CHRIS",2
13:17,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",2
13:17,,,,,"SUB OUT by LESNANSKY,CHRIS",,,"SUB OUT by LESNANSKY,CHRIS",2
13:09,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
13:04,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
13:04,"FOUL TECH by ROSS,GREG",,,,,,,"FOUL TECH by ROSS,GREG",2
13:04,,34,,41 (+7),"GOOD FT by MILNE,RYAN",CCM 34-41 (-7),,"GOOD FT by MILNE,RYAN",2
13:04,,,,,"MISS FT by MILNE,RYAN",,,"MISS FT by MILNE,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:54,,,,,"MISS JUMPER by MILNE,RYAN",,,"MISS JUMPER by MILNE,RYAN",2
