Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:48,"MISS JUMPER by WARD,TODD",,,,,,,"MISS JUMPER by WARD,TODD",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
19:15,,0,,3 (+3),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 0-3 (+3),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",1
18:59,"GOOD LAYUP by RICHEY,ALEX(in the paint)",2,,3 (+1),,OUM 2-3 (+1),,"GOOD LAYUP by RICHEY,ALEX(in the paint)",1
18:33,,2,,5 (+3),"GOOD LAYUP by LLOYD,ALEX(in the paint)",CENTRE_M 2-5 (+3),,"GOOD LAYUP by LLOYD,ALEX(in the paint)",1
18:11,"GOOD 3PTR by KENNEDY,JOE",5,,5,,OUM 5-5 (0),,"GOOD 3PTR by KENNEDY,JOE",1
--,"ASSIST  by RICHEY,ALEX",,,,,,,"ASSIST  by RICHEY,ALEX",1
17:50,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,"REBOUND DEF by WARD,TODD",,,,,,,"REBOUND DEF by WARD,TODD",1
17:31,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
17:26,"GOOD LAYUP by WARD,TODD(in the paint)",7 (+2),,5,,OUM 7-5 (-2),,"GOOD LAYUP by WARD,TODD(in the paint)",1
17:05,,7,,7,"GOOD JUMPER by ROSS,GREG",CENTRE_M 7-7 (0),,"GOOD JUMPER by ROSS,GREG",1
17:05,"FOUL  by STEIOFF,ANDREW",,,,,,,"FOUL  by STEIOFF,ANDREW",1
17:05,,7,,8 (+1),"GOOD FT by ROSS,GREG",CENTRE_M 7-8 (+1),,"GOOD FT by ROSS,GREG",1
16:37,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
16:32,,7,,11 (+4),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 7-11 (+4),,"GOOD 3PTR by ELLIS,BRYON",1
16:08,"TURNOVER  by STEIOFF,ANDREW",,,,,,,"TURNOVER  by STEIOFF,ANDREW",1
15:48,,7,,13 (+6),"GOOD DUNK by LLOYD,ALEX(in the paint)",CENTRE_M 7-13 (+6),,"GOOD DUNK by LLOYD,ALEX(in the paint)",1
15:22,"GOOD LAYUP by WARD,TODD(in the paint)",9,,13 (+4),,OUM 9-13 (+4),,"GOOD LAYUP by WARD,TODD(in the paint)",1
15:00,,9,,15 (+6),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 9-15 (+6),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
14:40,"GOOD 3PTR by KENNEDY,JOE",12,,15 (+3),,OUM 12-15 (+3),,"GOOD 3PTR by KENNEDY,JOE",1
--,"ASSIST  by RICHEY,ALEX",,,,,,,"ASSIST  by RICHEY,ALEX",1
14:20,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by KENNEDY,JOE",,,,,,,"REBOUND DEF by KENNEDY,JOE",1
14:07,"GOOD LAYUP by RICHEY,ALEX(in the paint)",14,,15 (+1),,OUM 14-15 (+1),,"GOOD LAYUP by RICHEY,ALEX(in the paint)",1
13:44,,14,,17 (+3),"GOOD JUMPER by WHITESIDE,DONOVAN",CENTRE_M 14-17 (+3),,"GOOD JUMPER by WHITESIDE,DONOVAN",1
13:25,"GOOD JUMPER by KENNEDY,JOE",16,,17 (+1),,OUM 16-17 (+1),,"GOOD JUMPER by KENNEDY,JOE",1
13:00,,16,,20 (+4),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 16-20 (+4),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
12:45,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",1
12:45,"MISS FT by KENNEDY,JOE",,,,,,,"MISS FT by KENNEDY,JOE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:45,"GOOD FT by KENNEDY,JOE",17,,20 (+3),,OUM 17-20 (+3),,"GOOD FT by KENNEDY,JOE",1
