Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
19:39,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by RICHEY,ALEX",,,"REBOUND DEF by RICHEY,ALEX",1
19:25,,0,,3 (+3),"GOOD 3PTR by RICHEY,ALEX",OUM 0-3 (-3),,"GOOD 3PTR by RICHEY,ALEX",1
--,,,,,"ASSIST  by WARD,TODD",,,"ASSIST  by WARD,TODD",1
19:11,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",1
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",1
19:01,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by WARD,TODD",,,"REBOUND DEF by WARD,TODD",1
18:55,,0,,5 (+5),"GOOD JUMPER by WARD,TODD(fastbreak)",OUM 0-5 (-5),,"GOOD JUMPER by WARD,TODD(fastbreak)",1
18:27,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",1
18:15,"GOOD JUMPER by MULLANEY,JEFF",2,,5 (+3),,CENTRE_M 2-5 (-3),,"GOOD JUMPER by MULLANEY,JEFF",1
17:58,,,,,"TURNOVER  by RICHEY,ALEX",,,"TURNOVER  by RICHEY,ALEX",1
17:57,"STEAL  by LLOYD,ALEX",,,,,,,"STEAL  by LLOYD,ALEX",1
17:23,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",1
17:17,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",1
17:13,"GOOD LAYUP by ROSS,GREG(in the paint)",4,,5 (+1),,CENTRE_M 4-5 (-1),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
16:51,,,,,"MISS 3PTR by KENNEDY,JOE",,,"MISS 3PTR by KENNEDY,JOE",1
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",1
16:27,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND DEF by PITTS,ALEC",,,"REBOUND DEF by PITTS,ALEC",1
16:17,,,,,"MISS 3PTR by PITTS,ALEC",,,"MISS 3PTR by PITTS,ALEC",1
--,,,,,"REBOUND OFF by STEIOFF,ANDREW",,,"REBOUND OFF by STEIOFF,ANDREW",1
16:12,,,,,"TURNOVER  by STEIOFF,ANDREW",,,"TURNOVER  by STEIOFF,ANDREW",1
16:11,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",1
16:02,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
16:02,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
16:02,"SUB IN by BINDER,KYLE",,,,,,,"SUB IN by BINDER,KYLE",1
16:02,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
16:02,"SUB OUT by LLOYD,ALEX",,,,,,,"SUB OUT by LLOYD,ALEX",1
16:02,,,,,"SUB IN by STRONG,ERIK",,,"SUB IN by STRONG,ERIK",1
