Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:49,,,,,"MISS JUMPER by LLOYD,ALEX",,,"MISS JUMPER by LLOYD,ALEX",1
--,,,,,"REBOUND OFF by LLOYD,ALEX",,,"REBOUND OFF by LLOYD,ALEX",1
19:40,,0,,2 (+2),"GOOD JUMPER by LLOYD,ALEX(in the paint)",CENTRE_M 0-2 (+2),,"GOOD JUMPER by LLOYD,ALEX(in the paint)",1
19:31,"MISS 3PTR by MOODY,JACOB",,,,,,,"MISS 3PTR by MOODY,JACOB",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
19:03,,0,,5 (+5),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 0-5 (+5),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by CRAWFORD,JOSH",,,"ASSIST  by CRAWFORD,JOSH",1
18:26,"TURNOVER  by MOODY,JACOB",,,,,,,"TURNOVER  by MOODY,JACOB",1
18:13,,0,,7 (+7),"GOOD JUMPER by LLOYD,ALEX(in the paint)",CENTRE_M 0-7 (+7),,"GOOD JUMPER by LLOYD,ALEX(in the paint)",1
17:53,"TURNOVER  by TURNIPSEED,D'AWVALO",,,,,,,"TURNOVER  by TURNIPSEED,D'AWVALO",1
17:39,,,,,"MISS LAYUP by ELLIS,BRYON",,,"MISS LAYUP by ELLIS,BRYON",1
--,,,,,"REBOUND OFF by LLOYD,ALEX",,,"REBOUND OFF by LLOYD,ALEX",1
17:34,,0,,9 (+9),"GOOD JUMPER by LLOYD,ALEX(in the paint)",CENTRE_M 0-9 (+9),,"GOOD JUMPER by LLOYD,ALEX(in the paint)",1
17:21,"TURNOVER  by MOODY,JACOB",,,,,,,"TURNOVER  by MOODY,JACOB",1
17:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:21,"SUB IN by MONTGOMERY,JACK",,,,,,,"SUB IN by MONTGOMERY,JACK",1
17:21,"SUB OUT by MOODY,JACOB",,,,,,,"SUB OUT by MOODY,JACOB",1
16:50,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND OFF by CRAWFORD,JOSH",,,"REBOUND OFF by CRAWFORD,JOSH",1
16:44,,,,,"TURNOVER  by CRAWFORD,JOSH",,,"TURNOVER  by CRAWFORD,JOSH",1
16:42,"STEAL  by WILLIAMS,ADRIAN",,,,,,,"STEAL  by WILLIAMS,ADRIAN",1
16:36,"MISS JUMPER by HUDSON,EPHRIAM",,,,,,,"MISS JUMPER by HUDSON,EPHRIAM",1
--,,,,,"REBOUND DEF by CRAWFORD,JOSH",,,"REBOUND DEF by CRAWFORD,JOSH",1
16:12,,0,,12 (+12),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 0-12 (+12),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
15:44,"MISS JUMPER by WILLIAMS,ADRIAN",,,,,,,"MISS JUMPER by WILLIAMS,ADRIAN",1
--,,,,,"REBOUND DEF by CRAWFORD,JOSH",,,"REBOUND DEF by CRAWFORD,JOSH",1
15:25,,0,,15 (+15),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 0-15 (+15),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by LLOYD,ALEX",,,"ASSIST  by LLOYD,ALEX",1
15:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:22,"SUB IN by DANIELS,JAMES",,,,,,,"SUB IN by DANIELS,JAMES",1
15:22,"SUB IN by KILPATRICK,MIKE",,,,,,,"SUB IN by KILPATRICK,MIKE",1
15:22,"SUB OUT by TURNIPSEED,D'AWVALO",,,,,,,"SUB OUT by TURNIPSEED,D'AWVALO",1
15:22,"SUB OUT by WILLIAMS,DESHAUN",,,,,,,"SUB OUT by WILLIAMS,DESHAUN",1
15:22,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
