Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
16:08,"FOUL  by LLOYD,ALEX",,,,,,,"FOUL  by LLOYD,ALEX",1
16:08,,3,,7 (+4),"GOOD FT by WHITFIELD,NIC",LCM 3-7 (-4),,"GOOD FT by WHITFIELD,NIC",1
16:08,,,,,"MISS FT by WHITFIELD,NIC",,,"MISS FT by WHITFIELD,NIC",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
16:08,"SUB IN by BINDER,KYLE",,,,,,,"SUB IN by BINDER,KYLE",1
16:08,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
16:08,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
16:08,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
16:08,"SUB OUT by CRAWFORD,JOSH",,,,,,,"SUB OUT by CRAWFORD,JOSH",1
16:08,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",1
16:08,,,,,"SUB OUT by SPIVEY,STEPHEN",,,"SUB OUT by SPIVEY,STEPHEN",1
15:52,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
15:50,,,,,"STEAL  by VAUGHN,MARCUS",,,"STEAL  by VAUGHN,MARCUS",1
15:42,,,,,"MISS 3PTR by MADDOX,BRANDON",,,"MISS 3PTR by MADDOX,BRANDON",1
--,,,,,"REBOUND OFF by VAUGHN,MARCUS",,,"REBOUND OFF by VAUGHN,MARCUS",1
15:35,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",1
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",1
15:07,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",1
15:07,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",1
15:06,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",1
15:06,"GOOD FT by ROSS,GREG",4,,7 (+3),,CENTRE_M 4-7 (-3),,"GOOD FT by ROSS,GREG",1
15:06,"GOOD FT by ROSS,GREG",5,,7 (+2),,CENTRE_M 5-7 (-2),,"GOOD FT by ROSS,GREG",1
15:06,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",1
15:06,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",1
15:01,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",1
15:01,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",1
15:01,,,,,"SUB IN by TUCK,STEPHEN",,,"SUB IN by TUCK,STEPHEN",1
15:01,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
14:38,"MISS 3PTR by GRIGGS,MATT",,,,,,,"MISS 3PTR by GRIGGS,MATT",1
--,"REBOUND OFF by GRIGGS,MATT",,,,,,,"REBOUND OFF by GRIGGS,MATT",1
14:20,"MISS JUMPER by GRIGGS,MATT",,,,,,,"MISS JUMPER by GRIGGS,MATT",1
--,,,,,"REBOUND DEF by CRAFT,BLAKE",,,"REBOUND DEF by CRAFT,BLAKE",1
14:03,,,,,"FOUL  by CRAFT,BLAKE",,,"FOUL  by CRAFT,BLAKE",1
14:03,,,,,"TURNOVER  by CRAFT,BLAKE",,,"TURNOVER  by CRAFT,BLAKE",1
14:03,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",1
14:03,,,,,"SUB IN by SPIVEY,STEPHEN",,,"SUB IN by SPIVEY,STEPHEN",1
14:03,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",1
14:03,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",1
13:47,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",1
13:31,"GOOD 3PTR by MULLANEY,JEFF",8 (+1),,7,,CENTRE_M 8-7 (+1),,"GOOD 3PTR by MULLANEY,JEFF",1
--,"ASSIST  by GRIGGS,MATT",,,,,,,"ASSIST  by GRIGGS,MATT",1
13:07,,8,,10 (+2),"GOOD 3PTR by TUCK,STEPHEN",LCM 8-10 (-2),,"GOOD 3PTR by TUCK,STEPHEN",1
--,,,,,"ASSIST  by SPIVEY,STEPHEN",,,"ASSIST  by SPIVEY,STEPHEN",1
12:39,"MISS 3PTR by BINDER,KYLE",,,,,,,"MISS 3PTR by BINDER,KYLE",1
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",1
12:36,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",1
12:36,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
12:36,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
12:36,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",1
12:36,"SUB OUT by LLOYD,ALEX",,,,,,,"SUB OUT by LLOYD,ALEX",1
12:36,,,,,"SUB IN by GAYLOR,BRITT",,,"SUB IN by GAYLOR,BRITT",1
12:36,,,,,"SUB OUT by HOWARD,JEROD",,,"SUB OUT by HOWARD,JEROD",1
12:34,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",1
12:32,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",1
11:29,"GOOD 3PTR by ROSS,GREG",11 (+1),,10,,CENTRE_M 11-10 (+1),,"GOOD 3PTR by ROSS,GREG",1
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",1
11:02,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
10:42,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",1
10:40,,,,,"STEAL  by TUCK,STEPHEN",,,"STEAL  by TUCK,STEPHEN",1
10:37,,,,,"TURNOVER  by TUCK,STEPHEN",,,"TURNOVER  by TUCK,STEPHEN",1
10:35,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",1
10:29,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by SPIVEY,STEPHEN",,,"REBOUND DEF by SPIVEY,STEPHEN",1
10:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:25,,11,,13 (+2),"GOOD 3PTR by ROBINSON,DENZEL",LCM 11-13 (-2),,"GOOD 3PTR by ROBINSON,DENZEL",1
--,,,,,"ASSIST  by SPIVEY,STEPHEN",,,"ASSIST  by SPIVEY,STEPHEN",1
10:25,"SUB IN by CRAWFORD,JOSH",,,,,,,"SUB IN by CRAWFORD,JOSH",1
10:25,"SUB OUT by BINDER,KYLE",,,,,,,"SUB OUT by BINDER,KYLE",1
10:25,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
10:25,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
10:25,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
10:25,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
10:25,,,,,"SUB IN by BRAYMAN,ALEX",,,"SUB IN by BRAYMAN,ALEX",1
10:25,,,,,"SUB IN by ROBINSON,DENZEL",,,"SUB IN by ROBINSON,DENZEL",1
10:25,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
10:24,"GOOD JUMPER by CRAWFORD,JOSH",13,,13,,CENTRE_M 13-13 (0),,"GOOD JUMPER by CRAWFORD,JOSH",1
--,,,,,"ASSIST  by BRAYMAN,ALEX",,,"ASSIST  by BRAYMAN,ALEX",1
10:24,"GOOD FT by CRAWFORD,JOSH",14 (+1),,13,,CENTRE_M 14-13 (+1),,"GOOD FT by CRAWFORD,JOSH",1
10:24,,,,,"MISS JUMPER by ROBINSON,DENZEL",,,"MISS JUMPER by ROBINSON,DENZEL",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
10:24,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
10:24,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
10:24,SUB IN by 5,,,,,,,SUB IN by 5,1
10:24,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
10:20,"GOOD JUMPER by WHITESIDE,DONOVAN",16 (+3),,13,,CENTRE_M 16-13 (+3),,"GOOD JUMPER by WHITESIDE,DONOVAN",1
09:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:09,,,,,"TURNOVER  by BRAYMAN,ALEX",,,"TURNOVER  by BRAYMAN,ALEX",1
09:09,"STEAL  by CRAWFORD,JOSH",,,,,,,"STEAL  by CRAWFORD,JOSH",1
09:09,,,,,SUB IN by 04,,,SUB IN by 04,1
09:09,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",1
09:09,,,,,"SUB OUT by TUCK,STEPHEN",,,"SUB OUT by TUCK,STEPHEN",1
09:09,,,,,"SUB OUT by SPIVEY,STEPHEN",,,"SUB OUT by SPIVEY,STEPHEN",1
08:52,"GOOD JUMPER by WHITESIDE,DONOVAN",18 (+5),,13,,CENTRE_M 18-13 (+5),,"GOOD JUMPER by WHITESIDE,DONOVAN",1
08:32,,,,,"MISS JUMPER by BRAYMAN,ALEX",,,"MISS JUMPER by BRAYMAN,ALEX",1
--,"REBOUND DEF by CRAWFORD,JOSH",,,,,,,"REBOUND DEF by CRAWFORD,JOSH",1
08:26,"TURNOVER  by CRAWFORD,JOSH",,,,,,,"TURNOVER  by CRAWFORD,JOSH",1
08:24,,,,,"STEAL  by CRAFT,BLAKE",,,"STEAL  by CRAFT,BLAKE",1
08:15,,18 (+3),,15,"GOOD JUMPER by BRAYMAN,ALEX",LCM 18-15 (+3),,"GOOD JUMPER by BRAYMAN,ALEX",1
--,,,,,"ASSIST  by WHITFIELD,NIC",,,"ASSIST  by WHITFIELD,NIC",1
07:59,"MISS JUMPER by CRAWFORD,JOSH",,,,,,,"MISS JUMPER by CRAWFORD,JOSH",1
--,,,,,"REBOUND DEF by GAYLOR,BRITT",,,"REBOUND DEF by GAYLOR,BRITT",1
07:52,,,,,"MISS 3PTR by CRAFT,BLAKE",,,"MISS 3PTR by CRAFT,BLAKE",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
07:24,"MISS JUMPER by CRAWFORD,JOSH",,,,,,,"MISS JUMPER by CRAWFORD,JOSH",1
--,,,,,"REBOUND DEF by WHITFIELD,NIC",,,"REBOUND DEF by WHITFIELD,NIC",1
07:00,,,,,"MISS JUMPER by WHITFIELD,NIC",,,"MISS JUMPER by WHITFIELD,NIC",1
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",1
06:46,"FOUL  by SMITH,DEE",,,,,,,"FOUL  by SMITH,DEE",1
06:46,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",1
06:46,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
06:46,"SUB OUT by CRAWFORD,JOSH",,,,,,,"SUB OUT by CRAWFORD,JOSH",1
06:46,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
06:46,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",1
06:46,,,,,"SUB OUT by BRAYMAN,ALEX",,,"SUB OUT by BRAYMAN,ALEX",1
06:34,,,,,"MISS JUMPER by CRAFT,BLAKE",,,"MISS JUMPER by CRAFT,BLAKE",1
--,"REBOUND DEF by CRAWFORD,JOSH",,,,,,,"REBOUND DEF by CRAWFORD,JOSH",1
06:23,,,,,"FOUL  by MADDOX,BRANDON",,,"FOUL  by MADDOX,BRANDON",1
06:23,"GOOD FT by ROSS,GREG",19 (+4),,15,,CENTRE_M 19-15 (+4),,"GOOD FT by ROSS,GREG",1
06:23,"GOOD FT by ROSS,GREG",20 (+5),,15,,CENTRE_M 20-15 (+5),,"GOOD FT by ROSS,GREG",1
06:23,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",1
06:23,,,,,"SUB IN by SPIVEY,STEPHEN",,,"SUB IN by SPIVEY,STEPHEN",1
06:23,,,,,"SUB OUT by ROBINSON,DENZEL",,,"SUB OUT by ROBINSON,DENZEL",1
06:23,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",1
06:20,,,,,"FOUL  by BRAYMAN,ALEX",,,"FOUL  by BRAYMAN,ALEX",1
05:58,,,,,"TURNOVER  by CRAFT,BLAKE",,,"TURNOVER  by CRAFT,BLAKE",1
05:54,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",1
05:54,,,,,"SUB IN by TUCK,STEPHEN",,,"SUB IN by TUCK,STEPHEN",1
05:54,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",1
05:54,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",1
05:40,"GOOD JUMPER by NEWSOME,TAYLOR(in the paint)",22 (+7),,15,,CENTRE_M 22-15 (+7),,"GOOD JUMPER by NEWSOME,TAYLOR(in the paint)",1
05:11,,,,,"MISS JUMPER by SPIVEY,STEPHEN",,,"MISS JUMPER by SPIVEY,STEPHEN",1
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",1
04:58,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND OFF by NEWSOME,TAYLOR",,,,,,,"REBOUND OFF by NEWSOME,TAYLOR",1
04:44,"GOOD JUMPER by ROSS,GREG",24 (+9),,15,,CENTRE_M 24-15 (+9),,"GOOD JUMPER by ROSS,GREG",1
--,"ASSIST  by GRIGGS,MATT",,,,,,,"ASSIST  by GRIGGS,MATT",1
04:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:10,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",1
04:10,,,,,"MISS FT by WHITFIELD,NIC",,,"MISS FT by WHITFIELD,NIC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:10,,24 (+8),,16,"GOOD FT by WHITFIELD,NIC",LCM 24-16 (+8),,"GOOD FT by WHITFIELD,NIC",1
03:57,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
03:56,,,,,"STEAL  by TUCK,STEPHEN",,,"STEAL  by TUCK,STEPHEN",1
03:38,,,,,"MISS JUMPER by WHITFIELD,NIC",,,"MISS JUMPER by WHITFIELD,NIC",1
--,,,,,"REBOUND OFF by SPIVEY,STEPHEN",,,"REBOUND OFF by SPIVEY,STEPHEN",1
03:32,,,,,"TURNOVER  by SPIVEY,STEPHEN",,,"TURNOVER  by SPIVEY,STEPHEN",1
03:29,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",1
03:17,"GOOD JUMPER by ROSS,GREG",26 (+10),,16,,CENTRE_M 26-16 (+10),,"GOOD JUMPER by ROSS,GREG",1
03:00,,,,,"TURNOVER  by WHITFIELD,NIC",,,"TURNOVER  by WHITFIELD,NIC",1
02:58,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",1
02:56,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",1
02:56,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
02:56,"SUB IN by CRAWFORD,JOSH",,,,,,,"SUB IN by CRAWFORD,JOSH",1
02:56,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
02:56,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
02:56,,,,,"SUB IN by BRAYMAN,ALEX",,,"SUB IN by BRAYMAN,ALEX",1
02:56,,,,,"SUB OUT by SPIVEY,STEPHEN",,,"SUB OUT by SPIVEY,STEPHEN",1
02:42,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",1
--,,,,,"REBOUND OFF by WHITFIELD,NIC",,,"REBOUND OFF by WHITFIELD,NIC",1
02:37,,26 (+8),,18,"GOOD JUMPER by WHITFIELD,NIC",LCM 26-18 (+8),,"GOOD JUMPER by WHITFIELD,NIC",1
02:19,"GOOD 3PTR by WHITESIDE,DONOVAN",29 (+11),,18,,CENTRE_M 29-18 (+11),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,"ASSIST  by ROSS,GREG",,,,,,,"ASSIST  by ROSS,GREG",1
01:54,,,,,"MISS JUMPER by TUCK,STEPHEN",,,"MISS JUMPER by TUCK,STEPHEN",1
--,,,,,"REBOUND OFF by BRAYMAN,ALEX",,,"REBOUND OFF by BRAYMAN,ALEX",1
01:54,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",1
01:54,,,,,"MISS FT by BRAYMAN,ALEX",,,"MISS FT by BRAYMAN,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:54,,29 (+10),,19,"GOOD FT by BRAYMAN,ALEX",LCM 29-19 (+10),,"GOOD FT by BRAYMAN,ALEX",1
01:54,,,,,"SUB IN by GAYLOR,BRITT",,,"SUB IN by GAYLOR,BRITT",1
01:54,,,,,"SUB OUT by HOWARD,JEROD",,,"SUB OUT by HOWARD,JEROD",1
01:19,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",1
01:04,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
01:04,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
01:04,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",1
01:04,"SUB OUT by CRAWFORD,JOSH",,,,,,,"SUB OUT by CRAWFORD,JOSH",1
00:44,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",1
00:44,,,,,"MISS FT by TUCK,STEPHEN",,,"MISS FT by TUCK,STEPHEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:44,,,,,"MISS FT by TUCK,STEPHEN",,,"MISS FT by TUCK,STEPHEN",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
00:44,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",1
00:44,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
00:25,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",1
00:25,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
00:25,"SUB IN by BINDER,KYLE",,,,,,,"SUB IN by BINDER,KYLE",1
00:25,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",1
00:25,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
00:25,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",1
00:25,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",1
00:25,,,,,"SUB OUT by TUCK,STEPHEN",,,"SUB OUT by TUCK,STEPHEN",1
00:08,,29 (+8),,21,"GOOD JUMPER by VAUGHN,MARCUS",LCM 29-21 (+8),,"GOOD JUMPER by VAUGHN,MARCUS",1
--,,,,,"ASSIST  by GAYLOR,BRITT",,,"ASSIST  by GAYLOR,BRITT",1
00:00,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",1
19:52,"FOUL  by LLOYD,ALEX",,,,,,,"FOUL  by LLOYD,ALEX",2
19:52,"TURNOVER  by LLOYD,ALEX",,,,,,,"TURNOVER  by LLOYD,ALEX",2
19:52,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
19:52,"SUB OUT by LLOYD,ALEX",,,,,,,"SUB OUT by LLOYD,ALEX",2
19:34,,29 (+6),,23,"GOOD JUMPER by CRAFT,BLAKE",LCM 29-23 (+6),,"GOOD JUMPER by CRAFT,BLAKE",2
19:17,"MISS JUMPER by CRAWFORD,JOSH",,,,,,,"MISS JUMPER by CRAWFORD,JOSH",2
19:17,,,,,"BLOCK  by WHITFIELD,NIC",,,"BLOCK  by WHITFIELD,NIC",2
--,,,,,"REBOUND DEF by WHITFIELD,NIC",,,"REBOUND DEF by WHITFIELD,NIC",2
18:52,,29 (+4),,25,"GOOD LAYUP by WHITFIELD,NIC(in the paint)",LCM 29-25 (+4),,"GOOD LAYUP by WHITFIELD,NIC(in the paint)",2
18:34,"MISS 3PTR by ROSS,GREG",,,,,,,"MISS 3PTR by ROSS,GREG",2
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",2
18:21,"GOOD JUMPER by ROSS,GREG",31 (+6),,25,,CENTRE_M 31-25 (+6),,"GOOD JUMPER by ROSS,GREG",2
18:00,,31 (+3),,28,"GOOD 3PTR by VAUGHN,MARCUS",LCM 31-28 (+3),,"GOOD 3PTR by VAUGHN,MARCUS",2
--,,,,,"ASSIST  by SPIVEY,STEPHEN",,,"ASSIST  by SPIVEY,STEPHEN",2
17:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:34,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
17:16,,,,,"MISS JUMPER by GAYLOR,BRITT",,,"MISS JUMPER by GAYLOR,BRITT",2
--,,,,,"REBOUND OFF by VAUGHN,MARCUS",,,"REBOUND OFF by VAUGHN,MARCUS",2
17:11,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
16:59,"TURNOVER  by CRAWFORD,JOSH",,,,,,,"TURNOVER  by CRAWFORD,JOSH",2
16:57,,,,,"STEAL  by GAYLOR,BRITT",,,"STEAL  by GAYLOR,BRITT",2
16:34,,31 (+1),,30,"GOOD JUMPER by WHITFIELD,NIC",LCM 31-30 (+1),,"GOOD JUMPER by WHITFIELD,NIC",2
16:11,"TURNOVER  by CRAWFORD,JOSH",,,,,,,"TURNOVER  by CRAWFORD,JOSH",2
16:10,,,,,"STEAL  by GAYLOR,BRITT",,,"STEAL  by GAYLOR,BRITT",2
15:48,,31,,32 (+1),"GOOD JUMPER by CRAFT,BLAKE",LCM 31-32 (-1),,"GOOD JUMPER by CRAFT,BLAKE",2
15:45,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:45,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
15:45,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",2
15:45,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
