Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:39,,0,,3 (+3),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 0-3 (+3),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by LLOYD,ALEX",,,"ASSIST  by LLOYD,ALEX",1
19:11,"MISS JUMPER by WARD,TODD",,,,,,,"MISS JUMPER by WARD,TODD",1
--,,,,,"REBOUND DEF by LLOYD,ALEX",,,"REBOUND DEF by LLOYD,ALEX",1
18:52,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by PITTS,ALEC",,,,,,,"REBOUND DEF by PITTS,ALEC",1
18:30,"MISS JUMPER by WARD,TODD",,,,,,,"MISS JUMPER by WARD,TODD",1
--,"REBOUND OFF by WARD,TODD",,,,,,,"REBOUND OFF by WARD,TODD",1
18:27,"GOOD LAYUP by WARD,TODD(in the paint)",2,,3 (+1),,OUM 2-3 (+1),,"GOOD LAYUP by WARD,TODD(in the paint)",1
18:02,,,,,"MISS JUMPER by LLOYD,ALEX",,,"MISS JUMPER by LLOYD,ALEX",1
--,"REBOUND DEF by RICHEY,ALEX",,,,,,,"REBOUND DEF by RICHEY,ALEX",1
17:51,,,,,"FOUL  by LLOYD,ALEX",,,"FOUL  by LLOYD,ALEX",1
17:50,"TURNOVER  by PITTS,ALEC",,,,,,,"TURNOVER  by PITTS,ALEC",1
17:48,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
17:36,,2,,6 (+4),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 2-6 (+4),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
17:10,"MISS LAYUP by WARD,TODD",,,,,,,"MISS LAYUP by WARD,TODD",1
--,,,,,"REBOUND DEF by LLOYD,ALEX",,,"REBOUND DEF by LLOYD,ALEX",1
16:59,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
16:57,"STEAL  by KENNEDY,JOE",,,,,,,"STEAL  by KENNEDY,JOE",1
16:48,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
16:40,"FOUL  by WARD,TODD",,,,,,,"FOUL  by WARD,TODD",1
16:40,"TURNOVER  by WARD,TODD",,,,,,,"TURNOVER  by WARD,TODD",1
16:20,,2,,9 (+7),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 2-9 (+7),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
16:04,"TURNOVER  by WARD,TODD",,,,,,,"TURNOVER  by WARD,TODD",1
16:03,,,,,"STEAL  by ROSS,GREG",,,"STEAL  by ROSS,GREG",1
