Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,MAR,Game Score,Team Indicator,Play,Period
19:38,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by OWENS,JACOB",,,"REBOUND DEF by OWENS,JACOB",1
19:21,,0,,2 (+2),"GOOD LAYUP by HAMMOND,TYLER(in the paint)",MAR 0-2 (-2),,"GOOD LAYUP by HAMMOND,TYLER(in the paint)",1
18:57,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",1
--,,,,,"REBOUND DEF by HAMMOND,TYLER",,,"REBOUND DEF by HAMMOND,TYLER",1
18:38,,,,,"MISS JUMPER by KNAB,KEVIN",,,"MISS JUMPER by KNAB,KEVIN",1
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",1
18:25,"MISS LAYUP by LLOYD,ALEX",,,,,,,"MISS LAYUP by LLOYD,ALEX",1
--,,,,,"REBOUND DEF by OWENS,JACOB",,,"REBOUND DEF by OWENS,JACOB",1
18:05,,,,,"MISS JUMPER by HAMMOND,TYLER",,,"MISS JUMPER by HAMMOND,TYLER",1
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",1
17:44,"GOOD JUMPER by MULLANEY,JEFF(in the paint)",2,,2,,CENTRE 2-2 (0),,"GOOD JUMPER by MULLANEY,JEFF(in the paint)",1
17:20,,2,,4 (+2),"GOOD LAYUP by HUMPHREY,JASON(in the paint)",MAR 2-4 (-2),,"GOOD LAYUP by HUMPHREY,JASON(in the paint)",1
16:57,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by HUMPHREY,JASON",,,"REBOUND DEF by HUMPHREY,JASON",1
16:47,,,,,"MISS JUMPER by HAMMOND,TYLER",,,"MISS JUMPER by HAMMOND,TYLER",1
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",1
16:26,"GOOD JUMPER by ROSS,GREG",4,,4,,CENTRE 4-4 (0),,"GOOD JUMPER by ROSS,GREG",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
16:14,,4,,7 (+3),"GOOD 3PTR by OWENS,JACOB",MAR 4-7 (-3),,"GOOD 3PTR by OWENS,JACOB",1
15:41,"GOOD JUMPER by ROSS,GREG",6,,7 (+1),,CENTRE 6-7 (-1),,"GOOD JUMPER by ROSS,GREG",1
15:23,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",1
15:23,,,,,"MISS FT by KNAB,KEVIN",,,"MISS FT by KNAB,KEVIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:23,,6,,8 (+2),"GOOD FT by KNAB,KEVIN",MAR 6-8 (-2),,"GOOD FT by KNAB,KEVIN",1
15:23,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
15:23,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
15:23,,,,,"SUB IN by MARTIN,JJ",,,"SUB IN by MARTIN,JJ",1
15:23,,,,,"SUB OUT by HAMMOND,TYLER",,,"SUB OUT by HAMMOND,TYLER",1
15:23,,,,,"SUB OUT by HUMPHREY,JASON",,,"SUB OUT by HUMPHREY,JASON",1
14:57,"GOOD JUMPER by ROSS,GREG",8,,8,,CENTRE 8-8 (0),,"GOOD JUMPER by ROSS,GREG",1
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",1
14:42,,8,,10 (+2),"GOOD JUMPER by HALTER,TREVOR",MAR 8-10 (-2),,"GOOD JUMPER by HALTER,TREVOR",1
14:25,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by MARTIN,JJ",,,"REBOUND DEF by MARTIN,JJ",1
14:17,,8,,13 (+5),"GOOD 3PTR by MARTIN,JJ",MAR 8-13 (-5),,"GOOD 3PTR by MARTIN,JJ",1
--,,,,,"ASSIST  by WORSTELL,TYLER",,,"ASSIST  by WORSTELL,TYLER",1
13:46,"GOOD JUMPER by ROSS,GREG",10,,13 (+3),,CENTRE 10-13 (-3),,"GOOD JUMPER by ROSS,GREG",1
13:32,,,,,"MISS JUMPER by KNAB,KEVIN",,,"MISS JUMPER by KNAB,KEVIN",1
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",1
13:16,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by KNAB,KEVIN",,,"REBOUND DEF by KNAB,KEVIN",1
13:02,,,,,"MISS JUMPER by MARTIN,JJ",,,"MISS JUMPER by MARTIN,JJ",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
12:51,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
12:51,"SUB IN by BINDER,KYLE",,,,,,,"SUB IN by BINDER,KYLE",1
12:51,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",1
12:51,"SUB OUT by LLOYD,ALEX",,,,,,,"SUB OUT by LLOYD,ALEX",1
12:51,,,,,"SUB IN by KILPATRICK,CONNER",,,"SUB IN by KILPATRICK,CONNER",1
12:51,,,,,"SUB IN by PUCH,JOE",,,"SUB IN by PUCH,JOE",1
12:51,,,,,"SUB IN by CRADER,BRIAN",,,"SUB IN by CRADER,BRIAN",1
12:51,,,,,"SUB OUT by HALTER,TREVOR",,,"SUB OUT by HALTER,TREVOR",1
12:51,,,,,"SUB OUT by OWENS,JACOB",,,"SUB OUT by OWENS,JACOB",1
12:51,,,,,"SUB OUT by KNAB,KEVIN",,,"SUB OUT by KNAB,KEVIN",1
12:30,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by KILPATRICK,CONNER",,,"REBOUND DEF by KILPATRICK,CONNER",1
12:14,,,,,"TURNOVER  by MARTIN,JJ",,,"TURNOVER  by MARTIN,JJ",1
11:52,,,,,"FOUL  by MARTIN,JJ",,,"FOUL  by MARTIN,JJ",1
11:52,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
11:52,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
11:30,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
11:30,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
11:16,,,,,"MISS JUMPER by KILPATRICK,CONNER",,,"MISS JUMPER by KILPATRICK,CONNER",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
11:03,"GOOD JUMPER by BINDER,KYLE",12,,13 (+1),,CENTRE 12-13 (-1),,"GOOD JUMPER by BINDER,KYLE",1
--,"ASSIST  by GRIGGS,MATT",,,,,,,"ASSIST  by GRIGGS,MATT",1
10:32,,12,,15 (+3),"GOOD JUMPER by WORSTELL,TYLER",MAR 12-15 (-3),,"GOOD JUMPER by WORSTELL,TYLER",1
09:54,"MISS 3PTR by ROSS,GREG",,,,,,,"MISS 3PTR by ROSS,GREG",1
--,"REBOUND OFF by GRIGGS,MATT",,,,,,,"REBOUND OFF by GRIGGS,MATT",1
09:32,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",14,,15 (+1),,CENTRE 14-15 (-1),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
09:09,,14,,17 (+3),"GOOD LAYUP by MARTIN,JJ(in the paint)",MAR 14-17 (-3),,"GOOD LAYUP by MARTIN,JJ(in the paint)",1
09:02,,,,,"FOUL  by WORSTELL,TYLER",,,"FOUL  by WORSTELL,TYLER",1
09:02,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
09:02,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",1
09:02,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
09:02,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
09:02,,,,,"SUB IN by HUMPHREY,JASON",,,"SUB IN by HUMPHREY,JASON",1
09:02,,,,,"SUB IN by HAMMOND,TYLER",,,"SUB IN by HAMMOND,TYLER",1
09:02,,,,,"SUB IN by HALTER,TREVOR",,,"SUB IN by HALTER,TREVOR",1
09:02,,,,,"SUB OUT by MARTIN,JJ",,,"SUB OUT by MARTIN,JJ",1
09:02,,,,,"SUB OUT by CRADER,BRIAN",,,"SUB OUT by CRADER,BRIAN",1
08:41,,,,,"FOUL  by KILPATRICK,CONNER",,,"FOUL  by KILPATRICK,CONNER",1
08:41,"GOOD FT by BINDER,KYLE",15,,17 (+2),,CENTRE 15-17 (-2),,"GOOD FT by BINDER,KYLE",1
08:41,"GOOD FT by BINDER,KYLE",16,,17 (+1),,CENTRE 16-17 (-1),,"GOOD FT by BINDER,KYLE",1
08:41,"SUB IN by LLOYD,ALEX",,,,,,,"SUB IN by LLOYD,ALEX",1
08:41,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
08:41,"SUB OUT by BINDER,KYLE",,,,,,,"SUB OUT by BINDER,KYLE",1
08:41,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
08:41,,,,,"SUB IN by KNAB,KEVIN",,,"SUB IN by KNAB,KEVIN",1
08:41,,,,,"SUB OUT by KILPATRICK,CONNER",,,"SUB OUT by KILPATRICK,CONNER",1
08:29,,16,,19 (+3),"GOOD LAYUP by HALTER,TREVOR(in the paint)",MAR 16-19 (-3),,"GOOD LAYUP by HALTER,TREVOR(in the paint)",1
08:06,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by KNAB,KEVIN",,,"REBOUND DEF by KNAB,KEVIN",1
07:54,,16,,21 (+5),"GOOD LAYUP by HUMPHREY,JASON(in the paint)",MAR 16-21 (-5),,"GOOD LAYUP by HUMPHREY,JASON(in the paint)",1
07:28,"TURNOVER  by LLOYD,ALEX",,,,,,,"TURNOVER  by LLOYD,ALEX",1
07:28,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
07:28,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
07:28,,,,,"SUB IN by WORSTELL,TYLER",,,"SUB IN by WORSTELL,TYLER",1
