Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:48,,,,,"TURNOVER  by BISHOP,BRYSON",,,"TURNOVER  by BISHOP,BRYSON",1
19:34,"TURNOVER  by EZIGBO,UBA",,,,,,,"TURNOVER  by EZIGBO,UBA",1
19:12,,0,,3 (+3),"GOOD 3PTR by GILLISPIE,JAY",BSC 0-3 (+3),,"GOOD 3PTR by GILLISPIE,JAY",1
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",1
18:53,"TURNOVER  by JENEI,RYAN",,,,,,,"TURNOVER  by JENEI,RYAN",1
18:53,,,,,"STEAL  by JACKSON,MARTISE",,,"STEAL  by JACKSON,MARTISE",1
18:48,,,,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
18:44,,,,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",1
--,"REBOUND DEF by BENNEFIELD ,DYLAN",,,,,,,"REBOUND DEF by BENNEFIELD ,DYLAN",1
18:35,"MISS LAYUP by REISMAN ,ROBERT(in the paint)",,,,,,,"MISS LAYUP by REISMAN ,ROBERT(in the paint)",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
18:21,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND OFF by GREEN,KALEB",,,"REBOUND OFF by GREEN,KALEB",1
18:17,,0,,5 (+5),"GOOD LAYUP by GREEN,KALEB(in the paint)",BSC 0-5 (+5),,"GOOD LAYUP by GREEN,KALEB(in the paint)",1
18:00,"MISS JUMPER by JAMES,JORDAN(in the paint)",,,,,,,"MISS JUMPER by JAMES,JORDAN(in the paint)",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
17:44,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
17:30,"GOOD JUMPER by REISMAN ,ROBERT(in the paint)",2,,5 (+3),,OU 2-5 (+3),,"GOOD JUMPER by REISMAN ,ROBERT(in the paint)",1
--,"ASSIST  by JENEI,RYAN",,,,,,,"ASSIST  by JENEI,RYAN",1
17:14,,2,,8 (+6),"GOOD 3PTR by GREEN,KALEB",BSC 2-8 (+6),,"GOOD 3PTR by GREEN,KALEB",1
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",1
17:02,"MISS 3PTR by REISMAN ,ROBERT",,,,,,,"MISS 3PTR by REISMAN ,ROBERT",1
--,,,,,"REBOUND DEF by GREEN,KALEB",,,"REBOUND DEF by GREEN,KALEB",1
16:55,,2,,10 (+8),"GOOD LAYUP by CHILDERS,JOSH(fastbreak)(in the paint)",BSC 2-10 (+8),,"GOOD LAYUP by CHILDERS,JOSH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GREEN,KALEB",,,"ASSIST  by GREEN,KALEB",1
16:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:55,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
16:55,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
16:55,"SUB OUT by REISMAN ,ROBERT",,,,,,,"SUB OUT by REISMAN ,ROBERT",1
16:55,"SUB IN by HARRIS,TREY",,,,,,,"SUB IN by HARRIS,TREY",1
16:55,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
16:55,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
16:50,"TURNOVER  by BENNEFIELD ,DYLAN",,,,,,,"TURNOVER  by BENNEFIELD ,DYLAN",1
16:50,,,,,"STEAL  by CHILDERS,JOSH",,,"STEAL  by CHILDERS,JOSH",1
16:44,,,,,"MISS JUMPER by GREEN,KALEB(in the paint)",,,"MISS JUMPER by GREEN,KALEB(in the paint)",1
16:44,"BLOCK  by EZIGBO,UBA",,,,,,,"BLOCK  by EZIGBO,UBA",1
--,"REBOUND DEF by EZIGBO,UBA",,,,,,,"REBOUND DEF by EZIGBO,UBA",1
16:35,"GOOD LAYUP by JAMES,JORDAN(in the paint)",4,,10 (+6),,OU 4-10 (+6),,"GOOD LAYUP by JAMES,JORDAN(in the paint)",1
