Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,DEGA,Game Score,Team Indicator,Play,Period
19:41,"MISS LAYUP by GLOVER,CAM",,,,,,,"MISS LAYUP by GLOVER,CAM",1
--,,,,,"REBOUND DEF by SANDS,COREY",,,"REBOUND DEF by SANDS,COREY",1
19:12,,,,,"MISS LAYUP by PEGUES,KESHAWN",,,"MISS LAYUP by PEGUES,KESHAWN",1
--,,,,,"REBOUND OFF by PEGUES,KESHAWN",,,"REBOUND OFF by PEGUES,KESHAWN",1
19:02,,,,,"TURNOVER  by SANDS,COREY",,,"TURNOVER  by SANDS,COREY",1
18:48,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2 (+2),,0,,BSC 2-0 (+2),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by GLOVER,CAM",,,,,,,"ASSIST  by GLOVER,CAM",1
18:25,,,,,"MISS JUMPER by PEGUES,KESHAWN",,,"MISS JUMPER by PEGUES,KESHAWN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:06,,2,,2,"GOOD LAYUP by SANDS,COREY(in the paint)",DEGA 2-2 (0),,"GOOD LAYUP by SANDS,COREY(in the paint)",1
17:56,"MISS LAYUP by GLOVER,CAM",,,,,,,"MISS LAYUP by GLOVER,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:48,,,,,"FOUL  by TATUM,JAVON",,,"FOUL  by TATUM,JAVON",1
17:41,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:23,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",4 (+2),,2,,BSC 4-2 (+2),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
17:15,,,,,"FOUL  by ANUM,ETHELBERT",,,"FOUL  by ANUM,ETHELBERT",1
16:52,"GOOD JUMPER by CHILDERS,JOSH",6 (+4),,2,,BSC 6-2 (+4),,"GOOD JUMPER by CHILDERS,JOSH",1
16:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:08,,6 (+2),,4,"GOOD LAYUP by NICHOLS,DEVIN(in the paint)",DEGA 6-4 (+2),,"GOOD LAYUP by NICHOLS,DEVIN(in the paint)",1
13:38,"GOOD JUMPER by GLOVER,CAM",8 (+4),,4,,BSC 8-4 (+4),,"GOOD JUMPER by GLOVER,CAM",1
13:28,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:20,"MISS JUMPER by GLOVER,CAM",,,,,,,"MISS JUMPER by GLOVER,CAM",1
--,,,,,"REBOUND DEF by SANDS,COREY",,,"REBOUND DEF by SANDS,COREY",1
